Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dave Piontek,,0.065,1.0,,0.549,0.274,0.315,0.274,0.315,,,0.216,0.204,,,0.238,0.165,,,,0.678,0.263,0.642,0.642,,0.639
Tom Heinsohn,1.0,0.453,0.974,,0.725,0.632,0.688,0.632,0.688,,,0.473,0.39,,,0.409,0.239,,,,0.884,0.602,0.677,0.677,,0.733
Hal Greer,0.762,0.341,0.909,,0.593,0.364,0.353,0.364,0.353,,,0.247,0.191,,,0.156,0.263,,,,0.669,0.341,0.762,0.762,,0.783
Med Park,0.321,0.112,0.961,,0.554,0.212,0.252,0.212,0.252,,,0.316,0.262,,,0.155,0.299,,,,0.579,0.237,0.621,0.621,,0.727
Bailey Howell,0.508,0.447,0.974,,0.703,0.479,0.484,0.479,0.484,,,0.522,0.426,,,0.407,0.088,,,,0.907,0.492,0.73,0.73,,0.739
Al Bianchi,0.762,0.047,0.896,,0.376,0.198,0.249,0.198,0.249,,,0.182,0.156,,,0.092,0.236,,,,0.743,0.196,0.586,0.586,,0.703
Brendan McCann,0.457,-0.006,0.052,,0.009,0.001,0.004,0.001,0.004,,,0.005,0.003,,,0.002,0.014,,,,0.006,0.002,0.16,0.16,,1.0
Jim Ray,0.762,-0.006,0.052,,0.006,0.001,0.003,0.001,0.003,,,0.0,0.0,,,0.0,0.003,,,,0.01,0.001,0.267,0.267,,
Bob Anderegg,0.457,0.0,0.429,,0.112,0.052,0.062,0.052,0.062,,,0.038,0.042,,,0.036,0.041,,,,0.103,0.049,0.616,0.616,,0.548
Phil Rollins,0.321,0.065,0.935,,0.37,0.148,0.167,0.148,0.167,,,0.129,0.128,,,0.093,0.326,,,,0.482,0.145,0.654,0.654,,0.606
Johnny McCarthy,0.779,-0.006,0.974,,0.714,0.225,0.316,0.225,0.316,,,0.249,0.228,,,0.155,0.459,,,,0.749,0.232,0.526,0.526,,0.659
Jack George,0.457,0.088,0.896,,0.481,0.235,0.281,0.235,0.281,,,0.259,0.204,,,0.101,0.336,,,,0.476,0.242,0.616,0.616,,0.767
Connie Dierking,0.762,0.029,0.922,,0.335,0.18,0.228,0.18,0.228,,,0.181,0.19,,,0.235,0.076,,,,0.54,0.182,0.584,0.584,,0.574
Si Green,0.779,0.059,0.909,,0.406,0.149,0.185,0.149,0.185,,,0.186,0.177,,,0.132,0.186,,,,0.482,0.158,0.595,0.595,,0.634
Bob Pettit,0.779,0.676,0.935,,0.868,0.628,0.66,0.628,0.66,,,0.91,0.729,,,0.629,0.359,,,,0.656,0.695,0.701,0.701,,0.753
Willie Naulls,0.457,0.312,0.844,,0.674,0.517,0.556,0.517,0.556,,,0.478,0.345,,,0.474,0.193,,,,0.688,0.513,0.685,0.685,,0.836
