Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Robert Parish,0.394,0.311,0.857,,0.657,0.498,0.519,0.514,0.547,0.0,0.004,0.355,0.363,0.431,0.62,0.644,0.147,0.219,0.411,0.627,0.756,0.473,0.833,0.833,0.0,0.797
Jack Sikma,0.918,0.581,0.976,,0.866,0.459,0.51,0.474,0.538,0.0,0.004,0.411,0.373,0.346,0.822,0.747,0.335,0.257,0.275,0.563,0.707,0.455,0.78,0.782,0.0,0.897
Dave Cowens,1.0,0.365,0.786,0.671,0.669,0.412,0.48,0.424,0.501,0.011,0.05,0.166,0.156,0.22,0.472,0.439,0.248,0.26,0.218,0.301,0.659,0.364,0.744,0.752,0.166,0.868
Rick Robey,1.0,0.372,0.976,0.329,0.595,0.37,0.375,0.382,0.395,0.0,0.004,0.322,0.344,0.365,0.372,0.436,0.111,0.2,0.054,0.421,0.744,0.364,0.856,0.857,0.0,0.763
Magic Johnson,0.984,0.709,0.917,,0.866,0.491,0.489,0.5,0.499,0.078,0.13,0.654,0.59,0.29,0.498,0.49,0.677,0.706,0.146,0.85,0.665,0.537,0.87,0.887,0.452,0.903
Bob Lanier,,0.5,0.75,,0.661,0.455,0.447,0.469,0.468,0.011,0.025,0.484,0.452,0.265,0.463,0.454,0.221,0.279,0.318,0.451,0.61,0.468,0.882,0.887,0.334,0.872
Caldwell Jones,0.968,0.264,0.952,,0.859,0.227,0.274,0.234,0.288,0.0,0.008,0.217,0.227,0.382,0.846,0.781,0.197,0.162,0.579,0.607,0.909,0.227,0.716,0.719,0.0,0.777
World B. Free,0.574,0.541,0.81,,0.801,0.72,0.802,0.734,0.833,0.1,0.105,1.0,0.971,0.225,0.126,0.196,0.34,0.306,0.114,0.635,0.595,0.795,0.778,0.782,0.72,0.839
Elvin Hayes,0.64,0.419,0.964,,0.987,0.743,0.864,0.764,0.905,0.033,0.054,0.584,0.61,0.469,0.726,0.737,0.155,0.234,0.675,0.599,0.942,0.719,0.745,0.749,0.462,0.779
James Silas,0.672,0.372,0.917,,0.711,0.501,0.515,0.517,0.541,0.0,0.017,0.593,0.488,0.079,0.141,0.137,0.417,0.23,0.05,0.535,0.628,0.528,0.844,0.847,0.0,0.989
Tiny Archibald,1.0,0.601,0.952,0.976,0.888,0.374,0.409,0.382,0.422,0.044,0.075,0.631,0.556,0.103,0.16,0.162,0.806,0.4,0.036,0.674,0.665,0.438,0.791,0.801,0.444,0.925
Allan Bristow,0.394,0.297,0.976,,0.714,0.368,0.405,0.378,0.423,0.022,0.029,0.344,0.31,0.297,0.396,0.421,0.41,0.332,0.021,0.499,0.643,0.369,0.788,0.791,0.572,0.904
Chris Ford,1.0,0.378,0.869,0.89,0.656,0.322,0.365,0.262,0.297,0.778,0.686,0.15,0.146,0.134,0.12,0.149,0.258,0.419,0.096,0.292,0.543,0.316,0.764,0.783,0.854,0.841
Truck Robinson,0.902,0.405,0.976,,0.84,0.532,0.548,0.549,0.579,0.0,0.0,0.568,0.622,0.372,0.645,0.633,0.171,0.219,0.211,0.699,0.799,0.547,0.841,0.841,,0.744
Kermit Washington,0.622,0.615,0.952,,0.824,0.411,0.392,0.424,0.412,0.0,0.013,0.404,0.46,0.567,0.598,0.692,0.201,0.275,0.468,0.474,0.936,0.415,0.908,0.911,0.0,0.716
Tree Rollins,0.82,0.622,0.976,,0.658,0.28,0.265,0.289,0.28,0.0,0.0,0.274,0.281,0.494,0.568,0.637,0.091,0.204,0.871,0.276,0.982,0.283,0.916,0.916,,0.796
Maurice Cheeks,0.968,0.534,0.94,,0.813,0.349,0.341,0.356,0.355,0.044,0.038,0.315,0.295,0.131,0.23,0.225,0.668,0.691,0.114,0.602,0.601,0.347,0.887,0.888,0.888,0.868
Bobby Jones,0.968,0.547,0.964,,0.659,0.389,0.386,0.401,0.405,0.0,0.013,0.449,0.42,0.265,0.345,0.37,0.175,0.385,0.421,0.407,0.68,0.407,0.874,0.877,0.0,0.871
Jamaal Wilkes,0.984,0.676,0.976,,0.964,0.709,0.7,0.729,0.73,0.033,0.071,0.33,0.299,0.307,0.404,0.432,0.3,0.487,0.1,0.437,0.671,0.636,0.878,0.885,0.352,0.901
Fred Brown,0.918,0.331,0.952,,0.527,0.395,0.435,0.368,0.411,0.433,0.368,0.198,0.172,0.061,0.139,0.127,0.209,0.245,0.061,0.292,0.357,0.371,0.787,0.793,0.886,0.933
Greg Ballard,0.64,0.466,0.976,,0.756,0.532,0.568,0.533,0.573,0.178,0.197,0.299,0.29,0.419,0.461,0.525,0.191,0.34,0.129,0.37,0.601,0.494,0.813,0.824,0.68,0.839
John Roche,0.492,0.284,0.976,,0.709,0.346,0.382,0.307,0.333,0.544,0.54,0.306,0.258,0.042,0.105,0.095,0.487,0.309,0.043,0.443,0.424,0.361,0.785,0.818,0.76,0.965
Dave Meyers,0.804,0.264,0.94,,0.683,0.39,0.428,0.401,0.449,0.011,0.021,0.273,0.314,0.244,0.356,0.368,0.27,0.272,0.143,0.507,0.665,0.369,0.79,0.791,0.4,0.707
Bill Robinzine,0.77,0.372,0.964,,0.594,0.354,0.373,0.364,0.392,0.011,0.008,0.35,0.35,0.321,0.396,0.433,0.075,0.4,0.082,0.412,0.948,0.358,0.823,0.823,1.0,0.814
