Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Andrei Kirilenko,0.783,0.558,0.964,0.134,0.635,0.363,0.331,0.374,0.323,0.184,0.214,0.49,0.491,0.502,0.318,0.373,0.194,0.524,0.738,0.455,0.538,0.391,0.855,0.918,0.487,0.871
Steve Nash,1.0,0.703,0.988,1.0,0.778,0.597,0.574,0.547,0.516,0.552,0.505,0.51,0.45,0.215,0.199,0.208,0.841,0.378,0.025,0.642,0.39,0.591,0.81,0.84,0.619,0.989
Matt Harpring,0.783,0.533,0.94,0.841,0.734,0.6,0.526,0.612,0.525,0.328,0.3,0.434,0.44,0.648,0.378,0.456,0.187,0.324,0.072,0.535,0.631,0.557,0.89,0.922,0.619,0.862
Desmond Mason,,0.315,0.964,0.488,0.793,0.526,0.524,0.586,0.577,0.104,0.135,0.351,0.376,0.526,0.43,0.464,0.229,0.298,0.135,0.385,0.61,0.466,0.782,0.803,0.438,0.815
David Wesley,0.783,0.424,0.88,0.89,0.778,0.517,0.535,0.423,0.44,0.667,0.593,0.306,0.315,0.13,0.16,0.155,0.353,0.484,0.038,0.441,0.503,0.495,0.754,0.761,0.636,0.85
Richard Hamilton,0.833,0.442,0.988,1.0,0.758,0.657,0.663,0.723,0.713,0.159,0.223,0.728,0.701,0.3,0.268,0.282,0.293,0.284,0.055,0.669,0.724,0.655,0.772,0.803,0.403,0.906
Metta World Peace,0.799,0.436,0.831,0.817,0.665,0.417,0.436,0.391,0.388,0.353,0.396,0.452,0.493,0.345,0.304,0.321,0.278,0.707,0.211,0.485,0.703,0.434,0.746,0.798,0.504,0.801
Amar'e Stoudemire,0.734,0.376,0.988,0.866,0.737,0.452,0.428,0.524,0.501,0.01,0.019,0.53,0.643,0.853,0.549,0.64,0.11,0.276,0.367,0.632,0.782,0.449,0.822,0.829,0.3,0.719
Bobby Jackson,0.984,0.333,0.711,0.317,0.481,0.392,0.377,0.337,0.304,0.443,0.441,0.209,0.198,0.195,0.189,0.194,0.256,0.316,0.013,0.355,0.366,0.364,0.808,0.88,0.568,0.921
Antawn Jamison,0.633,0.515,0.988,1.0,0.926,0.796,0.758,0.841,0.771,0.323,0.392,0.621,0.631,0.666,0.446,0.513,0.219,0.338,0.19,0.592,0.573,0.74,0.819,0.864,0.466,0.859
