Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Chris Mullin,0.435,0.388,0.952,0.768,0.813,0.476,0.419,0.411,0.37,0.362,0.334,0.353,0.309,0.234,0.355,0.341,0.344,0.613,0.125,0.596,0.484,0.47,0.908,0.969,0.874,0.958
A.C. Green,,0.262,1.0,0.89,0.741,0.254,0.256,0.27,0.291,0.004,0.033,0.246,0.286,0.694,0.636,0.706,0.074,0.33,0.061,0.23,0.453,0.246,0.793,0.808,0.106,0.721
Bob Sura,0.609,0.284,0.988,0.28,0.675,0.275,0.31,0.231,0.265,0.231,0.272,0.376,0.462,0.237,0.34,0.332,0.417,0.425,0.125,0.562,0.681,0.311,0.708,0.762,0.687,0.681
David Wesley,0.218,0.333,0.892,0.89,0.89,0.496,0.515,0.409,0.431,0.45,0.474,0.432,0.417,0.209,0.289,0.284,0.574,0.764,0.049,0.655,0.691,0.51,0.768,0.826,0.766,0.866
Hakeem Olajuwon,0.826,0.497,0.94,0.951,0.848,0.79,0.754,0.836,0.884,0.022,0.026,0.674,0.646,0.541,0.796,0.771,0.252,0.552,0.655,0.873,0.778,0.745,0.837,0.824,0.666,0.873
Horace Grant,0.653,0.421,0.807,0.817,0.742,0.389,0.367,0.413,0.432,0.004,0.01,0.246,0.259,0.644,0.578,0.646,0.174,0.476,0.246,0.307,0.491,0.348,0.846,0.834,0.355,0.793
Danny Manning,0.58,0.284,0.928,0.207,0.635,0.463,0.42,0.485,0.476,0.031,0.06,0.347,0.364,0.428,0.487,0.505,0.185,0.382,0.28,0.5,0.838,0.428,0.88,0.889,0.413,0.799
Christian Laettner,0.812,0.634,0.988,1.0,0.934,0.596,0.596,0.598,0.652,0.135,0.146,0.689,0.638,0.662,0.745,0.775,0.239,0.481,0.242,0.677,0.866,0.611,0.798,0.8,0.749,0.905
Ray Allen,0.478,0.268,0.988,0.988,0.753,0.424,0.48,0.316,0.382,0.511,0.493,0.393,0.361,0.303,0.336,0.351,0.225,0.354,0.038,0.463,0.681,0.453,0.706,0.721,0.836,0.912
Otis Thorpe,0.784,0.432,0.952,0.963,0.791,0.455,0.416,0.485,0.492,0.0,0.003,0.38,0.439,0.706,0.581,0.67,0.142,0.278,0.064,0.45,0.931,0.426,0.874,0.86,0.0,0.724
Kerry Kittles,0.377,0.377,0.988,0.695,0.896,0.551,0.628,0.404,0.483,0.69,0.694,0.336,0.329,0.331,0.312,0.343,0.266,0.741,0.133,0.394,0.516,0.554,0.7,0.729,0.802,0.855
Anthony Mason,0.784,0.623,0.88,0.89,0.935,0.471,0.436,0.5,0.515,0.004,0.005,0.612,0.62,0.581,0.943,0.892,0.443,0.358,0.125,0.512,0.631,0.488,0.862,0.847,0.709,0.826
Grant Hill,0.784,0.798,0.964,0.976,0.936,0.679,0.665,0.712,0.769,0.044,0.055,0.864,0.917,0.384,0.877,0.776,0.624,0.679,0.182,0.804,0.581,0.703,0.814,0.808,0.645,0.788
Hot Rod Williams,0.58,0.29,0.819,0.805,0.636,0.222,0.22,0.236,0.26,0.0,0.003,0.255,0.287,0.556,0.563,0.605,0.107,0.316,0.333,0.205,0.55,0.223,0.805,0.794,0.0,0.745
Karl Malone,0.927,0.913,0.988,1.0,0.892,0.939,0.83,1.0,0.977,0.0,0.022,1.0,1.0,0.603,0.903,0.871,0.394,0.533,0.182,0.724,0.678,0.925,0.903,0.894,0.0,0.837
Vlade Divac,0.784,0.399,0.976,0.976,0.845,0.454,0.448,0.471,0.502,0.048,0.078,0.34,0.375,0.753,0.71,0.78,0.322,0.486,0.682,0.599,0.866,0.421,0.811,0.82,0.498,0.757
Anfernee Hardaway,0.653,0.443,0.711,0.72,0.661,0.458,0.497,0.389,0.423,0.371,0.442,0.543,0.5,0.256,0.265,0.283,0.355,0.439,0.133,0.45,0.384,0.498,0.734,0.804,0.677,0.909
Walt Williams,0.435,0.295,0.88,0.89,0.787,0.455,0.519,0.282,0.342,0.764,0.724,0.357,0.352,0.322,0.387,0.395,0.211,0.458,0.235,0.54,0.881,0.493,0.701,0.721,0.851,0.848
Dean Garrett,0.58,0.339,0.819,0.573,0.495,0.242,0.206,0.258,0.244,0.0,0.0,0.184,0.2,0.466,0.507,0.533,0.041,0.189,0.36,0.106,0.494,0.223,0.941,0.923,,0.772
Tim Hardaway,0.885,0.705,0.976,0.988,0.933,0.625,0.732,0.431,0.498,0.886,0.977,0.559,0.528,0.153,0.334,0.298,0.743,0.712,0.034,0.714,0.516,0.676,0.681,0.755,0.732,0.886
Elden Campbell,0.812,0.383,0.928,0.939,0.748,0.48,0.498,0.51,0.588,0.004,0.007,0.505,0.536,0.647,0.598,0.662,0.135,0.217,0.443,0.404,0.863,0.472,0.77,0.757,0.532,0.788
John Starks,0.826,0.317,0.928,0.012,0.607,0.401,0.452,0.253,0.282,0.655,0.674,0.332,0.326,0.113,0.248,0.221,0.232,0.425,0.042,0.491,0.613,0.436,0.708,0.786,0.785,0.853
Kevin Garnett,0.58,0.399,0.928,0.939,0.891,0.597,0.581,0.628,0.676,0.026,0.035,0.393,0.394,0.594,0.628,0.665,0.252,0.495,0.617,0.543,0.622,0.538,0.819,0.81,0.609,0.836
Terrell Brandon,0.609,0.59,0.94,0.951,0.853,0.625,0.694,0.549,0.653,0.441,0.449,0.514,0.43,0.15,0.371,0.324,0.524,0.651,0.114,0.553,0.553,0.625,0.719,0.733,0.794,1.0
Tyrone Corbin,0.812,0.273,0.843,0.793,0.686,0.275,0.317,0.207,0.246,0.323,0.344,0.165,0.157,0.237,0.32,0.316,0.133,0.425,0.027,0.264,0.55,0.274,0.693,0.736,0.757,0.882
Clarence Weatherspoon,0.319,0.273,0.988,1.0,0.877,0.433,0.429,0.459,0.505,0.004,0.01,0.395,0.404,0.684,0.674,0.731,0.15,0.349,0.326,0.425,0.584,0.413,0.806,0.794,0.355,0.818
Gary Payton,0.826,0.705,0.988,1.0,0.956,0.767,0.783,0.679,0.691,0.52,0.629,0.488,0.514,0.331,0.399,0.407,0.624,0.929,0.049,0.668,0.65,0.734,0.782,0.858,0.666,0.793
Detlef Schrempf,0.826,0.437,0.735,0.732,0.652,0.387,0.383,0.346,0.353,0.249,0.267,0.486,0.458,0.272,0.45,0.424,0.284,0.297,0.061,0.466,0.472,0.42,0.808,0.855,0.753,0.888
Terry Mills,0.784,0.339,0.952,0.061,0.594,0.339,0.371,0.159,0.18,0.764,0.687,0.111,0.101,0.212,0.453,0.406,0.106,0.165,0.102,0.264,0.503,0.353,0.729,0.768,0.898,0.919
Bo Outlaw,0.522,0.333,0.988,0.305,0.653,0.276,0.22,0.294,0.256,0.0,0.013,0.225,0.336,0.544,0.411,0.489,0.168,0.443,0.538,0.332,0.709,0.257,1.0,1.0,0.0,0.559
Muggsy Bogues,0.784,0.273,0.783,0.793,0.559,0.222,0.234,0.167,0.187,0.262,0.238,0.104,0.093,0.078,0.17,0.152,0.502,0.387,0.008,0.335,0.356,0.215,0.755,0.776,0.887,0.936
Sherman Douglas,0.478,0.251,0.952,0.963,0.689,0.333,0.322,0.31,0.311,0.166,0.189,0.219,0.248,0.178,0.199,0.208,0.457,0.368,0.038,0.475,0.597,0.314,0.824,0.87,0.709,0.739
Dale Davis,0.566,0.366,0.964,0.927,0.77,0.402,0.364,0.428,0.431,0.0,0.0,0.177,0.312,0.941,0.691,0.831,0.063,0.283,0.292,0.335,0.728,0.342,0.883,0.866,,0.475
Hersey Hawkins,0.826,0.596,0.988,1.0,0.819,0.401,0.42,0.262,0.276,0.624,0.588,0.495,0.428,0.287,0.334,0.344,0.267,0.75,0.045,0.404,0.456,0.469,0.762,0.828,0.857,0.97
Arvydas Sabonis,0.711,0.41,0.831,0.829,0.524,0.357,0.348,0.323,0.33,0.214,0.219,0.428,0.416,0.356,0.635,0.589,0.156,0.297,0.318,0.469,0.634,0.382,0.818,0.853,0.789,0.861
Gheorghe Muresan,0.639,0.29,0.88,0.841,0.55,0.355,0.286,0.378,0.339,0.0,0.0,0.236,0.288,0.441,0.499,0.518,0.031,0.203,0.364,0.363,0.719,0.32,0.992,0.973,,0.685
Mitch Richmond,0.493,0.59,0.976,0.988,0.93,0.779,0.834,0.594,0.69,0.891,0.79,0.877,0.77,0.184,0.381,0.343,0.361,0.557,0.091,0.736,0.659,0.862,0.745,0.75,0.911,0.955
Sam Perkins,0.826,0.388,0.976,0.049,0.588,0.315,0.349,0.194,0.221,0.533,0.512,0.359,0.332,0.231,0.331,0.323,0.11,0.325,0.186,0.239,0.419,0.366,0.721,0.768,0.84,0.906
Charles Oakley,0.826,0.486,0.964,0.976,0.855,0.368,0.367,0.387,0.423,0.022,0.031,0.347,0.325,0.769,0.784,0.841,0.236,0.524,0.08,0.531,0.953,0.355,0.801,0.797,0.56,0.896
Rod Strickland,0.639,0.481,0.988,0.988,0.891,0.56,0.584,0.581,0.645,0.057,0.127,0.704,0.72,0.297,0.352,0.361,0.778,0.675,0.053,0.839,0.519,0.58,0.765,0.786,0.36,0.818
Reggie Miller,0.566,0.672,0.976,0.988,0.882,0.6,0.658,0.374,0.444,1.0,0.887,0.802,0.688,0.166,0.342,0.308,0.292,0.354,0.095,0.516,0.537,0.72,0.729,0.734,0.909,0.976
Kevin Johnson,0.58,0.639,0.843,0.854,0.791,0.479,0.47,0.407,0.431,0.389,0.334,0.843,0.746,0.169,0.292,0.272,0.698,0.481,0.045,0.674,0.441,0.58,0.814,0.824,0.938,0.945
Jeff Hornacek,0.927,0.557,0.988,1.0,0.771,0.449,0.452,0.395,0.414,0.314,0.323,0.562,0.472,0.188,0.265,0.259,0.386,0.585,0.098,0.416,0.588,0.49,0.791,0.831,0.785,0.997
Clifford Robinson,0.711,0.361,0.976,0.963,0.915,0.483,0.551,0.374,0.434,0.528,0.579,0.413,0.448,0.281,0.339,0.346,0.279,0.467,0.25,0.534,0.784,0.503,0.7,0.75,0.736,0.772
Greg Ostertag,0.927,0.322,0.928,0.854,0.541,0.228,0.216,0.243,0.253,0.0,0.007,0.267,0.297,0.562,0.565,0.608,0.029,0.113,0.576,0.23,0.728,0.23,0.846,0.837,0.0,0.752
Rick Fox,0.218,0.284,0.916,0.915,0.788,0.471,0.502,0.384,0.421,0.441,0.46,0.397,0.381,0.356,0.411,0.424,0.306,0.788,0.152,0.553,0.872,0.483,0.749,0.795,0.772,0.873
Charles Barkley,0.826,0.514,0.639,0.646,0.598,0.364,0.366,0.321,0.305,0.253,0.339,0.553,0.601,0.662,0.739,0.771,0.265,0.325,0.095,0.469,0.478,0.418,0.795,0.916,0.602,0.769
