Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Ron Shavlik,0.714,0.0,0.014,,0.001,0.0,0.001,0.0,0.001,,,0.0,0.0,,,0.001,0.0,,,,0.0,0.0,0.0,0.0,,
Bo Erias,0.388,-0.007,0.25,,0.137,0.087,0.105,0.087,0.105,,,0.046,0.058,,,0.053,0.056,,,,0.167,0.074,0.768,0.768,,0.706
Tom Heinsohn,1.0,0.438,0.958,,0.756,0.689,0.755,0.689,0.755,,,0.449,0.488,,,0.451,0.27,,,,0.881,0.615,0.845,0.845,,0.825
Tom Marshall,,0.015,0.528,,0.178,0.077,0.102,0.077,0.102,,,0.073,0.078,,,0.065,0.041,,,,0.138,0.076,0.692,0.692,,0.843
Dick Schnittker,0.388,0.19,0.694,,0.336,0.189,0.22,0.189,0.22,,,0.307,0.293,,,0.135,0.153,,,,0.405,0.228,0.794,0.794,,0.938
Vern Mikkelsen,0.388,0.474,1.0,,0.819,0.647,0.659,0.647,0.659,,,0.565,0.583,,,0.515,0.359,,,,0.961,0.624,0.907,0.907,,0.869
Med Park,0.836,0.117,0.986,,0.378,0.196,0.224,0.196,0.224,,,0.18,0.2,,,0.118,0.164,,,,0.341,0.192,0.81,0.81,,0.805
Win Wilfong,0.836,0.153,0.986,,0.466,0.289,0.334,0.289,0.334,,,0.249,0.295,,,0.185,0.352,,,,0.64,0.277,0.799,0.799,,0.758
Al Bianchi,0.836,0.058,0.958,,0.487,0.317,0.385,0.317,0.385,,,0.214,0.254,,,0.141,0.246,,,,0.605,0.285,0.761,0.761,,0.756
Bob Harrison,0.836,0.066,1.0,,0.617,0.309,0.372,0.309,0.372,,,0.148,0.151,,,0.106,0.365,,,,0.643,0.258,0.77,0.77,,0.879
Doug Bolstorff,0.673,0.0,0.042,,0.007,0.003,0.003,0.003,0.003,,,0.0,0.0,,,0.0,0.0,,,,0.003,0.002,0.885,0.885,,
Brendan McCann,0.714,-0.029,0.5,,0.101,0.032,0.062,0.032,0.062,,,0.038,0.046,,,0.029,0.117,,,,0.109,0.034,0.487,0.487,,0.748
Ray Radziszewski,0.755,-0.007,0.014,,0.002,0.0,0.002,0.0,0.002,,,0.0,0.0,,,0.001,0.002,,,,0.003,0.0,0.0,0.0,,
Jim Paxson,0.673,0.204,0.931,,0.615,0.331,0.393,0.331,0.393,,,0.319,0.353,,,0.224,0.3,,,,0.588,0.329,0.779,0.779,,0.811
Larry Friend,0.714,-0.029,0.611,,0.195,0.109,0.139,0.109,0.139,,,0.041,0.051,,,0.068,0.102,,,,0.174,0.087,0.723,0.723,,0.729
Larry Foust,0.388,0.467,1.0,,0.754,0.576,0.605,0.576,0.605,,,0.653,0.7,,,0.56,0.233,,,,0.961,0.605,0.881,0.881,,0.836
Jack George,0.755,0.248,1.0,,0.655,0.342,0.386,0.342,0.386,,,0.272,0.3,,,0.184,0.505,,,,0.45,0.321,0.819,0.819,,0.814
Togo Palazzi,0.836,0.146,0.931,,0.343,0.336,0.357,0.336,0.357,,,0.188,0.212,,,0.155,0.091,,,,0.402,0.289,0.872,0.872,,0.795
Bob Pettit,0.836,0.803,0.972,,0.866,0.856,0.873,0.856,0.873,,,0.85,0.921,,,0.777,0.339,,,,0.714,0.859,0.907,0.907,,0.829
Dick Duckett,0.673,0.015,0.472,,0.145,0.08,0.097,0.08,0.097,,,0.037,0.033,,,0.036,0.102,,,,0.193,0.066,0.757,0.757,,0.983
Andy Phillip,1.0,0.109,0.972,,0.399,0.143,0.168,0.143,0.168,,,0.064,0.088,,,0.101,0.261,,,,0.389,0.118,0.785,0.785,,0.655
Willie Naulls,0.714,0.336,0.944,,0.812,0.695,0.732,0.695,0.732,,,0.434,0.426,,,0.511,0.21,,,,0.707,0.614,0.878,0.878,,0.914
Jerry Paulson,0.673,0.0,0.083,,0.023,0.012,0.014,0.012,0.014,,,0.006,0.007,,,0.006,0.009,,,,0.016,0.01,0.77,0.77,,0.738
Chuck Noble,0.673,-0.066,0.847,,0.467,0.293,0.37,0.293,0.37,,,0.085,0.095,,,0.09,0.33,,,,0.534,0.227,0.732,0.732,,0.804
Clyde Lovellette,0.673,0.737,0.986,,0.887,1.0,0.948,1.0,0.948,,,0.46,0.501,,,0.551,0.289,,,,0.759,0.829,0.976,0.976,,0.822
Jim Krebs,0.388,0.095,0.944,,0.431,0.293,0.325,0.293,0.325,,,0.206,0.218,,,0.321,0.058,,,,0.585,0.266,0.836,0.836,,0.848
Bob Houbregs,0.673,0.015,0.236,,0.103,0.072,0.084,0.072,0.084,,,0.046,0.053,,,0.042,0.041,,,,0.116,0.064,0.792,0.792,,0.772
Jack Nichols,1.0,0.073,0.958,,0.419,0.25,0.298,0.25,0.298,,,0.09,0.099,,,0.193,0.136,,,,0.395,0.199,0.777,0.777,,0.816
George Brown,0.388,0.0,0.014,,0.002,0.0,0.001,0.0,0.001,,,0.002,0.002,,,0.001,0.0,,,,0.003,0.0,0.0,0.0,,0.553
Neil Johnston,0.755,0.825,0.986,,0.825,0.697,0.679,0.697,0.679,,,0.675,0.668,,,0.505,0.359,,,,0.749,0.694,0.949,0.949,,0.906
Cliff Hagan,0.836,0.73,0.972,,0.751,0.741,0.699,0.741,0.699,,,0.588,0.62,,,0.452,0.378,,,,0.859,0.695,0.98,0.98,,0.85
Dick McGuire,0.673,0.292,0.958,,0.792,0.299,0.335,0.299,0.335,,,0.229,0.278,,,0.186,0.981,,,,0.572,0.278,0.825,0.825,,0.738
Kenny Sears,0.714,0.73,1.0,,0.92,0.655,0.624,0.655,0.624,,,0.69,0.681,,,0.502,0.272,,,,0.807,0.671,0.971,0.971,,0.909
