Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Whitey Skoog,0.733,0.209,0.96,,0.814,0.526,0.567,0.526,0.567,,,0.278,0.255,,,0.25,0.397,,,,0.727,0.452,0.716,0.716,,0.803
Dick Schnittker,0.733,0.381,0.96,,0.68,0.393,0.429,0.393,0.429,,,0.546,0.469,,,0.254,0.221,,,,0.793,0.439,0.707,0.707,,0.856
Vern Mikkelsen,0.733,0.388,0.96,,0.739,0.491,0.545,0.491,0.545,,,0.589,0.539,,,0.522,0.269,,,,1.0,0.52,0.694,0.694,,0.804
Med Park,0.733,0.029,0.533,,0.149,0.082,0.101,0.082,0.101,,,0.079,0.092,,,0.081,0.062,,,,0.201,0.081,0.628,0.628,,0.629
Earl Lloyd,0.778,0.173,0.96,,0.647,0.33,0.422,0.33,0.422,,,0.334,0.318,,,0.423,0.181,,,,0.837,0.331,0.603,0.603,,0.772
Bob Harrison,0.733,0.065,0.96,,0.781,0.402,0.481,0.402,0.481,,,0.174,0.193,,,0.168,0.431,,,,0.771,0.334,0.646,0.646,,0.664
Johnny Horan,,-0.007,0.253,,0.033,0.019,0.028,0.019,0.028,,,0.018,0.015,,,0.009,0.003,,,,0.066,0.018,0.514,0.514,,0.909
Larry Foust,0.822,0.799,0.96,,0.713,0.568,0.545,0.568,0.545,,,0.776,0.733,,,0.557,0.198,,,,0.824,0.631,0.804,0.804,,0.778
Jack George,1.0,0.331,0.96,,1.0,0.545,0.624,0.545,0.624,,,0.531,0.517,,,0.269,0.712,,,,0.633,0.541,0.673,0.673,,0.757
Jesse Arnelle,0.822,0.0,0.413,,0.144,0.08,0.109,0.08,0.109,,,0.077,0.091,,,0.146,0.028,,,,0.188,0.08,0.57,0.57,,0.623
George Mikan,0.733,0.115,0.493,,0.269,0.229,0.249,0.229,0.249,,,0.169,0.161,,,0.265,0.083,,,,0.48,0.211,0.71,0.71,,0.77
Gene Shue,0.778,0.173,0.96,,0.616,0.372,0.415,0.372,0.415,,,0.325,0.313,,,0.182,0.279,,,,0.348,0.357,0.691,0.691,,0.764
Bob Pettit,0.733,0.993,0.96,,0.984,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,0.294,,,,0.633,1.0,0.772,0.772,,0.736
Andy Phillip,0.822,0.209,0.933,,0.732,0.229,0.269,0.229,0.269,,,0.201,0.263,,,0.221,0.639,,,,0.486,0.221,0.656,0.656,,0.563
Neil Johnston,1.0,1.0,0.933,,0.913,0.772,0.725,0.772,0.725,,,0.986,0.905,,,0.749,0.35,,,,0.787,0.837,0.822,0.822,,0.801
Jim Holstein,,,0.36,,0.124,0.037,0.059,0.037,0.059,,,0.043,0.049,,,0.065,0.059,,,,0.16,0.039,0.486,0.486,,0.649
Chuck Noble,0.822,0.079,0.96,,0.709,0.418,0.509,0.418,0.509,,,0.262,0.258,,,0.224,0.439,,,,0.793,0.371,0.633,0.633,,0.749
Clyde Lovellette,0.733,0.583,0.947,,0.887,0.92,0.909,0.92,0.909,,,0.607,0.62,,,0.852,0.255,,,,0.768,0.825,0.781,0.781,,0.721
Bob Houbregs,0.822,0.496,0.933,,0.54,0.382,0.382,0.382,0.382,,,0.508,0.506,,,0.356,0.248,,,,0.461,0.42,0.773,0.773,,0.739
Jack Nichols,0.867,0.317,0.8,,0.692,0.511,0.53,0.511,0.53,,,0.359,0.334,,,0.537,0.249,,,,0.715,0.465,0.743,0.743,,0.791
Dick Hemric,0.867,0.194,0.947,,0.468,0.249,0.265,0.249,0.265,,,0.318,0.361,,,0.343,0.093,,,,0.445,0.27,0.725,0.725,,0.648
Bobby Wanzer,0.69,0.345,0.96,,0.697,0.379,0.432,0.379,0.432,,,0.465,0.476,,,0.234,0.35,,,,0.473,0.405,0.676,0.676,,0.719
Jim Loscutoff,0.867,0.065,0.947,,0.557,0.35,0.417,0.35,0.417,,,0.25,0.273,,,0.534,0.101,,,,0.668,0.32,0.647,0.647,,0.671
Dick McGuire,0.778,0.094,0.827,,0.593,0.235,0.291,0.235,0.291,,,0.217,0.255,,,0.189,0.564,,,,0.458,0.23,0.624,0.624,,0.627
Kenny Sears,0.778,0.446,0.933,,0.729,0.494,0.483,0.494,0.483,,,0.463,0.428,,,0.529,0.178,,,,0.63,0.485,0.788,0.788,,0.796
Ernie Barrett,0.867,0.108,0.96,,0.511,0.32,0.354,0.32,0.354,,,0.167,0.156,,,0.209,0.271,,,,0.577,0.274,0.698,0.698,,0.788
Alex Hannum,0.733,0.029,0.947,,0.521,0.226,0.301,0.226,0.301,,,0.167,0.203,,,0.296,0.245,,,,0.85,0.208,0.579,0.579,,0.604
Jim Baechtold,0.778,0.23,0.933,,0.612,0.415,0.461,0.415,0.461,,,0.418,0.384,,,0.189,0.254,,,,0.489,0.416,0.694,0.694,,0.801
Ed Kalafat,0.733,0.151,0.96,,0.577,0.3,0.358,0.3,0.358,,,0.334,0.333,,,0.378,0.202,,,,0.74,0.31,0.646,0.646,,0.738
Walt Davis,1.0,0.058,0.933,,0.386,0.19,0.221,0.19,0.221,,,0.138,0.148,,,0.237,0.087,,,,0.721,0.175,0.664,0.664,,0.688
Dick Garmaker,0.733,0.094,0.907,,0.306,0.214,0.248,0.214,0.248,,,0.201,0.184,,,0.113,0.162,,,,0.398,0.21,0.665,0.665,,0.806
Monk Meineke,0.69,0.266,0.92,,0.439,0.238,0.275,0.238,0.275,,,0.325,0.306,,,0.271,0.159,,,,0.599,0.264,0.669,0.669,,0.78
Frank Selvy,0.733,0.043,0.227,,0.156,0.104,0.121,0.104,0.121,,,0.095,0.094,,,0.046,0.055,,,,0.119,0.101,0.658,0.658,,0.746
Chris Harris,,-0.058,0.547,,0.148,0.057,0.099,0.057,0.099,,,0.048,0.059,,,0.038,0.069,,,,0.135,0.055,0.446,0.446,,0.6
Ed Conlin,0.778,0.144,0.88,,0.501,0.327,0.381,0.327,0.381,,,0.217,0.235,,,0.28,0.226,,,,0.379,0.294,0.662,0.662,,0.68
George King,0.778,0.273,0.96,,0.825,0.44,0.506,0.44,0.506,,,0.316,0.363,,,0.215,0.639,,,,0.47,0.402,0.669,0.669,,0.64
Chuck Cooper,,0.079,0.893,,0.403,0.156,0.204,0.156,0.204,,,0.18,0.176,,,0.205,0.139,,,,0.439,0.163,0.59,0.59,,0.752
Max Zaslofsky,0.822,0.022,0.12,,0.064,0.045,0.054,0.045,0.054,,,0.054,0.046,,,0.014,0.025,,,,0.056,0.048,0.644,0.644,,0.857
Ray Felix,0.778,0.396,0.96,,0.599,0.429,0.443,0.429,0.443,,,0.594,0.62,,,0.535,0.073,,,,0.918,0.479,0.746,0.746,,0.706
Red Rocha,0.778,0.259,0.96,,0.663,0.387,0.459,0.387,0.459,,,0.395,0.371,,,0.357,0.204,,,,0.765,0.389,0.649,0.649,,0.783
Ed Macauley,0.867,0.561,0.947,,0.829,0.65,0.66,0.65,0.66,,,0.718,0.666,,,0.363,0.329,,,,0.495,0.671,0.759,0.759,,0.794
Walter Dukes,0.778,0.201,0.8,,0.454,0.231,0.246,0.231,0.246,,,0.3,0.312,,,0.381,0.061,,,,0.661,0.251,0.725,0.725,,0.708
Jack Twyman,0.69,0.424,0.96,,0.77,0.646,0.655,0.646,0.655,,,0.366,0.394,,,0.4,0.266,,,,0.749,0.561,0.759,0.759,,0.685
Red Morrison,0.867,0.036,0.947,,0.32,0.138,0.159,0.138,0.159,,,0.079,0.118,,,0.296,0.083,,,,0.498,0.12,0.667,0.667,,0.494
Jack Stephens,0.733,0.345,0.96,,0.781,0.384,0.427,0.384,0.427,,,0.443,0.472,,,0.324,0.322,,,,0.451,0.402,0.694,0.694,,0.692
Nat Clifton,0.778,0.151,0.853,,0.541,0.33,0.359,0.33,0.359,,,0.242,0.252,,,0.332,0.235,,,,0.592,0.303,0.709,0.709,,0.707
George Yardley,0.822,0.54,0.947,,0.829,0.672,0.708,0.672,0.708,,,0.655,0.65,,,0.589,0.248,,,,0.665,0.667,0.732,0.732,,0.742
Bob Santini,0.778,0.007,0.053,,0.008,0.008,0.007,0.008,0.007,,,0.002,0.003,,,0.003,0.002,,,,0.013,0.006,0.899,0.899,,0.5
Jackie Moore,1.0,0.036,0.72,,0.142,0.077,0.086,0.077,0.086,,,0.057,0.07,,,0.101,0.04,,,,0.251,0.071,0.698,0.698,,0.604
Connie Simmons,0.69,0.007,0.907,,0.318,0.223,0.284,0.223,0.284,,,0.14,0.17,,,0.202,0.128,,,,0.445,0.198,0.604,0.604,,0.605
Dick Farley,0.778,0.18,0.96,,0.503,0.26,0.299,0.26,0.299,,,0.257,0.273,,,0.142,0.235,,,,0.483,0.259,0.671,0.671,,0.691
Chuck Share,0.733,0.619,0.96,,0.695,0.488,0.486,0.488,0.486,,,0.621,0.658,,,0.665,0.204,,,,0.997,0.528,0.773,0.773,,0.695
Bob Cousy,0.867,0.489,0.96,,0.974,0.681,0.812,0.681,0.812,,,0.855,0.745,,,0.423,1.0,,,,0.646,0.733,0.647,0.647,,0.844
Billy Kenville,0.778,0.281,0.96,,0.45,0.263,0.297,0.263,0.297,,,0.35,0.339,,,0.185,0.248,,,,0.414,0.289,0.682,0.682,,0.759
