Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Tom Heinsohn,1.0,0.439,0.917,,0.701,0.647,0.705,0.647,0.705,,,0.468,0.445,,,0.396,0.294,,,,0.816,0.59,0.39,0.39,,0.798
Hal Greer,0.673,0.304,0.944,,0.545,0.428,0.402,0.428,0.402,,,0.205,0.2,,,0.122,0.181,,,,0.569,0.358,0.454,0.454,,0.778
Tom Marshall,0.366,-0.02,0.25,,0.091,0.032,0.047,0.032,0.047,,,0.027,0.033,,,0.032,0.048,,,,0.066,0.03,0.291,0.291,,0.621
Vern Mikkelsen,0.634,0.304,1.0,,0.718,0.491,0.535,0.491,0.535,,,0.429,0.404,,,0.354,0.285,,,,0.741,0.471,0.39,0.39,,0.806
Med Park,,0.128,0.861,,0.378,0.202,0.213,0.202,0.213,,,0.172,0.171,,,0.117,0.194,,,,0.28,0.192,0.402,0.402,,0.767
Win Wilfong,0.943,0.014,0.875,,0.249,0.138,0.169,0.138,0.169,,,0.093,0.093,,,0.075,0.09,,,,0.307,0.124,0.347,0.347,,0.756
Al Bianchi,0.673,0.122,1.0,,0.597,0.396,0.447,0.396,0.447,,,0.223,0.234,,,0.123,0.285,,,,0.783,0.342,0.377,0.377,,0.723
Brendan McCann,0.77,-0.007,0.014,,0.002,0.0,0.002,0.0,0.002,,,0.0,0.0,,,0.001,0.002,,,,0.003,0.0,0.0,0.0,,
Connie Dierking,0.673,0.047,0.889,,0.244,0.146,0.171,0.146,0.171,,,0.124,0.159,,,0.145,0.061,,,,0.446,0.139,0.362,0.362,,0.593
Bennie Swain,1.0,0.128,0.806,,0.238,0.138,0.144,0.138,0.144,,,0.1,0.125,,,0.163,0.052,,,,0.383,0.126,0.406,0.406,,0.609
Boo Ellis,0.634,0.169,1.0,,0.403,0.227,0.224,0.227,0.224,,,0.153,0.164,,,0.236,0.106,,,,0.413,0.203,0.43,0.43,,0.708
Gene Shue,0.539,0.378,1.0,,0.921,0.645,0.708,0.645,0.708,,,0.507,0.479,,,0.208,0.415,,,,0.389,0.601,0.388,0.388,,0.803
Si Green,,0.027,0.639,,0.372,0.203,0.245,0.203,0.245,,,0.156,0.182,,,0.156,0.203,,,,0.383,0.188,0.352,0.352,,0.65
Bob Pettit,0.943,1.0,1.0,,0.964,1.0,0.97,1.0,0.97,,,1.0,1.0,,,0.733,0.397,,,,0.602,1.0,0.438,0.438,,0.759
Jerry Bird,0.77,0.0,0.153,,0.015,0.017,0.019,0.017,0.019,,,0.001,0.001,,,0.007,0.007,,,,0.021,0.012,0.375,0.375,,1.0
Willie Naulls,0.77,0.176,0.944,,0.692,0.563,0.634,0.563,0.634,,,0.387,0.354,,,0.449,0.183,,,,0.702,0.507,0.378,0.378,,0.83
Bucky Bockhorn,0.366,0.074,0.986,,0.756,0.409,0.456,0.409,0.456,,,0.207,0.223,,,0.285,0.37,,,,0.648,0.345,0.381,0.381,,0.704
Clyde Lovellette,0.943,0.439,0.972,,0.537,0.559,0.523,0.559,0.523,,,0.307,0.284,,,0.375,0.163,,,,0.651,0.479,0.454,0.454,,0.82
Jim Krebs,0.634,0.101,1.0,,0.53,0.377,0.402,0.377,0.402,,,0.138,0.14,,,0.305,0.09,,,,0.639,0.301,0.399,0.399,,0.748
Woody Sauldsberry,0.615,-0.041,1.0,,0.921,0.697,0.816,0.697,0.816,,,0.165,0.2,,,0.512,0.127,,,,0.831,0.528,0.363,0.363,,0.625
Cliff Hagan,0.943,0.791,1.0,,0.907,0.898,0.838,0.898,0.838,,,0.622,0.61,,,0.486,0.44,,,,0.828,0.811,0.456,0.456,,0.774
Dick McGuire,0.539,0.466,0.986,,0.693,0.323,0.321,0.323,0.321,,,0.286,0.294,,,0.177,0.795,,,,0.443,0.311,0.427,0.427,,0.74
