Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jud Buechler,0.784,0.302,1.0,0.0,0.513,0.196,0.227,0.076,0.104,0.545,0.476,0.034,0.036,0.138,0.249,0.218,0.106,0.296,0.072,0.113,0.392,0.213,0.721,0.734,0.824,0.789
Jerome Williams,0.784,0.5,1.0,0.2,0.56,0.243,0.235,0.243,0.28,0.0,0.0,0.283,0.319,0.752,0.457,0.572,0.043,0.504,0.039,0.22,0.509,0.275,0.865,0.865,,0.736
Andrew DeClercq,,0.323,0.94,0.64,0.535,0.271,0.261,0.271,0.312,0.0,0.0,0.251,0.283,0.495,0.361,0.418,0.058,0.4,0.161,0.29,0.759,0.288,0.865,0.865,,0.737
Charles Barkley,0.838,0.708,0.84,0.8,0.741,0.471,0.475,0.463,0.538,0.036,0.08,0.508,0.536,0.795,0.835,0.846,0.356,0.344,0.072,0.538,0.42,0.524,0.827,0.856,0.32,0.786
David Wesley,0.703,0.5,1.0,1.0,0.897,0.476,0.516,0.357,0.423,0.545,0.547,0.421,0.384,0.11,0.33,0.264,0.597,0.8,0.056,0.763,0.613,0.548,0.772,0.839,0.718,0.909
Hakeem Olajuwon,0.838,0.677,1.0,1.0,0.866,0.731,0.687,0.724,0.804,0.036,0.042,0.516,0.546,0.505,0.89,0.784,0.163,0.656,0.683,0.747,0.755,0.733,0.889,0.896,0.616,0.784
Horace Grant,0.892,0.427,1.0,1.0,0.806,0.388,0.432,0.388,0.512,0.0,0.006,0.124,0.141,0.557,0.56,0.575,0.167,0.368,0.333,0.237,0.467,0.344,0.751,0.754,0.0,0.733
Antonio McDyess,0.378,0.438,1.0,1.0,0.94,0.814,0.835,0.812,0.985,0.009,0.029,0.608,0.679,0.8,0.883,0.88,0.152,0.584,0.639,0.742,0.825,0.823,0.815,0.82,0.222,0.743
Keith Van Horn,0.432,0.385,0.84,0.84,0.765,0.631,0.712,0.6,0.789,0.143,0.17,0.677,0.598,0.543,0.584,0.587,0.121,0.344,0.294,0.715,0.632,0.711,0.74,0.758,0.604,0.939
Ervin Johnson,0.757,0.312,1.0,0.14,0.499,0.188,0.179,0.188,0.213,0.0,0.0,0.169,0.211,0.571,0.478,0.525,0.035,0.232,0.317,0.253,0.712,0.199,0.879,0.879,,0.667
Bobby Phills,0.703,0.312,0.86,0.86,0.764,0.422,0.471,0.288,0.367,0.607,0.553,0.304,0.337,0.186,0.323,0.285,0.276,0.48,0.139,0.495,0.585,0.476,0.749,0.782,0.79,0.749
Stephon Marbury,,0.552,0.98,0.98,0.92,0.741,0.836,0.612,0.774,0.589,0.633,0.587,0.558,0.176,0.251,0.233,0.811,0.472,0.044,0.882,0.59,0.81,0.74,0.787,0.67,0.873
Vince Carter,0.622,0.521,1.0,0.98,0.854,0.676,0.725,0.639,0.79,0.17,0.212,0.54,0.538,0.448,0.452,0.464,0.276,0.44,0.428,0.591,0.66,0.708,0.779,0.806,0.576,0.832
Otis Thorpe,0.486,0.385,0.98,0.76,0.747,0.471,0.417,0.471,0.494,0.0,0.006,0.196,0.213,0.457,0.569,0.548,0.187,0.336,0.106,0.473,0.925,0.43,0.943,0.948,0.0,0.763
Grant Hill,0.784,0.76,1.0,1.0,0.899,0.753,0.759,0.753,0.889,0.0,0.045,0.754,0.761,0.31,0.694,0.582,0.557,0.64,0.15,0.989,0.538,0.817,0.829,0.843,0.0,0.822
Karl Malone,1.0,1.0,0.98,0.98,0.889,0.771,0.755,0.771,0.898,0.0,0.003,1.0,0.964,0.51,0.852,0.759,0.373,0.496,0.156,0.871,0.632,0.903,0.853,0.855,0.0,0.861
Vlade Divac,0.73,0.542,1.0,1.0,0.855,0.514,0.527,0.492,0.58,0.098,0.138,0.474,0.512,0.667,0.864,0.821,0.399,0.352,0.283,0.704,0.783,0.554,0.813,0.844,0.512,0.767
P.J. Brown,0.892,0.531,1.0,1.0,0.782,0.449,0.452,0.449,0.538,0.0,0.0,0.299,0.293,0.548,0.553,0.567,0.122,0.368,0.267,0.371,0.783,0.443,0.83,0.83,,0.846
Ray Allen,0.757,0.542,1.0,1.0,0.834,0.594,0.637,0.449,0.525,0.661,0.669,0.466,0.392,0.271,0.371,0.348,0.33,0.424,0.039,0.656,0.552,0.664,0.779,0.851,0.712,0.987
Walt Williams,0.946,0.385,0.96,0.32,0.507,0.288,0.329,0.165,0.229,0.562,0.463,0.235,0.215,0.171,0.256,0.234,0.148,0.296,0.156,0.339,0.476,0.346,0.734,0.716,0.876,0.909
Jason Kidd,0.73,0.844,1.0,1.0,1.0,0.608,0.661,0.52,0.649,0.402,0.395,0.479,0.48,0.414,0.603,0.556,1.0,0.912,0.106,0.806,0.509,0.656,0.768,0.798,0.732,0.827
Tim Hardaway,0.892,0.563,0.96,0.96,0.86,0.59,0.712,0.371,0.498,1.0,1.0,0.32,0.299,0.071,0.328,0.249,0.653,0.456,0.033,0.704,0.481,0.648,0.692,0.742,0.72,0.887
David Robinson,1.0,0.875,0.98,0.98,0.754,0.525,0.499,0.525,0.594,0.0,0.003,0.632,0.729,0.705,0.823,0.807,0.191,0.552,0.661,0.581,0.675,0.601,0.881,0.882,0.0,0.719
Tim Duncan,1.0,0.906,1.0,1.0,0.953,0.82,0.8,0.818,0.946,0.009,0.023,0.653,0.719,0.757,0.986,0.936,0.224,0.36,0.7,0.785,0.693,0.841,0.856,0.862,0.286,0.754
Elden Campbell,,0.448,0.98,0.66,0.708,0.435,0.44,0.435,0.524,0.0,0.003,0.455,0.54,0.6,0.648,0.651,0.128,0.312,0.406,0.43,0.75,0.478,0.825,0.827,0.0,0.698
Terry Porter,0.892,0.521,1.0,0.02,0.663,0.337,0.35,0.224,0.258,0.518,0.453,0.325,0.297,0.062,0.304,0.23,0.271,0.384,0.061,0.398,0.458,0.407,0.804,0.862,0.822,0.908
John Starks,0.568,0.312,1.0,1.0,0.818,0.527,0.689,0.375,0.518,0.696,0.865,0.196,0.201,0.157,0.311,0.267,0.436,0.552,0.028,0.446,0.637,0.535,0.64,0.72,0.58,0.809
Kevin Garnett,0.676,0.563,0.94,0.94,0.864,0.812,0.852,0.804,1.0,0.036,0.045,0.384,0.414,0.79,0.773,0.802,0.375,0.624,0.461,0.726,0.717,0.758,0.796,0.801,0.572,0.769
Terrell Brandon,,0.333,0.72,0.68,0.591,0.416,0.48,0.392,0.519,0.107,0.151,0.172,0.157,0.129,0.256,0.22,0.573,0.504,0.056,0.398,0.387,0.389,0.723,0.753,0.51,0.91
Clarence Weatherspoon,0.892,0.417,0.98,0.06,0.505,0.276,0.25,0.276,0.298,0.0,0.0,0.304,0.287,0.343,0.409,0.398,0.063,0.224,0.094,0.328,0.505,0.308,0.924,0.924,,0.879
Gary Payton,0.676,0.75,1.0,1.0,0.975,0.786,0.874,0.624,0.725,0.741,0.904,0.526,0.554,0.295,0.435,0.4,0.809,0.872,0.067,0.828,0.542,0.841,0.751,0.856,0.59,0.788
Joe Smith,0.676,0.385,0.86,0.84,0.688,0.437,0.494,0.437,0.586,0.0,0.01,0.376,0.378,0.733,0.478,0.58,0.126,0.256,0.367,0.355,0.693,0.456,0.739,0.744,0.0,0.825
Detlef Schrempf,0.676,0.604,1.0,0.78,0.857,0.508,0.52,0.441,0.523,0.304,0.277,0.529,0.488,0.367,0.701,0.607,0.341,0.328,0.144,0.554,0.717,0.583,0.817,0.841,0.79,0.899
Sean Elliott,1.0,0.365,1.0,1.0,0.733,0.408,0.48,0.331,0.438,0.348,0.383,0.28,0.281,0.167,0.426,0.349,0.217,0.208,0.094,0.382,0.491,0.435,0.709,0.754,0.656,0.827
Donyell Marshall,0.568,0.312,0.96,0.4,0.607,0.408,0.468,0.357,0.476,0.232,0.232,0.233,0.243,0.548,0.543,0.561,0.122,0.376,0.206,0.43,0.58,0.411,0.728,0.746,0.722,0.795
Anfernee Hardaway,0.892,0.521,1.0,1.0,0.944,0.59,0.679,0.512,0.651,0.357,0.45,0.394,0.424,0.352,0.502,0.466,0.494,0.888,0.128,0.806,0.524,0.614,0.727,0.782,0.572,0.772
Dan Majerle,0.892,0.365,0.96,0.96,0.788,0.231,0.282,0.098,0.107,0.607,0.653,0.087,0.092,0.1,0.447,0.341,0.278,0.304,0.039,0.296,0.472,0.261,0.685,0.91,0.67,0.784
Dale Davis,0.892,0.469,1.0,1.0,0.667,0.316,0.286,0.316,0.341,0.0,0.0,0.201,0.247,0.738,0.624,0.682,0.041,0.16,0.317,0.231,0.542,0.309,0.922,0.922,,0.675
Hersey Hawkins,0.676,0.365,1.0,0.68,0.798,0.335,0.386,0.227,0.257,0.491,0.579,0.315,0.265,0.243,0.359,0.33,0.228,0.64,0.1,0.43,0.425,0.4,0.725,0.881,0.612,0.986
Arvydas Sabonis,0.946,0.604,1.0,0.96,0.655,0.455,0.453,0.441,0.512,0.062,0.077,0.357,0.351,0.419,0.73,0.644,0.221,0.272,0.35,0.457,0.693,0.47,0.839,0.858,0.584,0.843
Chris Mullin,0.892,0.427,1.0,1.0,0.572,0.347,0.351,0.204,0.242,0.652,0.505,0.212,0.185,0.119,0.323,0.262,0.15,0.376,0.072,0.323,0.476,0.393,0.825,0.841,0.93,0.951
Tony Battie,0.514,0.344,1.0,0.3,0.544,0.288,0.268,0.288,0.316,0.0,0.01,0.108,0.122,0.457,0.488,0.492,0.098,0.232,0.394,0.242,0.75,0.26,0.898,0.908,0.0,0.734
Allen Iverson,0.757,0.75,0.96,0.96,0.966,0.853,1.0,0.739,0.967,0.518,0.64,0.942,0.952,0.314,0.407,0.387,0.414,0.88,0.039,0.898,0.462,0.996,0.713,0.761,0.582,0.821
Grant Long,0.838,0.51,1.0,0.26,0.67,0.296,0.34,0.29,0.385,0.027,0.058,0.487,0.472,0.476,0.469,0.485,0.098,0.456,0.089,0.398,0.675,0.379,0.728,0.751,0.334,0.856
Eric Snow,0.757,0.396,0.96,0.96,0.833,0.292,0.33,0.282,0.369,0.045,0.068,0.291,0.301,0.119,0.328,0.266,0.558,0.8,0.006,0.597,0.703,0.32,0.74,0.761,0.476,0.801
Rod Strickland,0.486,0.427,0.88,0.86,0.792,0.492,0.571,0.469,0.633,0.107,0.135,0.466,0.474,0.267,0.373,0.348,0.805,0.608,0.028,0.763,0.429,0.535,0.72,0.737,0.572,0.815
Reggie Miller,0.892,0.667,1.0,1.0,0.867,0.576,0.635,0.369,0.447,0.946,0.884,0.598,0.496,0.119,0.263,0.221,0.208,0.296,0.05,0.409,0.476,0.714,0.758,0.822,0.77,1.0
Jeff Hornacek,1.0,0.552,0.96,0.96,0.697,0.42,0.425,0.353,0.415,0.304,0.26,0.331,0.281,0.157,0.304,0.262,0.356,0.416,0.078,0.441,0.448,0.455,0.825,0.846,0.84,0.976
Eddie Jones,,0.625,1.0,1.0,0.913,0.51,0.563,0.416,0.511,0.429,0.457,0.561,0.544,0.238,0.344,0.318,0.345,1.0,0.322,0.5,0.604,0.605,0.756,0.81,0.676,0.855
Matt Geiger,0.757,0.49,1.0,0.8,0.748,0.522,0.526,0.52,0.621,0.009,0.016,0.373,0.355,0.652,0.538,0.593,0.108,0.312,0.222,0.543,0.741,0.523,0.829,0.834,0.4,0.871
Greg Ostertag,1.0,0.396,0.96,0.96,0.65,0.194,0.197,0.194,0.235,0.0,0.0,0.198,0.243,0.5,0.581,0.57,0.043,0.096,0.728,0.242,0.66,0.212,0.824,0.824,,0.678
Tyrone Nesby,0.243,0.323,1.0,0.72,0.625,0.357,0.384,0.288,0.349,0.312,0.309,0.275,0.267,0.271,0.282,0.287,0.152,0.616,0.111,0.285,0.675,0.39,0.777,0.824,0.73,0.855
Clifford Robinson,0.73,0.552,1.0,0.7,0.845,0.586,0.596,0.473,0.553,0.518,0.447,0.431,0.47,0.329,0.378,0.372,0.237,0.6,0.328,0.473,0.722,0.635,0.822,0.851,0.834,0.762
Alan Henderson,0.838,0.323,0.76,0.74,0.554,0.367,0.401,0.367,0.476,0.0,0.003,0.265,0.299,0.476,0.359,0.41,0.052,0.264,0.106,0.312,0.453,0.368,0.765,0.766,0.0,0.733
Darrell Armstrong,0.892,0.667,1.0,0.3,0.729,0.451,0.494,0.316,0.376,0.616,0.608,0.426,0.357,0.252,0.304,0.295,0.622,0.864,0.022,0.849,0.425,0.535,0.763,0.836,0.73,0.988
Sam Mitchell,0.676,0.312,1.0,0.4,0.652,0.418,0.494,0.4,0.546,0.08,0.122,0.333,0.331,0.262,0.304,0.298,0.182,0.28,0.089,0.183,0.524,0.435,0.706,0.728,0.474,0.835
Damon Stoudamire,0.946,0.375,1.0,1.0,0.812,0.488,0.596,0.402,0.55,0.393,0.457,0.235,0.245,0.195,0.301,0.274,0.579,0.392,0.022,0.591,0.382,0.49,0.685,0.728,0.62,0.798
Steve Smith,0.838,0.458,0.72,0.72,0.638,0.425,0.511,0.333,0.453,0.42,0.447,0.505,0.452,0.238,0.242,0.248,0.219,0.288,0.061,0.532,0.472,0.521,0.696,0.734,0.676,0.928
Brian Grant,0.946,0.615,0.96,0.92,0.74,0.359,0.362,0.359,0.431,0.0,0.0,0.487,0.454,0.824,0.711,0.77,0.124,0.168,0.189,0.516,0.642,0.427,0.829,0.829,,0.89
Chris Webber,0.73,0.375,0.84,0.84,0.834,0.741,0.737,0.733,0.84,0.036,0.109,0.209,0.349,0.71,0.947,0.893,0.321,0.48,0.494,0.796,0.684,0.651,0.841,0.87,0.236,0.496
Kobe Bryant,0.838,0.542,1.0,1.0,0.92,0.71,0.738,0.657,0.765,0.241,0.325,0.648,0.586,0.252,0.505,0.433,0.353,0.576,0.278,0.844,0.722,0.773,0.804,0.855,0.534,0.917
Chris Mills,0.568,0.312,0.94,0.48,0.677,0.365,0.429,0.302,0.381,0.286,0.37,0.209,0.193,0.233,0.45,0.389,0.191,0.312,0.078,0.312,0.59,0.375,0.711,0.789,0.556,0.899
Avery Johnson,1.0,0.406,1.0,1.0,0.812,0.427,0.437,0.425,0.507,0.009,0.039,0.132,0.177,0.105,0.23,0.193,0.685,0.408,0.061,0.602,0.476,0.378,0.818,0.836,0.166,0.621
Ben Wallace,0.486,0.375,0.92,0.32,0.598,0.225,0.188,0.225,0.225,0.0,0.0,0.124,0.265,0.652,0.591,0.63,0.033,0.4,0.5,0.194,0.524,0.215,1.0,1.0,,0.389
