Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Brian Cook,0.704,0.254,0.988,0.561,0.454,0.267,0.235,0.282,0.258,0.134,0.129,0.121,0.122,0.292,0.247,0.268,0.09,0.211,0.145,0.205,0.688,0.227,0.852,0.878,0.872,0.903
Antawn Jamison,0.656,0.463,1.0,0.976,0.972,0.675,0.688,0.643,0.677,0.546,0.571,0.312,0.358,0.555,0.795,0.749,0.191,0.514,0.055,0.461,0.634,0.595,0.737,0.763,0.801,0.794
Matt Harpring,0.641,0.266,0.866,0.39,0.574,0.329,0.312,0.386,0.386,0.052,0.06,0.326,0.378,0.525,0.279,0.36,0.119,0.337,0.064,0.367,0.678,0.312,0.792,0.803,0.73,0.787
Antonio Daniels,0.656,0.299,0.976,0.207,0.675,0.235,0.253,0.259,0.271,0.086,0.155,0.408,0.405,0.063,0.203,0.168,0.344,0.297,0.036,0.3,0.322,0.271,0.697,0.768,0.463,0.917
Brevin Knight,0.406,0.277,0.841,0.817,0.695,0.315,0.355,0.382,0.459,0.011,0.02,0.362,0.379,0.116,0.25,0.218,0.738,0.897,0.018,0.552,0.678,0.308,0.665,0.67,0.47,0.872
Richard Hamilton,1.0,0.429,0.976,0.976,0.835,0.664,0.608,0.744,0.726,0.204,0.184,0.368,0.366,0.279,0.229,0.25,0.333,0.297,0.073,0.582,0.695,0.568,0.818,0.823,0.931,0.917
Tayshaun Prince,1.0,0.395,1.0,1.0,0.856,0.465,0.46,0.49,0.493,0.238,0.28,0.261,0.287,0.346,0.322,0.339,0.225,0.354,0.177,0.306,0.322,0.408,0.758,0.798,0.711,0.831
Kirk Hinrich,0.641,0.429,0.988,0.988,0.873,0.461,0.496,0.407,0.445,0.468,0.522,0.368,0.379,0.096,0.344,0.282,0.622,0.537,0.095,0.633,0.842,0.453,0.697,0.735,0.752,0.885
Mehmet Okur,0.641,0.525,1.0,1.0,0.87,0.531,0.519,0.55,0.54,0.297,0.358,0.509,0.548,0.701,0.711,0.73,0.235,0.229,0.332,0.549,0.956,0.52,0.767,0.818,0.695,0.847
Steve Nash,0.845,0.701,0.963,0.963,0.826,0.553,0.486,0.49,0.431,0.558,0.524,0.369,0.337,0.156,0.38,0.326,1.0,0.349,0.055,0.929,0.403,0.526,0.853,0.913,0.892,1.0
Chris Bosh,0.422,0.554,0.854,0.854,0.813,0.561,0.5,0.688,0.649,0.0,0.02,0.681,0.701,0.678,0.589,0.633,0.219,0.286,0.359,0.529,0.701,0.555,0.842,0.852,0.0,0.886
Vince Carter,0.767,0.525,0.963,0.963,0.859,0.668,0.699,0.662,0.695,0.465,0.562,0.69,0.725,0.449,0.435,0.452,0.409,0.537,0.241,0.717,0.789,0.675,0.717,0.765,0.693,0.868
Brad Miller,0.688,0.514,0.963,0.963,0.864,0.444,0.404,0.501,0.477,0.126,0.135,0.402,0.408,0.405,0.656,0.602,0.453,0.349,0.282,0.606,0.785,0.417,0.825,0.845,0.785,0.899
