Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jack Sikma,0.962,0.611,1.0,,0.873,0.503,0.591,0.503,0.591,,,0.503,0.467,0.395,0.911,0.702,0.237,0.408,0.212,0.731,0.804,0.542,0.788,0.788,,0.86
Dave Cowens,0.537,0.333,0.829,,0.742,0.515,0.577,0.515,0.577,,,0.231,0.216,0.259,0.583,0.452,0.22,0.378,0.161,0.503,0.717,0.477,0.827,0.827,,0.852
Johnny Davis,0.703,0.361,0.963,,0.876,0.597,0.709,0.597,0.709,,,0.48,0.458,0.119,0.141,0.132,0.412,0.473,0.07,0.618,0.482,0.611,0.781,0.781,,0.837
Bob Lanier,0.555,0.41,0.646,,0.541,0.516,0.543,0.516,0.543,,,0.42,0.424,0.279,0.385,0.342,0.127,0.249,0.237,0.506,0.493,0.53,0.882,0.882,,0.791
Caldwell Jones,0.869,0.347,0.951,,0.64,0.319,0.364,0.319,0.364,,,0.185,0.187,0.302,0.665,0.517,0.137,0.194,0.497,0.451,0.826,0.307,0.812,0.812,,0.789
Mitch Kupchak,1.0,0.41,0.805,,0.473,0.39,0.392,0.39,0.392,,,0.341,0.347,0.259,0.324,0.298,0.08,0.114,0.073,0.347,0.384,0.406,0.923,0.923,,0.785
World B. Free,0.795,0.701,0.951,,0.871,0.839,0.945,0.839,0.945,,,1.0,1.0,0.216,0.203,0.208,0.309,0.552,0.111,0.858,0.689,0.949,0.824,0.824,,0.798
Elvin Hayes,1.0,0.653,1.0,,0.916,0.76,0.844,0.76,0.844,,,0.534,0.617,0.532,0.796,0.688,0.13,0.373,0.601,0.679,0.839,0.756,0.834,0.834,,0.691
Ricky Sobers,0.703,0.299,0.988,,0.833,0.584,0.683,0.584,0.683,,,0.456,0.391,0.201,0.214,0.208,0.409,0.687,0.073,0.879,0.858,0.594,0.793,0.793,,0.931
James Silas,0.888,0.396,0.963,,0.64,0.492,0.527,0.492,0.527,,,0.511,0.465,0.06,0.173,0.127,0.248,0.378,0.063,0.575,0.586,0.535,0.865,0.865,,0.878
Ray Williams,0.574,0.271,0.988,,0.699,0.607,0.719,0.607,0.719,,,0.384,0.362,0.177,0.218,0.202,0.459,0.637,0.06,0.824,0.747,0.592,0.783,0.783,,0.847
Kevin Porter,0.555,0.431,1.0,,0.904,0.564,0.635,0.564,0.635,,,0.294,0.308,0.106,0.172,0.145,1.0,0.786,0.016,0.974,0.823,0.533,0.824,0.824,,0.762
Truck Robinson,,0.354,0.841,,0.748,0.598,0.659,0.598,0.659,,,0.495,0.534,0.332,0.708,0.555,0.103,0.229,0.237,0.673,0.561,0.616,0.841,0.841,,0.74
Kermit Washington,0.795,0.479,1.0,,0.815,0.37,0.356,0.37,0.356,,,0.347,0.382,0.504,0.588,0.554,0.114,0.423,0.383,0.535,0.864,0.392,0.962,0.962,,0.727
Tree Rollins,0.851,0.444,0.988,,0.56,0.314,0.317,0.314,0.317,,,0.136,0.163,0.373,0.431,0.407,0.045,0.229,0.804,0.251,0.894,0.289,0.916,0.916,,0.666
Maurice Cheeks,0.869,0.34,1.0,,0.711,0.308,0.327,0.308,0.327,,,0.154,0.162,0.107,0.223,0.176,0.392,0.866,0.038,0.558,0.54,0.29,0.873,0.873,,0.761
David Thompson,0.869,0.66,0.927,,0.788,0.732,0.774,0.732,0.774,,,0.671,0.674,0.186,0.193,0.19,0.205,0.348,0.259,0.538,0.49,0.772,0.877,0.877,,0.795
Dennis Johnson,0.962,0.458,0.976,,0.801,0.509,0.635,0.509,0.635,,,0.468,0.453,0.249,0.266,0.259,0.255,0.498,0.307,0.552,0.569,0.537,0.743,0.743,,0.825
Jamaal Wilkes,0.869,0.479,1.0,,0.86,0.661,0.71,0.661,0.71,,,0.416,0.418,0.279,0.519,0.422,0.207,0.667,0.085,0.647,0.749,0.644,0.863,0.863,,0.793
Fred Brown,0.962,0.361,0.939,,0.578,0.471,0.544,0.471,0.544,,,0.28,0.238,0.065,0.156,0.119,0.237,0.592,0.073,0.474,0.387,0.455,0.803,0.803,,0.938
Greg Ballard,1.0,0.271,1.0,,0.458,0.275,0.32,0.275,0.32,,,0.182,0.199,0.244,0.358,0.312,0.106,0.289,0.095,0.28,0.455,0.27,0.796,0.796,,0.731
Mychal Thompson,0.833,0.306,0.89,,0.632,0.486,0.536,0.486,0.536,,,0.235,0.311,0.337,0.474,0.418,0.16,0.333,0.424,0.592,0.736,0.454,0.839,0.839,,0.604
