Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jack Sikma,0.826,0.818,0.976,0.988,0.897,0.585,0.61,0.589,0.615,0.027,0.069,0.69,0.632,0.4,1.0,0.874,0.364,0.479,0.478,0.712,0.72,0.632,0.735,0.741,0.154,0.951
Rick Mahorn,0.682,0.383,0.952,0.964,0.784,0.417,0.411,0.421,0.417,0.0,0.016,0.228,0.283,0.267,0.681,0.593,0.197,0.268,0.616,0.542,0.938,0.383,0.778,0.781,0.0,0.703
Magic Johnson,0.905,0.838,0.929,0.928,0.88,0.56,0.521,0.56,0.516,0.082,0.153,0.508,0.524,0.452,0.612,0.632,0.975,0.977,0.152,0.957,0.599,0.567,0.824,0.837,0.207,0.845
Bob Lanier,0.874,0.429,0.881,0.867,0.584,0.41,0.367,0.414,0.373,0.0,0.011,0.281,0.293,0.165,0.363,0.327,0.287,0.338,0.25,0.555,0.567,0.39,0.856,0.859,0.0,0.836
Scott May,0.874,0.273,0.774,0.084,0.349,0.213,0.21,0.216,0.212,0.0,0.021,0.245,0.233,0.152,0.163,0.184,0.175,0.235,0.027,0.308,0.406,0.229,0.779,0.787,0.0,0.917
Caldwell Jones,0.921,0.338,0.964,0.566,0.72,0.233,0.234,0.235,0.237,0.0,0.016,0.276,0.265,0.294,0.667,0.596,0.131,0.178,0.652,0.518,0.809,0.251,0.762,0.767,0.0,0.909
Herb Williams,0.556,0.299,0.976,0.904,0.67,0.41,0.43,0.412,0.434,0.027,0.037,0.194,0.227,0.314,0.528,0.509,0.182,0.249,0.795,0.458,0.538,0.369,0.732,0.733,0.286,0.745
World B. Free,0.715,0.448,0.929,0.94,0.823,0.655,0.731,0.651,0.716,0.137,0.296,0.739,0.782,0.211,0.16,0.209,0.55,0.333,0.036,0.696,0.597,0.701,0.687,0.702,0.179,0.823
Joe Barry Carroll,0.715,0.357,0.905,0.904,0.773,0.531,0.511,0.536,0.52,0.0,0.005,0.363,0.391,0.376,0.519,0.533,0.084,0.3,0.567,0.689,0.712,0.505,0.796,0.796,0.0,0.81
Ray Williams,0.699,0.513,0.976,0.831,0.804,0.644,0.696,0.641,0.681,0.123,0.286,0.597,0.562,0.21,0.255,0.274,0.64,0.934,0.192,0.97,0.812,0.656,0.709,0.727,0.167,0.925
Truck Robinson,0.73,0.448,0.881,0.867,0.808,0.583,0.568,0.588,0.578,0.014,0.005,0.394,0.449,0.362,0.637,0.607,0.235,0.197,0.125,0.676,0.578,0.554,0.787,0.787,1.0,0.764
