Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Steve Nash,0.903,0.293,0.927,0.11,0.49,0.304,0.309,0.22,0.22,0.422,0.436,0.118,0.104,0.072,0.164,0.133,0.327,0.321,0.014,0.344,0.452,0.293,0.786,0.824,0.83,0.916
Joe Dumars,0.597,0.36,0.878,0.878,0.685,0.373,0.418,0.201,0.207,0.823,0.953,0.202,0.187,0.032,0.115,0.087,0.316,0.224,0.007,0.295,0.308,0.4,0.712,0.801,0.742,0.879
Charles Barkley,0.661,0.524,0.829,0.5,0.661,0.41,0.393,0.403,0.374,0.094,0.188,0.471,0.481,0.544,0.709,0.661,0.271,0.362,0.101,0.516,0.583,0.44,0.83,0.89,0.428,0.794
David Wesley,0.823,0.354,0.988,0.988,0.838,0.435,0.456,0.381,0.393,0.307,0.38,0.365,0.349,0.111,0.21,0.177,0.66,0.714,0.108,0.793,0.713,0.447,0.759,0.8,0.694,0.847
Nick Van Exel,0.984,0.433,0.78,0.561,0.605,0.353,0.392,0.221,0.242,0.641,0.707,0.217,0.208,0.07,0.209,0.162,0.552,0.327,0.022,0.365,0.374,0.374,0.717,0.753,0.778,0.842
Charles Oakley,0.693,0.427,0.963,0.963,0.806,0.348,0.369,0.361,0.392,0.0,0.013,0.154,0.138,0.492,0.649,0.603,0.251,0.628,0.079,0.442,0.872,0.302,0.753,0.76,0.0,0.906
Horace Grant,0.661,0.433,0.927,0.927,0.826,0.446,0.453,0.462,0.481,0.0,0.016,0.215,0.241,0.515,0.5,0.515,0.215,0.413,0.285,0.309,0.561,0.391,0.786,0.791,0.0,0.722
Lamond Murray,0.274,0.299,0.963,0.793,0.76,0.537,0.52,0.492,0.47,0.281,0.342,0.35,0.356,0.388,0.4,0.403,0.177,0.602,0.195,0.6,0.601,0.518,0.824,0.863,0.706,0.797
Antonio McDyess,0.903,0.573,0.988,0.988,0.719,0.564,0.49,0.584,0.523,0.0,0.004,0.368,0.399,0.465,0.522,0.51,0.132,0.51,0.487,0.498,0.91,0.52,0.918,0.92,0.0,0.748
Zydrunas Ilgauskas,0.758,0.573,1.0,0.988,0.701,0.515,0.463,0.532,0.493,0.005,0.009,0.366,0.366,0.63,0.569,0.602,0.089,0.265,0.487,0.512,0.897,0.483,0.887,0.889,0.5,0.812
Danny Manning,0.903,0.396,0.854,0.134,0.529,0.443,0.399,0.458,0.424,0.0,0.016,0.266,0.274,0.248,0.362,0.326,0.174,0.362,0.166,0.351,0.626,0.402,0.884,0.892,0.0,0.787
Vin Baker,0.984,0.634,1.0,1.0,0.867,0.716,0.615,0.74,0.655,0.005,0.016,0.495,0.638,0.646,0.474,0.546,0.19,0.464,0.31,0.611,0.866,0.668,0.928,0.933,0.286,0.629
Christian Laettner,0.807,0.457,0.902,0.598,0.672,0.402,0.386,0.409,0.398,0.031,0.06,0.487,0.429,0.321,0.442,0.405,0.237,0.362,0.264,0.642,0.766,0.433,0.83,0.848,0.444,0.92
Kerry Kittles,0.693,0.512,0.939,0.927,0.829,0.577,0.61,0.468,0.504,0.573,0.588,0.322,0.303,0.298,0.295,0.301,0.22,0.673,0.134,0.372,0.474,0.563,0.753,0.765,0.836,0.86
Anthony Mason,0.823,0.567,0.988,0.976,0.928,0.442,0.404,0.457,0.43,0.0,0.009,0.416,0.487,0.4,0.832,0.688,0.427,0.347,0.065,0.512,0.567,0.441,0.872,0.877,0.0,0.691
Grant Hill,0.597,0.622,0.988,0.988,0.971,0.698,0.719,0.719,0.758,0.016,0.047,0.763,0.784,0.21,0.679,0.519,0.688,0.73,0.191,1.0,0.611,0.726,0.774,0.783,0.286,0.788
A.C. Green,0.323,0.317,1.0,0.829,0.78,0.275,0.282,0.284,0.3,0.0,0.009,0.185,0.196,0.494,0.576,0.556,0.154,0.398,0.097,0.239,0.489,0.255,0.776,0.783,0.0,0.763
Karl Malone,1.0,1.0,0.988,0.988,0.893,0.885,0.778,0.914,0.83,0.01,0.013,1.0,1.0,0.427,0.827,0.694,0.395,0.49,0.253,0.867,0.738,0.929,0.908,0.909,0.666,0.81
Vlade Divac,0.823,0.36,0.78,0.5,0.532,0.303,0.283,0.31,0.295,0.016,0.031,0.207,0.228,0.413,0.429,0.431,0.215,0.423,0.339,0.4,0.558,0.283,0.853,0.866,0.428,0.736
Sam Mitchell,0.726,0.372,0.988,0.402,0.66,0.421,0.423,0.418,0.428,0.078,0.096,0.387,0.354,0.266,0.342,0.321,0.134,0.327,0.079,0.232,0.623,0.424,0.795,0.805,0.698,0.886
Ray Allen,0.581,0.427,1.0,1.0,0.968,0.639,0.695,0.504,0.536,0.698,0.823,0.545,0.474,0.287,0.356,0.337,0.444,0.566,0.043,0.923,0.76,0.68,0.733,0.776,0.728,0.932
Jason Kidd,0.903,0.488,1.0,1.0,0.919,0.405,0.454,0.334,0.354,0.38,0.521,0.266,0.253,0.244,0.515,0.425,0.93,0.827,0.094,0.916,0.442,0.405,0.712,0.777,0.626,0.851
Tim Hardaway,0.888,0.713,0.988,0.988,0.893,0.633,0.685,0.474,0.483,0.807,0.989,0.409,0.399,0.108,0.322,0.249,0.839,0.694,0.058,0.786,0.623,0.648,0.738,0.808,0.702,0.832
Bryant Reeves,0.307,0.299,0.902,0.902,0.745,0.558,0.497,0.578,0.53,0.0,0.009,0.355,0.383,0.442,0.499,0.487,0.194,0.199,0.289,0.547,0.866,0.512,0.896,0.899,0.0,0.752
Tim Duncan,0.903,0.78,1.0,1.0,0.944,0.801,0.68,0.83,0.723,0.0,0.022,0.508,0.584,0.619,0.901,0.813,0.28,0.281,0.744,0.979,0.791,0.734,0.94,0.947,0.0,0.705
Terry Porter,0.726,0.317,1.0,0.098,0.526,0.294,0.305,0.196,0.195,0.479,0.521,0.266,0.236,0.084,0.168,0.14,0.338,0.321,0.058,0.365,0.321,0.33,0.769,0.83,0.79,0.912
Kevin Garnett,0.726,0.585,1.0,1.0,0.949,0.721,0.683,0.743,0.723,0.016,0.036,0.39,0.402,0.501,0.723,0.654,0.434,0.709,0.542,0.674,0.698,0.644,0.841,0.848,0.376,0.786
Derek Anderson,0.758,0.323,0.805,0.159,0.542,0.271,0.31,0.261,0.284,0.089,0.188,0.438,0.382,0.124,0.169,0.156,0.283,0.439,0.047,0.449,0.424,0.327,0.699,0.757,0.404,0.93
Brevin Knight,0.758,0.512,0.976,0.927,0.732,0.296,0.313,0.307,0.331,0.0,0.016,0.32,0.304,0.151,0.238,0.211,0.819,1.0,0.065,0.681,0.844,0.307,0.755,0.764,0.0,0.853
Gary Payton,0.984,0.762,1.0,1.0,0.927,0.657,0.675,0.523,0.499,0.698,0.888,0.444,0.455,0.174,0.383,0.313,0.848,0.944,0.065,0.804,0.607,0.667,0.776,0.865,0.676,0.792
Detlef Schrempf,0.984,0.634,0.951,0.951,0.808,0.496,0.474,0.442,0.425,0.318,0.329,0.473,0.427,0.305,0.537,0.461,0.426,0.306,0.069,0.589,0.639,0.523,0.834,0.858,0.83,0.899
Bo Outlaw,0.661,0.463,1.0,0.927,0.87,0.342,0.287,0.353,0.305,0.005,0.009,0.287,0.379,0.576,0.49,0.53,0.27,0.546,0.653,0.614,0.81,0.332,0.949,0.954,0.5,0.612
Dan Majerle,0.888,0.323,0.878,0.268,0.568,0.209,0.232,0.086,0.081,0.578,0.66,0.064,0.062,0.108,0.282,0.223,0.196,0.347,0.054,0.228,0.433,0.22,0.717,0.868,0.752,0.835
Dale Davis,0.935,0.433,0.951,0.951,0.641,0.31,0.263,0.321,0.282,0.0,0.0,0.127,0.208,0.526,0.485,0.509,0.087,0.26,0.314,0.256,0.651,0.266,0.938,0.938,,0.495
Hersey Hawkins,0.984,0.524,1.0,1.0,0.765,0.318,0.336,0.182,0.19,0.651,0.673,0.282,0.247,0.16,0.337,0.278,0.276,0.755,0.061,0.358,0.477,0.366,0.753,0.793,0.83,0.924
Arvydas Sabonis,0.742,0.591,0.89,0.89,0.687,0.462,0.436,0.443,0.402,0.156,0.257,0.514,0.491,0.336,0.744,0.607,0.272,0.332,0.289,0.667,0.832,0.495,0.844,0.908,0.522,0.85
Chris Mullin,0.935,0.463,1.0,1.0,0.641,0.378,0.366,0.266,0.254,0.557,0.544,0.245,0.199,0.086,0.271,0.207,0.232,0.485,0.141,0.411,0.579,0.393,0.824,0.861,0.88,1.0
Jayson Williams,0.693,0.512,0.793,0.793,0.69,0.364,0.341,0.377,0.363,0.0,0.009,0.311,0.355,1.0,0.564,0.735,0.084,0.23,0.177,0.333,0.735,0.355,0.853,0.858,0.0,0.709
Allen Iverson,0.5,0.549,0.976,0.976,0.928,0.737,0.743,0.68,0.663,0.365,0.526,0.621,0.648,0.194,0.269,0.246,0.617,0.898,0.09,0.856,0.623,0.746,0.789,0.846,0.596,0.776
Rod Strickland,0.677,0.494,0.927,0.927,0.89,0.556,0.597,0.562,0.612,0.062,0.107,0.568,0.596,0.253,0.376,0.337,1.0,0.643,0.09,0.933,0.567,0.572,0.743,0.757,0.5,0.773
Reggie Miller,0.935,0.732,0.988,0.988,0.824,0.586,0.571,0.414,0.396,0.854,0.855,0.608,0.533,0.104,0.238,0.193,0.213,0.398,0.04,0.449,0.461,0.669,0.817,0.863,0.858,0.924
Jeff Hornacek,1.0,0.579,0.976,0.976,0.725,0.453,0.437,0.403,0.397,0.292,0.284,0.454,0.39,0.147,0.263,0.225,0.436,0.556,0.054,0.463,0.545,0.483,0.825,0.837,0.882,0.942
Clifford Robinson,0.903,0.433,0.976,0.78,0.695,0.487,0.473,0.472,0.459,0.141,0.188,0.395,0.436,0.343,0.331,0.341,0.212,0.469,0.325,0.491,0.776,0.481,0.82,0.849,0.642,0.734
Matt Geiger,0.823,0.36,0.951,0.512,0.542,0.406,0.375,0.42,0.395,0.005,0.025,0.268,0.286,0.442,0.417,0.434,0.097,0.347,0.314,0.389,0.595,0.375,0.865,0.875,0.182,0.758
Ervin Johnson,0.581,0.39,0.988,0.988,0.666,0.287,0.249,0.297,0.267,0.0,0.0,0.228,0.288,0.546,0.568,0.57,0.074,0.403,0.57,0.411,1.0,0.275,0.92,0.92,,0.64
Rick Fox,0.984,0.323,1.0,1.0,0.798,0.412,0.407,0.325,0.286,0.448,0.593,0.272,0.279,0.176,0.359,0.298,0.345,0.51,0.173,0.705,0.963,0.417,0.807,0.937,0.65,0.791
Eddie Jones,0.984,0.616,0.976,0.976,0.857,0.552,0.531,0.403,0.36,0.745,0.823,0.373,0.371,0.192,0.278,0.251,0.307,0.816,0.199,0.512,0.511,0.572,0.829,0.921,0.778,0.815
Clyde Drexler,0.661,0.415,0.854,0.854,0.729,0.513,0.559,0.407,0.41,0.552,0.747,0.441,0.419,0.237,0.309,0.288,0.477,0.643,0.152,0.663,0.601,0.546,0.731,0.817,0.634,0.853
Steve Smith,0.807,0.622,0.89,0.89,0.842,0.555,0.582,0.461,0.467,0.505,0.617,0.619,0.552,0.3,0.226,0.257,0.365,0.383,0.105,0.618,0.682,0.621,0.76,0.813,0.702,0.911
Alan Henderson,0.807,0.366,0.841,0.402,0.589,0.414,0.398,0.425,0.423,0.016,0.013,0.403,0.47,0.451,0.31,0.368,0.091,0.214,0.13,0.386,0.545,0.418,0.83,0.83,1.0,0.694
Terrell Brandon,0.581,0.311,0.61,0.585,0.526,0.385,0.386,0.362,0.361,0.161,0.208,0.21,0.189,0.052,0.196,0.147,0.483,0.566,0.061,0.509,0.374,0.357,0.795,0.827,0.666,0.901
Chris Webber,0.677,0.506,0.866,0.866,0.828,0.734,0.708,0.684,0.643,0.339,0.459,0.312,0.404,0.397,0.638,0.561,0.341,0.566,0.448,0.649,0.838,0.66,0.825,0.877,0.634,0.627
Kobe Bryant,0.984,0.384,0.963,0.012,0.606,0.444,0.482,0.371,0.392,0.391,0.492,0.578,0.554,0.178,0.209,0.201,0.248,0.378,0.144,0.551,0.561,0.518,0.733,0.781,0.682,0.846
Sam Cassell,0.693,0.506,0.915,0.878,0.768,0.579,0.611,0.582,0.609,0.078,0.179,0.694,0.615,0.165,0.199,0.19,0.753,0.617,0.072,0.944,0.816,0.624,0.755,0.788,0.376,0.916
Chris Mills,0.693,0.311,0.976,0.354,0.643,0.331,0.357,0.296,0.304,0.208,0.306,0.242,0.229,0.271,0.369,0.34,0.166,0.23,0.108,0.375,0.679,0.329,0.741,0.801,0.584,0.856
Avery Johnson,0.903,0.409,0.915,0.89,0.788,0.364,0.354,0.375,0.372,0.01,0.029,0.194,0.204,0.068,0.154,0.125,0.738,0.429,0.065,0.579,0.436,0.325,0.818,0.83,0.308,0.773
Allan Houston,0.693,0.372,1.0,1.0,0.839,0.648,0.675,0.575,0.602,0.427,0.477,0.454,0.406,0.097,0.296,0.228,0.265,0.321,0.087,0.702,0.645,0.64,0.765,0.788,0.77,0.906
Bison Dele,0.597,0.421,0.951,0.951,0.772,0.603,0.549,0.623,0.587,0.005,0.007,0.315,0.339,0.503,0.605,0.579,0.117,0.342,0.199,0.635,0.785,0.535,0.875,0.875,0.666,0.753
Kendall Gill,0.693,0.36,0.988,0.988,0.805,0.474,0.515,0.461,0.494,0.135,0.226,0.358,0.396,0.253,0.358,0.326,0.25,0.796,0.231,0.435,0.835,0.461,0.735,0.769,0.514,0.733
Wesley Person,0.758,0.628,1.0,1.0,0.942,0.499,0.506,0.291,0.289,1.0,1.0,0.21,0.206,0.147,0.382,0.302,0.235,0.658,0.177,0.386,0.336,0.511,0.788,0.832,0.86,0.826
Stephon Marbury,0.726,0.323,1.0,0.988,0.917,0.582,0.653,0.491,0.528,0.495,0.68,0.524,0.545,0.131,0.221,0.192,0.879,0.531,0.025,0.898,0.692,0.615,0.711,0.767,0.626,0.778
Michael Jordan,1.0,0.963,1.0,1.0,0.937,1.0,1.0,1.0,1.0,0.156,0.282,0.9,0.874,0.293,0.442,0.396,0.353,0.719,0.162,0.649,0.47,1.0,0.796,0.825,0.476,0.835
Kevin Willis,0.661,0.366,0.988,0.902,0.745,0.603,0.55,0.623,0.585,0.005,0.016,0.385,0.37,0.524,0.573,0.565,0.097,0.281,0.137,0.596,0.732,0.554,0.873,0.878,0.286,0.845
Dale Ellis,0.984,0.366,0.963,0.0,0.571,0.395,0.37,0.26,0.241,0.661,0.613,0.177,0.172,0.115,0.171,0.153,0.111,0.306,0.018,0.26,0.399,0.396,0.851,0.889,0.928,0.833
Adam Keefe,1.0,0.396,0.976,0.915,0.603,0.26,0.224,0.269,0.24,0.0,0.0,0.258,0.242,0.404,0.332,0.365,0.111,0.265,0.087,0.249,0.536,0.263,0.925,0.925,,0.863
Michael Finley,0.323,0.457,1.0,1.0,1.0,0.766,0.795,0.691,0.714,0.453,0.546,0.519,0.504,0.339,0.369,0.365,0.506,0.673,0.108,0.768,0.508,0.748,0.769,0.798,0.714,0.835
Rasheed Wallace,0.742,0.463,0.939,0.939,0.853,0.529,0.462,0.538,0.473,0.042,0.087,0.293,0.337,0.298,0.444,0.398,0.243,0.383,0.318,0.586,0.835,0.477,0.913,0.938,0.41,0.705
John Stockton,1.0,0.488,0.78,0.78,0.547,0.306,0.27,0.271,0.238,0.203,0.204,0.304,0.28,0.079,0.168,0.138,0.678,0.454,0.036,0.565,0.43,0.327,0.904,0.942,0.858,0.881
Robert Horry,0.984,0.402,0.878,0.866,0.646,0.227,0.222,0.213,0.185,0.099,0.208,0.186,0.205,0.42,0.456,0.451,0.203,0.571,0.339,0.347,0.741,0.227,0.815,0.949,0.408,0.737
Alonzo Mourning,0.888,0.457,0.707,0.683,0.571,0.457,0.387,0.474,0.414,0.0,0.0,0.492,0.564,0.436,0.468,0.465,0.065,0.204,0.469,0.628,0.648,0.473,0.943,0.943,,0.708
Dikembe Mutombo,0.807,0.659,1.0,1.0,0.859,0.453,0.392,0.469,0.42,0.0,0.0,0.482,0.548,0.623,0.841,0.776,0.102,0.173,1.0,0.589,0.791,0.467,0.92,0.92,,0.714
Shawn Kemp,0.758,0.415,0.976,0.976,0.816,0.588,0.615,0.606,0.654,0.01,0.018,0.643,0.674,0.494,0.674,0.62,0.246,0.551,0.325,0.951,0.966,0.612,0.762,0.764,0.5,0.774
Nick Anderson,0.661,0.323,0.707,0.537,0.501,0.389,0.398,0.313,0.306,0.401,0.479,0.202,0.241,0.221,0.255,0.247,0.149,0.367,0.083,0.298,0.305,0.378,0.779,0.844,0.72,0.679
Antonio Davis,0.935,0.451,1.0,0.146,0.646,0.288,0.279,0.298,0.297,0.0,0.007,0.441,0.482,0.433,0.472,0.466,0.076,0.23,0.26,0.361,0.729,0.333,0.824,0.829,0.0,0.741
Armen Gilliam,0.581,0.323,1.0,0.305,0.623,0.371,0.357,0.384,0.38,0.0,0.009,0.425,0.404,0.33,0.376,0.366,0.13,0.332,0.134,0.519,0.551,0.391,0.829,0.834,0.0,0.854
P.J. Brown,0.888,0.457,0.902,0.902,0.696,0.316,0.312,0.327,0.334,0.0,0.0,0.24,0.239,0.53,0.513,0.529,0.129,0.337,0.354,0.34,0.822,0.3,0.807,0.807,,0.816
Shareef Abdur-Rahim,0.307,0.421,1.0,1.0,0.869,0.741,0.712,0.743,0.733,0.109,0.114,0.799,0.776,0.512,0.454,0.484,0.266,0.454,0.274,0.902,0.626,0.776,0.83,0.836,0.824,0.835
Brian Grant,0.742,0.384,0.744,0.598,0.566,0.321,0.294,0.333,0.315,0.0,0.002,0.272,0.276,0.445,0.459,0.462,0.107,0.224,0.162,0.386,0.573,0.313,0.87,0.872,0.0,0.799
Theo Ratliff,,0.409,1.0,0.817,0.721,0.347,0.315,0.36,0.338,0.0,0.0,0.314,0.341,0.499,0.418,0.455,0.071,0.255,0.931,0.407,0.91,0.343,0.878,0.878,,0.747
Tracy Murray,0.677,0.396,1.0,0.146,0.656,0.51,0.532,0.342,0.342,0.823,0.902,0.29,0.253,0.169,0.259,0.231,0.105,0.342,0.09,0.358,0.52,0.525,0.764,0.825,0.784,0.928
Larry Johnson,0.693,0.421,0.854,0.854,0.711,0.487,0.467,0.486,0.465,0.078,0.141,0.341,0.343,0.395,0.29,0.334,0.187,0.204,0.047,0.446,0.601,0.461,0.83,0.863,0.476,0.805
Dennis Rodman,1.0,0.476,0.976,0.805,0.841,0.176,0.19,0.177,0.191,0.021,0.051,0.097,0.135,0.95,1.0,1.0,0.287,0.24,0.065,0.516,0.741,0.159,0.738,0.767,0.348,0.586
Tom Gugliotta,0.726,0.305,0.5,0.5,0.466,0.362,0.335,0.373,0.35,0.01,0.038,0.291,0.27,0.239,0.321,0.296,0.208,0.311,0.079,0.382,0.318,0.349,0.86,0.878,0.236,0.874
Scottie Pippen,1.0,0.402,0.537,0.537,0.487,0.358,0.372,0.298,0.29,0.318,0.43,0.239,0.234,0.12,0.223,0.189,0.317,0.403,0.155,0.382,0.361,0.357,0.765,0.849,0.636,0.827
Voshon Lenard,0.888,0.433,0.988,0.988,0.772,0.412,0.451,0.247,0.269,0.797,0.846,0.225,0.217,0.163,0.282,0.243,0.225,0.296,0.058,0.347,0.682,0.433,0.728,0.755,0.81,0.839
Isaiah Rider,0.742,0.354,0.902,0.805,0.821,0.625,0.688,0.489,0.499,0.703,0.94,0.352,0.324,0.223,0.317,0.288,0.288,0.281,0.069,0.656,0.586,0.619,0.724,0.808,0.642,0.882
Rik Smits,0.935,0.372,0.89,0.841,0.614,0.583,0.548,0.604,0.586,0.0,0.007,0.299,0.291,0.287,0.485,0.42,0.126,0.204,0.318,0.47,0.757,0.516,0.848,0.851,0.0,0.834
Glen Rice,0.823,0.567,1.0,1.0,0.971,0.72,0.732,0.592,0.615,0.677,0.671,0.682,0.611,0.201,0.338,0.294,0.227,0.393,0.079,0.639,0.623,0.775,0.783,0.795,0.866,0.904
