Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dale Schlueter,0.262,0.248,0.942,,0.728,0.305,0.292,0.305,0.306,,,0.356,0.396,,,0.547,0.372,,,,0.86,0.336,0.809,0.809,,0.827
Dave Cowens,0.812,0.409,0.919,,0.862,0.567,0.589,0.567,0.618,,,0.258,0.295,,,0.765,0.32,,,,0.975,0.528,0.746,0.746,,0.805
Bob Netolicky,,0.22,0.965,,0.786,0.45,0.473,0.447,0.488,0.039,0.067,0.298,0.339,0.555,0.467,0.486,0.108,,,0.485,0.575,0.443,0.738,0.746,0.517,0.81
Don Nelson,0.812,0.346,0.953,,0.564,0.336,0.352,0.336,0.369,,,0.526,0.549,,,0.288,0.251,,,,0.683,0.402,0.74,0.74,,0.881
Jerry Sloan,0.826,0.283,0.953,,0.821,0.462,0.523,0.462,0.549,,,0.381,0.475,,,0.44,0.275,,,,0.96,0.471,0.684,0.684,,0.738
Bob Lanier,0.377,0.331,0.93,,0.836,0.72,0.733,0.72,0.77,,,0.573,0.613,,,0.72,0.324,,,,0.922,0.729,0.76,0.76,,0.859
Bill Melchionni,,0.331,0.93,,0.899,0.58,0.584,0.578,0.605,0.019,0.067,0.496,0.505,0.107,0.184,0.158,0.873,,,0.918,0.854,0.596,0.769,0.778,0.257,0.904
Stan McKenzie,0.262,0.24,0.953,,0.551,0.354,0.362,0.354,0.38,,,0.465,0.46,,,0.173,0.193,,,,0.745,0.402,0.758,0.758,,0.93
Elvin Hayes,0.493,0.287,0.953,,0.936,0.718,0.832,0.718,0.874,,,0.589,0.746,,,0.761,0.352,,,,0.724,0.731,0.669,0.669,,0.726
Billy Cunningham,0.435,0.327,0.872,,0.784,0.568,0.62,0.568,0.651,,,0.632,0.729,,,0.584,0.578,,,,0.916,0.618,0.71,0.71,,0.796
Tiny Archibald,0.435,0.508,0.884,,0.885,0.633,0.656,0.633,0.688,,,1.0,1.0,,,0.141,0.915,,,,0.615,0.76,0.749,0.749,,0.919
Bob Kauffman,0.319,0.315,0.895,,0.867,0.481,0.487,0.481,0.512,,,0.504,0.521,,,0.501,0.388,,,,0.848,0.516,0.766,0.766,,0.889
