Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jerry Sichting,0.419,0.356,0.976,0.976,0.81,0.429,0.423,0.43,0.425,0.158,0.165,0.144,0.143,0.124,0.185,0.17,0.5,0.419,0.029,0.421,0.464,0.379,0.843,0.849,0.6,0.976
Jack Sikma,0.677,0.664,1.0,1.0,0.971,0.623,0.654,0.633,0.675,0.0,0.017,0.506,0.507,0.634,1.0,0.908,0.358,0.442,0.332,0.69,0.78,0.646,0.791,0.787,0.0,0.964
Rick Mahorn,0.565,0.329,1.0,1.0,0.876,0.332,0.343,0.337,0.354,0.0,0.0,0.154,0.203,0.476,0.829,0.736,0.143,0.288,0.444,0.415,0.927,0.306,0.803,0.798,,0.733
Orlando Woolridge,0.435,0.363,0.915,0.902,0.825,0.616,0.615,0.625,0.634,0.026,0.017,0.373,0.448,0.366,0.348,0.368,0.149,0.33,0.217,0.55,0.655,0.597,0.832,0.827,1.0,0.805
Cliff Levingston,0.791,0.363,0.976,0.293,0.567,0.248,0.247,0.252,0.253,0.0,0.025,0.154,0.197,0.659,0.453,0.543,0.119,0.205,0.282,0.225,0.728,0.241,0.832,0.833,0.0,0.757
Magic Johnson,0.872,0.699,0.817,0.805,0.833,0.477,0.442,0.478,0.439,0.158,0.24,0.357,0.378,0.279,0.571,0.49,0.957,0.698,0.177,0.895,0.438,0.487,0.895,0.912,0.414,0.912
James Worthy,0.872,0.445,1.0,0.646,0.784,0.535,0.504,0.544,0.517,0.0,0.05,0.24,0.272,0.442,0.522,0.513,0.226,0.358,0.253,0.529,0.632,0.49,0.881,0.882,0.0,0.855
Bob Lanier,0.807,0.459,0.878,0.878,0.651,0.424,0.388,0.431,0.399,0.0,0.025,0.239,0.29,0.397,0.458,0.454,0.204,0.27,0.184,0.477,0.591,0.404,0.906,0.906,0.0,0.797
Ralph Sampson,0.468,0.411,1.0,1.0,0.874,0.774,0.776,0.786,0.799,0.026,0.033,0.353,0.459,0.825,0.904,0.91,0.178,0.326,0.711,0.86,0.878,0.711,0.829,0.825,0.5,0.744
Caldwell Jones,0.468,0.281,0.988,0.89,0.813,0.344,0.359,0.348,0.369,0.026,0.025,0.202,0.207,0.473,0.603,0.58,0.171,0.214,0.289,0.462,0.868,0.331,0.796,0.792,0.666,0.943
