Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jack Sikma,0.738,0.649,0.904,0.866,0.829,0.505,0.562,0.506,0.561,0.0,0.046,0.667,0.607,0.479,0.861,0.719,0.281,0.395,0.19,0.583,0.694,0.588,0.741,0.743,0.0,0.957
Rick Mahorn,0.646,0.411,0.988,1.0,0.977,0.392,0.414,0.393,0.415,0.0,0.017,0.243,0.322,0.384,0.812,0.652,0.139,0.391,0.431,0.521,0.884,0.386,0.783,0.781,0.0,0.657
Magic Johnson,0.892,0.828,0.952,0.963,0.94,0.533,0.502,0.534,0.494,0.0,0.12,0.507,0.482,0.481,0.626,0.572,1.0,0.8,0.137,0.923,0.528,0.57,0.875,0.889,0.0,0.914
James Worthy,0.892,0.338,0.928,0.012,0.637,0.466,0.416,0.466,0.416,0.024,0.023,0.23,0.28,0.353,0.323,0.334,0.159,0.414,0.187,0.546,0.583,0.444,0.925,0.922,0.535,0.713
Mike Woodson,0.692,0.517,0.976,0.037,0.784,0.609,0.621,0.603,0.608,0.167,0.189,0.497,0.478,0.189,0.219,0.208,0.306,0.623,0.172,0.534,0.536,0.633,0.808,0.817,0.454,0.903
Trent Tucker,0.677,0.265,0.94,0.72,0.592,0.312,0.348,0.298,0.334,0.333,0.171,0.072,0.081,0.169,0.188,0.181,0.235,0.255,0.017,0.215,0.62,0.282,0.738,0.733,1.0,0.768
World B. Free,,0.377,0.88,0.841,0.853,0.677,0.766,0.662,0.747,0.357,0.257,0.717,0.74,0.207,0.146,0.168,0.35,0.441,0.044,0.641,0.636,0.749,0.728,0.73,0.713,0.843
Joe Barry Carroll,0.462,0.464,0.952,0.963,0.966,0.819,0.823,0.82,0.827,0.0,0.017,0.562,0.595,0.494,0.625,0.576,0.204,0.491,0.452,0.874,0.686,0.82,0.819,0.816,0.0,0.822
Bill Garnett,0.584,0.258,0.904,0.159,0.456,0.177,0.172,0.178,0.171,0.0,0.017,0.215,0.221,0.317,0.354,0.34,0.124,0.218,0.204,0.248,0.646,0.202,0.851,0.854,0.0,0.847
Albert King,0.754,0.377,0.952,0.915,0.791,0.607,0.66,0.602,0.652,0.143,0.131,0.293,0.288,0.353,0.399,0.382,0.351,0.432,0.12,0.752,0.734,0.579,0.759,0.76,0.559,0.886
Jim Paxson,0.707,0.675,0.976,0.988,0.886,0.711,0.712,0.708,0.704,0.095,0.143,0.647,0.607,0.153,0.142,0.146,0.279,0.636,0.05,0.479,0.422,0.755,0.823,0.829,0.343,0.928
Tree Rollins,0.661,0.483,0.964,0.976,0.799,0.272,0.276,0.273,0.277,0.0,0.006,0.163,0.171,0.472,0.712,0.622,0.09,0.223,1.0,0.291,0.776,0.267,0.815,0.811,0.0,0.83
Maurice Cheeks,1.0,0.623,0.952,0.963,0.797,0.421,0.401,0.421,0.401,0.024,0.034,0.302,0.305,0.119,0.208,0.175,0.655,0.836,0.09,0.549,0.48,0.426,0.866,0.865,0.358,0.862
David Thompson,0.738,0.358,0.904,0.78,0.697,0.464,0.498,0.463,0.496,0.048,0.057,0.497,0.482,0.216,0.232,0.226,0.268,0.214,0.096,0.5,0.375,0.512,0.768,0.768,0.428,0.896
Bobby Jones,1.0,0.424,0.892,0.0,0.565,0.261,0.248,0.261,0.249,0.0,0.006,0.275,0.264,0.229,0.323,0.288,0.171,0.386,0.265,0.334,0.525,0.286,0.867,0.865,0.0,0.906
Jamaal Wilkes,0.892,0.49,0.964,0.976,0.825,0.713,0.695,0.715,0.696,0.0,0.034,0.338,0.34,0.328,0.263,0.287,0.22,0.295,0.05,0.46,0.583,0.675,0.847,0.846,0.0,0.865
