Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Blake Griffin,0.799,0.634,1.0,1.0,0.94,0.872,0.765,0.986,0.94,0.012,0.038,0.566,0.818,0.823,0.853,0.913,0.316,0.355,0.199,0.605,0.84,0.739,0.809,0.814,0.265,0.569
Steve Nash,0.66,0.407,0.939,0.939,0.77,0.459,0.415,0.423,0.387,0.331,0.334,0.295,0.248,0.098,0.274,0.237,1.0,0.25,0.033,0.923,0.206,0.417,0.784,0.849,0.826,0.977
Steve Novak,0.719,0.269,0.818,0.0,0.401,0.25,0.252,0.049,0.051,0.801,0.668,0.051,0.045,0.034,0.162,0.132,0.018,0.105,0.037,0.085,0.23,0.258,0.704,0.745,1.0,0.925
George Hill,0.839,0.276,0.758,0.136,0.5,0.261,0.284,0.201,0.218,0.325,0.348,0.211,0.205,0.117,0.205,0.192,0.218,0.276,0.071,0.21,0.381,0.26,0.651,0.716,0.778,0.85
Paul Millsap,0.719,0.538,0.97,0.939,0.825,0.663,0.644,0.739,0.776,0.042,0.073,0.469,0.446,0.679,0.655,0.717,0.226,0.776,0.216,0.452,0.864,0.574,0.729,0.739,0.479,0.866
Deron Williams,0.439,0.283,0.833,0.833,0.785,0.608,0.719,0.487,0.579,0.693,0.81,0.596,0.533,0.087,0.274,0.233,0.724,0.441,0.083,0.883,0.471,0.624,0.599,0.653,0.712,0.921
Zaza Pachulia,0.799,0.345,0.879,0.667,0.644,0.263,0.254,0.298,0.317,0.0,0.0,0.271,0.276,0.581,0.518,0.582,0.119,0.362,0.12,0.327,0.669,0.246,0.735,0.731,,0.81
Greg Monroe,0.5,0.483,1.0,1.0,0.818,0.633,0.585,0.718,0.729,0.0,0.002,0.466,0.476,0.902,0.68,0.811,0.229,0.546,0.191,0.649,0.7,0.549,0.767,0.764,0.0,0.808
David Lee,0.459,0.345,0.864,0.864,0.833,0.722,0.69,0.818,0.857,0.0,0.012,0.508,0.49,0.645,0.639,0.694,0.244,0.355,0.091,0.601,0.696,0.62,0.741,0.741,0.0,0.855
J.J. Redick,0.74,0.359,0.985,0.333,0.693,0.386,0.437,0.24,0.295,0.675,0.635,0.332,0.274,0.068,0.226,0.191,0.247,0.178,0.025,0.274,0.358,0.406,0.626,0.63,0.886,0.996
Tyson Chandler,0.719,0.655,0.939,0.939,0.81,0.375,0.266,0.425,0.33,0.0,0.005,0.503,0.551,0.8,0.684,0.78,0.084,0.368,0.369,0.411,0.724,0.378,1.0,1.0,0.0,0.753
LaMarcus Aldridge,0.559,0.483,0.833,0.833,0.783,0.751,0.706,0.848,0.871,0.012,0.026,0.517,0.479,0.566,0.499,0.563,0.202,0.336,0.187,0.448,0.595,0.644,0.754,0.755,0.386,0.89
Mario Chalmers,0.92,0.297,0.97,0.97,0.717,0.347,0.373,0.215,0.222,0.608,0.616,0.186,0.177,0.06,0.265,0.218,0.334,0.638,0.046,0.573,0.646,0.339,0.66,0.751,0.822,0.866
Chris Bosh,0.92,0.476,0.864,0.864,0.788,0.611,0.604,0.675,0.721,0.06,0.083,0.531,0.488,0.355,0.612,0.576,0.155,0.336,0.187,0.472,0.498,0.554,0.717,0.726,0.606,0.897
Amir Johnson,0.459,0.276,0.97,0.652,0.61,0.305,0.254,0.342,0.313,0.012,0.012,0.135,0.147,0.562,0.443,0.52,0.119,0.217,0.286,0.379,0.813,0.244,0.848,0.848,0.847,0.754
Arron Afflalo,0.76,0.366,0.939,0.939,0.819,0.512,0.523,0.425,0.447,0.53,0.524,0.457,0.432,0.151,0.268,0.251,0.224,0.237,0.054,0.343,0.521,0.51,0.694,0.738,0.843,0.872
Rodney Stuckey,0.5,0.31,0.833,0.727,0.646,0.398,0.447,0.393,0.461,0.199,0.246,0.619,0.559,0.143,0.178,0.181,0.316,0.289,0.041,0.427,0.482,0.439,0.632,0.662,0.672,0.911
Jodie Meeks,0.699,0.283,1.0,0.758,0.646,0.297,0.35,0.166,0.188,0.584,0.63,0.179,0.149,0.064,0.246,0.205,0.081,0.263,0.012,0.117,0.319,0.301,0.602,0.685,0.773,0.99
Ersan Ilyasova,0.62,0.441,0.909,0.621,0.65,0.457,0.447,0.429,0.453,0.307,0.265,0.332,0.32,0.74,0.569,0.674,0.107,0.276,0.183,0.306,0.518,0.423,0.725,0.734,0.964,0.854
Ray Allen,0.78,0.324,0.697,0.636,0.615,0.351,0.369,0.212,0.242,0.639,0.555,0.225,0.185,0.053,0.219,0.181,0.164,0.322,0.033,0.274,0.323,0.354,0.675,0.678,0.96,1.0
Brandon Bass,0.78,0.324,0.894,0.591,0.734,0.471,0.473,0.534,0.591,0.0,0.0,0.306,0.285,0.358,0.462,0.465,0.083,0.224,0.224,0.262,0.525,0.399,0.705,0.701,,0.885
Lou Williams,0.699,0.421,0.97,0.0,0.661,0.495,0.585,0.414,0.517,0.5,0.543,0.55,0.51,0.113,0.214,0.197,0.333,0.349,0.075,0.286,0.35,0.517,0.599,0.622,0.767,0.887
Tim Duncan,1.0,0.407,0.879,0.879,0.642,0.561,0.549,0.637,0.681,0.0,0.009,0.401,0.435,0.415,0.701,0.662,0.199,0.25,0.365,0.391,0.381,0.484,0.725,0.725,0.0,0.76
Dwight Howard,0.74,0.531,0.818,0.818,0.813,0.647,0.543,0.734,0.672,0.0,0.017,0.652,1.0,0.755,1.0,1.0,0.157,0.533,0.481,0.706,0.619,0.602,0.844,0.848,0.0,0.537
Dirk Nowitzki,0.719,0.524,0.939,0.939,0.817,0.736,0.774,0.697,0.768,0.47,0.502,0.738,0.621,0.174,0.636,0.532,0.205,0.276,0.124,0.472,0.502,0.725,0.673,0.704,0.78,0.979
Kevin Garnett,0.78,0.476,0.909,0.909,0.732,0.608,0.582,0.684,0.718,0.018,0.021,0.376,0.33,0.249,0.732,0.629,0.264,0.368,0.253,0.431,0.549,0.512,0.741,0.739,0.706,0.937
Jose Calderon,0.459,0.352,0.803,0.803,0.707,0.339,0.357,0.28,0.297,0.355,0.377,0.139,0.119,0.072,0.241,0.204,0.705,0.309,0.012,0.419,0.366,0.3,0.673,0.732,0.786,0.964
Ty Lawson,0.76,0.476,0.924,0.924,0.834,0.582,0.574,0.531,0.53,0.44,0.474,0.413,0.378,0.204,0.296,0.289,0.604,0.539,0.025,0.601,0.366,0.54,0.719,0.777,0.773,0.901
Jeff Teague,0.799,0.414,1.0,1.0,0.857,0.498,0.503,0.474,0.489,0.307,0.353,0.325,0.323,0.079,0.236,0.203,0.483,0.697,0.154,0.54,0.564,0.449,0.701,0.753,0.725,0.827
LeBron James,0.92,1.0,0.939,0.939,0.914,0.966,0.875,1.0,0.953,0.325,0.353,0.898,0.878,0.355,0.68,0.627,0.583,0.757,0.207,0.859,0.374,0.91,0.782,0.814,0.767,0.843
Kyle Korver,1.0,0.366,0.985,0.106,0.577,0.277,0.308,0.106,0.132,0.711,0.642,0.128,0.115,0.098,0.227,0.203,0.169,0.237,0.062,0.214,0.428,0.286,0.636,0.624,0.922,0.91
Nicolas Batum,0.559,0.331,0.894,0.515,0.703,0.449,0.48,0.321,0.343,0.645,0.649,0.309,0.278,0.306,0.325,0.345,0.127,0.375,0.249,0.363,0.409,0.442,0.664,0.726,0.828,0.914
Carlos Boozer,1.0,0.524,1.0,1.0,0.765,0.697,0.63,0.79,0.786,0.0,0.002,0.22,0.24,0.43,0.769,0.718,0.188,0.414,0.1,0.464,0.654,0.536,0.784,0.78,0.0,0.757
Pau Gasol,0.819,0.572,0.985,0.985,0.954,0.714,0.686,0.797,0.832,0.042,0.064,0.473,0.456,0.691,0.846,0.864,0.357,0.243,0.365,0.573,0.494,0.61,0.738,0.744,0.549,0.855
Jared Dudley,0.66,0.352,0.985,0.909,0.793,0.485,0.481,0.409,0.406,0.482,0.495,0.276,0.287,0.358,0.352,0.383,0.169,0.322,0.079,0.29,0.416,0.445,0.714,0.783,0.811,0.793
Danny Granger,0.839,0.462,0.939,0.939,0.81,0.608,0.704,0.473,0.578,0.741,0.765,0.589,0.509,0.298,0.39,0.391,0.164,0.408,0.166,0.444,0.56,0.626,0.613,0.635,0.807,0.954
Danilo Gallinari,0.76,0.269,0.652,0.606,0.531,0.3,0.349,0.235,0.264,0.361,0.434,0.422,0.365,0.106,0.297,0.257,0.175,0.276,0.095,0.274,0.335,0.339,0.61,0.688,0.695,0.952
JaVale McGee,,0.283,0.924,0.682,0.603,0.477,0.413,0.541,0.516,0.0,0.0,0.179,0.292,0.615,0.537,0.608,0.047,0.23,0.548,0.351,0.646,0.374,0.819,0.814,,0.504
Marc Gasol,0.819,0.566,0.985,0.985,0.931,0.555,0.554,0.628,0.68,0.006,0.028,0.55,0.554,0.453,0.785,0.738,0.307,0.408,0.502,0.488,0.782,0.515,0.71,0.716,0.176,0.817
Chris Paul,0.799,0.876,0.909,0.909,0.857,0.661,0.666,0.61,0.633,0.476,0.505,0.603,0.528,0.158,0.292,0.271,0.818,1.0,0.017,0.5,0.537,0.643,0.704,0.748,0.786,0.941
Carmelo Anthony,0.719,0.428,0.833,0.833,0.737,0.686,0.767,0.658,0.768,0.41,0.481,0.684,0.642,0.332,0.438,0.438,0.301,0.408,0.1,0.581,0.607,0.673,0.633,0.665,0.71,0.879
Goran Dragic,0.679,0.352,1.0,0.424,0.688,0.431,0.449,0.369,0.372,0.41,0.479,0.355,0.332,0.2,0.197,0.214,0.529,0.559,0.041,0.633,0.646,0.419,0.68,0.769,0.714,0.88
Ed Davis,0.459,0.269,1.0,0.136,0.603,0.267,0.251,0.303,0.312,0.0,0.002,0.165,0.185,0.506,0.52,0.558,0.09,0.263,0.261,0.27,0.607,0.224,0.756,0.754,0.0,0.732
Samuel Dalembert,0.679,0.283,0.985,0.682,0.568,0.311,0.296,0.353,0.368,0.0,0.002,0.209,0.198,0.596,0.509,0.581,0.05,0.243,0.461,0.331,0.63,0.265,0.745,0.744,0.0,0.87
Marvin Williams,0.799,0.338,0.864,0.561,0.589,0.316,0.352,0.256,0.3,0.349,0.353,0.267,0.255,0.287,0.373,0.375,0.107,0.309,0.075,0.157,0.327,0.313,0.636,0.662,0.824,0.861
Dwyane Wade,0.92,0.531,0.742,0.742,0.638,0.647,0.626,0.707,0.73,0.09,0.133,0.545,0.519,0.275,0.28,0.302,0.339,0.539,0.261,0.52,0.428,0.585,0.732,0.751,0.568,0.864
Danny Green,1.0,0.31,1.0,0.576,0.598,0.328,0.357,0.192,0.227,0.614,0.555,0.183,0.175,0.204,0.297,0.29,0.13,0.382,0.191,0.27,0.416,0.326,0.651,0.657,0.924,0.863
Russell Westbrook,0.939,0.545,1.0,1.0,0.916,0.899,0.948,0.91,1.0,0.373,0.464,0.789,0.722,0.362,0.35,0.383,0.545,0.737,0.087,0.964,0.572,0.842,0.673,0.706,0.669,0.899
Kenneth Faried,0.76,0.317,0.697,0.591,0.407,0.281,0.231,0.319,0.289,0.0,0.0,0.253,0.287,0.536,0.359,0.448,0.054,0.224,0.195,0.218,0.451,0.255,0.863,0.858,,0.727
Jrue Holiday,0.699,0.29,0.985,0.985,0.863,0.56,0.624,0.52,0.62,0.392,0.405,0.218,0.21,0.215,0.265,0.27,0.437,0.678,0.075,0.544,0.533,0.475,0.636,0.652,0.805,0.856
Kobe Bryant,0.819,0.428,0.879,0.879,0.877,0.893,1.0,0.859,0.98,0.524,0.68,0.884,0.788,0.249,0.422,0.399,0.398,0.454,0.075,0.823,0.409,0.874,0.633,0.679,0.642,0.923
Matt Bonner,1.0,0.276,0.985,0.03,0.521,0.24,0.262,0.086,0.093,0.633,0.592,0.037,0.037,0.109,0.316,0.273,0.092,0.099,0.087,0.056,0.265,0.232,0.648,0.717,0.89,0.833
Isaiah Thomas,0.439,0.297,0.985,0.561,0.65,0.398,0.427,0.305,0.329,0.5,0.519,0.357,0.323,0.181,0.205,0.214,0.401,0.349,0.033,0.423,0.471,0.405,0.66,0.719,0.803,0.909
Devin Harris,0.719,0.29,0.955,0.955,0.684,0.375,0.406,0.289,0.307,0.464,0.505,0.362,0.365,0.045,0.171,0.143,0.476,0.421,0.054,0.492,0.529,0.386,0.655,0.729,0.767,0.815
Matt Barnes,0.819,0.297,0.955,0.242,0.566,0.272,0.29,0.228,0.233,0.277,0.327,0.22,0.224,0.366,0.422,0.438,0.19,0.23,0.199,0.294,0.591,0.265,0.666,0.758,0.706,0.811
Wesley Matthews,0.559,0.331,1.0,0.803,0.875,0.488,0.571,0.326,0.398,0.777,0.799,0.341,0.299,0.211,0.287,0.285,0.17,0.632,0.062,0.294,0.576,0.489,0.607,0.635,0.811,0.94
Tony Parker,1.0,0.49,0.909,0.909,0.755,0.664,0.666,0.728,0.775,0.084,0.145,0.527,0.497,0.083,0.255,0.218,0.697,0.375,0.021,0.617,0.292,0.592,0.707,0.729,0.487,0.873
Gordon Hayward,0.719,0.338,1.0,0.879,0.791,0.415,0.439,0.374,0.399,0.331,0.377,0.448,0.406,0.223,0.292,0.293,0.312,0.349,0.17,0.44,0.412,0.423,0.672,0.726,0.733,0.909
Andre Iguodala,0.699,0.503,0.939,0.939,0.868,0.446,0.473,0.372,0.41,0.458,0.457,0.281,0.343,0.211,0.556,0.485,0.511,0.704,0.124,0.464,0.358,0.417,0.669,0.704,0.835,0.674
Kris Humphries,0.439,0.366,0.939,0.939,0.849,0.502,0.502,0.57,0.627,0.0,0.0,0.485,0.486,0.879,0.766,0.868,0.136,0.329,0.307,0.48,0.673,0.462,0.708,0.704,,0.822
Kyrie Irving,0.42,0.283,0.773,0.773,0.612,0.544,0.559,0.489,0.527,0.44,0.434,0.397,0.343,0.166,0.251,0.243,0.414,0.355,0.083,0.645,0.428,0.51,0.691,0.719,0.845,0.953
DeMarcus Cousins,0.439,0.29,0.97,0.939,0.766,0.697,0.748,0.787,0.921,0.012,0.033,0.608,0.652,1.0,0.749,0.896,0.154,0.612,0.311,0.685,1.0,0.627,0.66,0.663,0.303,0.767
Rudy Gay,0.819,0.414,0.985,0.985,0.951,0.754,0.799,0.76,0.836,0.325,0.41,0.483,0.46,0.491,0.491,0.531,0.221,0.625,0.228,0.649,0.537,0.666,0.67,0.706,0.661,0.864
Tyler Hansbrough,0.839,0.269,1.0,0.0,0.566,0.302,0.359,0.342,0.447,0.0,0.002,0.524,0.486,0.426,0.303,0.369,0.045,0.355,0.037,0.262,0.619,0.332,0.596,0.594,0.0,0.889
Paul George,0.839,0.414,1.0,1.0,0.769,0.437,0.478,0.337,0.379,0.542,0.555,0.339,0.318,0.211,0.537,0.471,0.238,0.711,0.158,0.472,0.743,0.431,0.648,0.691,0.816,0.877
Ryan Anderson,0.74,0.614,0.924,0.924,0.771,0.516,0.567,0.293,0.313,1.0,1.0,0.348,0.299,0.845,0.422,0.6,0.081,0.329,0.108,0.23,0.568,0.53,0.647,0.726,0.833,0.958
Luol Deng,1.0,0.4,0.818,0.818,0.836,0.484,0.565,0.409,0.505,0.476,0.509,0.295,0.288,0.291,0.467,0.446,0.236,0.368,0.149,0.387,0.315,0.448,0.607,0.63,0.778,0.842
Gerald Wallace,,0.331,0.879,0.879,0.815,0.446,0.473,0.425,0.45,0.277,0.355,0.418,0.393,0.328,0.511,0.492,0.247,0.559,0.149,0.448,0.564,0.432,0.669,0.732,0.65,0.874
Paul Pierce,0.78,0.483,0.924,0.924,0.815,0.613,0.666,0.519,0.577,0.602,0.647,0.68,0.601,0.14,0.479,0.404,0.413,0.461,0.108,0.698,0.572,0.638,0.652,0.697,0.775,0.931
Marcin Gortat,0.66,0.524,1.0,1.0,0.83,0.664,0.576,0.753,0.717,0.0,0.005,0.378,0.439,0.698,0.81,0.839,0.089,0.316,0.411,0.363,0.553,0.55,0.817,0.816,0.0,0.709
Nikola Pekovic,0.52,0.31,0.712,0.53,0.496,0.398,0.34,0.451,0.424,0.0,0.0,0.323,0.327,0.683,0.282,0.441,0.047,0.191,0.129,0.351,0.381,0.352,0.831,0.826,,0.812
Joe Johnson,0.799,0.441,0.909,0.909,0.835,0.658,0.697,0.526,0.569,0.753,0.763,0.367,0.325,0.2,0.287,0.282,0.349,0.316,0.054,0.468,0.292,0.61,0.669,0.716,0.822,0.928
Taj Gibson,1.0,0.31,0.955,0.0,0.504,0.311,0.302,0.353,0.378,0.0,0.0,0.195,0.236,0.509,0.337,0.423,0.071,0.178,0.336,0.242,0.51,0.262,0.729,0.725,,0.68
Kevin Durant,0.939,0.841,1.0,1.0,1.0,1.0,0.971,0.899,0.891,0.801,0.815,1.0,0.876,0.151,0.832,0.671,0.348,0.579,0.32,1.0,0.518,1.0,0.73,0.783,0.82,0.94
Thaddeus Young,0.699,0.434,0.955,0.015,0.689,0.541,0.514,0.612,0.638,0.006,0.009,0.258,0.252,0.517,0.321,0.414,0.111,0.421,0.17,0.222,0.494,0.437,0.747,0.744,0.53,0.843
Al Jefferson,0.719,0.517,0.924,0.924,0.815,0.802,0.784,0.908,0.976,0.006,0.009,0.318,0.309,0.502,0.773,0.745,0.202,0.309,0.419,0.25,0.603,0.632,0.725,0.722,0.53,0.846
James Harden,0.939,0.641,0.939,0.03,0.764,0.481,0.471,0.344,0.315,0.687,0.692,0.724,0.645,0.113,0.379,0.321,0.345,0.408,0.062,0.552,0.584,0.564,0.723,0.848,0.826,0.925
