Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jack Sikma,0.492,0.529,0.829,0.829,0.755,0.491,0.499,0.489,0.515,0.028,0.052,0.455,0.435,0.373,0.776,0.701,0.254,0.342,0.2,0.491,0.695,0.544,0.768,0.772,0.2,0.939
Clark Kellogg,0.349,0.389,0.939,0.793,0.77,0.599,0.588,0.592,0.607,0.099,0.073,0.408,0.438,0.509,0.694,0.702,0.217,0.354,0.057,0.709,0.718,0.619,0.793,0.793,0.5,0.838
Magic Johnson,0.984,0.809,0.939,0.939,0.874,0.537,0.475,0.53,0.476,0.099,0.192,0.531,0.513,0.205,0.536,0.462,0.862,0.465,0.055,0.936,0.451,0.608,0.881,0.906,0.189,0.929
James Worthy,0.984,0.478,0.976,0.927,0.847,0.65,0.564,0.65,0.585,0.0,0.036,0.258,0.271,0.384,0.475,0.496,0.179,0.358,0.147,0.607,0.57,0.61,0.898,0.904,0.0,0.856
Mike Woodson,0.492,0.268,0.951,0.037,0.628,0.564,0.565,0.56,0.578,0.07,0.109,0.358,0.365,0.157,0.179,0.192,0.127,0.481,0.061,0.426,0.628,0.575,0.779,0.786,0.238,0.882
Hakeem Olajuwon,0.762,0.65,1.0,1.0,0.916,0.721,0.665,0.722,0.695,0.0,0.0,0.459,0.61,1.0,0.742,0.945,0.099,0.407,0.482,0.718,1.0,0.732,0.845,0.845,,0.676
World B. Free,0.572,0.382,0.866,0.61,0.707,0.649,0.702,0.574,0.627,1.0,1.0,0.418,0.455,0.139,0.208,0.205,0.285,0.309,0.035,0.426,0.474,0.69,0.721,0.744,0.368,0.826
Jim Paxson,0.667,0.414,0.829,0.695,0.708,0.541,0.522,0.535,0.524,0.085,0.202,0.266,0.274,0.157,0.212,0.215,0.235,0.416,0.011,0.331,0.334,0.527,0.807,0.83,0.154,0.871
Otis Thorpe,0.492,0.255,1.0,0.28,0.603,0.438,0.362,0.438,0.377,0.0,0.01,0.312,0.41,0.425,0.512,0.539,0.099,0.14,0.081,0.574,0.744,0.455,0.942,0.945,0.0,0.684
Tree Rollins,0.54,0.242,0.854,0.732,0.55,0.198,0.179,0.198,0.187,0.0,0.0,0.091,0.103,0.257,0.457,0.429,0.046,0.144,0.366,0.245,0.619,0.19,0.862,0.862,,0.794
Byron Scott,0.984,0.439,0.988,0.793,0.724,0.576,0.53,0.549,0.521,0.366,0.311,0.254,0.252,0.13,0.212,0.204,0.217,0.412,0.037,0.423,0.573,0.56,0.846,0.857,0.433,0.904
Maurice Cheeks,0.921,0.573,0.951,0.951,0.822,0.449,0.392,0.443,0.395,0.085,0.135,0.237,0.22,0.123,0.226,0.21,0.443,0.695,0.053,0.475,0.535,0.443,0.895,0.914,0.231,0.969
Bobby Jones,0.921,0.306,0.976,0.098,0.513,0.22,0.204,0.221,0.21,0.0,0.021,0.252,0.239,0.239,0.267,0.288,0.138,0.346,0.11,0.362,0.532,0.259,0.845,0.852,0.0,0.949
Cliff Levingston,0.54,0.299,0.902,0.646,0.634,0.31,0.292,0.31,0.304,0.0,0.01,0.197,0.246,0.523,0.467,0.549,0.093,0.288,0.151,0.408,0.672,0.314,0.827,0.83,0.0,0.72
Greg Ballard,0.635,0.382,1.0,0.939,0.837,0.499,0.517,0.485,0.515,0.197,0.238,0.163,0.167,0.341,0.529,0.515,0.185,0.412,0.072,0.325,0.642,0.463,0.754,0.766,0.304,0.877
Brad Davis,0.699,0.471,1.0,1.0,0.798,0.33,0.325,0.28,0.276,0.662,0.596,0.214,0.197,0.089,0.214,0.187,0.517,0.374,0.022,0.377,0.637,0.357,0.793,0.827,0.409,0.979
Mychal Thompson,0.667,0.389,0.963,0.671,0.822,0.609,0.588,0.61,0.614,0.0,0.0,0.417,0.497,0.48,0.565,0.599,0.183,0.321,0.228,0.709,0.628,0.627,0.808,0.808,,0.754
Mark Eaton,0.651,0.344,1.0,1.0,0.884,0.322,0.356,0.322,0.372,0.0,0.0,0.258,0.295,0.47,1.0,0.899,0.11,0.148,1.0,0.632,0.907,0.343,0.705,0.705,,0.785
Bernard King,0.382,0.452,0.671,0.671,0.648,0.736,0.689,0.736,0.714,0.014,0.052,0.578,0.611,0.259,0.282,0.307,0.182,0.292,0.033,0.626,0.555,0.782,0.832,0.838,0.1,0.851
Gus Williams,0.635,0.325,0.963,0.951,0.93,0.679,0.784,0.626,0.722,0.718,0.912,0.341,0.383,0.164,0.171,0.189,0.541,0.733,0.07,0.653,0.462,0.682,0.675,0.705,0.29,0.799
Rolando Blackman,0.699,0.465,0.988,0.976,0.891,0.666,0.65,0.66,0.669,0.085,0.104,0.464,0.457,0.243,0.268,0.291,0.257,0.251,0.035,0.497,0.279,0.691,0.797,0.804,0.3,0.913
Paul Pressey,0.938,0.611,0.976,0.976,0.904,0.511,0.491,0.504,0.502,0.099,0.104,0.43,0.462,0.339,0.389,0.416,0.484,0.531,0.123,0.758,0.75,0.555,0.812,0.818,0.35,0.836
Larry Smith,0.349,0.299,0.976,0.951,0.785,0.39,0.365,0.39,0.381,0.0,0.0,0.21,0.283,0.92,0.644,0.843,0.085,0.321,0.118,0.491,0.828,0.383,0.832,0.832,,0.667
Mike Gminski,0.667,0.389,0.988,0.659,0.76,0.405,0.433,0.405,0.451,0.0,0.005,0.374,0.363,0.52,0.561,0.614,0.141,0.156,0.202,0.417,0.392,0.448,0.73,0.73,0.0,0.927
Mike Mitchell,0.651,0.382,1.0,1.0,0.897,0.825,0.824,0.821,0.848,0.07,0.119,0.365,0.383,0.33,0.378,0.404,0.134,0.251,0.059,0.442,0.637,0.789,0.78,0.788,0.217,0.857
Kelly Tripucka,0.73,0.268,0.671,0.524,0.526,0.422,0.439,0.42,0.456,0.028,0.026,0.346,0.319,0.15,0.211,0.211,0.12,0.202,0.031,0.362,0.343,0.454,0.749,0.749,0.4,0.976
Gene Banks,0.651,0.357,1.0,0.5,0.657,0.308,0.261,0.307,0.271,0.014,0.016,0.27,0.284,0.302,0.433,0.432,0.208,0.267,0.029,0.429,0.64,0.336,0.92,0.923,0.333,0.853
Adrian Dantley,0.651,0.51,0.671,0.561,0.619,0.545,0.51,0.546,0.533,0.0,0.0,0.594,0.603,0.336,0.243,0.313,0.166,0.235,0.018,0.525,0.387,0.632,0.834,0.834,,0.886
Ralph Sampson,0.762,0.395,1.0,1.0,0.97,0.802,0.793,0.803,0.825,0.0,0.031,0.411,0.496,0.516,0.869,0.827,0.199,0.333,0.368,1.0,0.89,0.782,0.788,0.791,0.0,0.745
Terry Tyler,0.73,0.287,1.0,0.646,0.63,0.449,0.452,0.45,0.468,0.0,0.041,0.144,0.164,0.336,0.382,0.41,0.056,0.202,0.197,0.233,0.558,0.411,0.776,0.782,0.0,0.789
T.R. Dunn,0.826,0.28,0.988,0.988,0.72,0.186,0.189,0.187,0.197,0.0,0.01,0.114,0.128,0.384,0.3,0.373,0.136,0.576,0.031,0.199,0.619,0.188,0.768,0.772,0.0,0.798
Vinnie Johnson,0.73,0.268,1.0,0.195,0.658,0.456,0.498,0.451,0.506,0.07,0.14,0.258,0.273,0.305,0.164,0.244,0.289,0.292,0.044,0.414,0.596,0.454,0.713,0.725,0.185,0.848
Sam Perkins,0.699,0.369,1.0,0.512,0.728,0.37,0.389,0.36,0.387,0.127,0.187,0.271,0.27,0.43,0.578,0.587,0.12,0.259,0.138,0.313,0.686,0.39,0.739,0.758,0.25,0.904
James Edwards,0.572,0.236,0.854,0.707,0.562,0.409,0.405,0.409,0.422,0.0,0.016,0.374,0.409,0.216,0.406,0.375,0.136,0.107,0.114,0.497,0.689,0.451,0.786,0.79,0.0,0.822
LaSalle Thompson,0.492,0.338,1.0,0.939,0.772,0.393,0.368,0.393,0.384,0.0,0.0,0.308,0.348,0.623,0.806,0.828,0.116,0.403,0.281,0.62,0.953,0.417,0.834,0.834,,0.795
Charles Barkley,0.921,0.478,1.0,0.732,0.738,0.455,0.414,0.454,0.429,0.014,0.031,0.398,0.442,0.605,0.607,0.682,0.138,0.391,0.175,0.641,0.875,0.496,0.856,0.86,0.167,0.808
Alex English,0.826,0.567,0.988,0.988,0.919,1.0,0.958,1.0,0.998,0.014,0.026,0.52,0.511,0.461,0.354,0.444,0.306,0.416,0.101,0.77,0.753,0.978,0.813,0.815,0.2,0.914
Dominique Wilkins,0.54,0.484,0.988,0.988,0.95,0.908,1.0,0.883,1.0,0.352,0.42,0.659,0.667,0.514,0.46,0.54,0.178,0.556,0.118,0.69,0.494,0.958,0.708,0.717,0.309,0.889
George Gervin,0.651,0.293,0.878,0.841,0.657,0.639,0.625,0.64,0.648,0.0,0.052,0.44,0.425,0.18,0.215,0.227,0.159,0.272,0.105,0.607,0.605,0.659,0.797,0.804,0.0,0.931
Calvin Natt,0.826,0.65,0.951,0.927,0.835,0.729,0.664,0.73,0.692,0.0,0.016,0.607,0.624,0.475,0.557,0.592,0.212,0.309,0.072,0.583,0.529,0.786,0.857,0.859,0.0,0.874
Sam Bowie,0.667,0.363,0.927,0.756,0.696,0.318,0.295,0.319,0.308,0.0,0.0,0.217,0.249,0.47,0.624,0.636,0.191,0.226,0.445,0.528,0.808,0.328,0.843,0.843,,0.784
Reggie Theus,0.492,0.293,1.0,0.976,0.799,0.534,0.544,0.529,0.548,0.07,0.197,0.453,0.428,0.241,0.228,0.262,0.584,0.391,0.039,0.942,0.727,0.58,0.765,0.786,0.132,0.951
Clyde Drexler,0.667,0.478,0.976,0.524,0.803,0.61,0.614,0.602,0.621,0.113,0.192,0.303,0.325,0.493,0.36,0.462,0.393,0.728,0.149,0.684,0.77,0.595,0.776,0.79,0.216,0.837
Sidney Moncrief,0.938,0.713,0.89,0.878,0.859,0.597,0.614,0.588,0.624,0.127,0.171,0.616,0.606,0.339,0.336,0.379,0.34,0.481,0.086,0.564,0.573,0.685,0.758,0.768,0.273,0.913
Kiki Vandeweghe,0.667,0.535,0.878,0.841,0.786,0.658,0.612,0.647,0.622,0.155,0.171,0.501,0.456,0.168,0.214,0.221,0.094,0.152,0.048,0.356,0.337,0.699,0.838,0.848,0.333,0.988
Orlando Woolridge,0.603,0.573,0.939,0.927,0.885,0.723,0.648,0.724,0.674,0.0,0.026,0.555,0.576,0.359,0.385,0.422,0.12,0.239,0.083,0.546,0.538,0.764,0.87,0.874,0.0,0.865
Jeff Malone,0.635,0.363,0.927,0.744,0.821,0.644,0.641,0.629,0.63,0.211,0.373,0.286,0.277,0.136,0.203,0.2,0.164,0.214,0.02,0.328,0.512,0.621,0.783,0.812,0.208,0.931
