Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dave Piontek,0.3,-0.004,0.562,,0.158,0.052,0.071,0.052,0.071,,,0.047,0.043,,,0.076,0.034,,,,0.27,0.051,0.711,0.711,,0.737
Tom Heinsohn,1.0,0.403,0.988,,0.614,0.433,0.511,0.433,0.511,,,0.429,0.321,,,0.364,0.184,,,,0.848,0.432,0.827,0.827,,0.913
Hal Greer,0.684,0.368,0.887,,0.697,0.403,0.456,0.403,0.456,,,0.396,0.296,,,0.255,0.348,,,,0.764,0.402,0.861,0.861,,0.913
Cleo Hill,0.484,0.013,0.725,,0.27,0.067,0.098,0.067,0.098,,,0.127,0.101,,,0.087,0.127,,,,0.297,0.079,0.667,0.667,,0.863
Jimmy Darrow,0.484,-0.004,0.062,,0.009,0.002,0.005,0.002,0.005,,,0.007,0.005,,,0.003,0.007,,,,0.027,0.003,0.385,0.385,,0.955
Bob McNeill,,0.03,0.625,,0.114,0.035,0.043,0.035,0.043,,,0.031,0.025,,,0.027,0.099,,,,0.17,0.034,0.794,0.794,,0.853
Stacey Arceneaux,0.484,-0.004,0.087,,0.028,0.014,0.018,0.014,0.018,,,0.007,0.01,,,0.016,0.004,,,,0.03,0.012,0.757,0.757,,0.515
Bailey Howell,0.617,0.463,0.988,,0.736,0.346,0.378,0.346,0.378,,,0.563,0.449,,,0.485,0.207,,,,0.961,0.391,0.894,0.894,,0.856
Al Bianchi,0.684,0.104,1.0,,0.496,0.21,0.268,0.21,0.268,,,0.184,0.162,,,0.137,0.293,,,,0.703,0.205,0.765,0.765,,0.777
Paul Arizin,0.817,0.273,0.975,,0.717,0.383,0.472,0.383,0.472,,,0.58,0.441,,,0.257,0.224,,,,0.93,0.423,0.79,0.79,,0.897
Ted Luckenbill,0.817,0.017,0.838,,0.102,0.027,0.038,0.027,0.038,,,0.059,0.056,,,0.054,0.03,,,,0.203,0.034,0.69,0.69,,0.719
Paul Neumann,0.684,0.139,0.963,,0.326,0.108,0.127,0.108,0.127,,,0.159,0.126,,,0.095,0.196,,,,0.615,0.118,0.827,0.827,,0.862
Joe Buckhalter,0.717,0.052,0.787,,0.188,0.096,0.106,0.096,0.106,,,0.08,0.079,,,0.128,0.048,,,,0.373,0.093,0.882,0.882,,0.691
Darrall Imhoff,0.484,0.03,0.95,,0.382,0.116,0.153,0.116,0.153,,,0.096,0.102,,,0.229,0.091,,,,0.697,0.112,0.744,0.744,,0.642
Bevo Nordmann,0.717,0.004,0.725,,0.089,0.032,0.04,0.032,0.04,,,0.035,0.042,,,0.062,0.02,,,,0.245,0.033,0.78,0.78,,0.567
Joe Roberts,0.684,0.082,1.0,,0.423,0.152,0.196,0.152,0.196,,,0.154,0.142,,,0.262,0.056,,,,0.697,0.153,0.757,0.757,,0.741
Bob Pettit,0.484,0.498,0.975,,0.845,0.543,0.61,0.543,0.61,,,0.832,0.661,,,0.711,0.321,,,,0.897,0.603,0.867,0.867,,0.86
Horace Walker,0.3,0.013,0.812,,0.343,0.093,0.139,0.093,0.139,,,0.168,0.142,,,0.227,0.077,,,,0.588,0.109,0.653,0.653,,0.808
Ray Scott,0.617,0.108,0.938,,0.538,0.232,0.303,0.232,0.303,,,0.305,0.285,,,0.422,0.147,,,,0.703,0.247,0.746,0.746,,0.732
Willie Naulls,0.484,0.238,0.938,,0.767,0.468,0.569,0.468,0.569,,,0.459,0.334,,,0.423,0.214,,,,0.788,0.466,0.8,0.8,,0.939
Johnny Green,0.484,0.221,1.0,,0.718,0.317,0.368,0.317,0.368,,,0.313,0.318,,,0.519,0.212,,,,0.803,0.316,0.84,0.84,,0.67
Clyde Lovellette,0.484,0.156,0.5,,0.307,0.214,0.229,0.214,0.229,,,0.186,0.137,,,0.171,0.076,,,,0.412,0.208,0.908,0.908,,0.924
Sam Stith,0.484,-0.004,0.4,,0.113,0.037,0.051,0.037,0.051,,,0.028,0.028,,,0.025,0.067,,,,0.167,0.035,0.701,0.701,,0.674
Ralph Davis,0.3,0.026,0.963,,0.513,0.228,0.279,0.228,0.279,,,0.085,0.076,,,0.079,0.275,,,,0.567,0.198,0.796,0.796,,0.768
Jerry West,0.9,0.558,0.938,,0.795,0.5,0.568,0.5,0.568,,,0.853,0.679,,,0.288,0.447,,,,0.524,0.573,0.857,0.857,,0.857
Ed Burton,0.484,0.0,0.1,,0.007,0.004,0.004,0.004,0.004,,,0.001,0.003,,,0.002,0.001,,,,0.009,0.004,0.963,0.963,,0.279
Cliff Hagan,0.484,0.368,0.963,,0.717,0.439,0.472,0.439,0.472,,,0.434,0.322,,,0.308,0.412,,,,0.855,0.438,0.906,0.906,,0.92
K.C. Jones,1.0,0.212,1.0,,0.529,0.184,0.229,0.184,0.229,,,0.176,0.17,,,0.145,0.382,,,,0.624,0.182,0.782,0.782,,0.707
Ron Horn,0.484,-0.009,0.037,,0.006,0.001,0.004,0.001,0.004,,,0.001,0.001,,,0.003,0.001,,,,0.012,0.001,0.16,0.16,,0.557
Gary Phillips,1.0,0.013,0.838,,0.184,0.069,0.098,0.069,0.098,,,0.06,0.063,,,0.052,0.071,,,,0.33,0.067,0.684,0.684,,0.648
Don Ohl,0.617,0.195,0.963,,0.651,0.348,0.396,0.348,0.396,,,0.241,0.205,,,0.13,0.271,,,,0.524,0.325,0.855,0.855,,0.8
Al Attles,0.817,0.225,0.938,,0.636,0.215,0.229,0.215,0.229,,,0.189,0.196,,,0.173,0.37,,,,0.845,0.209,0.913,0.913,,0.66
Bill Russell,1.0,0.671,0.95,,0.884,0.36,0.398,0.36,0.398,,,0.343,0.353,,,0.872,0.379,,,,0.627,0.356,0.881,0.881,,0.663
George Bon Salle,0.3,-0.004,0.037,,0.002,0.001,0.003,0.001,0.003,,,0.0,0.0,,,0.001,0.0,,,,0.0,0.001,0.482,0.482,,
Tom Sanders,1.0,0.312,1.0,,0.599,0.219,0.255,0.219,0.255,,,0.236,0.193,,,0.371,0.082,,,,0.845,0.223,0.838,0.838,,0.835
Guy Rodgers,0.817,0.091,1.0,,0.683,0.167,0.237,0.167,0.237,,,0.145,0.134,,,0.17,0.715,,,,0.945,0.163,0.686,0.686,,0.741
Cleveland Buckner,0.484,0.056,0.775,,0.179,0.099,0.116,0.099,0.116,,,0.099,0.098,,,0.115,0.043,,,,0.345,0.099,0.83,0.83,,0.696
Walt Bellamy,0.3,0.706,0.988,,0.861,0.609,0.594,0.609,0.594,,,0.657,0.626,,,0.731,0.234,,,,0.852,0.619,1.0,1.0,,0.718
Bobby Smith,0.9,0.0,0.037,,0.002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.003,0.0,0.0,0.0,,
Frank Ramsey,1.0,0.316,0.988,,0.493,0.273,0.323,0.273,0.323,,,0.4,0.297,,,0.189,0.121,,,,0.742,0.299,0.825,0.825,,0.92
Frank Selvy,0.9,0.238,0.988,,0.723,0.271,0.327,0.271,0.327,,,0.357,0.296,,,0.201,0.424,,,,0.703,0.289,0.809,0.809,,0.823
Willie Jones,0.617,-0.004,0.863,,0.259,0.111,0.15,0.111,0.15,,,0.077,0.074,,,0.086,0.128,,,,0.415,0.104,0.719,0.719,,0.707
Chuck Osborne,0.684,-0.004,0.05,,0.005,0.001,0.003,0.001,0.003,,,0.004,0.003,,,0.004,0.001,,,,0.009,0.001,0.241,0.241,,0.836
Ed Conlin,0.817,-0.004,0.875,,0.248,0.08,0.117,0.08,0.117,,,0.079,0.065,,,0.076,0.095,,,,0.358,0.08,0.665,0.665,,0.827
Andy Johnson,0.3,0.199,0.887,,0.565,0.229,0.258,0.229,0.258,,,0.34,0.332,,,0.171,0.254,,,,0.748,0.252,0.863,0.863,,0.7
Bucky Bockhorn,0.717,0.134,1.0,,0.789,0.332,0.391,0.332,0.391,,,0.237,0.184,,,0.183,0.407,,,,0.848,0.313,0.829,0.829,,0.88
Ray Felix,0.9,0.1,1.0,,0.381,0.107,0.126,0.107,0.126,,,0.108,0.095,,,0.231,0.061,,,,0.806,0.107,0.829,0.829,,0.771
Frank Radovich,0.817,0.0,0.463,,0.045,0.023,0.029,0.023,0.029,,,0.016,0.019,,,0.025,0.004,,,,0.082,0.022,0.767,0.767,,0.557
Bob Boozer,0.717,0.169,0.988,,0.641,0.257,0.296,0.257,0.296,,,0.315,0.273,,,0.392,0.145,,,,0.833,0.269,0.844,0.844,,0.788
Tom Hawkins,0.9,0.091,0.988,,0.49,0.181,0.223,0.181,0.223,,,0.171,0.163,,,0.25,0.106,,,,0.739,0.179,0.792,0.792,,0.718
Tom Meschery,0.817,0.16,1.0,,0.646,0.235,0.294,0.235,0.294,,,0.259,0.192,,,0.355,0.161,,,,1.0,0.24,0.778,0.778,,0.919
Jack Twyman,0.717,0.372,1.0,,0.77,0.463,0.488,0.463,0.488,,,0.423,0.319,,,0.311,0.239,,,,0.979,0.454,0.923,0.923,,0.904
Elgin Baylor,0.9,0.342,0.6,,0.548,0.426,0.503,0.426,0.503,,,0.57,0.463,,,0.435,0.247,,,,0.47,0.456,0.825,0.825,,0.841
Fred LaCour,0.484,0.074,0.912,,0.388,0.144,0.17,0.144,0.17,,,0.127,0.095,,,0.133,0.185,,,,0.509,0.14,0.827,0.827,,0.909
Hub Reed,0.717,0.056,1.0,,0.372,0.127,0.146,0.127,0.146,,,0.072,0.06,,,0.214,0.059,,,,0.809,0.116,0.85,0.85,,0.816
Jim Krebs,0.9,0.182,0.975,,0.518,0.195,0.222,0.195,0.222,,,0.187,0.153,,,0.3,0.122,,,,0.879,0.194,0.857,0.857,,0.836
Jim Loscutoff,1.0,0.022,0.988,,0.295,0.118,0.164,0.118,0.164,,,0.054,0.062,,,0.16,0.057,,,,0.561,0.104,0.697,0.697,,0.598
Sam Jones,1.0,0.416,0.975,,0.615,0.373,0.406,0.373,0.406,,,0.291,0.218,,,0.223,0.258,,,,0.452,0.356,0.894,0.894,,0.912
George Blaney,0.484,-0.004,0.45,,0.094,0.034,0.045,0.034,0.045,,,0.011,0.012,,,0.018,0.05,,,,0.103,0.029,0.732,0.732,,0.59
Bob Sims,,0.017,0.812,,0.346,0.121,0.155,0.121,0.155,,,0.147,0.158,,,0.089,0.171,,,,0.567,0.126,0.757,0.757,,0.634
Bob Cousy,1.0,0.273,0.938,,0.545,0.289,0.374,0.289,0.374,,,0.301,0.244,,,0.127,0.65,,,,0.409,0.292,0.753,0.753,,0.841
Bob Ferry,0.617,0.212,1.0,,0.494,0.257,0.297,0.257,0.297,,,0.343,0.31,,,0.245,0.161,,,,0.603,0.275,0.844,0.844,,0.756
Al Butler,,0.177,0.738,,0.519,0.219,0.239,0.219,0.239,,,0.154,0.134,,,0.164,0.228,,,,0.473,0.205,0.892,0.892,,0.79
Red Kerr,0.684,0.338,1.0,,0.713,0.339,0.386,0.339,0.386,,,0.266,0.222,,,0.573,0.27,,,,0.824,0.324,0.854,0.854,,0.819
Larry Costello,0.684,0.255,0.787,,0.478,0.194,0.23,0.194,0.23,,,0.296,0.216,,,0.119,0.399,,,,0.667,0.215,0.823,0.823,,0.933
Tom Gola,0.817,0.19,0.75,,0.634,0.202,0.242,0.202,0.242,,,0.211,0.169,,,0.286,0.328,,,,0.809,0.204,0.811,0.811,,0.853
Dave Budd,0.484,0.1,0.988,,0.353,0.118,0.136,0.118,0.136,,,0.165,0.169,,,0.168,0.096,,,,0.491,0.128,0.84,0.84,,0.666
Wilt Chamberlain,0.817,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,0.214,,,,0.373,1.0,0.975,0.975,,0.683
Dave Gambee,0.684,0.303,1.0,,0.593,0.299,0.356,0.299,0.356,,,0.46,0.345,,,0.308,0.127,,,,0.833,0.332,0.817,0.817,,0.911
George Lee,0.617,0.074,0.938,,0.348,0.112,0.158,0.112,0.158,,,0.255,0.205,,,0.17,0.071,,,,0.388,0.142,0.69,0.69,,0.848
Howie Jolliff,0.9,0.052,0.8,,0.282,0.065,0.08,0.065,0.08,,,0.049,0.057,,,0.187,0.085,,,,0.53,0.062,0.792,0.792,,0.586
Adrian Smith,0.717,0.078,1.0,,0.377,0.126,0.158,0.126,0.158,,,0.206,0.163,,,0.074,0.186,,,,0.306,0.143,0.78,0.78,,0.864
Doug Kistler,0.484,0.0,0.062,,0.003,0.002,0.002,0.002,0.002,,,0.002,0.003,,,0.0,0.0,,,,0.006,0.002,0.963,0.963,,0.557
Bill Smith,0.484,-0.009,0.113,,0.021,0.005,0.01,0.005,0.01,,,0.008,0.006,,,0.008,0.008,,,,0.018,0.006,0.466,0.466,,0.975
Slick Leonard,0.3,0.052,0.875,,0.635,0.265,0.357,0.265,0.357,,,0.334,0.272,,,0.097,0.42,,,,0.564,0.279,0.723,0.723,,0.838
