Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Johnny McCarthy,1.0,0.008,0.346,,0.056,0.013,0.021,0.013,0.021,,,0.006,0.013,,,0.018,0.028,,,,0.129,0.013,0.333,0.333,,0.44
Dave Budd,0.373,0.036,0.901,,0.279,0.106,0.129,0.106,0.129,,,0.105,0.113,,,0.143,0.066,,,,0.4,0.115,0.431,0.431,,0.834
Johnny Green,0.373,0.104,0.988,,0.578,0.4,0.446,0.4,0.446,,,0.244,0.386,,,0.414,0.181,,,,0.757,0.393,0.47,0.47,,0.568
Dave Gambee,0.576,0.064,0.506,,0.251,0.124,0.164,0.124,0.164,,,0.189,0.182,,,0.133,0.04,,,,0.495,0.152,0.394,0.394,,0.933
George Lee,0.813,0.024,0.667,,0.142,0.053,0.074,0.053,0.074,,,0.059,0.07,,,0.05,0.029,,,,0.206,0.059,0.379,0.379,,0.757
Tom Hoover,0.373,0.016,0.728,,0.268,0.085,0.107,0.085,0.107,,,0.101,0.13,,,0.172,0.041,,,,0.569,0.097,0.413,0.413,,0.702
Jim King,0.711,0.044,0.741,,0.207,0.07,0.086,0.07,0.086,,,0.083,0.099,,,0.059,0.127,,,,0.305,0.079,0.424,0.424,,0.746
Adrian Smith,0.932,0.076,0.815,,0.413,0.194,0.251,0.194,0.251,,,0.193,0.194,,,0.076,0.167,,,,0.505,0.211,0.406,0.406,,0.894
John Rudometkin,0.373,0.064,0.642,,0.189,0.128,0.142,0.128,0.142,,,0.109,0.114,,,0.085,0.03,,,,0.265,0.134,0.472,0.472,,0.857
Jackie Moreland,0.39,0.092,0.963,,0.483,0.226,0.278,0.226,0.278,,,0.205,0.207,,,0.21,0.139,,,,0.825,0.24,0.426,0.426,,0.893
Barney Cable,0.526,0.012,0.877,,0.305,0.096,0.126,0.096,0.126,,,0.035,0.041,,,0.156,0.054,,,,0.511,0.088,0.4,0.4,,0.762
Oscar Robertson,0.932,0.824,0.975,,0.965,0.698,0.757,0.698,0.757,,,1.0,0.923,,,0.406,1.0,,,,0.862,0.841,0.483,0.483,,0.975
Richie Guerin,,0.252,0.988,,0.641,0.292,0.368,0.292,0.368,,,0.434,0.417,,,0.133,0.432,,,,0.849,0.356,0.415,0.415,,0.935
Ben Warley,0.576,0.152,0.975,,0.472,0.179,0.215,0.179,0.215,,,0.275,0.3,,,0.321,0.082,,,,0.843,0.22,0.435,0.435,,0.824
Johnny Egan,,0.128,0.815,,0.631,0.277,0.33,0.277,0.33,,,0.241,0.239,,,0.099,0.412,,,,0.557,0.292,0.441,0.441,,0.907
Lenny Wilkens,0.779,0.2,0.963,,0.685,0.277,0.352,0.277,0.352,,,0.338,0.359,,,0.174,0.414,,,,0.883,0.318,0.413,0.413,,0.846
Gene Wiley,0.711,0.112,0.963,,0.409,0.121,0.119,0.121,0.119,,,0.056,0.074,,,0.264,0.051,,,,0.692,0.114,0.535,0.535,,0.686
Gene Tormohlen,0.779,0.0,0.63,,0.173,0.078,0.109,0.078,0.109,,,0.028,0.045,,,0.112,0.058,,,,0.394,0.071,0.376,0.376,,0.546
Art Heyman,0.373,0.108,0.926,,0.606,0.359,0.436,0.359,0.436,,,0.361,0.415,,,0.154,0.295,,,,0.705,0.391,0.431,0.431,,0.783
Bud Olsen,0.932,0.008,0.605,,0.139,0.071,0.091,0.071,0.091,,,0.04,0.056,,,0.077,0.033,,,,0.24,0.069,0.405,0.405,,0.641
Wayne Embry,0.932,0.252,0.988,,0.79,0.462,0.528,0.462,0.528,,,0.339,0.41,,,0.479,0.13,,,,1.0,0.469,0.458,0.458,,0.743
Mike Farmer,0.779,0.052,0.938,,0.369,0.148,0.191,0.148,0.191,,,0.085,0.082,,,0.117,0.126,,,,0.431,0.144,0.406,0.406,,0.936
John Barnhill,0.779,0.04,0.914,,0.371,0.173,0.22,0.173,0.22,,,0.087,0.113,,,0.081,0.167,,,,0.329,0.165,0.412,0.412,,0.696
Larry Siegfried,1.0,0.02,0.383,,0.071,0.029,0.048,0.029,0.048,,,0.039,0.038,,,0.026,0.046,,,,0.102,0.034,0.318,0.318,,0.909
Gus Johnson,0.526,0.14,0.963,,0.772,0.474,0.578,0.474,0.578,,,0.263,0.314,,,0.551,0.195,,,,0.988,0.459,0.43,0.43,,0.752
Wayne Hightower,0.813,0.16,0.975,,0.687,0.326,0.445,0.326,0.445,,,0.325,0.324,,,0.293,0.153,,,,0.828,0.355,0.385,0.385,,0.903
Rudy LaRusso,0.711,0.22,0.975,,0.744,0.28,0.338,0.28,0.338,,,0.372,0.391,,,0.415,0.219,,,,0.825,0.33,0.434,0.434,,0.858
Jay Arnette,0.932,0.004,0.593,,0.136,0.059,0.085,0.059,0.085,,,0.052,0.053,,,0.028,0.082,,,,0.323,0.062,0.362,0.362,,0.889
