Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Curtis Perry,0.711,0.339,0.816,,0.696,0.407,0.405,0.413,0.405,,,0.31,0.313,0.49,0.438,0.495,0.264,0.243,0.195,,0.756,0.385,0.855,0.855,,0.793
Lou Hudson,0.492,0.333,0.931,,0.757,0.6,0.628,0.609,0.628,,,0.42,0.381,0.259,0.176,0.217,0.311,0.358,0.05,,0.677,0.558,0.812,0.812,,0.882
Dave Cowens,0.915,0.605,0.897,,0.917,0.644,0.68,0.654,0.68,,,0.456,0.445,0.833,0.82,0.901,0.472,0.272,0.21,,0.882,0.601,0.806,0.806,,0.819
Jamaal Wilkes,1.0,0.469,0.943,,0.804,0.65,0.696,0.661,0.696,,,0.402,0.385,0.48,0.474,0.521,0.242,0.295,0.092,,0.624,0.593,0.797,0.797,,0.836
Cornell Warner,0.678,0.243,0.931,,0.743,0.264,0.273,0.269,0.273,,,0.158,0.168,0.555,0.449,0.522,0.154,0.159,0.136,,0.795,0.24,0.824,0.824,,0.753
Bob Lanier,0.61,0.571,0.736,,0.699,0.57,0.53,0.579,0.53,,,0.504,0.484,0.54,0.476,0.539,0.315,0.228,0.254,,0.57,0.555,0.916,0.916,,0.832
Caldwell Jones,,0.35,0.874,,0.791,0.446,0.469,0.453,0.466,0.0,0.034,0.248,0.243,0.612,0.546,0.617,0.213,0.234,0.645,0.461,0.902,0.4,0.809,0.816,0.0,0.816
Slick Watts,0.728,0.266,0.943,,0.821,0.456,0.529,0.464,0.529,,,0.353,0.45,0.279,0.228,0.264,0.959,0.754,0.047,,0.758,0.433,0.735,0.735,,0.626
Elvin Hayes,0.812,0.458,0.92,,0.88,0.684,0.72,0.695,0.72,,,0.509,0.598,0.522,0.601,0.635,0.176,0.301,0.598,,0.823,0.644,0.809,0.809,,0.68
James Silas,,0.74,0.966,,0.921,0.757,0.722,0.769,0.721,0.0,0.01,1.0,0.847,0.276,0.202,0.242,0.656,0.448,0.071,0.706,0.739,0.812,0.893,0.895,0.0,0.945
Tiny Archibald,0.525,0.452,0.897,,0.942,0.756,0.825,0.768,0.825,,,0.888,0.818,0.167,0.131,0.154,0.893,0.364,0.044,,0.475,0.786,0.78,0.78,,0.869
Truck Robinson,0.812,0.243,0.943,,0.608,0.373,0.406,0.379,0.406,,,0.374,0.411,0.346,0.376,0.403,0.164,0.121,0.317,,0.671,0.373,0.781,0.781,,0.728
Louie Dampier,,0.339,0.943,,0.839,0.479,0.495,0.453,0.449,0.444,0.418,0.223,0.191,0.087,0.112,0.115,0.678,0.173,0.136,0.411,0.396,0.434,0.824,0.845,0.736,0.935
Sam Lacey,0.525,0.282,0.931,,0.912,0.431,0.531,0.438,0.531,,,0.385,0.374,0.542,0.725,0.74,0.549,0.382,0.396,,0.803,0.42,0.69,0.69,,0.822
Bob McAdoo,0.779,0.695,0.897,,0.985,0.984,1.0,1.0,1.0,,,0.991,0.961,0.6,0.652,0.698,0.457,0.269,0.473,,0.837,0.986,0.838,0.838,,0.826
Bobby Jones,,0.576,0.954,,0.842,0.537,0.458,0.546,0.458,0.0,0.0,0.381,0.403,0.6,0.495,0.572,0.48,0.491,0.544,0.644,0.711,0.502,1.0,1.0,,0.756
Kevin Kunnert,0.678,0.271,0.92,,0.691,0.49,0.497,0.498,0.497,,,0.181,0.204,0.664,0.468,0.569,0.225,0.165,0.311,,0.885,0.419,0.838,0.838,,0.709
Fred Brown,0.728,0.497,0.874,,0.744,0.782,0.794,0.794,0.794,,,0.484,0.411,0.276,0.185,0.229,0.3,0.413,0.053,,0.522,0.714,0.84,0.84,,0.941
Nate Williams,0.643,0.243,0.931,,0.572,0.444,0.494,0.451,0.494,,,0.349,0.313,0.336,0.203,0.26,0.155,0.315,0.05,,0.711,0.422,0.764,0.764,,0.893
Eric Money,0.61,0.237,0.92,,0.671,0.473,0.494,0.481,0.494,,,0.257,0.236,0.192,0.117,0.15,0.491,0.396,0.033,,0.683,0.424,0.816,0.816,,0.873
Geoff Petrie,0.626,0.26,0.828,,0.757,0.572,0.614,0.581,0.614,,,0.491,0.437,0.095,0.117,0.121,0.479,0.237,0.015,,0.545,0.554,0.793,0.793,,0.898
Jim Cleamons,0.831,0.401,0.943,,0.839,0.435,0.462,0.442,0.462,,,0.309,0.285,0.308,0.207,0.256,0.621,0.358,0.059,,0.601,0.406,0.802,0.802,,0.865
Rick Barry,1.0,0.542,0.931,,0.924,0.745,0.847,0.757,0.847,,,0.509,0.407,0.184,0.38,0.359,0.72,0.584,0.08,,0.604,0.691,0.749,0.749,,1.0
Brian Taylor,,0.271,0.621,,0.513,0.373,0.377,0.345,0.338,0.444,0.365,0.291,0.271,0.174,0.083,0.117,0.296,0.361,0.065,0.425,0.388,0.367,0.842,0.855,0.842,0.858
Campy Russell,0.831,0.379,0.943,,0.58,0.509,0.523,0.517,0.523,,,0.472,0.45,0.333,0.19,0.249,0.155,0.199,0.03,,0.649,0.5,0.83,0.83,,0.837
