Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jack Sikma,0.549,0.559,1.0,,0.855,0.655,0.732,0.656,0.733,0.0,0.037,0.538,0.514,0.388,0.925,0.722,0.338,0.336,0.335,0.653,0.825,0.624,0.678,0.681,0.0,0.859
Magic Johnson,0.872,0.448,0.451,,0.401,0.343,0.328,0.341,0.32,0.067,0.125,0.271,0.28,0.213,0.303,0.271,0.432,0.547,0.097,0.464,0.292,0.325,0.794,0.809,0.176,0.793
Bob Lanier,0.968,0.476,0.817,,0.513,0.414,0.4,0.413,0.401,0.022,0.007,0.329,0.345,0.27,0.395,0.35,0.244,0.315,0.291,0.451,0.538,0.392,0.784,0.782,1.0,0.784
Caldwell Jones,1.0,0.385,0.988,,0.772,0.24,0.271,0.24,0.272,0.0,0.0,0.234,0.24,0.422,0.849,0.689,0.166,0.228,0.482,0.545,0.792,0.238,0.67,0.67,,0.801
Mitch Kupchak,0.63,0.364,1.0,,0.566,0.431,0.417,0.432,0.419,0.0,0.007,0.38,0.423,0.418,0.514,0.482,0.084,0.155,0.094,0.523,0.57,0.418,0.784,0.784,0.0,0.737
World B. Free,0.63,0.517,0.793,,0.694,0.568,0.646,0.563,0.632,0.111,0.228,0.835,0.807,0.101,0.154,0.135,0.492,0.366,0.04,0.633,0.535,0.638,0.666,0.678,0.161,0.85
Joe Barry Carroll,0.63,0.399,1.0,,0.854,0.678,0.7,0.679,0.703,0.0,0.015,0.498,0.547,0.578,0.672,0.643,0.159,0.216,0.435,0.789,0.915,0.631,0.733,0.734,0.0,0.747
Elvin Hayes,0.63,0.357,0.988,,0.858,0.642,0.724,0.644,0.722,0.0,0.074,0.429,0.546,0.496,0.767,0.669,0.134,0.293,0.615,0.614,0.877,0.587,0.673,0.678,0.0,0.644
James Silas,0.839,0.49,0.915,,0.601,0.524,0.557,0.525,0.558,0.0,0.015,0.592,0.547,0.093,0.259,0.196,0.388,0.22,0.043,0.516,0.377,0.541,0.712,0.713,0.0,0.887
Tiny Archibald,1.0,0.483,0.976,0.878,0.825,0.42,0.428,0.421,0.425,0.0,0.066,0.541,0.521,0.076,0.194,0.149,0.842,0.323,0.065,0.86,0.588,0.451,0.745,0.754,0.0,0.852
Kevin Porter,0.63,0.448,0.988,,0.754,0.491,0.48,0.488,0.475,0.067,0.088,0.302,0.307,0.074,0.123,0.105,1.0,0.474,0.036,0.815,0.751,0.443,0.775,0.781,0.25,0.807
Truck Robinson,0.919,0.531,1.0,,0.904,0.712,0.715,0.713,0.718,0.0,0.0,0.394,0.493,0.456,0.794,0.669,0.281,0.293,0.137,0.812,0.643,0.629,0.754,0.754,,0.657
Jim Paxson,0.726,0.538,0.963,,0.79,0.644,0.61,0.643,0.596,0.044,0.221,0.288,0.308,0.156,0.19,0.179,0.407,0.603,0.032,0.425,0.503,0.552,0.8,0.819,0.067,0.766
