Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Derrick Coleman,0.484,0.291,0.683,0.659,0.626,0.399,0.549,0.369,0.475,0.129,0.196,0.573,0.574,0.509,0.593,0.574,0.185,0.151,0.293,0.635,0.481,0.495,0.727,0.776,0.233,0.821
A.C. Green,0.952,0.383,1.0,0.634,0.799,0.334,0.387,0.288,0.308,0.198,0.208,0.383,0.402,0.591,0.664,0.65,0.126,0.237,0.097,0.421,0.433,0.396,0.864,0.935,0.339,0.784
Scott Burrell,0.807,0.32,0.793,0.756,0.599,0.298,0.372,0.195,0.225,0.442,0.385,0.152,0.169,0.293,0.38,0.358,0.159,0.323,0.125,0.314,0.555,0.324,0.801,0.865,0.409,0.743
Hakeem Olajuwon,0.758,0.611,0.878,0.878,0.849,0.858,0.969,0.855,0.962,0.014,0.026,0.619,0.629,0.524,0.843,0.753,0.252,0.573,0.754,0.875,0.742,0.866,0.887,0.889,0.188,0.809
Horace Grant,0.919,0.543,0.902,0.902,0.801,0.431,0.444,0.431,0.44,0.0,0.013,0.223,0.247,0.68,0.688,0.695,0.171,0.328,0.274,0.314,0.602,0.41,0.973,0.981,0.0,0.741
Charles Smith,0.888,0.274,0.927,0.707,0.64,0.378,0.469,0.371,0.451,0.032,0.051,0.389,0.377,0.439,0.252,0.315,0.119,0.211,0.296,0.542,0.849,0.417,0.808,0.824,0.226,0.848
Stacey Augmon,0.677,0.291,0.927,0.927,0.703,0.427,0.55,0.419,0.535,0.032,0.043,0.384,0.405,0.479,0.295,0.358,0.195,0.431,0.146,0.561,0.484,0.455,0.777,0.785,0.269,0.779
Derrick McKey,0.839,0.423,0.988,0.988,0.835,0.442,0.523,0.408,0.468,0.147,0.146,0.337,0.348,0.381,0.376,0.383,0.273,0.539,0.153,0.62,0.772,0.464,0.846,0.87,0.36,0.797
Christian Laettner,0.339,0.354,0.988,0.976,0.824,0.484,0.577,0.47,0.554,0.06,0.065,0.623,0.585,0.5,0.628,0.596,0.231,0.435,0.271,0.83,0.896,0.571,0.839,0.85,0.325,0.876
Vincent Askew,0.919,0.263,0.866,0.012,0.512,0.267,0.316,0.233,0.258,0.143,0.154,0.268,0.279,0.198,0.162,0.176,0.174,0.211,0.04,0.314,0.567,0.304,0.844,0.904,0.33,0.791
Otis Thorpe,,0.32,0.854,0.427,0.624,0.414,0.427,0.414,0.424,0.0,0.011,0.255,0.329,0.616,0.498,0.542,0.111,0.177,0.087,0.487,0.665,0.405,0.969,0.976,0.0,0.636
Jamal Mashburn,0.581,0.36,0.976,0.976,0.887,0.734,0.982,0.613,0.769,0.521,0.563,0.681,0.708,0.354,0.301,0.322,0.295,0.353,0.025,0.867,0.564,0.832,0.748,0.797,0.328,0.791
Grant Hill,0.451,0.309,0.854,0.841,0.797,0.546,0.668,0.542,0.653,0.018,0.044,0.57,0.598,0.381,0.448,0.432,0.349,0.534,0.193,0.745,0.602,0.602,0.818,0.831,0.148,0.784
Hot Rod Williams,0.693,0.303,0.902,0.89,0.786,0.394,0.508,0.392,0.507,0.005,0.008,0.299,0.335,0.527,0.467,0.493,0.19,0.358,0.315,0.55,0.626,0.401,0.775,0.774,0.2,0.733
Karl Malone,0.968,0.789,1.0,1.0,0.93,0.892,0.971,0.881,0.948,0.051,0.067,0.787,0.814,0.476,1.0,0.846,0.282,0.556,0.265,0.871,0.798,0.945,0.919,0.928,0.268,0.794
Vlade Divac,0.774,0.543,0.976,0.976,0.835,0.522,0.6,0.511,0.569,0.046,0.087,0.453,0.447,0.796,0.794,0.806,0.325,0.47,0.542,0.756,0.905,0.552,0.87,0.897,0.189,0.832
P.J. Brown,0.484,0.263,0.976,0.768,0.734,0.273,0.358,0.269,0.344,0.018,0.039,0.212,0.242,0.543,0.432,0.473,0.134,0.297,0.421,0.295,0.777,0.281,0.765,0.783,0.167,0.718
Walt Williams,0.63,0.291,0.939,0.939,0.815,0.478,0.626,0.368,0.442,0.475,0.484,0.405,0.426,0.305,0.343,0.335,0.313,0.53,0.196,0.897,0.786,0.544,0.765,0.832,0.348,0.783
