Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jerry Sichting,1.0,0.266,0.988,0.085,0.488,0.247,0.217,0.241,0.21,0.073,0.082,0.097,0.083,0.07,0.1,0.097,0.207,0.166,0.0,0.209,0.354,0.222,0.885,0.896,0.75,1.0
Jack Sikma,0.463,0.494,0.964,0.951,0.853,0.534,0.58,0.535,0.577,0.0,0.067,0.563,0.516,0.38,0.782,0.696,0.332,0.306,0.198,0.611,0.88,0.568,0.717,0.724,0.0,0.935
Orlando Woolridge,0.448,0.354,0.843,0.72,0.687,0.568,0.575,0.564,0.567,0.049,0.119,0.578,0.58,0.391,0.26,0.326,0.235,0.163,0.127,0.497,0.559,0.6,0.769,0.778,0.348,0.853
Larry Smith,0.448,0.272,0.928,0.902,0.746,0.33,0.309,0.331,0.311,0.0,0.005,0.178,0.285,1.0,0.613,0.796,0.105,0.206,0.136,0.386,0.859,0.307,0.832,0.833,0.0,0.534
Magic Johnson,0.925,0.766,0.867,0.854,0.788,0.508,0.484,0.498,0.465,0.122,0.222,0.6,0.545,0.221,0.443,0.396,1.0,0.375,0.043,0.78,0.399,0.561,0.817,0.839,0.466,0.943
James Worthy,0.925,0.601,0.904,0.89,0.75,0.661,0.572,0.662,0.57,0.0,0.067,0.384,0.394,0.354,0.326,0.36,0.222,0.272,0.209,0.426,0.586,0.621,0.899,0.909,0.0,0.834
Mike Woodson,0.552,0.253,0.976,0.622,0.739,0.536,0.566,0.535,0.563,0.024,0.067,0.384,0.363,0.245,0.171,0.21,0.217,0.306,0.1,0.414,0.646,0.524,0.738,0.743,0.308,0.906
Hakeem Olajuwon,0.761,0.601,0.819,0.829,0.754,0.657,0.626,0.658,0.631,0.0,0.0,0.551,0.676,0.867,0.582,0.727,0.151,0.445,0.626,0.557,0.814,0.662,0.817,0.816,,0.698
Herb Williams,0.388,0.392,0.94,0.902,0.847,0.659,0.672,0.659,0.671,0.012,0.062,0.467,0.506,0.448,0.699,0.66,0.192,0.166,0.499,0.6,0.733,0.642,0.764,0.769,0.166,0.79
World B. Free,0.433,0.386,0.904,0.915,0.775,0.686,0.755,0.612,0.671,0.866,0.871,0.602,0.611,0.188,0.19,0.203,0.346,0.302,0.051,0.491,0.559,0.727,0.707,0.713,0.84,0.844
Sleepy Floyd,0.448,0.475,0.988,1.0,0.845,0.536,0.531,0.496,0.472,0.476,0.613,0.557,0.554,0.198,0.287,0.276,0.822,0.522,0.043,0.829,0.598,0.584,0.786,0.822,0.656,0.861
Darryl Dawkins,0.583,0.278,0.614,0.037,0.369,0.299,0.232,0.299,0.234,0.0,0.005,0.333,0.373,0.221,0.216,0.233,0.085,0.053,0.16,0.354,0.682,0.322,1.0,1.0,0.0,0.765
Marques Johnson,0.477,0.373,0.904,0.915,0.797,0.645,0.633,0.644,0.63,0.012,0.077,0.473,0.492,0.406,0.338,0.387,0.312,0.355,0.136,0.523,0.643,0.632,0.792,0.8,0.134,0.823
Jim Paxson,0.597,0.304,0.904,0.378,0.591,0.391,0.418,0.371,0.388,0.244,0.32,0.344,0.307,0.109,0.138,0.138,0.307,0.312,0.014,0.32,0.468,0.406,0.73,0.747,0.646,0.962
Byron Scott,0.925,0.329,0.916,0.756,0.67,0.533,0.521,0.511,0.493,0.268,0.314,0.219,0.221,0.143,0.174,0.176,0.181,0.282,0.041,0.314,0.502,0.486,0.797,0.811,0.722,0.848
Maurice Cheeks,0.807,0.671,0.988,1.0,1.0,0.515,0.481,0.512,0.476,0.049,0.088,0.448,0.421,0.143,0.234,0.219,0.83,0.688,0.073,0.68,0.48,0.524,0.834,0.84,0.47,0.911
T.R. Dunn,0.701,0.31,0.988,1.0,0.734,0.181,0.2,0.181,0.201,0.0,0.005,0.108,0.111,0.372,0.304,0.351,0.189,0.515,0.043,0.146,0.685,0.171,0.705,0.705,0.0,0.837
Larry Nance,0.477,0.532,0.88,0.841,0.76,0.612,0.528,0.613,0.527,0.0,0.041,0.492,0.558,0.44,0.583,0.575,0.265,0.233,0.352,0.6,0.742,0.611,0.902,0.909,0.0,0.755
Cliff Levingston,0.747,0.348,0.976,0.427,0.595,0.309,0.29,0.309,0.292,0.0,0.005,0.26,0.304,0.503,0.443,0.497,0.079,0.252,0.106,0.323,0.781,0.312,0.829,0.829,0.0,0.734
Brad Davis,0.657,0.392,0.988,0.524,0.603,0.281,0.265,0.247,0.219,0.39,0.459,0.314,0.286,0.068,0.156,0.136,0.515,0.189,0.041,0.314,0.523,0.316,0.826,0.882,0.72,0.939
Walter Davis,0.477,0.266,0.843,0.756,0.685,0.656,0.678,0.638,0.643,0.22,0.392,0.408,0.383,0.141,0.194,0.189,0.398,0.329,0.008,0.626,0.459,0.631,0.753,0.775,0.474,0.912
Mark Eaton,0.627,0.253,0.964,0.976,0.78,0.291,0.31,0.292,0.313,0.0,0.0,0.194,0.254,0.448,0.653,0.628,0.111,0.11,1.0,0.449,0.847,0.28,0.73,0.729,,0.654
Kelly Tripucka,0.687,0.475,0.976,0.988,0.803,0.647,0.652,0.635,0.643,0.146,0.129,0.603,0.558,0.302,0.301,0.324,0.292,0.309,0.027,0.523,0.502,0.672,0.773,0.772,0.96,0.926
Rolando Blackman,0.657,0.443,0.988,0.988,0.852,0.712,0.695,0.708,0.685,0.049,0.149,0.641,0.607,0.229,0.264,0.271,0.299,0.262,0.068,0.54,0.414,0.73,0.798,0.809,0.276,0.905
Paul Pressey,0.851,0.62,0.964,0.976,0.827,0.432,0.444,0.424,0.424,0.098,0.227,0.502,0.492,0.331,0.353,0.371,0.687,0.558,0.192,0.686,0.742,0.475,0.758,0.781,0.364,0.872
Wayne Cooper,0.701,0.323,0.94,0.951,0.646,0.444,0.478,0.441,0.477,0.037,0.036,0.276,0.275,0.495,0.545,0.567,0.089,0.14,0.615,0.334,0.946,0.423,0.724,0.722,0.858,0.86
Kevin Willis,0.747,0.297,0.988,0.72,0.703,0.441,0.428,0.441,0.428,0.0,0.031,0.273,0.33,0.633,0.599,0.655,0.05,0.219,0.119,0.506,0.883,0.418,0.803,0.806,0.0,0.708
Mike Gminski,0.583,0.582,0.976,0.951,0.772,0.516,0.5,0.517,0.503,0.0,0.005,0.557,0.494,0.536,0.6,0.621,0.147,0.186,0.192,0.4,0.489,0.552,0.803,0.803,0.0,0.966
Danny Young,0.463,0.304,0.988,0.354,0.581,0.239,0.237,0.214,0.199,0.293,0.381,0.143,0.133,0.076,0.118,0.112,0.334,0.365,0.024,0.263,0.339,0.235,0.786,0.839,0.648,0.919
Mike Mitchell,0.523,0.278,0.988,1.0,0.908,0.843,0.895,0.844,0.895,0.0,0.062,0.503,0.492,0.349,0.357,0.38,0.207,0.186,0.068,0.526,0.526,0.796,0.734,0.738,0.0,0.876
Melvin Turpin,0.433,0.38,0.964,0.841,0.701,0.479,0.442,0.48,0.443,0.0,0.021,0.294,0.286,0.474,0.486,0.517,0.061,0.216,0.287,0.383,0.781,0.454,0.845,0.848,0.0,0.878
Gene Banks,0.448,0.272,0.988,0.402,0.654,0.374,0.363,0.375,0.355,0.0,0.098,0.29,0.32,0.464,0.236,0.335,0.277,0.269,0.027,0.397,0.637,0.371,0.803,0.825,0.0,0.777
Adrian Dantley,0.627,0.81,0.916,0.915,0.839,0.86,0.766,0.86,0.766,0.012,0.057,1.0,1.0,0.464,0.282,0.367,0.291,0.213,0.011,0.66,0.619,0.939,0.874,0.879,0.182,0.856
Ralph Sampson,0.761,0.316,0.952,0.927,0.876,0.656,0.675,0.655,0.672,0.024,0.077,0.383,0.472,0.672,0.806,0.818,0.312,0.329,0.35,0.814,0.925,0.618,0.758,0.763,0.266,0.694
Jay Humphries,0.477,0.304,0.988,1.0,0.836,0.37,0.387,0.366,0.375,0.049,0.149,0.313,0.323,0.146,0.265,0.242,0.58,0.439,0.024,0.543,0.667,0.375,0.744,0.764,0.276,0.83
Vinnie Johnson,0.687,0.297,0.952,0.146,0.605,0.489,0.525,0.487,0.522,0.024,0.067,0.262,0.269,0.31,0.139,0.21,0.297,0.266,0.062,0.251,0.541,0.454,0.725,0.73,0.308,0.834
Sam Perkins,0.657,0.462,0.964,0.963,0.803,0.482,0.48,0.471,0.466,0.134,0.17,0.487,0.474,0.508,0.636,0.637,0.169,0.249,0.255,0.414,0.637,0.511,0.781,0.791,0.666,0.881
Steve Stipanovich,0.388,0.373,0.952,0.793,0.733,0.437,0.467,0.436,0.465,0.024,0.052,0.384,0.396,0.451,0.584,0.58,0.227,0.249,0.187,0.417,0.784,0.446,0.73,0.733,0.4,0.831
Charles Barkley,0.807,0.684,0.964,0.976,0.903,0.626,0.549,0.608,0.513,0.207,0.387,0.629,0.726,0.922,0.873,0.954,0.344,0.575,0.339,1.0,1.0,0.664,0.888,0.927,0.454,0.741
Alex English,0.701,0.62,0.976,0.988,0.925,1.0,0.995,1.0,1.0,0.012,0.026,0.811,0.745,0.5,0.277,0.377,0.353,0.243,0.079,0.711,0.706,1.0,0.783,0.783,0.4,0.933
