Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,LAL,NBA,14.3,80,,2976,836,1457,836,1456,0,1,423,552,197,624,821,272,59,228,249,244,2095,.574,.574,.000,.574,.766,.616
Julius Erving,,,PHI,NBA,13.8,82,,2874,794,1524,790,1506,4,18,422,536,244,413,657,364,173,147,266,233,2014,.521,.525,.222,.522,.787,.572
Moses Malone,,,HOU,NBA,13.7,80,,3245,806,1545,805,1542,1,3,609,804,474,706,1180,141,83,150,308,223,2222,.522,.522,.333,.522,.757,.585
Adrian Dantley,,,UTA,NBA,13.6,80,,3417,909,1627,907,1620,2,7,632,784,192,317,509,322,109,18,282,245,2452,.559,.560,.286,.559,.806,.622
Artis Gilmore,,,CHI,NBA,12.3,82,,2832,547,816,547,816,0,0,375,532,220,608,828,172,47,198,236,295,1469,.670,.670,,.670,.705,.699
Marques Johnson,,,MIL,NBA,11.2,76,,2542,636,1153,636,1144,0,9,269,381,225,293,518,346,115,41,190,196,1541,.552,.556,.000,.552,.706,.583
Cedric Maxwell,,,BOS,NBA,11.0,81,81,2730,441,750,441,749,0,1,352,450,222,303,525,219,79,68,180,256,1234,.588,.589,.000,.588,.782,.651
Robert Parish,,,BOS,NBA,10.9,82,78,2298,635,1166,635,1165,0,1,282,397,245,532,777,144,81,214,191,310,1552,.545,.545,.000,.545,.710,.579
Larry Bird,,,BOS,NBA,10.8,82,82,3239,719,1503,699,1429,20,74,283,328,191,704,895,451,161,63,289,239,1741,.478,.489,.270,.485,.863,.528
George Gervin,,,SAS,NBA,10.5,82,,2765,850,1729,841,1694,9,35,512,620,126,293,419,260,94,56,251,212,2221,.492,.496,.257,.494,.826,.555
Dan Issel,,,DEN,NBA,10.5,80,,2641,614,1220,612,1208,2,12,519,684,229,447,676,158,83,53,130,249,1749,.503,.507,.167,.504,.759,.575
Bill Cartwright,,,NYK,NBA,10.0,82,,2925,619,1118,619,1117,0,1,408,518,161,452,613,111,48,83,200,259,1646,.554,.554,.000,.554,.788,.611
Sidney Moncrief,,,MIL,NBA,9.9,80,,2417,400,739,398,730,2,9,320,398,186,220,406,264,90,37,145,156,1122,.541,.545,.222,.543,.804,.614
Bobby Jones,,,PHI,NBA,9.2,81,,2046,407,755,407,752,0,3,282,347,142,293,435,226,95,74,149,226,1096,.539,.541,.000,.539,.813,.604
Reggie Theus,,,CHI,NBA,9.2,82,,2820,543,1097,525,1007,18,90,445,550,124,163,287,426,122,20,259,258,1549,.495,.521,.200,.503,.809,.578
Bernard King,,,GSW,NBA,9.1,81,,2914,731,1244,729,1238,2,6,307,437,178,373,551,287,72,34,265,304,1771,.588,.589,.333,.588,.703,.617
Swen Nater,,,SDC,NBA,8.6,82,,2809,517,935,517,935,0,0,244,307,295,722,1017,199,49,46,211,295,1278,.553,.553,,.553,.795,.597
Maurice Cheeks,,,PHI,NBA,8.5,81,,2415,310,581,307,573,3,8,140,178,67,178,245,560,193,39,174,231,763,.534,.536,.375,.536,.787,.579
Jamaal Wilkes,,,LAL,NBA,8.5,81,,3028,786,1495,785,1482,1,13,254,335,146,289,435,235,121,29,207,223,1827,.526,.530,.077,.526,.758,.556
Dennis Johnson,,,PHO,NBA,8.4,79,,2615,532,1220,521,1169,11,51,411,501,160,203,363,291,136,61,208,244,1486,.436,.446,.216,.441,.820,.516
Billy Knight,,,IND,NBA,8.4,82,,2385,546,1025,543,1006,3,19,341,410,191,219,410,157,84,12,177,155,1436,.533,.540,.158,.534,.832,.596
