Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,PHI,NBA,20.4,82,,3836,819,1377,819,1377,,,354,932,,,1952,702,,,,160,1992,.595,.595,,.595,.380,.557
Connie Hawkins,,,PTP,ABA,17.9,70,,3146,635,1223,633,1214,2,9,603,789,368,577,945,320,,,200,248,1875,.519,.521,.222,.520,.764,.597
Oscar Robertson,,,CIN,NBA,12.3,65,,2765,660,1321,660,1321,,,576,660,,,391,633,,,,199,1896,.500,.500,,.500,.873,.588
Zelmo Beaty,,,STL,NBA,11.8,82,,3068,639,1310,639,1310,,,455,573,,,959,174,,,,295,1733,.488,.488,,.488,.794,.555
Larry Jones,,,DNR,ABA,11.8,76,,3085,602,1409,594,1367,8,42,530,683,,,599,270,,,232,268,1742,.427,.435,.190,.430,.776,.509
Hal Greer,,,PHI,NBA,11.2,82,,3263,777,1626,777,1626,,,422,549,,,444,372,,,,289,1976,.478,.478,,.478,.769,.529
Walt Bellamy,,,NYK,NBA,11.1,82,,2695,511,944,511,944,,,350,529,,,961,164,,,,259,1372,.541,.541,,.541,.662,.583
Bob Boozer,,,CHI,NBA,10.6,77,,2988,622,1265,622,1265,,,411,535,,,756,121,,,,229,1655,.492,.492,,.492,.768,.552
Bailey Howell,,,BOS,NBA,10.1,82,,2801,643,1336,643,1336,,,335,461,,,805,133,,,,285,1621,.481,.481,,.481,.727,.527
Jerry Lucas,,,CIN,NBA,10.1,82,,3619,707,1361,707,1361,,,346,445,,,1560,251,,,,243,1760,.519,.519,,.519,.778,.565
Lenny Wilkens,,,STL,NBA,10.1,82,,3169,546,1246,546,1246,,,546,711,,,438,679,,,,255,1638,.438,.438,,.438,.768,.525
Willis Reed,,,NYK,NBA,10.0,81,,2879,659,1346,659,1346,,,367,509,,,1073,159,,,,343,1685,.490,.490,,.490,.721,.537
Goose Ligon,,,KEN,ABA,9.7,78,,2801,428,942,427,938,1,4,405,595,370,559,929,143,,,188,307,1262,.454,.455,.250,.455,.681,.524
Arthur Becker,,,HSM,ABA,9.6,76,,2689,563,1204,559,1192,4,12,297,362,252,461,713,95,,,154,321,1427,.468,.469,.333,.469,.820,.523
Jerry West,,,LAL,NBA,9.6,51,,1919,476,926,476,926,,,391,482,,,294,310,,,,152,1343,.514,.514,,.514,.811,.590
Doug Moe,,,NOB,ABA,9.4,78,,3113,665,1610,662,1588,3,22,551,693,249,546,795,202,,,199,282,1884,.413,.417,.136,.414,.795,.492
Willie Somerset,,,HSM,ABA,9.4,61,,2334,467,1042,434,935,33,107,359,460,,,305,225,,,164,211,1326,.448,.464,.308,.464,.780,.533
Jimmy Jones,,,NOB,ABA,9.3,78,,3255,551,1181,549,1172,2,9,360,508,,,443,179,,,241,243,1464,.467,.468,.222,.467,.709,.521
Earl Monroe,,,BAL,NBA,9.3,82,,3012,742,1637,742,1637,,,507,649,,,465,349,,,,282,1991,.453,.453,,.453,.781,.518
Red Robbins,,,NOB,ABA,9.3,73,,2159,448,918,446,912,2,6,245,308,366,528,894,73,,,115,157,1143,.488,.489,.333,.489,.795,.542
Mel Daniels,,,MNM,ABA,9.2,78,,2938,669,1640,668,1635,1,5,390,678,502,711,1213,109,,,232,268,1729,.408,.409,.200,.408,.575,.446
John Beasley,,,DLC,ABA,8.9,77,,2840,622,1264,622,1262,0,2,271,322,278,704,982,112,,,107,245,1515,.492,.493,.000,.492,.842,.539
Darel Carrier,,,KEN,ABA,8.7,77,,3192,643,1545,559,1310,84,235,395,479,,,352,172,,,228,263,1765,.416,.427,.357,.443,.825,.503
Bill Bridges,,,STL,NBA,8.6,82,,3197,466,1009,466,1009,,,347,484,,,1102,253,,,,366,1279,.462,.462,,.462,.717,.523
Rudy LaRusso,,,SFW,NBA,8.6,79,,2819,602,1389,602,1389,,,522,661,,,741,182,,,,337,1726,.433,.433,,.433,.790,.514
