Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,PHW,NBA,23.1,80,,3882,1597,3159,1597,3159,,,835,1363,,,2052,192,,,,123,4029,.506,.506,,.506,.613,.536
Walt Bellamy,,,CHP,NBA,16.3,79,,3344,973,1875,973,1875,,,549,853,,,1500,210,,,,281,2495,.519,.519,,.519,.644,.554
Oscar Robertson,,,CIN,NBA,15.6,79,,3503,866,1810,866,1810,,,700,872,,,985,899,,,,258,2432,.478,.478,,.478,.803,.554
Bill Russell,,,BOS,NBA,15.5,76,,3433,575,1258,575,1258,,,286,481,,,1790,341,,,,207,1436,.457,.457,,.457,.595,.489
Jerry West,,,LAL,NBA,12.9,75,,3087,799,1795,799,1795,,,712,926,,,591,402,,,,173,2310,.445,.445,,.445,.769,.524
Richie Guerin,,,NYK,NBA,12.1,78,,3348,839,1897,839,1897,,,625,762,,,501,539,,,,299,2303,.442,.442,,.442,.820,.516
Bob Pettit,,,STL,NBA,11.5,78,,3282,867,1928,867,1928,,,695,901,,,1459,289,,,,296,2429,.450,.450,,.450,.771,.522
Bailey Howell,,,DET,NBA,10.7,79,,2857,553,1193,553,1193,,,470,612,,,996,186,,,,317,1576,.464,.464,,.464,.768,.539
Sam Jones,,,BOS,NBA,9.6,78,,2388,596,1284,596,1284,,,243,297,,,458,232,,,,149,1435,.464,.464,,.464,.818,.507
Tom Heinsohn,,,BOS,NBA,9.3,79,,2383,692,1613,692,1613,,,358,437,,,747,165,,,,280,1742,.429,.429,,.429,.819,.482
Rudy LaRusso,,,LAL,NBA,8.8,80,,2754,516,1108,516,1108,,,342,448,,,828,179,,,,255,1374,.466,.466,,.466,.763,.526
Jack Twyman,,,CIN,NBA,8.6,80,,2991,739,1542,739,1542,,,353,435,,,638,215,,,,323,1831,.479,.479,,.479,.811,.528
Hal Greer,,,SYR,NBA,8.5,71,,2705,644,1442,644,1442,,,331,404,,,524,313,,,,252,1619,.447,.447,,.447,.819,.500
Cliff Hagan,,,STL,NBA,8.5,77,,2784,701,1490,701,1490,,,362,439,,,633,370,,,,282,1764,.470,.470,,.470,.825,.524
Elgin Baylor,,,LAL,NBA,7.9,48,,2129,680,1588,680,1588,,,476,631,,,892,222,,,,155,1836,.428,.428,,.428,.754,.492
Red Kerr,,,SYR,NBA,7.8,80,,2768,541,1220,541,1220,,,222,302,,,1176,243,,,,272,1304,.443,.443,,.443,.735,.482
Frank Ramsey,,,BOS,NBA,7.3,79,,1913,436,1019,436,1019,,,334,405,,,387,109,,,,245,1206,.428,.428,,.428,.825,.504
Tom Sanders,,,BOS,NBA,7.2,80,,2325,350,804,350,804,,,197,263,,,762,74,,,,279,897,.435,.435,,.435,.749,.488
Dave Gambee,,,SYR,NBA,7.0,80,,2301,477,1126,477,1126,,,384,470,,,631,114,,,,275,1338,.424,.424,,.424,.817,.502
Wayne Embry,,,CIN,NBA,6.7,75,,2623,564,1210,564,1210,,,356,516,,,977,182,,,,286,1484,.466,.466,,.466,.690,.516
Paul Arizin,,,PHW,NBA,6.3,78,,2785,611,1490,611,1490,,,484,601,,,527,201,,,,307,1706,.410,.410,,.410,.805,.486
Bob Cousy,,,BOS,NBA,6.3,75,,2114,462,1181,462,1181,,,251,333,,,261,584,,,,135,1175,.391,.391,,.391,.754,.443
Larry Costello,,,SYR,NBA,5.9,63,,1854,310,726,310,726,,,247,295,,,245,359,,,,220,867,.427,.427,,.427,.837,.507
Gene Shue,,,DET,NBA,5.6,80,,3143,580,1422,580,1422,,,362,447,,,372,465,,,,192,1522,.408,.408,,.408,.810,.470
Willie Naulls,,,NYK,NBA,5.5,75,,2978,747,1798,747,1798,,,383,455,,,867,192,,,,260,1877,.415,.415,,.415,.842,.470
Frank Selvy,,,LAL,NBA,5.5,79,,2806,433,1032,433,1032,,,298,404,,,412,381,,,,232,1164,.420,.420,,.420,.738,.481
Al Attles,,,PHW,NBA,5.2,75,,2468,343,724,343,724,,,158,267,,,355,333,,,,279,844,.474,.474,,.474,.592,.501
Johnny Green,,,NYK,NBA,5.1,80,,2789,507,1164,507,1164,,,261,434,,,1066,191,,,,265,1275,.436,.436,,.436,.601,.470
Lee Shaffer,,,SYR,NBA,5.0,75,,2083,514,1180,514,1180,,,239,310,,,511,99,,,,266,1267,.436,.436,,.436,.771,.481
Bob Ferry,,,DET,NBA,4.9,80,,1918,411,939,411,939,,,286,422,,,503,145,,,,199,1108,.438,.438,,.438,.678,.493
K.C. Jones,,,BOS,NBA,4.9,80,,2054,294,724,294,724,,,147,232,,,298,343,,,,206,735,.406,.406,,.406,.634,.445
Andy Johnson,,,CHP,NBA,4.6,71,,2193,365,814,365,814,,,284,452,,,351,228,,,,247,1014,.448,.448,,.448,.628,.501
Don Ohl,,,DET,NBA,4.5,77,,2526,555,1250,555,1250,,,201,280,,,267,244,,,,173,1311,.444,.444,,.444,.718,.477
Tom Gola,,,PHW,NBA,4.4,60,,2462,322,765,322,765,,,176,230,,,587,295,,,,267,820,.421,.421,,.421,.765,.473
Jim Krebs,,,LAL,NBA,4.2,78,,2012,312,701,312,701,,,156,208,,,616,110,,,,290,780,.445,.445,,.445,.750,.492
Al Butler,,,TOT,NBA,4.1,59,,2016,349,754,349,754,,,129,182,,,337,205,,,,156,827,.463,.463,,.463,.709,.496
Bob Boozer,,,CIN,NBA,3.9,79,,2488,410,936,410,936,,,263,372,,,804,130,,,,275,1083,.438,.438,,.438,.707,.492
Tom Meschery,,,PHW,NBA,3.7,80,,2509,375,929,375,929,,,216,262,,,729,145,,,,330,966,.404,.404,,.404,.824,.463
Clyde Lovellette,,,STL,NBA,3.6,40,,1192,341,724,341,724,,,155,187,,,350,68,,,,136,837,.471,.471,,.471,.829,.519
Walter Dukes,,,DET,NBA,3.3,77,,1896,256,647,256,647,,,208,291,,,803,125,,,,327,720,.396,.396,,.396,.715,.464
Paul Neumann,,,SYR,NBA,3.2,77,,1265,172,401,172,401,,,133,172,,,194,176,,,,203,477,.429,.429,,.429,.773,.500
Bucky Bockhorn,,,CIN,NBA,3.1,80,,3062,531,1234,531,1234,,,198,251,,,376,366,,,,280,1260,.430,.430,,.430,.789,.469
Larry Foust,,,STL,NBA,3.1,57,,1153,204,433,204,433,,,145,178,,,328,78,,,,186,553,.471,.471,,.471,.815,.541
Dolph Schayes,,,SYR,NBA,3.1,56,,1480,268,751,268,751,,,286,319,,,439,120,,,,167,822,.357,.357,,.357,.897,.461
Jackie Moreland,,,DET,NBA,2.6,74,,1219,205,487,205,487,,,139,186,,,427,76,,,,179,549,.421,.421,,.421,.747,.483
Ray Scott,,,DET,NBA,2.5,75,,2087,370,956,370,956,,,255,388,,,865,132,,,,232,995,.387,.387,,.387,.657,.442
Al Bianchi,,,SYR,NBA,2.4,80,,1925,336,847,336,847,,,154,221,,,281,263,,,,232,826,.397,.397,,.397,.697,.437
Dave Budd,,,NYK,NBA,2.3,79,,1370,188,431,188,431,,,138,231,,,345,86,,,,162,514,.436,.436,,.436,.597,.483
Ray Felix,,,LAL,NBA,2.3,80,,1478,171,398,171,398,,,90,130,,,473,55,,,,266,432,.430,.430,,.430,.692,.475
Tom Hawkins,,,LAL,NBA,2.1,79,,1903,289,704,289,704,,,143,222,,,514,95,,,,244,721,.411,.411,,.411,.644,.450
Guy Rodgers,,,PHW,NBA,2.1,80,,2650,267,749,267,749,,,121,182,,,348,643,,,,312,655,.356,.356,,.356,.665,.395
Joe Roberts,,,SYR,NBA,1.9,80,,1642,243,619,243,619,,,129,194,,,538,50,,,,230,615,.393,.393,,.393,.665,.437
Adrian Smith,,,CIN,NBA,1.8,80,,1462,202,499,202,499,,,172,222,,,151,167,,,,101,576,.405,.405,,.405,.775,.483
Fred LaCour,,,STL,NBA,1.7,73,,1507,230,536,230,536,,,106,130,,,272,166,,,,168,566,.429,.429,,.429,.815,.477
George Lee,,,DET,NBA,1.7,75,,1351,179,500,179,500,,,213,280,,,349,64,,,,128,571,.358,.358,,.358,.761,.458
Shellie McMillon,,,TOT,NBA,1.7,62,,1225,265,591,265,591,,,108,182,,,368,59,,,,202,638,.448,.448,,.448,.593,.475
Cleveland Buckner,,,NYK,NBA,1.3,62,,696,158,367,158,367,,,83,133,,,236,39,,,,114,399,.431,.431,,.431,.624,.469
Johnny Egan,,,DET,NBA,1.3,58,,696,128,301,128,301,,,64,84,,,86,102,,,,64,320,.425,.425,,.425,.762,.473
Hub Reed,,,CIN,NBA,1.3,80,,1446,203,460,203,460,,,60,82,,,440,53,,,,267,466,.441,.441,,.441,.732,.470
Joe Buckhalter,,,CIN,NBA,1.2,63,,728,153,334,153,334,,,67,108,,,262,43,,,,123,373,.458,.458,,.458,.620,.489
Howie Jolliff,,,LAL,NBA,1.2,64,,1094,104,253,104,253,,,41,78,,,383,76,,,,175,249,.411,.411,,.411,.526,.433
Slick Leonard,,,CHP,NBA,1.2,70,,2464,423,1128,423,1128,,,279,371,,,199,378,,,,186,1125,.375,.375,,.375,.752,.436
Al Ferrari,,,STL,NBA,0.9,79,,2046,208,582,208,582,,,175,219,,,213,313,,,,278,591,.357,.357,,.357,.799,.436
Barney Cable,,,TOT,NBA,0.7,67,,1861,305,749,305,749,,,118,181,,,563,115,,,,211,728,.407,.407,,.407,.652,.439
Gene Guarilia,,,BOS,NBA,0.7,45,,367,61,161,61,161,,,41,64,,,124,11,,,,56,163,.379,.379,,.379,.641,.431
Darrall Imhoff,,,NYK,NBA,0.7,76,,1481,186,482,186,482,,,80,139,,,470,82,,,,230,452,.386,.386,,.386,.576,.416
Bob McNeill,,,TOT,NBA,0.7,50,,441,56,136,56,136,,,26,34,,,56,89,,,,56,138,.412,.412,,.412,.765,.457
Ralph Davis,,,CHP,NBA,0.6,77,,1992,364,881,364,881,,,71,103,,,162,247,,,,187,799,.413,.413,,.413,.689,.431
Swede Halbrook,,,SYR,NBA,0.6,64,,908,152,422,152,422,,,96,151,,,399,33,,,,179,400,.360,.360,,.360,.636,.409
Carl Braun,,,BOS,NBA,0.5,48,,414,78,207,78,207,,,20,27,,,50,71,,,,49,176,.377,.377,,.377,.741,.402
Jim Loscutoff,,,BOS,NBA,0.5,79,,1146,188,519,188,519,,,45,84,,,329,51,,,,185,421,.362,.362,,.362,.536,.379
Ted Luckenbill,,,PHW,NBA,0.4,67,,396,43,120,43,120,,,49,76,,,110,27,,,,67,135,.358,.358,,.358,.645,.440
Bob Sims,,,TOT,NBA,0.4,65,,1345,193,491,193,491,,,123,216,,,183,154,,,,187,509,.393,.393,,.393,.569,.434
Lenny Wilkens,,,STL,NBA,0.4,20,,870,140,364,140,364,,,84,110,,,131,116,,,,63,364,.385,.385,,.385,.764,.441
Cleo Hill,,,STL,NBA,0.3,58,,1050,107,309,107,309,,,106,137,,,178,114,,,,98,320,.346,.346,,.346,.774,.433
York Larese,,,TOT,NBA,0.3,59,,703,122,327,122,327,,,58,72,,,77,94,,,,104,302,.373,.373,,.373,.806,.421
Gary Phillips,,,BOS,NBA,0.3,67,,713,110,310,110,310,,,50,86,,,107,64,,,,109,270,.355,.355,,.355,.581,.388
Horace Walker,,,CHP,NBA,0.3,65,,1331,149,439,149,439,,,140,193,,,466,69,,,,194,438,.339,.339,,.339,.725,.418
Charlie Tyra,,,CHP,NBA,0.2,78,,1606,193,534,193,534,,,133,214,,,610,86,,,,210,519,.361,.361,,.361,.621,.413
Hot Rod Hundley,,,LAL,NBA,0.1,78,,1492,173,509,173,509,,,83,127,,,199,290,,,,129,429,.340,.340,,.340,.654,.380
Bevo Nordmann,,,CIN,NBA,0.1,58,,344,51,126,51,126,,,29,57,,,128,18,,,,81,131,.405,.405,,.405,.509,.434
Ed Burton,,,NYK,NBA,0.0,8,,28,7,14,7,14,,,1,4,,,5,1,,,,3,15,.500,.500,,.500,.250,.476
Rich Eichhorst,,,STL,NBA,0.0,1,,10,1,2,1,2,,,0,0,,,1,3,,,,1,2,.500,.500,,.500,,.500
Doug Kistler,,,NYK,NBA,0.0,5,,13,3,6,3,6,,,2,4,,,1,0,,,,2,8,.500,.500,,.500,.500,.515
Frank Radovich,,,PHW,NBA,0.0,37,,175,37,93,37,93,,,13,26,,,51,4,,,,27,87,.398,.398,,.398,.500,.417
Bobby Smith,,,LAL,NBA,0.0,3,,7,0,1,0,1,,,0,0,,,0,0,,,,1,0,.000,.000,,.000,,.000
Jack Turner,,,CHP,NBA,0.0,42,,567,84,221,84,221,,,32,42,,,85,44,,,,51,200,.380,.380,,.380,.762,.418
Stacey Arceneaux,,,STL,NBA,-0.1,7,,110,22,56,22,56,,,6,13,,,32,4,,,,10,50,.393,.393,,.393,.462,.405
George Blaney,,,NYK,NBA,-0.1,36,,363,54,142,54,142,,,9,17,,,36,45,,,,34,117,.380,.380,,.380,.529,.391
George Bon Salle,,,CHP,NBA,-0.1,3,,9,2,8,2,8,,,0,0,,,2,0,,,,0,4,.250,.250,,.250,,.250
