Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Moses Malone,,,PHI,NBA,15.1,78,78,2922,654,1305,654,1304,0,1,600,788,445,749,1194,101,89,157,264,206,1908,.501,.502,.000,.501,.761,.578
Larry Bird,,,BOS,NBA,14.0,79,79,2982,747,1481,725,1404,22,77,351,418,193,677,870,458,148,71,240,197,1867,.504,.516,.286,.512,.840,.561
Sidney Moncrief,,,MIL,NBA,13.2,76,76,2710,606,1156,605,1146,1,10,499,604,192,245,437,300,113,23,197,180,1712,.524,.528,.100,.525,.826,.602
Magic Johnson,,,LAL,NBA,12.5,79,79,2907,511,933,511,912,0,21,304,380,214,469,683,829,176,47,301,200,1326,.548,.560,.000,.548,.800,.603
Buck Williams,,,NJN,NBA,11.4,82,82,2961,536,912,536,908,0,4,324,523,365,662,1027,125,91,110,246,270,1396,.588,.590,.000,.588,.620,.611
Artis Gilmore,,,SAS,NBA,11.0,82,82,2797,556,888,556,882,0,6,367,496,299,685,984,126,40,192,254,273,1479,.626,.630,.000,.626,.740,.668
Kiki Vandeweghe,,,DEN,NBA,11.0,82,79,2909,841,1537,826,1486,15,51,489,559,124,313,437,203,66,38,177,198,2186,.547,.556,.294,.552,.875,.613
Kareem Abdul-Jabbar,,,LAL,NBA,10.9,79,79,2554,722,1228,722,1226,0,2,278,371,167,425,592,200,61,170,200,220,1722,.588,.589,.000,.588,.749,.619
Julius Erving,,,PHI,NBA,10.9,72,72,2421,605,1170,603,1163,2,7,330,435,173,318,491,263,112,131,196,202,1542,.517,.518,.286,.518,.759,.566
Robert Parish,,,BOS,NBA,10.8,78,76,2459,619,1125,619,1124,0,1,271,388,260,567,827,141,79,148,185,222,1509,.550,.551,.000,.550,.698,.582
Marques Johnson,,,MIL,NBA,10.7,80,80,2853,723,1420,719,1400,4,20,264,359,196,366,562,363,100,56,196,211,1714,.509,.514,.200,.511,.735,.543
Larry Nance,,,PHO,NBA,10.5,82,82,2914,588,1069,587,1066,1,3,193,287,239,471,710,197,99,217,190,254,1370,.550,.551,.333,.551,.672,.573
Alex English,,,DEN,NBA,10.3,82,82,2988,959,1857,957,1845,2,12,406,490,263,338,601,397,116,126,263,235,2326,.516,.519,.167,.517,.829,.561
Jim Paxson,,,POR,NBA,10.2,81,81,2740,682,1323,678,1298,4,25,388,478,68,106,174,231,140,17,156,160,1756,.515,.522,.160,.517,.812,.573
Bill Cartwright,,,NYK,NBA,10.1,82,82,2468,455,804,455,804,0,0,380,511,185,405,590,136,41,127,204,315,1290,.566,.566,,.566,.744,.627
Jeff Ruland,,,WSB,NBA,10.1,79,47,2862,580,1051,579,1048,1,3,375,544,293,578,871,234,74,77,297,312,1536,.552,.552,.333,.552,.689,.595
