Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,LAL,NBA,14.8,82,,3143,835,1383,835,1382,0,1,364,476,190,696,886,371,81,280,297,216,2034,.604,.604,.000,.604,.765,.639
Julius Erving,,,PHI,NBA,12.5,78,,2812,838,1614,834,1594,4,20,420,534,215,361,576,355,170,140,284,208,2100,.519,.523,.200,.520,.787,.568
Cedric Maxwell,,,BOS,NBA,12.2,80,80,2744,457,750,457,750,0,0,436,554,284,420,704,199,76,61,230,266,1350,.609,.609,,.609,.787,.679
Moses Malone,,,HOU,NBA,11.9,82,,3140,778,1549,778,1543,0,6,563,783,573,617,1190,147,80,107,300,210,2119,.502,.504,.000,.502,.719,.560
Gus Williams,,,SEA,NBA,11.6,82,,2969,739,1533,732,1497,7,36,331,420,127,148,275,397,200,37,181,160,1816,.482,.489,.194,.484,.788,.529
Dan Issel,,,DEN,NBA,11.5,82,,2938,715,1416,711,1404,4,12,517,667,236,483,719,198,88,54,163,190,1951,.505,.506,.333,.506,.775,.571
Marques Johnson,,,MIL,NBA,11.5,77,,2686,689,1267,687,1258,2,9,291,368,217,349,566,273,100,70,185,173,1671,.544,.546,.222,.545,.791,.585
Larry Bird,,,BOS,NBA,11.2,82,82,2955,693,1463,635,1320,58,143,301,360,216,636,852,370,143,53,263,279,1745,.474,.481,.406,.494,.836,.538
George Gervin,,,SAS,NBA,10.6,78,,2934,1024,1940,992,1838,32,102,505,593,154,249,403,202,110,79,254,208,2585,.528,.540,.314,.536,.852,.587
Adrian Dantley,,,UTA,NBA,10.5,68,,2674,730,1267,730,1265,0,2,443,526,183,333,516,191,96,14,233,211,1903,.576,.577,.000,.576,.842,.635
Magic Johnson,,,LAL,NBA,10.5,77,,2795,503,949,496,918,7,31,374,462,166,430,596,563,187,41,305,218,1387,.530,.540,.226,.534,.810,.602
Paul Westphal,,,PHO,NBA,10.5,82,,2665,692,1317,666,1224,26,93,382,443,46,141,187,416,119,35,207,162,1792,.525,.544,.280,.535,.862,.593
Jamaal Wilkes,,,LAL,NBA,10.0,82,,3111,726,1358,723,1341,3,17,189,234,176,349,525,250,129,28,157,220,1644,.535,.539,.176,.536,.808,.563
Bill Cartwright,,,NYK,NBA,9.7,82,,3150,665,1215,665,1215,0,0,451,566,194,532,726,165,48,101,222,279,1781,.547,.547,,.547,.797,.608
Tree Rollins,,,ATL,NBA,9.2,82,,2123,287,514,287,514,0,0,157,220,283,491,774,76,54,244,99,322,731,.558,.558,,.558,.714,.598
Dan Roundfield,,,ATL,NBA,9.1,81,,2588,502,1007,502,1003,0,4,330,465,293,544,837,184,101,139,233,317,1334,.499,.500,.000,.499,.710,.551
Kermit Washington,,,POR,NBA,9.1,80,,2657,421,761,421,758,0,3,231,360,325,517,842,167,73,131,170,307,1073,.553,.555,.000,.553,.642,.584
Tiny Archibald,,,BOS,NBA,8.9,80,80,2864,383,794,379,776,4,18,361,435,59,138,197,671,106,10,242,218,1131,.482,.488,.222,.485,.830,.574
Otis Birdsong,,,KCK,NBA,8.6,82,,2885,781,1546,771,1510,10,36,286,412,170,161,331,202,136,22,179,226,1858,.505,.511,.278,.508,.694,.538
Dave Robisch,,,CLE,NBA,8.6,82,,2670,489,940,489,937,0,3,277,329,225,433,658,192,53,53,138,211,1255,.520,.522,.000,.520,.842,.578
Jack Sikma,,,SEA,NBA,8.6,82,,2793,470,989,470,988,0,1,235,292,198,710,908,279,68,77,202,232,1175,.475,.476,.000,.475,.805,.526
Wes Unseld,,,WSB,NBA,8.4,82,,2973,327,637,326,635,1,2,139,209,334,760,1094,366,65,61,153,249,794,.513,.513,.500,.514,.665,.545
Walter Davis,,,PHO,NBA,8.3,75,,2309,657,1166,657,1162,0,4,299,365,75,197,272,337,114,19,242,202,1613,.563,.565,.000,.563,.819,.608
Mike Mitchell,,,CLE,NBA,8.3,82,,2802,775,1482,775,1476,0,6,270,343,206,385,591,93,70,77,172,259,1820,.523,.525,.000,.523,.787,.557
Eddie Johnson,,,ATL,NBA,8.2,79,,2622,590,1212,585,1199,5,13,280,338,95,105,200,370,120,24,189,216,1465,.487,.488,.385,.489,.828,.538
Ray Williams,,,NYK,NBA,8.2,82,,2582,687,1384,680,1347,7,37,333,423,149,263,412,512,167,24,256,295,1714,.496,.505,.189,.499,.787,.546
Bobby Jones,,,PHI,NBA,8.1,81,,2125,398,748,398,745,0,3,257,329,152,298,450,146,102,118,146,223,1053,.532,.534,.000,.532,.781,.590
World B. Free,,,SDC,NBA,8.0,68,,2585,737,1556,728,1531,9,25,572,760,129,109,238,283,81,32,228,195,2055,.474,.476,.360,.477,.753,.544
Maurice Cheeks,,,PHI,NBA,7.9,79,,2623,357,661,353,652,4,9,180,231,75,199,274,556,183,32,216,197,898,.540,.541,.444,.543,.779,.589
Lonnie Shelton,,,SEA,NBA,7.5,76,,2243,425,802,424,797,1,5,184,241,199,383,582,145,92,79,169,292,1035,.530,.532,.200,.531,.763,.570
