Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,SFW,NBA,25.0,80,,3689,1204,2298,1204,2298,,,540,1016,,,1787,403,,,,182,2948,.524,.524,,.524,.531,.537
Oscar Robertson,,,CIN,NBA,20.6,79,,3559,840,1740,840,1740,,,800,938,,,783,868,,,,280,2480,.483,.483,,.483,.853,.576
Bill Russell,,,BOS,NBA,17.3,78,,3482,466,1077,466,1077,,,236,429,,,1930,370,,,,190,1168,.433,.433,,.433,.550,.461
Bob Pettit,,,STL,NBA,14.9,80,,3296,791,1708,791,1708,,,608,771,,,1224,259,,,,300,2190,.463,.463,,.463,.789,.535
Walt Bellamy,,,BAL,NBA,14.4,80,,3394,811,1582,811,1582,,,537,825,,,1361,126,,,,300,2159,.513,.513,,.513,.651,.555
Jerry West,,,LAL,NBA,14.0,72,,2906,740,1529,740,1529,,,584,702,,,433,403,,,,200,2064,.484,.484,,.484,.832,.562
Jerry Lucas,,,CIN,NBA,12.7,79,,3273,545,1035,545,1035,,,310,398,,,1375,204,,,,300,1400,.527,.527,,.527,.779,.578
Terry Dischinger,,,BAL,NBA,11.3,80,,2816,604,1217,604,1217,,,454,585,,,667,157,,,,321,1662,.496,.496,,.496,.776,.564
Bailey Howell,,,DET,NBA,9.8,77,,2700,598,1267,598,1267,,,470,581,,,776,205,,,,290,1666,.472,.472,,.472,.809,.547
Sam Jones,,,BOS,NBA,8.9,76,,2381,612,1359,612,1359,,,249,318,,,349,202,,,,192,1473,.450,.450,,.450,.783,.491
Hal Greer,,,PHI,NBA,8.1,80,,3157,715,1611,715,1611,,,435,525,,,484,374,,,,291,1865,.444,.444,,.444,.829,.506
John Havlicek,,,BOS,NBA,7.7,80,,2587,640,1535,640,1535,,,315,422,,,428,238,,,,227,1595,.417,.417,,.417,.746,.463
Tom Sanders,,,BOS,NBA,7.6,80,,2370,349,836,349,836,,,213,280,,,667,102,,,,277,911,.417,.417,,.417,.761,.475
Tom Meschery,,,SFW,NBA,7.5,80,,2422,436,951,436,951,,,207,295,,,612,149,,,,288,1079,.458,.458,,.458,.702,.499
Elgin Baylor,,,LAL,NBA,7.2,78,,3164,756,1778,756,1778,,,471,586,,,936,347,,,,235,1983,.425,.425,,.425,.804,.487
Dick Barnett,,,LAL,NBA,6.5,78,,2620,541,1197,541,1197,,,351,454,,,250,238,,,,233,1433,.452,.452,,.452,.773,.513
Wayne Embry,,,CIN,NBA,6.3,80,,2915,556,1213,556,1213,,,271,417,,,925,113,,,,325,1383,.458,.458,,.458,.650,.495
Richie Guerin,,,TOT,NBA,6.3,80,,2366,351,846,351,846,,,347,424,,,256,375,,,,276,1049,.415,.415,,.415,.818,.508
Tom Heinsohn,,,BOS,NBA,6.2,76,,2040,487,1223,487,1223,,,283,342,,,460,183,,,,268,1257,.398,.398,,.398,.827,.458
Cliff Hagan,,,STL,NBA,6.0,77,,2279,572,1280,572,1280,,,269,331,,,377,193,,,,273,1413,.447,.447,,.447,.813,.496
K.C. Jones,,,BOS,NBA,5.8,80,,2424,283,722,283,722,,,88,168,,,372,407,,,,253,654,.392,.392,,.392,.524,.411
Rudy LaRusso,,,LAL,NBA,5.5,79,,2746,337,776,337,776,,,298,397,,,800,190,,,,268,972,.434,.434,,.434,.751,.511
Chet Walker,,,PHI,NBA,5.4,76,,2775,492,1118,492,1118,,,330,464,,,784,124,,,,232,1314,.440,.440,,.440,.711,.497
Al Attles,,,SFW,NBA,5.3,70,,1883,289,640,289,640,,,185,275,,,236,197,,,,249,763,.452,.452,,.452,.673,.501
Lenny Wilkens,,,STL,NBA,5.0,78,,2526,334,808,334,808,,,270,365,,,335,359,,,,287,938,.413,.413,,.413,.740,.484
Red Kerr,,,PHI,NBA,4.9,80,,2938,536,1250,536,1250,,,268,357,,,1017,275,,,,187,1340,.429,.429,,.429,.751,.476
Zelmo Beaty,,,STL,NBA,4.8,59,,1922,287,647,287,647,,,200,270,,,633,79,,,,262,774,.444,.444,,.444,.741,.505
Bill McGill,,,TOT,NBA,4.6,74,,1784,456,937,456,937,,,204,282,,,414,121,,,,217,1116,.487,.487,,.487,.723,.526
Jack Twyman,,,CIN,NBA,4.3,68,,1996,447,993,447,993,,,189,228,,,364,137,,,,267,1083,.450,.450,,.450,.829,.495
Paul Neumann,,,PHI,NBA,4.2,74,,1973,324,732,324,732,,,210,266,,,246,291,,,,211,858,.443,.443,,.443,.789,.505
Wayne Hightower,,,SFW,NBA,4.0,79,,2536,393,1022,393,1022,,,260,329,,,566,133,,,,269,1046,.385,.385,,.385,.790,.448
Guy Rodgers,,,SFW,NBA,4.0,79,,2695,337,923,337,923,,,198,280,,,328,556,,,,245,872,.365,.365,,.365,.707,.417
Willie Naulls,,,BOS,NBA,3.9,78,,1409,321,769,321,769,,,125,157,,,356,64,,,,208,767,.417,.417,,.417,.796,.458
Ben Warley,,,PHI,NBA,3.8,79,,1740,215,494,215,494,,,220,305,,,619,71,,,,274,650,.435,.435,,.435,.721,.517
Len Chappell,,,TOT,NBA,3.6,79,,2505,531,1185,531,1185,,,288,403,,,771,83,,,,214,1350,.448,.448,,.448,.715,.495
Larry Costello,,,PHI,NBA,3.5,45,,1137,191,408,191,408,,,147,170,,,105,167,,,,150,529,.468,.468,,.468,.865,.548
Gus Johnson,,,BAL,NBA,3.5,78,,2847,571,1329,571,1329,,,210,319,,,1064,169,,,,321,1352,.430,.430,,.430,.658,.460
Nate Thurmond,,,SFW,NBA,3.5,76,,1966,219,554,219,554,,,95,173,,,790,86,,,,184,533,.395,.395,,.395,.549,.423
Ray Scott,,,DET,NBA,3.4,80,,2964,539,1307,539,1307,,,328,456,,,1078,244,,,,296,1406,.412,.412,,.412,.719,.466
Johnny Egan,,,TOT,NBA,3.2,66,,2326,334,758,334,758,,,193,243,,,191,358,,,,181,861,.441,.441,,.441,.794,.498
Frank Ramsey,,,BOS,NBA,3.2,75,,1227,226,604,226,604,,,196,233,,,223,81,,,,245,648,.374,.374,,.374,.841,.459
Rod Thorn,,,BAL,NBA,2.9,75,,2594,411,1015,411,1015,,,258,353,,,360,281,,,,187,1080,.405,.405,,.405,.731,.461
Bob Boozer,,,TOT,NBA,2.8,81,,2379,468,1096,468,1096,,,272,376,,,596,96,,,,231,1208,.427,.427,,.427,.723,.479
Gene Wiley,,,LAL,NBA,2.8,78,,1510,146,273,146,273,,,45,75,,,510,44,,,,225,337,.535,.535,,.535,.600,.551
Bob Ferry,,,DET,NBA,2.7,74,,1522,298,670,298,670,,,186,279,,,428,94,,,,174,782,.445,.445,,.445,.667,.493
Art Heyman,,,NYK,NBA,2.7,75,,2236,432,1003,432,1003,,,289,422,,,298,256,,,,229,1153,.431,.431,,.431,.685,.485
Bill Bridges,,,STL,NBA,2.6,80,,1949,268,675,268,675,,,146,224,,,680,181,,,,269,682,.397,.397,,.397,.652,.441
Johnny Green,,,NYK,NBA,2.6,80,,2134,482,1026,482,1026,,,195,392,,,799,157,,,,246,1159,.470,.470,,.470,.497,.484
Si Green,,,BAL,NBA,2.6,75,,2064,287,691,287,691,,,198,290,,,282,215,,,,224,772,.415,.415,,.415,.683,.472
Tom Hawkins,,,CIN,NBA,2.3,73,,1770,256,580,256,580,,,113,188,,,435,74,,,,198,625,.441,.441,,.441,.601,.472
Jackie Moreland,,,DET,NBA,2.3,78,,1780,272,639,272,639,,,164,210,,,405,121,,,,268,708,.426,.426,,.426,.781,.484
Don Nelson,,,LAL,NBA,2.3,80,,1406,135,323,135,323,,,149,201,,,323,76,,,,181,419,.418,.418,,.418,.741,.509
Chico Vaughn,,,STL,NBA,2.3,68,,1340,238,538,238,538,,,107,148,,,126,129,,,,166,583,.442,.442,,.442,.723,.483
Adrian Smith,,,CIN,NBA,1.9,66,,1524,234,576,234,576,,,154,197,,,147,145,,,,164,622,.406,.406,,.406,.782,.469
Kenny Sears,,,SFW,NBA,1.8,51,,519,53,120,53,120,,,64,79,,,94,42,,,,71,170,.442,.442,,.442,.810,.549
Tom Gola,,,NYK,NBA,1.7,74,,2156,258,602,258,602,,,154,212,,,469,257,,,,278,670,.429,.429,,.429,.726,.482
Gary Phillips,,,SFW,NBA,1.7,66,,2010,256,691,256,691,,,146,218,,,248,203,,,,245,658,.370,.370,,.370,.670,.418
Leroy Ellis,,,LAL,NBA,1.6,78,,1459,200,473,200,473,,,112,170,,,498,41,,,,192,512,.423,.423,,.423,.659,.467
Dave Gambee,,,PHI,NBA,1.6,41,,927,149,378,149,378,,,151,185,,,256,35,,,,161,449,.394,.394,,.394,.816,.489
John Rudometkin,,,NYK,NBA,1.6,52,,696,154,326,154,326,,,87,116,,,164,26,,,,86,395,.472,.472,,.472,.750,.524
Larry Staverman,,,TOT,NBA,1.6,60,,674,98,212,98,212,,,69,90,,,176,32,,,,118,265,.462,.462,,.462,.767,.527
Bucky Bockhorn,,,CIN,NBA,1.5,70,,1670,242,587,242,587,,,96,126,,,205,173,,,,227,580,.412,.412,,.412,.762,.451
Mike Farmer,,,STL,NBA,1.3,76,,1361,178,438,178,438,,,68,83,,,225,109,,,,140,424,.406,.406,,.406,.819,.447
Clyde Lovellette,,,BOS,NBA,1.3,45,,437,128,305,128,305,,,45,57,,,126,24,,,,100,301,.420,.420,,.420,.789,.456
Donnie Butcher,,,TOT,NBA,1.2,78,,1971,202,507,202,507,,,159,256,,,329,244,,,,249,563,.398,.398,,.398,.621,.454
Al Butler,,,NYK,NBA,1.1,76,,1379,260,616,260,616,,,138,187,,,168,157,,,,167,658,.422,.422,,.422,.738,.471
Jim King,,,LAL,NBA,1.1,60,,762,84,198,84,198,,,66,101,,,113,110,,,,99,234,.424,.424,,.424,.653,.483
John Barnhill,,,STL,NBA,1.0,74,,1367,208,505,208,505,,,70,115,,,157,145,,,,107,486,.412,.412,,.412,.609,.437
Charlie Hardnett,,,BAL,NBA,1.0,66,,617,107,260,107,260,,,84,125,,,251,27,,,,114,298,.412,.412,,.412,.672,.473
Dave Budd,,,NYK,NBA,0.9,73,,1031,128,297,128,297,,,84,115,,,276,57,,,,130,340,.431,.431,,.431,.730,.489
Don Ohl,,,DET,NBA,0.8,71,,2366,500,1224,500,1224,,,225,331,,,180,225,,,,219,1225,.408,.408,,.408,.680,.447
Darrall Imhoff,,,DET,NBA,0.7,58,,871,104,251,104,251,,,69,114,,,283,56,,,,167,277,.414,.414,,.414,.605,.460
Don Kojis,,,BAL,NBA,0.7,78,,1148,203,484,203,484,,,82,146,,,309,57,,,,123,488,.419,.419,,.419,.562,.445
Gary Hill,,,SFW,NBA,0.6,67,,1015,146,384,146,384,,,51,77,,,114,103,,,,165,343,.380,.380,,.380,.662,.410
George Lee,,,SFW,NBA,0.6,54,,522,64,169,64,169,,,47,71,,,97,25,,,,67,175,.379,.379,,.379,.662,.437
Larry Siegfried,,,BOS,NBA,0.5,31,,261,35,110,35,110,,,31,39,,,51,40,,,,33,101,.318,.318,,.318,.795,.397
Tom Hoover,,,NYK,NBA,0.4,59,,988,102,247,102,247,,,81,132,,,331,36,,,,185,285,.413,.413,,.413,.614,.467
Barney Cable,,,BAL,NBA,0.3,71,,1125,116,290,116,290,,,28,42,,,301,47,,,,166,260,.400,.400,,.400,.667,.421
Bob Duffy,,,TOT,NBA,0.3,48,,662,94,229,94,229,,,44,65,,,61,79,,,,48,232,.410,.410,,.410,.677,.450
Johnny McCarthy,,,BOS,NBA,0.2,28,,206,16,48,16,48,,,5,13,,,35,24,,,,42,37,.333,.333,,.333,.385,.344
Bud Olsen,,,CIN,NBA,0.2,49,,513,85,210,85,210,,,32,57,,,149,29,,,,78,202,.405,.405,,.405,.561,.430
Jay Arnette,,,CIN,NBA,0.1,48,,501,71,196,71,196,,,42,54,,,54,71,,,,105,184,.362,.362,,.362,.778,.419
Connie Dierking,,,PHI,NBA,0.1,76,,1286,191,514,191,514,,,114,169,,,422,50,,,,221,496,.372,.372,,.372,.675,.422
Jerry Greenspan,,,PHI,NBA,0.1,20,,280,32,90,32,90,,,34,50,,,72,11,,,,54,98,.356,.356,,.356,.680,.438
Jim Krebs,,,LAL,NBA,0.1,68,,975,134,357,134,357,,,65,85,,,283,49,,,,166,333,.375,.375,,.375,.765,.422
Kevin Loughery,,,TOT,NBA,0.1,66,,1459,236,631,236,631,,,126,177,,,138,182,,,,175,598,.374,.374,,.374,.712,.422
John Windsor,,,SFW,NBA,0.1,11,,68,10,27,10,27,,,7,8,,,26,2,,,,13,27,.370,.370,,.370,.875,.442
Gene Conley,,,NYK,NBA,0.0,46,,551,74,189,74,189,,,44,65,,,156,21,,,,124,192,.392,.392,,.392,.677,.441
Dave DeBusschere,,,DET,NBA,0.0,15,,304,52,133,52,133,,,25,43,,,105,23,,,,32,129,.391,.391,,.391,.581,.425
Reggie Harding,,,DET,NBA,0.0,39,,1158,184,460,184,460,,,61,98,,,410,52,,,,119,429,.400,.400,,.400,.622,.426
Jerry Harkness,,,NYK,NBA,0.0,5,,59,13,30,13,30,,,3,8,,,6,6,,,,4,29,.433,.433,,.433,.375,.433
Jim Loscutoff,,,BOS,NBA,0.0,53,,451,56,182,56,182,,,18,31,,,131,25,,,,90,130,.308,.308,,.308,.581,.332
Bevo Nordmann,,,TOT,NBA,0.0,19,,259,27,66,27,66,,,9,19,,,65,5,,,,51,63,.409,.409,,.409,.474,.424
Mel Peterson,,,BAL,NBA,0.0,2,,3,1,1,1,1,,,0,0,,,1,0,,,,2,2,1.000,1.000,,1.000,,1.000
Hub Reed,,,LAL,NBA,0.0,46,,386,33,91,33,91,,,10,15,,,107,23,,,,73,76,.363,.363,,.363,.667,.389
Ken Rohloff,,,STL,NBA,0.0,2,,7,0,1,0,1,,,0,0,,,0,1,,,,4,0,.000,.000,,.000,,.000
Frank Selvy,,,LAL,NBA,0.0,73,,1286,160,423,160,423,,,78,122,,,139,149,,,,115,398,.378,.378,,.378,.639,.417
Roger Strickland,,,BAL,NBA,0.0,1,,4,1,3,1,3,,,0,0,,,0,0,,,,1,2,.333,.333,,.333,,.333
Gene Tormohlen,,,STL,NBA,0.0,51,,640,94,250,94,250,,,22,46,,,216,50,,,,128,210,.376,.376,,.376,.478,.389
Mel Gibson,,,LAL,NBA,-0.1,9,,53,6,20,6,20,,,1,2,,,4,6,,,,10,13,.300,.300,,.300,.500,.311
