Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,PHI,NBA,21.4,79,,3737,1074,1990,1074,1990,,,501,976,,,1943,414,,,,171,2649,.540,.540,,.540,.513,.547
Jerry West,,,LAL,NBA,17.1,79,,3218,818,1731,818,1731,,,840,977,,,562,480,,,,243,2476,.473,.473,,.473,.860,.573
Oscar Robertson,,,CIN,NBA,16.9,76,,3493,818,1723,818,1723,,,742,881,,,586,847,,,,227,2378,.475,.475,,.475,.842,.563
Bill Russell,,,BOS,NBA,11.7,78,,3386,391,943,391,943,,,223,405,,,1779,371,,,,221,1005,.415,.415,,.415,.551,.448
Rick Barry,,,SFW,NBA,10.4,80,,2990,745,1698,745,1698,,,569,660,,,850,173,,,,297,2059,.439,.439,,.439,.862,.518
Zelmo Beaty,,,STL,NBA,10.3,80,,3072,616,1301,616,1301,,,424,559,,,1086,125,,,,344,1656,.473,.473,,.473,.758,.535
Sam Jones,,,BOS,NBA,10.0,67,,2155,626,1335,626,1335,,,325,407,,,347,216,,,,170,1577,.469,.469,,.469,.799,.521
Walt Bellamy,,,TOT,NBA,9.5,80,,3352,695,1373,695,1373,,,430,689,,,1254,235,,,,294,1820,.506,.506,,.506,.624,.543
Hal Greer,,,PHI,NBA,9.5,80,,3326,703,1580,703,1580,,,413,514,,,473,384,,,,315,1819,.445,.445,,.445,.804,.504
Bailey Howell,,,BAL,NBA,8.7,78,,2328,481,986,481,986,,,402,551,,,773,155,,,,306,1364,.488,.488,,.488,.730,.555
Jerry Lucas,,,CIN,NBA,8.1,79,,3517,690,1523,690,1523,,,317,403,,,1668,213,,,,274,1697,.453,.453,,.453,.787,.499
Dick Barnett,,,NYK,NBA,8.0,75,,2589,631,1344,631,1344,,,467,605,,,310,259,,,,235,1729,.469,.469,,.469,.772,.537
Chet Walker,,,PHI,NBA,7.8,80,,2603,443,982,443,982,,,335,468,,,636,201,,,,238,1221,.451,.451,,.451,.716,.514
Lenny Wilkens,,,STL,NBA,7.6,69,,2692,411,954,411,954,,,422,532,,,322,429,,,,248,1244,.431,.431,,.431,.793,.524
Rudy LaRusso,,,LAL,NBA,7.0,76,,2316,410,897,410,897,,,350,445,,,660,165,,,,261,1170,.457,.457,,.457,.787,.535
K.C. Jones,,,BOS,NBA,6.6,80,,2710,240,619,240,619,,,209,303,,,304,503,,,,243,689,.388,.388,,.388,.690,.458
Eddie Miles,,,DET,NBA,6.0,80,,2788,634,1418,634,1418,,,298,402,,,302,221,,,,203,1566,.447,.447,,.447,.741,.491
Bob Boozer,,,LAL,NBA,5.8,78,,1847,365,754,365,754,,,225,289,,,548,87,,,,196,955,.484,.484,,.484,.779,.542
Larry Siegfried,,,BOS,NBA,5.8,71,,1675,349,825,349,825,,,274,311,,,196,165,,,,157,972,.423,.423,,.423,.881,.505
Richie Guerin,,,STL,NBA,5.7,80,,2363,414,998,414,998,,,362,446,,,314,388,,,,256,1190,.415,.415,,.415,.812,.498
Al Attles,,,SFW,NBA,5.6,79,,2053,364,724,364,724,,,154,252,,,322,225,,,,265,882,.503,.503,,.503,.611,.528
Johnny Green,,,TOT,NBA,5.6,79,,1645,358,668,358,668,,,202,388,,,645,107,,,,183,918,.536,.536,,.536,.521,.547
Tom Sanders,,,BOS,NBA,5.5,72,,1896,349,816,349,816,,,211,276,,,508,90,,,,317,909,.428,.428,,.428,.764,.485
Don Nelson,,,BOS,NBA,5.4,75,,1765,271,618,271,618,,,223,326,,,403,79,,,,187,765,.439,.439,,.439,.684,.502
Happy Hairston,,,CIN,NBA,5.3,72,,1794,398,814,398,814,,,220,321,,,546,44,,,,216,1016,.489,.489,,.489,.685,.532
Ray Scott,,,DET,NBA,5.3,79,,2652,544,1309,544,1309,,,323,435,,,755,238,,,,209,1411,.416,.416,,.416,.743,.470
Tom Meschery,,,SFW,NBA,5.2,80,,2383,401,895,401,895,,,224,293,,,716,81,,,,285,1026,.448,.448,,.448,.765,.501
Don Ohl,,,BAL,NBA,5.1,73,,2645,593,1334,593,1334,,,316,430,,,280,290,,,,208,1502,.445,.445,,.445,.735,.493
Billy Cunningham,,,PHI,NBA,5.0,80,,2134,431,1011,431,1011,,,281,443,,,599,207,,,,301,1143,.426,.426,,.426,.634,.474
Walt Hazzard,,,LAL,NBA,4.5,80,,2198,458,1003,458,1003,,,182,257,,,219,393,,,,224,1098,.457,.457,,.457,.708,.492
Adrian Smith,,,CIN,NBA,4.4,80,,2982,531,1310,531,1310,,,408,480,,,287,256,,,,276,1470,.405,.405,,.405,.850,.483
John Havlicek,,,BOS,NBA,4.3,71,,2175,530,1328,530,1328,,,274,349,,,423,210,,,,158,1334,.399,.399,,.399,.785,.450
Nate Thurmond,,,SFW,NBA,4.3,73,,2891,454,1119,454,1119,,,280,428,,,1312,111,,,,223,1188,.406,.406,,.406,.654,.454
Paul Neumann,,,SFW,NBA,4.0,66,,1729,343,817,343,817,,,265,317,,,208,184,,,,174,951,.420,.420,,.420,.836,.497
Bill Bridges,,,STL,NBA,3.9,78,,2677,377,927,377,927,,,257,364,,,951,208,,,,333,1011,.407,.407,,.407,.706,.465
Dave DeBusschere,,,DET,NBA,3.7,79,,2696,524,1284,524,1284,,,249,378,,,916,209,,,,252,1297,.408,.408,,.408,.659,.447
Cliff Hagan,,,STL,NBA,3.7,74,,1851,419,942,419,942,,,176,206,,,234,164,,,,177,1014,.445,.445,,.445,.854,.491
Dave Stallworth,,,NYK,NBA,3.7,80,,1893,373,820,373,820,,,258,376,,,492,186,,,,237,1004,.455,.455,,.455,.686,.509
Johnny Egan,,,TOT,NBA,3.6,76,,1644,259,574,259,574,,,173,227,,,183,273,,,,167,691,.451,.451,,.451,.762,.513
Luke Jackson,,,PHI,NBA,3.6,79,,1966,246,614,246,614,,,158,214,,,676,132,,,,216,650,.401,.401,,.401,.738,.459
Kevin Loughery,,,BAL,NBA,3.6,74,,2455,526,1264,526,1264,,,297,358,,,227,356,,,,273,1349,.416,.416,,.416,.830,.474
Willis Reed,,,NYK,NBA,3.6,76,,2537,438,1009,438,1009,,,302,399,,,883,91,,,,323,1178,.434,.434,,.434,.757,.497
Joe Strawder,,,DET,NBA,3.6,79,,2180,250,613,250,613,,,176,256,,,820,78,,,,305,676,.408,.408,,.408,.688,.466
Joe Caldwell,,,TOT,NBA,3.3,79,,1857,411,938,411,938,,,179,254,,,436,126,,,,203,1001,.438,.438,,.438,.705,.477
Red Kerr,,,BAL,NBA,3.1,71,,1770,286,692,286,692,,,209,272,,,586,225,,,,148,781,.413,.413,,.413,.768,.481
Jim Barnes,,,TOT,NBA,2.9,73,,2191,348,818,348,818,,,212,310,,,755,94,,,,283,908,.425,.425,,.425,.684,.476
Mel Counts,,,BOS,NBA,2.9,67,,1021,221,549,221,549,,,120,145,,,432,50,,,,207,562,.403,.403,,.403,.828,.459
Leroy Ellis,,,LAL,NBA,2.8,80,,2219,393,927,393,927,,,186,256,,,735,74,,,,232,972,.424,.424,,.424,.727,.467
McCoy McLemore,,,SFW,NBA,2.7,80,,1467,225,528,225,528,,,142,191,,,488,55,,,,197,592,.426,.426,,.426,.743,.484
