Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Moses Malone,,,HOU,NBA,15.4,81,81,3398,945,1822,945,1816,0,6,630,827,558,630,1188,142,76,125,294,208,2520,.519,.520,.000,.519,.762,.576
Sidney Moncrief,,,MIL,NBA,13.4,80,80,2980,556,1063,555,1049,1,14,468,573,221,313,534,382,138,22,208,206,1581,.523,.529,.071,.524,.817,.601
Julius Erving,,,PHI,NBA,13.3,81,81,2789,780,1428,777,1417,3,11,411,539,220,337,557,319,161,141,214,229,1974,.546,.548,.273,.547,.763,.593
Magic Johnson,,,LAL,NBA,12.9,78,77,2991,556,1036,550,1007,6,29,329,433,252,499,751,743,208,34,286,223,1447,.537,.546,.207,.540,.760,.590
Adrian Dantley,,,UTA,NBA,12.6,81,81,3222,904,1586,903,1583,1,3,648,818,231,283,514,324,95,14,299,252,2457,.570,.570,.333,.570,.792,.631
Jack Sikma,,,SEA,NBA,12.6,82,82,3049,581,1212,579,1199,2,13,447,523,223,815,1038,277,102,107,213,268,1611,.479,.483,.154,.480,.855,.559
Larry Bird,,,BOS,NBA,12.5,77,58,2923,711,1414,700,1362,11,52,328,380,200,637,837,447,143,66,254,244,1761,.503,.514,.212,.507,.863,.557
Artis Gilmore,,,CHI,NBA,12.1,82,82,2796,546,837,545,836,1,1,424,552,224,611,835,136,49,220,227,287,1517,.652,.652,1.000,.653,.768,.702
Kareem Abdul-Jabbar,,,LAL,NBA,10.7,76,76,2677,753,1301,753,1298,0,3,312,442,172,487,659,225,63,207,230,224,1818,.579,.580,.000,.579,.706,.608
George Gervin,,,SAS,NBA,10.7,79,79,2817,993,1987,983,1951,10,36,555,642,138,254,392,187,77,45,210,215,2551,.500,.504,.278,.502,.864,.562
Gus Williams,,,SEA,NBA,10.2,80,80,2876,773,1592,764,1552,9,40,320,436,92,152,244,549,172,36,197,163,1875,.486,.492,.225,.488,.734,.526
Robert Parish,,,BOS,NBA,10.0,80,78,2534,669,1235,669,1235,0,0,252,355,288,578,866,140,68,192,221,267,1590,.542,.542,,.542,.710,.571
Dan Issel,,,DEN,NBA,9.8,81,81,2472,651,1236,647,1230,4,6,546,655,174,434,608,179,67,55,169,245,1852,.527,.526,.667,.528,.834,.608
Alex English,,,DEN,NBA,9.5,82,82,3015,855,1553,855,1545,0,8,372,443,210,348,558,433,87,120,261,261,2082,.551,.553,.000,.551,.840,.596
Greg Ballard,,,WSB,NBA,9.4,79,79,2946,621,1307,612,1285,9,22,235,283,136,497,633,250,137,22,119,204,1486,.475,.476,.409,.479,.830,.519
Calvin Natt,,,POR,NBA,9.3,75,71,2599,515,894,513,886,2,8,294,392,193,420,613,150,62,36,140,175,1326,.576,.579,.250,.577,.750,.622
Kyle Macy,,,PHO,NBA,9.2,82,72,2845,486,945,447,845,39,100,152,169,78,183,261,384,143,9,125,185,1163,.514,.529,.390,.535,.899,.570
Cedric Maxwell,,,BOS,NBA,9.1,78,73,2590,397,724,397,721,0,3,357,478,218,281,499,183,79,49,174,263,1151,.548,.551,.000,.548,.747,.616
Buck Williams,,,NJN,NBA,8.9,82,82,2825,513,881,513,880,0,1,242,388,347,658,1005,107,84,84,235,285,1268,.582,.583,.000,.582,.624,.603
Bernard King,,,GSW,NBA,8.7,79,77,2861,740,1307,739,1302,1,5,352,499,140,329,469,282,78,23,267,285,1833,.566,.568,.200,.567,.705,.600
Maurice Cheeks,,,PHI,NBA,8.6,79,79,2498,352,676,346,654,6,22,171,220,51,197,248,667,209,33,184,247,881,.521,.529,.273,.525,.777,.570
Bobby Jones,,,PHI,NBA,8.2,76,73,2181,416,737,416,734,0,3,263,333,109,284,393,189,99,112,145,211,1095,.564,.567,.000,.564,.790,.620
Mychal Thompson,,,POR,NBA,8.2,79,78,3129,681,1303,681,1303,0,0,280,446,258,663,921,319,69,107,245,233,1642,.523,.523,,.523,.628,.548
Dennis Johnson,,,PHO,NBA,8.1,80,77,2937,577,1228,569,1186,8,42,399,495,142,268,410,369,105,55,233,253,1561,.470,.480,.190,.473,.806,.540
Ray Williams,,,NJN,NBA,7.9,82,69,2732,639,1383,630,1329,9,54,387,465,117,208,325,488,199,43,290,302,1674,.462,.474,.167,.465,.832,.527
Jeff Ruland,,,WSB,NBA,7.8,82,0,2214,420,749,419,746,1,3,342,455,253,509,762,134,44,58,237,319,1183,.561,.562,.333,.561,.752,.623
Kiki Vandeweghe,,,DEN,NBA,7.7,82,78,2775,706,1260,705,1247,1,13,347,405,149,312,461,247,52,29,189,217,1760,.560,.565,.077,.561,.857,.612
Jamaal Wilkes,,,LAL,NBA,7.7,82,82,2906,744,1417,744,1413,0,4,246,336,153,240,393,143,89,24,164,240,1734,.525,.527,.000,.525,.732,.554
Kevin McHale,,,BOS,NBA,7.5,82,33,2332,465,875,465,875,0,0,187,248,191,365,556,91,30,185,137,264,1117,.531,.531,,.531,.754,.568
Jim Paxson,,,POR,NBA,7.5,82,82,2756,662,1258,654,1223,8,35,220,287,75,146,221,276,129,12,144,159,1552,.526,.535,.229,.529,.767,.561
Kelly Tripucka,,,DET,NBA,7.5,82,82,3077,636,1281,631,1259,5,22,495,621,219,224,443,270,89,16,280,241,1772,.496,.501,.227,.498,.797,.570
Maurice Lucas,,,NYK,NBA,7.4,80,74,2671,505,1001,505,998,0,3,253,349,274,629,903,179,68,70,173,309,1263,.504,.506,.000,.504,.725,.547
Alvan Adams,,,PHO,NBA,7.2,79,75,2393,507,1027,507,1026,0,1,182,233,138,448,586,356,114,78,196,269,1196,.494,.494,.000,.494,.781,.529
Don Buse,,,IND,NBA,7.1,82,78,2529,312,685,239,496,73,189,100,123,46,177,223,407,164,27,95,176,797,.455,.482,.386,.509,.813,.539
