Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,LAL,NBA,17.8,82,,3016,888,1533,888,1533,,,376,536,266,824,1090,319,101,261,,262,2152,.579,.579,,.579,.701,.608
Artis Gilmore,,,CHI,NBA,12.2,82,,2877,570,1091,570,1091,,,387,586,313,757,1070,199,44,203,,266,1527,.522,.522,,.522,.660,.566
Elvin Hayes,,,WSB,NBA,12.1,82,,3364,760,1516,760,1516,,,422,614,289,740,1029,158,87,220,,312,1942,.501,.501,,.501,.687,.544
Julius Erving,,,PHI,NBA,11.5,82,,2940,685,1373,685,1373,,,400,515,192,503,695,306,159,113,,251,1770,.499,.499,,.499,.777,.553
Bobby Jones,,,DEN,NBA,11.0,82,,2419,501,879,501,879,,,236,329,174,504,678,264,186,162,,238,1238,.570,.570,,.570,.717,.605
Dan Issel,,,DEN,NBA,10.9,79,,2507,660,1282,660,1282,,,445,558,211,485,696,177,91,29,,246,1765,.515,.515,,.515,.797,.578
Billy Knight,,,IND,NBA,10.7,78,,3117,831,1687,831,1687,,,413,506,223,359,582,260,117,19,,197,2075,.493,.493,,.493,.816,.543
David Thompson,,,DEN,NBA,10.7,82,,3001,824,1626,824,1626,,,477,623,138,196,334,337,114,53,,236,2125,.507,.507,,.507,.766,.559
George Gervin,,,SAS,NBA,10.5,82,,2705,726,1335,726,1335,,,443,532,134,320,454,238,105,104,,286,1895,.544,.544,,.544,.833,.604
Rudy Tomjanovich,,,HOU,NBA,10.4,81,,3130,733,1437,733,1437,,,287,342,172,512,684,172,57,27,,198,1753,.510,.510,,.510,.839,.552
Bob Lanier,,,DET,NBA,10.3,64,,2446,678,1269,678,1269,,,260,318,200,545,745,214,70,126,,174,1616,.534,.534,,.534,.818,.573
Bill Walton,,,POR,NBA,10.2,65,,2264,491,930,491,930,,,228,327,211,723,934,245,66,211,,174,1210,.528,.528,,.528,.697,.563
Adrian Dantley,,,BUF,NBA,9.8,77,,2816,544,1046,544,1046,,,476,582,251,336,587,144,91,15,,215,1564,.520,.520,,.520,.818,.601
Bob McAdoo,,,TOT,NBA,9.6,72,,2798,740,1445,740,1445,,,381,516,199,727,926,205,77,99,,262,1861,.512,.512,,.512,.738,.557
Paul Westphal,,,PHO,NBA,9.6,81,,2600,682,1317,682,1317,,,362,439,57,133,190,459,134,21,,171,1726,.518,.518,,.518,.825,.571
Larry Kenon,,,SAS,NBA,9.5,78,,2936,706,1435,706,1435,,,293,356,282,597,879,229,167,60,,190,1705,.492,.492,,.492,.823,.536
Maurice Lucas,,,POR,NBA,8.7,79,,2863,632,1357,632,1357,,,335,438,271,628,899,229,83,56,,294,1599,.466,.466,,.466,.765,.516
Moses Malone,,,TOT,NBA,8.7,82,,2506,389,810,389,810,,,305,440,437,635,1072,89,67,181,,275,1083,.480,.480,,.480,.693,.540
George McGinnis,,,PHI,NBA,8.6,79,,2769,659,1439,659,1439,,,372,546,324,587,911,302,163,37,,299,1690,.458,.458,,.458,.681,.503
Mickey Johnson,,,CHI,NBA,8.5,81,,2847,538,1205,538,1205,,,324,407,297,531,828,195,103,64,,315,1400,.446,.446,,.446,.796,.506
Rick Barry,,,GSW,NBA,8.4,79,,2904,682,1551,682,1551,,,359,392,73,349,422,475,172,58,,194,1723,.440,.440,,.440,.916,.500
Ron Boone,,,KCK,NBA,8.1,82,,3021,747,1577,747,1577,,,324,384,128,193,321,338,119,19,,258,1818,.474,.474,,.474,.844,.521
John Drew,,,ATL,NBA,7.9,74,,2688,689,1416,689,1416,,,412,577,280,395,675,133,102,29,,275,1790,.487,.487,,.487,.714,.536
Brian Taylor,,,KCK,NBA,7.9,72,,2488,501,995,501,995,,,225,275,88,150,238,320,199,16,,206,1227,.504,.504,,.504,.818,.550
Earl Monroe,,,NYK,NBA,7.8,77,,2656,613,1185,613,1185,,,307,366,45,178,223,366,91,23,,197,1533,.517,.517,,.517,.839,.569
Calvin Murphy,,,HOU,NBA,7.7,82,,2764,596,1216,596,1216,,,272,307,54,118,172,386,144,8,,281,1464,.490,.490,,.490,.886,.542
Dave Twardzik,,,POR,NBA,7.5,74,,1937,263,430,263,430,,,239,284,75,127,202,247,128,15,,228,765,.612,.612,,.612,.842,.689
Bob Gross,,,POR,NBA,7.4,82,,2232,376,711,376,711,,,183,215,173,221,394,242,107,57,,255,935,.529,.529,,.529,.851,.580
Truck Robinson,,,TOT,NBA,7.3,77,,2777,574,1200,574,1200,,,314,430,252,576,828,142,66,38,,253,1462,.478,.478,,.478,.730,.526
Jamaal Wilkes,,,GSW,NBA,7.3,76,,2579,548,1147,548,1147,,,247,310,155,423,578,211,127,16,,222,1343,.478,.478,,.478,.797,.523
Phil Smith,,,GSW,NBA,7.0,82,,2880,631,1318,631,1318,,,295,376,101,231,332,328,98,29,,227,1557,.479,.479,,.479,.785,.525
Swen Nater,,,MIL,NBA,6.9,72,,1960,383,725,383,725,,,172,228,266,599,865,108,54,51,,214,938,.528,.528,,.528,.754,.568
Cazzie Russell,,,LAL,NBA,6.6,82,,2583,578,1179,578,1179,,,188,219,86,208,294,210,86,7,,163,1344,.490,.490,,.490,.858,.527
Steve Mix,,,PHI,NBA,6.5,75,,1958,288,551,288,551,,,215,263,127,249,376,152,90,20,,167,791,.523,.523,,.523,.817,.593
Jo Jo White,,,BOS,NBA,6.5,82,,3333,638,1488,638,1488,,,333,383,87,296,383,492,118,22,,193,1609,.429,.429,,.429,.869,.486
Pete Maravich,,,NOJ,NBA,6.4,73,,3041,886,2047,886,2047,,,501,600,90,284,374,392,84,22,,191,2273,.433,.433,,.433,.835,.492
Randy Smith,,,BUF,NBA,6.4,82,,3094,702,1504,702,1504,,,294,386,134,323,457,441,176,8,,264,1698,.467,.467,,.467,.762,.507
Alvan Adams,,,PHO,NBA,6.3,72,,2278,522,1102,522,1102,,,252,334,180,472,652,322,95,87,,260,1296,.474,.474,,.474,.754,.519
John Shumate,,,BUF,NBA,6.3,74,,2601,407,810,407,810,,,302,450,163,538,701,159,90,84,,197,1116,.502,.502,,.502,.671,.554
Doug Collins,,,PHI,NBA,6.2,58,,2037,426,823,426,823,,,210,250,64,131,195,271,70,15,,174,1062,.518,.518,,.518,.840,.569
Wes Unseld,,,WSB,NBA,6.2,82,,2860,270,551,270,551,,,100,166,243,634,877,363,87,45,,253,640,.490,.490,,.490,.602,.513
Fred Brown,,,SEA,NBA,6.1,72,,2098,534,1114,534,1114,,,168,190,68,164,232,176,124,19,,140,1236,.479,.479,,.479,.884,.516
