Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Dave Bing,,,DET,NBA,8.6,82,,3361,692,1545,692,1545,,,456,560,,,298,637,,,,229,1840,.448,.448,,.448,.814,.514
Oscar Robertson,,,MIL,NBA,8.4,73,,2737,446,983,446,983,,,238,281,,,360,551,,,,167,1130,.454,.454,,.454,.847,.511
Jeff Mullins,,,GSW,NBA,8.3,81,,3005,651,1321,651,1321,,,143,172,,,363,337,,,,201,1445,.493,.493,,.493,.831,.517
Curtis Rowe,,,DET,NBA,8.3,81,,3009,547,1053,547,1053,,,210,327,,,760,172,,,,191,1304,.519,.519,,.519,.642,.545
Bob Dandridge,,,MIL,NBA,8.1,73,,2852,638,1353,638,1353,,,198,251,,,600,207,,,,279,1474,.472,.472,,.472,.789,.504
Gail Goodrich,,,LAL,NBA,8.1,76,,2697,750,1615,750,1615,,,314,374,,,263,332,,,,193,1814,.464,.464,,.464,.840,.510
Clifford Ray,,,CHI,NBA,8.1,73,,2009,254,516,254,516,,,117,189,,,797,271,,,,232,625,.492,.492,,.492,.619,.522
Bob Kauffman,,,BUF,NBA,7.9,77,,3049,535,1059,535,1059,,,280,359,,,855,396,,,,211,1350,.505,.505,,.505,.780,.555
Jerry Lucas,,,NYK,NBA,7.8,71,,2001,312,608,312,608,,,80,100,,,510,317,,,,157,704,.513,.513,,.513,.800,.540
Earl Monroe,,,NYK,NBA,7.8,75,,2370,496,1016,496,1016,,,171,208,,,245,288,,,,195,1163,.488,.488,,.488,.822,.525
Byron Beck,,,DNR,ABA,7.7,77,,2303,466,879,464,872,2,7,158,198,203,334,537,107,,,126,267,1092,.530,.532,.286,.531,.798,.565
Norm Van Lier,,,CHI,NBA,7.7,80,,2882,474,1064,474,1064,,,166,211,,,438,567,,,,269,1114,.445,.445,,.445,.787,.481
Lucius Allen,,,MIL,NBA,7.6,80,,2693,547,1130,547,1130,,,143,200,,,279,426,,,,188,1237,.484,.484,,.484,.715,.508
Elvin Hayes,,,BAL,NBA,7.6,81,,3347,713,1607,713,1607,,,291,434,,,1177,127,,,,232,1717,.444,.444,,.444,.671,.477
Pete Maravich,,,ATL,NBA,7.6,79,,3089,789,1788,789,1788,,,485,606,,,346,546,,,,245,2063,.441,.441,,.441,.800,.502
Connie Hawkins,,,PHO,NBA,7.5,75,,2768,441,920,441,920,,,322,404,,,641,304,,,,229,1204,.479,.479,,.479,.797,.548
Louie Dampier,,,KEN,ABA,7.4,80,,3039,515,1143,461,988,54,155,262,334,55,158,213,521,,,188,216,1346,.451,.467,.348,.474,.784,.522
James Silas,,,DLC,ABA,7.4,78,,2417,341,679,341,679,0,0,389,467,109,227,336,244,,,192,262,1071,.502,.502,,.502,.833,.605
Walt Bellamy,,,ATL,NBA,7.1,74,,2802,455,901,455,901,,,283,526,,,964,179,,,,244,1193,.505,.505,,.505,.538,.527
Bill Bradley,,,NYK,NBA,7.0,82,,2998,575,1252,575,1252,,,169,194,,,301,367,,,,273,1319,.459,.459,,.459,.871,.493
Tom Owens,,,CAR,ABA,6.9,83,,2209,393,727,393,725,0,2,193,284,229,417,646,94,,,173,318,979,.541,.542,.000,.541,.680,.575
Rudy Tomjanovich,,,HOU,NBA,6.9,81,,2972,655,1371,655,1371,,,250,335,,,938,178,,,,225,1560,.478,.478,,.478,.746,.514
Gene Moore,,,SDA,ABA,6.8,83,,2481,400,804,396,793,4,11,180,260,324,550,874,152,,149,227,369,984,.498,.499,.364,.500,.692,.536
Neal Walk,,,PHO,NBA,6.8,81,,3114,678,1455,678,1455,,,279,355,,,1006,287,,,,323,1635,.466,.466,,.466,.786,.507
Bill Bridges,,,TOT,NBA,6.7,82,,2867,333,722,333,722,,,179,255,,,904,219,,,,296,845,.461,.461,,.461,.702,.506
Dave DeBusschere,,,NYK,NBA,6.6,77,,2827,532,1224,532,1224,,,194,260,,,787,259,,,,215,1258,.435,.435,,.435,.746,.470
Charlie Scott,,,PHO,NBA,6.5,81,,3062,806,1809,806,1809,,,436,556,,,342,495,,,,306,2048,.446,.446,,.446,.784,.499
George Thompson,,,MMT,ABA,6.5,80,,2925,579,1269,559,1196,20,73,549,700,95,170,265,403,,,245,246,1727,.456,.467,.274,.464,.784,.548
Jim Fox,,,SEA,NBA,6.4,74,,2439,316,613,316,613,,,214,265,,,827,176,,,,239,846,.515,.515,,.515,.808,.580
Jim McMillian,,,LAL,NBA,6.4,81,,2953,655,1431,655,1431,,,223,264,,,447,221,,,,176,1533,.458,.458,,.458,.845,.495
Bob Love,,,CHI,NBA,6.3,82,,3033,774,1794,774,1794,,,347,421,,,532,119,,,,240,1895,.431,.431,,.431,.824,.479
Jim Barnett,,,GSW,NBA,6.1,82,,2215,394,844,394,844,,,183,217,,,255,301,,,,150,971,.467,.467,,.467,.843,.517
Roger Brown,,,INA,ABA,6.1,72,,2177,332,700,290,582,42,118,203,247,111,237,348,204,,,120,181,909,.474,.498,.356,.504,.822,.562
Jack Marin,,,HOU,NBA,6.1,81,,3019,624,1334,624,1334,,,248,292,,,499,291,,,,247,1496,.468,.468,,.468,.849,.511
Walter Simon,,,KEN,ABA,6.1,83,,2403,432,897,429,880,3,17,143,191,122,273,395,336,,,156,271,1010,.482,.488,.176,.483,.749,.515
Jimmy Walker,,,HOU,NBA,6.1,81,,3079,605,1301,605,1301,,,244,276,,,268,442,,,,207,1454,.465,.465,,.465,.884,.511
Jo Jo White,,,BOS,NBA,6.1,82,,3250,717,1665,717,1665,,,178,228,,,414,498,,,,185,1612,.431,.431,,.431,.781,.457
Austin Carr,,,CLE,NBA,5.9,82,,3097,702,1575,702,1575,,,281,342,,,369,279,,,,185,1685,.446,.446,,.446,.822,.488
Don Nelson,,,BOS,NBA,5.8,72,,1425,309,649,309,649,,,159,188,,,315,102,,,,155,777,.476,.476,,.476,.846,.531
Mike Newlin,,,HOU,NBA,5.8,82,,2658,534,1206,534,1206,,,327,369,,,340,409,,,,301,1395,.443,.443,,.443,.886,.510
Willis Reed,,,NYK,NBA,5.8,69,,1876,334,705,334,705,,,92,124,,,590,126,,,,205,760,.474,.474,,.474,.742,.500
Archie Clark,,,BAL,NBA,5.6,39,,1477,302,596,302,596,,,111,137,,,129,275,,,,111,715,.507,.507,,.507,.810,.545
Billy Paultz,,,NYA,ABA,5.6,81,,2800,532,1027,532,1025,0,2,287,405,279,736,1015,189,,214,213,259,1351,.518,.519,.000,.518,.709,.560
Sidney Wicks,,,POR,NBA,5.6,80,,3152,761,1684,761,1684,,,384,531,,,870,440,,,,253,1906,.452,.452,,.452,.723,.497
Phil Chenier,,,BAL,NBA,5.5,71,,2776,602,1332,602,1332,,,194,244,,,288,301,,,,160,1398,.452,.452,,.452,.795,.486
George Irvine,,,VIR,ABA,5.5,79,,2075,424,805,417,772,7,33,169,203,108,188,296,149,,,138,267,1024,.527,.540,.212,.531,.833,.573
Bill Keller,,,INA,ABA,5.4,83,,2251,421,973,350,751,71,222,234,269,82,122,204,361,,,171,162,1147,.433,.466,.320,.469,.870,.525
Julius Keye,,,DNR,ABA,5.3,83,,3016,163,375,160,367,3,8,130,233,275,617,892,180,,226,134,269,459,.435,.436,.375,.439,.558,.481
Geoff Petrie,,,POR,NBA,5.3,79,,3134,836,1801,836,1801,,,298,383,,,273,350,,,,163,1970,.464,.464,,.464,.778,.500
Matt Guokas,,,KCO,NBA,5.2,79,,2846,322,565,322,565,,,74,90,,,245,403,,,,190,718,.570,.570,,.570,.822,.594
Freddie Lewis,,,INA,ABA,5.2,72,,2217,375,860,337,750,38,110,287,349,97,131,228,288,,,173,204,1075,.436,.449,.345,.458,.822,.530
Jon McGlocklin,,,MIL,NBA,5.2,80,,1951,351,699,351,699,,,63,73,,,158,236,,,,119,765,.502,.502,,.502,.863,.523
