Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Adrian Dantley,,,UTA,NBA,14.6,79,79,2984,802,1438,801,1434,1,4,813,946,179,269,448,310,61,4,263,201,2418,.558,.559,.250,.558,.859,.652
Larry Bird,,,BOS,NBA,13.6,79,77,3028,758,1542,740,1469,18,73,374,421,181,615,796,520,144,69,237,197,1908,.492,.504,.247,.497,.888,.552
Sidney Moncrief,,,MIL,NBA,12.7,79,79,3075,560,1125,555,1107,5,18,529,624,215,313,528,358,108,27,217,204,1654,.498,.501,.278,.500,.848,.591
Bernard King,,,NYK,NBA,12.1,77,76,2667,795,1391,795,1387,0,4,437,561,123,271,394,164,75,17,197,273,2027,.572,.573,.000,.572,.779,.619
Bill Laimbeer,,,DET,NBA,10.8,82,82,2864,553,1044,553,1033,0,11,316,365,329,674,1003,149,49,84,151,273,1422,.530,.535,.000,.530,.866,.590
Kevin McHale,,,BOS,NBA,10.5,82,10,2577,587,1055,586,1052,1,3,336,439,208,402,610,104,23,126,150,243,1511,.556,.557,.333,.557,.765,.605
Robert Parish,,,BOS,NBA,10.5,80,79,2867,623,1140,623,1140,0,0,274,368,243,614,857,139,55,116,184,266,1520,.546,.546,,.546,.745,.584
Kiki Vandeweghe,,,DEN,NBA,10.3,78,71,2734,895,1603,884,1573,11,30,494,580,84,289,373,238,53,50,156,187,2295,.558,.562,.367,.562,.852,.618
Magic Johnson,,,LAL,NBA,10.2,67,66,2567,441,780,435,751,6,29,290,358,99,392,491,875,150,49,306,169,1178,.565,.579,.207,.569,.810,.628
Julius Erving,,,PHI,NBA,10.1,77,77,2683,678,1324,671,1303,7,21,364,483,190,342,532,309,141,139,230,217,1727,.512,.515,.333,.515,.754,.562
Rolando Blackman,,,DAL,NBA,9.8,81,81,3025,721,1320,720,1309,1,11,372,458,124,249,373,288,56,37,169,127,1815,.546,.550,.091,.547,.812,.596
Bill Cartwright,,,NYK,NBA,9.8,77,77,2487,453,808,453,807,0,1,404,502,195,454,649,107,44,97,200,262,1310,.561,.561,.000,.561,.805,.637
Larry Nance,,,PHO,NBA,9.8,82,82,2899,601,1044,601,1037,0,7,249,352,227,451,678,214,86,174,177,274,1451,.576,.580,.000,.576,.707,.605
Jack Sikma,,,SEA,NBA,9.7,82,82,2993,576,1155,576,1153,0,2,411,480,225,686,911,327,95,92,236,301,1563,.499,.500,.000,.499,.856,.572
Moses Malone,,,PHI,NBA,9.5,71,71,2613,532,1101,532,1097,0,4,545,727,352,598,950,96,71,110,250,188,1609,.483,.485,.000,.483,.750,.566
Jim Paxson,,,POR,NBA,9.5,81,81,2686,680,1322,663,1263,17,59,345,410,68,105,173,251,122,10,142,165,1722,.514,.525,.288,.521,.841,.573
Jeff Ruland,,,WSB,NBA,9.3,75,75,3082,599,1035,598,1028,1,7,466,636,265,657,922,296,68,72,342,285,1665,.579,.582,.143,.579,.733,.633
Isiah Thomas,,,DET,NBA,9.1,82,82,3007,669,1448,647,1383,22,65,388,529,103,224,327,914,204,33,307,324,1748,.462,.468,.338,.470,.733,.520
Mark Aguirre,,,DAL,NBA,9.0,79,79,2900,925,1765,910,1709,15,56,465,621,161,308,469,358,80,22,285,246,2330,.524,.532,.268,.528,.749,.572
Kareem Abdul-Jabbar,,,LAL,NBA,8.9,80,80,2622,716,1238,716,1237,0,1,285,394,169,418,587,211,55,143,221,211,1717,.578,.579,.000,.578,.723,.608
Marques Johnson,,,MIL,NBA,8.6,74,74,2715,646,1288,644,1275,2,13,241,340,173,307,480,315,115,45,180,194,1535,.502,.505,.154,.502,.709,.534
Calvin Natt,,,POR,NBA,8.4,79,74,2638,500,857,498,840,2,17,275,345,166,310,476,179,69,22,166,218,1277,.583,.593,.118,.585,.797,.633
Alex English,,,DEN,NBA,8.2,82,77,2870,907,1714,906,1707,1,7,352,427,216,248,464,406,83,95,222,252,2167,.529,.531,.143,.529,.824,.570
Darryl Dawkins,,,NJN,NBA,7.9,81,80,2417,507,855,505,850,2,5,341,464,159,382,541,123,60,136,231,386,1357,.593,.594,.400,.594,.735,.641
Rickey Green,,,UTA,NBA,7.9,81,81,2768,439,904,437,887,2,17,192,234,56,174,230,748,215,13,172,155,1072,.486,.493,.118,.487,.821,.532
Terry Cummings,,,SDC,NBA,7.5,81,80,2907,737,1491,737,1488,0,3,380,528,323,454,777,139,92,57,218,298,1854,.494,.495,.000,.494,.720,.538
Maurice Cheeks,,,PHI,NBA,7.3,75,75,2494,386,702,378,682,8,20,170,232,44,161,205,478,171,20,182,196,950,.550,.554,.400,.556,.733,.591
Buck Williams,,,NJN,NBA,7.3,81,81,3003,495,926,495,922,0,4,284,498,355,645,1000,130,81,125,237,298,1274,.535,.537,.000,.535,.570,.556
Dan Roundfield,,,ATL,NBA,7.1,73,72,2610,503,1038,503,1027,0,11,374,486,206,515,721,184,61,74,205,221,1380,.485,.490,.000,.485,.770,.551
Clark Kellogg,,,IND,NBA,7.0,79,79,2676,619,1193,612,1172,7,21,261,340,230,489,719,234,121,28,218,242,1506,.519,.522,.333,.522,.768,.561
Dominique Wilkins,,,ATL,NBA,7.0,81,81,2961,684,1429,684,1418,0,11,382,496,254,328,582,126,117,87,215,197,1750,.479,.482,.000,.479,.770,.531
Mychal Thompson,,,POR,NBA,6.9,79,74,2648,487,929,487,927,0,2,266,399,235,453,688,308,84,108,235,237,1240,.524,.525,.000,.524,.667,.561
Kenny Carr,,,POR,NBA,6.7,82,57,2455,518,923,518,918,0,5,247,367,208,434,642,157,68,33,202,274,1283,.561,.564,.000,.561,.673,.592
Artis Gilmore,,,SAS,NBA,6.7,64,59,2034,351,556,351,553,0,3,280,390,213,449,662,70,36,132,149,229,982,.631,.635,.000,.631,.718,.675
Bob Lanier,,,MIL,NBA,6.7,72,72,2007,392,685,392,682,0,3,194,274,141,314,455,186,58,51,163,228,978,.572,.575,.000,.572,.708,.607
Michael Cooper,,,LAL,NBA,6.5,82,9,2387,273,549,235,428,38,121,155,185,53,209,262,482,113,67,148,267,739,.497,.549,.314,.532,.838,.586
James Worthy,,,LAL,NBA,6.5,82,53,2415,495,890,495,884,0,6,195,257,157,358,515,207,77,70,181,244,1185,.556,.560,.000,.556,.759,.591
Maurice Lucas,,,PHO,NBA,6.4,75,69,2309,451,908,451,903,0,5,293,383,208,517,725,203,55,39,177,235,1195,.497,.499,.000,.497,.765,.555
Cedric Maxwell,,,BOS,NBA,6.4,80,78,2502,317,596,316,590,1,6,320,425,201,260,461,205,63,24,203,224,955,.532,.536,.167,.533,.753,.610
