Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,PHI,NBA,21.9,81,,3682,785,1150,785,1150,,,386,875,,,1957,630,,,,143,1956,.683,.683,,.683,.441,.637
Oscar Robertson,,,CIN,NBA,17.4,79,,3468,838,1699,838,1699,,,736,843,,,486,845,,,,226,2412,.493,.493,,.493,.873,.583
Rick Barry,,,SFW,NBA,14.4,78,,3175,1011,2240,1011,2240,,,753,852,,,714,282,,,,258,2775,.451,.451,,.451,.884,.531
Bill Russell,,,BOS,NBA,12.2,81,,3297,395,870,395,870,,,285,467,,,1700,472,,,,258,1075,.454,.454,,.454,.610,.500
Bailey Howell,,,BOS,NBA,11.8,81,,2503,636,1242,636,1242,,,349,471,,,677,103,,,,296,1621,.512,.512,,.512,.741,.559
Jerry West,,,LAL,NBA,11.7,66,,2670,645,1389,645,1389,,,602,686,,,392,447,,,,160,1892,.464,.464,,.464,.878,.559
Chet Walker,,,PHI,NBA,10.1,81,,2691,561,1150,561,1150,,,445,581,,,660,188,,,,232,1567,.488,.488,,.488,.766,.557
Bob Boozer,,,CHI,NBA,9.4,80,,2451,538,1104,538,1104,,,360,461,,,679,90,,,,212,1436,.487,.487,,.487,.781,.549
Walt Bellamy,,,NYK,NBA,8.8,79,,3010,565,1084,565,1084,,,369,580,,,1064,206,,,,275,1499,.521,.521,,.521,.636,.560
John Havlicek,,,BOS,NBA,8.3,81,,2602,684,1540,684,1540,,,365,441,,,532,278,,,,210,1733,.444,.444,,.444,.828,.500
Willis Reed,,,NYK,NBA,7.9,78,,2824,635,1298,635,1298,,,358,487,,,1136,126,,,,293,1628,.489,.489,,.489,.735,.538
Bill Bridges,,,STL,NBA,7.6,79,,3130,503,1106,503,1106,,,367,523,,,1190,222,,,,325,1373,.455,.455,,.455,.702,.514
Hal Greer,,,PHI,NBA,7.6,80,,3086,699,1524,699,1524,,,367,466,,,422,303,,,,302,1765,.459,.459,,.459,.788,.510
Lenny Wilkens,,,STL,NBA,7.6,78,,2974,448,1036,448,1036,,,459,583,,,412,442,,,,280,1355,.432,.432,,.432,.787,.524
Sam Jones,,,BOS,NBA,7.5,72,,2325,638,1406,638,1406,,,318,371,,,338,217,,,,191,1594,.454,.454,,.454,.857,.508
Jerry Lucas,,,CIN,NBA,7.3,81,,3558,577,1257,577,1257,,,284,359,,,1547,268,,,,280,1438,.459,.459,,.459,.791,.508
Nate Thurmond,,,SFW,NBA,7.2,65,,2761,467,1068,467,1068,,,280,445,,,1382,166,,,,183,1214,.437,.437,,.437,.629,.480
Billy Cunningham,,,PHI,NBA,6.8,81,,2168,556,1211,556,1211,,,383,558,,,589,205,,,,260,1495,.459,.459,,.459,.686,.513
Jerry Sloan,,,CHI,NBA,6.5,80,,2942,525,1214,525,1214,,,340,427,,,726,170,,,,293,1390,.432,.432,,.432,.796,.496
Larry Siegfried,,,BOS,NBA,6.4,73,,1891,368,833,368,833,,,294,347,,,228,250,,,,207,1030,.442,.442,,.442,.847,.522
Elgin Baylor,,,LAL,NBA,6.2,70,,2706,711,1658,711,1658,,,440,541,,,898,215,,,,211,1862,.429,.429,,.429,.813,.491
Guy Rodgers,,,CHI,NBA,6.2,81,,3063,538,1377,538,1377,,,383,475,,,346,908,,,,243,1459,.391,.391,,.391,.806,.460
Dave DeBusschere,,,DET,NBA,5.9,78,,2897,531,1278,531,1278,,,361,512,,,924,216,,,,297,1423,.415,.415,,.415,.705,.473
Paul Neumann,,,SFW,NBA,5.8,78,,2421,386,911,386,911,,,312,390,,,272,342,,,,266,1084,.424,.424,,.424,.800,.501
Dave Bing,,,DET,NBA,5.3,80,,2762,664,1522,664,1522,,,273,370,,,359,330,,,,217,1601,.436,.436,,.436,.738,.475
Dick Van Arsdale,,,NYK,NBA,5.2,79,,2892,410,913,410,913,,,371,509,,,555,247,,,,264,1191,.449,.449,,.449,.729,.524
Happy Hairston,,,CIN,NBA,5.1,79,,2442,461,962,461,962,,,252,382,,,631,62,,,,273,1174,.479,.479,,.479,.660,.519
Adrian Smith,,,CIN,NBA,5.1,81,,2636,502,1147,502,1147,,,343,380,,,205,187,,,,272,1347,.438,.438,,.438,.903,.512
Darrall Imhoff,,,LAL,NBA,5.0,81,,2725,370,780,370,780,,,127,207,,,1080,222,,,,281,867,.474,.474,,.474,.614,.498
