Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Michael Jordan,,,CHI,NBA,19.8,81,81,3255,966,1795,939,1697,27,98,674,793,149,503,652,650,234,65,290,247,2633,.538,.553,.276,.546,.850,.614
Charles Barkley,,,PHI,NBA,16.1,79,79,3088,700,1208,665,1046,35,162,602,799,403,583,986,325,126,67,254,262,2037,.579,.636,.216,.594,.753,.653
Magic Johnson,,,LAL,NBA,16.1,77,77,2886,579,1137,520,949,59,188,513,563,111,496,607,988,138,22,312,172,1730,.509,.548,.314,.535,.911,.625
John Stockton,,,UTA,NBA,15.6,82,82,3171,497,923,481,857,16,66,390,452,83,165,248,1118,263,14,308,241,1400,.538,.561,.242,.547,.863,.624
Karl Malone,,,UTA,NBA,15.2,80,80,3126,809,1559,804,1543,5,16,703,918,259,594,853,219,144,70,285,286,2326,.519,.521,.313,.521,.766,.592
Clyde Drexler,,,POR,NBA,12.6,78,78,3064,829,1672,802,1568,27,104,438,548,289,326,615,450,213,54,250,269,2123,.496,.511,.260,.504,.799,.555
Hakeem Olajuwon,,,HOU,NBA,12.4,82,82,3024,790,1556,790,1546,0,10,454,652,338,767,1105,149,213,282,275,329,2034,.508,.511,.000,.508,.696,.552
Kevin Johnson,,,PHO,NBA,12.2,81,81,3179,570,1128,568,1106,2,22,508,576,46,294,340,991,135,24,322,226,1650,.505,.514,.091,.506,.882,.597
Mark Price,,,CLE,NBA,11.3,75,74,2728,529,1006,436,795,93,211,263,292,48,178,226,631,115,7,212,98,1414,.526,.548,.441,.572,.901,.623
Patrick Ewing,,,NYK,NBA,10.9,80,80,2896,727,1282,727,1276,0,6,361,484,213,527,740,188,117,281,266,311,1815,.567,.570,.000,.567,.746,.607
Dale Ellis,,,SEA,NBA,10.8,82,82,3190,857,1710,695,1371,162,339,377,462,156,186,342,164,108,22,218,197,2253,.501,.507,.478,.549,.816,.589
Moses Malone,,,ATL,NBA,10.7,81,80,2878,538,1096,538,1084,0,12,561,711,386,570,956,112,79,100,245,154,1637,.491,.496,.000,.491,.789,.581
Chris Mullin,,,GSW,NBA,10.6,82,82,3093,830,1630,807,1530,23,100,493,553,152,331,483,415,176,39,296,178,2176,.509,.527,.230,.516,.892,.581
