Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Larry Bird,,,BOS,NBA,15.7,80,77,3161,918,1760,862,1629,56,131,403,457,164,678,842,531,129,98,248,208,2295,.522,.529,.427,.538,.882,.585
Michael Jordan,,,CHI,NBA,14.0,82,82,3144,837,1625,828,1573,9,52,630,746,167,367,534,481,196,69,291,285,2313,.515,.526,.173,.518,.845,.592
Magic Johnson,,,LAL,NBA,12.7,77,77,2781,504,899,497,862,7,37,391,464,90,386,476,968,113,25,305,155,1406,.561,.577,.189,.565,.843,.637
Moses Malone,,,PHI,NBA,11.9,79,79,2957,602,1284,602,1282,0,2,737,904,385,646,1031,130,67,123,286,216,1941,.469,.470,.000,.469,.815,.577
Kareem Abdul-Jabbar,,,LAL,NBA,11.2,79,79,2630,723,1207,723,1206,0,1,289,395,162,460,622,249,63,162,197,238,1735,.599,.600,.000,.599,.732,.628
Sidney Moncrief,,,MIL,NBA,11.2,73,72,2734,561,1162,552,1129,9,33,454,548,149,242,391,382,117,39,184,197,1585,.483,.489,.273,.487,.828,.565
Isiah Thomas,,,DET,NBA,11.2,81,81,3089,646,1410,617,1297,29,113,399,493,114,247,361,1123,187,25,302,288,1720,.458,.476,.257,.468,.809,.529
Kevin McHale,,,BOS,NBA,11.0,79,31,2653,605,1062,605,1056,0,6,355,467,229,483,712,141,28,120,157,234,1565,.570,.573,.000,.570,.760,.617
Terry Cummings,,,MIL,NBA,10.7,79,78,2722,759,1532,759,1531,0,1,343,463,244,472,716,228,117,67,190,264,1861,.495,.496,.000,.495,.741,.536
Artis Gilmore,,,SAS,NBA,10.5,81,81,2756,532,854,532,852,0,2,484,646,231,615,846,131,40,173,241,306,1548,.623,.624,.000,.623,.749,.680
Calvin Natt,,,DEN,NBA,10.2,78,76,2657,685,1255,685,1252,0,3,447,564,209,401,610,238,75,33,190,182,1817,.546,.547,.000,.546,.793,.604
Hakeem Olajuwon,,,HOU,NBA,10.2,82,82,2914,677,1258,677,1258,0,0,338,551,440,534,974,111,99,220,234,344,1692,.538,.538,,.538,.613,.564
Bill Laimbeer,,,DET,NBA,9.8,82,82,2892,595,1177,591,1159,4,18,244,306,295,718,1013,154,69,71,129,308,1438,.506,.510,.222,.507,.797,.548
Paul Pressey,,,MIL,NBA,9.6,80,80,2876,480,928,473,908,7,20,317,418,149,280,429,543,129,56,247,258,1284,.517,.521,.350,.521,.758,.577
Maurice Cheeks,,,PHI,NBA,9.0,78,78,2616,422,741,416,715,6,26,175,199,54,163,217,497,169,24,155,184,1025,.570,.582,.231,.574,.879,.619
Robert Parish,,,BOS,NBA,9.0,79,78,2850,551,1016,551,1016,0,0,292,393,263,577,840,125,56,101,186,223,1394,.542,.542,,.542,.743,.586
Orlando Woolridge,,,CHI,NBA,9.0,77,76,2816,679,1225,679,1220,0,5,409,521,158,277,435,135,58,38,178,185,1767,.554,.557,.000,.554,.785,.608
Alex English,,,DEN,NBA,8.9,81,81,2924,939,1812,938,1807,1,5,383,462,203,255,458,344,101,46,251,259,2262,.518,.519,.200,.518,.829,.561
Micheal Ray Richardson,,,NJN,NBA,8.7,82,82,3127,690,1470,661,1355,29,115,240,313,156,301,457,669,243,22,249,277,1649,.469,.488,.252,.479,.767,.513
Rodney McCray,,,HOU,NBA,8.5,82,82,3001,476,890,476,884,0,6,231,313,201,338,539,355,90,75,178,215,1183,.535,.538,.000,.535,.738,.576
Kiki Vandeweghe,,,POR,NBA,8.4,72,69,2502,618,1158,607,1125,11,33,369,412,74,154,228,106,37,22,116,116,1616,.534,.540,.333,.538,.896,.603
Jack Sikma,,,SEA,NBA,8.3,68,68,2402,461,943,459,933,2,10,335,393,164,559,723,285,83,91,160,239,1259,.489,.492,.200,.490,.852,.564
Adrian Dantley,,,UTA,NBA,8.0,55,46,1971,512,964,512,964,0,0,438,545,148,175,323,186,57,8,171,133,1462,.531,.531,,.531,.804,.607
Derek Smith,,,LAC,NBA,8.0,80,80,2762,682,1271,679,1252,3,19,400,504,174,253,427,216,77,52,230,317,1767,.537,.542,.158,.538,.794,.592
Larry Nance,,,PHO,NBA,7.9,61,55,2202,515,877,514,875,1,2,180,254,195,341,536,159,88,104,136,185,1211,.587,.587,.500,.588,.709,.612
Buck Williams,,,NJN,NBA,7.7,82,82,3182,577,1089,576,1085,1,4,336,538,323,682,1005,167,63,110,238,293,1491,.530,.531,.250,.530,.625,.562
Julius Erving,,,PHI,NBA,7.6,78,78,2535,610,1236,607,1222,3,14,338,442,172,242,414,233,135,109,208,199,1561,.494,.497,.214,.495,.765,.546
Dominique Wilkins,,,ATL,NBA,7.6,81,81,3023,853,1891,828,1810,25,81,486,603,226,331,557,200,135,54,225,170,2217,.451,.457,.309,.458,.806,.514
Charles Barkley,,,PHI,NBA,7.5,82,60,2347,427,783,426,777,1,6,293,400,266,437,703,155,95,80,209,301,1148,.545,.548,.167,.546,.733,.599
Clyde Drexler,,,POR,NBA,7.5,80,43,2555,573,1161,565,1124,8,37,223,294,217,259,476,441,177,68,223,265,1377,.494,.503,.216,.497,.759,.534
