Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Jimmy Jones,,,NOB,ABA,16.1,77,,3188,764,1429,763,1422,1,7,521,647,141,300,441,437,,,198,225,2050,.535,.537,.143,.535,.805,.598
Wilt Chamberlain,,,LAL,NBA,14.7,81,,3669,641,1099,641,1099,,,382,857,,,1712,366,,,,142,1664,.583,.583,,.583,.446,.564
Willis Reed,,,NYK,NBA,14.7,82,,3108,704,1351,704,1351,,,325,435,,,1191,190,,,,314,1733,.521,.521,,.521,.747,.562
Oscar Robertson,,,CIN,NBA,12.9,79,,3461,656,1351,656,1351,,,643,767,,,502,772,,,,231,1955,.486,.486,,.486,.838,.579
Walt Frazier,,,NYK,NBA,12.7,80,,2949,531,1052,531,1052,,,341,457,,,499,635,,,,245,1403,.505,.505,,.505,.746,.560
Bob Boozer,,,CHI,NBA,11.6,79,,2872,661,1375,661,1375,,,394,489,,,614,156,,,,218,1716,.481,.481,,.481,.806,.540
Connie Hawkins,,,MNP,ABA,11.3,47,,1852,496,971,493,949,3,22,425,554,167,367,534,184,,,155,166,1420,.511,.519,.136,.512,.767,.584
Bailey Howell,,,BOS,NBA,11.3,78,,2527,612,1257,612,1257,,,313,426,,,685,137,,,,285,1537,.487,.487,,.487,.735,.532
Larry Jones,,,DNR,ABA,10.9,75,,3042,759,1631,735,1531,24,100,591,760,165,328,493,258,,,218,273,2133,.465,.480,.240,.473,.778,.543
Bill Russell,,,BOS,NBA,10.9,77,,3291,279,645,279,645,,,204,388,,,1484,374,,,,231,762,.433,.433,,.433,.526,.467
Wes Unseld,,,BAL,NBA,10.8,82,,2970,427,897,427,897,,,277,458,,,1491,213,,,,276,1131,.476,.476,,.476,.605,.515
Jerry West,,,LAL,NBA,10.8,61,,2394,545,1156,545,1156,,,490,597,,,262,423,,,,156,1580,.471,.471,,.471,.821,.557
Walt Bellamy,,,TOT,NBA,10.4,88,,3159,563,1103,563,1103,,,401,618,,,1101,176,,,,320,1527,.510,.510,,.510,.649,.555
Lou Hudson,,,ATL,NBA,10.1,81,,2869,716,1455,716,1455,,,338,435,,,533,216,,,,248,1770,.492,.492,,.492,.777,.538
Roger Brown,,,INA,ABA,10.0,75,,2658,563,1169,558,1153,5,16,442,563,223,287,510,345,,,215,281,1573,.482,.484,.313,.484,.785,.555
Donnie Freeman,,,MMF,ABA,10.0,78,,2874,651,1346,649,1323,2,23,420,534,121,164,285,501,,,230,229,1724,.484,.491,.087,.484,.787,.545
Jeff Mullins,,,SFW,NBA,10.0,78,,2916,697,1517,697,1517,,,381,452,,,460,339,,,,251,1775,.459,.459,,.459,.843,.517
