Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Julius Erving,,,NYA,ABA,17.7,84,,3244,949,1873,915,1770,34,103,530,662,337,588,925,423,207,160,307,221,2462,.507,.517,.330,.516,.801,.569
Kareem Abdul-Jabbar,,,LAL,NBA,17.0,82,,3379,914,1728,914,1728,,,447,636,272,1111,1383,413,119,338,,292,2275,.529,.529,,.529,.703,.567
Artis Gilmore,,,KEN,ABA,15.1,84,,3286,773,1401,773,1401,0,0,521,764,402,901,1303,211,58,205,295,341,2067,.552,.552,,.552,.682,.595
James Silas,,,SAA,ABA,13.1,84,,3112,718,1384,718,1382,0,2,564,647,111,224,335,452,155,24,254,263,2000,.519,.520,.000,.519,.872,.599
Dan Issel,,,DNA,ABA,12.5,84,,2856,752,1472,751,1468,1,4,425,521,303,620,923,201,100,56,200,266,1930,.511,.512,.250,.511,.816,.567
David Thompson,,,DNA,ABA,12.4,83,,3101,807,1567,804,1548,3,19,541,681,228,297,525,308,136,102,250,282,2158,.515,.519,.158,.516,.794,.578
Bob McAdoo,,,BUF,NBA,12.3,78,,3328,934,1918,934,1918,,,559,734,241,724,965,315,93,160,,298,2427,.487,.487,,.487,.762,.542
Dave Cowens,,,BOS,NBA,10.7,78,,3101,611,1305,611,1305,,,257,340,335,911,1246,325,94,71,,314,1479,.468,.468,,.468,.756,.508
Don Buse,,,INA,ABA,10.6,84,,3380,400,887,328,679,72,208,179,220,90,232,322,689,346,31,159,194,1051,.451,.483,.346,.492,.814,.534
John Drew,,,ATL,NBA,10.6,77,,2351,586,1168,586,1168,,,488,656,286,374,660,150,138,30,,261,1660,.502,.502,,.502,.744,.570
Bobby Jones,,,DNA,ABA,10.2,83,,2845,510,878,510,878,0,0,215,308,241,550,791,331,170,184,232,253,1235,.581,.581,,.581,.698,.609
Bob Lanier,,,DET,NBA,10.1,64,,2363,541,1017,541,1017,,,284,370,217,529,746,217,79,86,,203,1366,.532,.532,,.532,.768,.579
Doug Collins,,,PHI,NBA,10.0,77,,2995,614,1196,614,1196,,,372,445,126,181,307,191,110,24,,249,1600,.513,.513,,.513,.836,.575
Rick Barry,,,GSW,NBA,9.6,81,,3122,707,1624,707,1624,,,287,311,74,422,496,496,202,27,,215,1701,.435,.435,,.435,.923,.483
Paul Westphal,,,PHO,NBA,9.6,82,,2960,657,1329,657,1329,,,365,440,74,185,259,440,210,38,,218,1679,.494,.494,,.494,.830,.551
Wes Unseld,,,WSB,NBA,9.5,78,,2922,318,567,318,567,,,114,195,271,765,1036,404,84,59,,203,750,.561,.561,,.561,.585,.574
Steve Mix,,,PHI,NBA,9.4,81,,3039,421,844,421,844,,,287,351,215,447,662,216,158,29,,288,1129,.499,.499,,.499,.818,.565
Phil Smith,,,GSW,NBA,9.4,82,,2793,659,1383,659,1383,,,323,410,133,243,376,362,108,18,,223,1641,.477,.477,,.477,.788,.525
Randy Smith,,,BUF,NBA,9.4,82,,3167,702,1422,702,1422,,,383,469,104,313,417,484,153,4,,274,1787,.494,.494,,.494,.817,.549
George Gervin,,,SAA,ABA,9.3,81,,2748,706,1414,692,1359,14,55,342,399,179,367,546,201,110,119,217,288,1768,.499,.509,.255,.504,.857,.556
Bob Dandridge,,,MIL,NBA,9.0,73,,2735,650,1296,650,1296,,,271,329,171,369,540,206,111,38,,263,1571,.502,.502,,.502,.824,.545
Fred Brown,,,SEA,NBA,8.8,76,,2516,742,1522,742,1522,,,273,314,111,206,317,207,143,18,,186,1757,.488,.488,,.488,.869,.529
Phil Chenier,,,WSB,NBA,8.8,80,,2952,654,1355,654,1355,,,282,341,84,236,320,255,158,45,,186,1590,.483,.483,,.483,.827,.528
Calvin Murphy,,,HOU,NBA,8.8,82,,2995,675,1369,675,1369,,,372,410,52,157,209,596,151,6,,294,1722,.493,.493,,.493,.907,.556
Billy Paultz,,,SAA,ABA,8.7,83,,2958,566,1124,566,1122,0,2,238,324,210,652,862,340,61,253,231,232,1370,.504,.504,.000,.504,.735,.541
Elmore Smith,,,MIL,NBA,8.7,78,,2809,498,962,498,962,,,222,351,201,692,893,97,78,238,,268,1218,.518,.518,,.518,.632,.545
George McGinnis,,,PHI,NBA,8.5,77,,2946,647,1552,647,1552,,,475,642,260,707,967,359,198,41,,334,1769,.417,.417,,.417,.740,.482
Mike Newlin,,,HOU,NBA,8.5,82,,3065,569,1123,569,1123,,,385,445,72,264,336,457,106,5,,263,1523,.507,.507,,.507,.865,.577
Mickey Johnson,,,CHI,NBA,8.3,81,,2390,478,1033,478,1033,,,283,360,279,479,758,130,93,66,,292,1239,.463,.463,,.463,.786,.520
Billy Knight,,,INA,ABA,8.3,70,,2775,774,1567,768,1552,6,15,415,501,294,414,708,259,92,23,299,206,1969,.494,.495,.400,.496,.828,.551
Jamaal Wilkes,,,GSW,NBA,8.3,82,,2716,617,1334,617,1334,,,227,294,193,527,720,167,102,31,,222,1461,.463,.463,,.463,.772,.499
Tom Burleson,,,SEA,NBA,8.2,82,,2647,496,1032,496,1032,,,291,388,258,484,742,180,70,150,,273,1283,.481,.481,,.481,.750,.533
Elvin Hayes,,,WSB,NBA,8.1,80,,2975,649,1381,649,1381,,,287,457,210,668,878,121,104,202,,293,1585,.470,.470,,.470,.628,.501
Tiny Archibald,,,KCK,NBA,8.0,78,,3184,717,1583,717,1583,,,501,625,67,146,213,615,126,15,,169,1935,.453,.453,,.453,.802,.521
Jim Brewer,,,CLE,NBA,7.9,82,,2913,400,874,400,874,,,140,214,298,593,891,209,94,89,,214,940,.458,.458,,.458,.654,.485
Jim McMillian,,,BUF,NBA,7.9,74,,2610,492,918,492,918,,,188,219,134,256,390,205,88,14,,141,1172,.536,.536,,.536,.858,.578
Dave Robisch,,,TOT,ABA,7.8,87,,2789,436,1033,436,1030,0,3,324,381,281,513,794,166,71,59,113,200,1196,.422,.423,.000,.422,.850,.498
Marvin Barnes,,,SSL,ABA,7.6,67,,2487,681,1355,678,1344,3,11,251,339,263,462,725,149,124,134,230,273,1616,.503,.504,.273,.504,.740,.537
