Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Michael Jordan,,,CHI,NBA,21.2,82,82,3311,1069,1998,1062,1945,7,53,723,860,139,310,449,485,259,131,252,270,2868,.535,.546,.132,.537,.841,.603
Charles Barkley,,,PHI,NBA,16.7,80,80,3170,753,1283,709,1126,44,157,714,951,385,566,951,254,100,103,304,278,2264,.587,.630,.280,.604,.751,.665
Larry Bird,,,BOS,NBA,15.0,76,75,2965,881,1672,783,1435,98,237,415,453,108,595,703,467,125,57,213,157,2275,.527,.546,.414,.556,.916,.608
John Stockton,,,UTA,NBA,14.1,82,79,2842,454,791,430,724,24,67,272,324,54,183,237,1128,242,16,262,247,1204,.574,.594,.358,.589,.840,.645
Clyde Drexler,,,POR,NBA,13.2,81,80,3060,849,1679,838,1627,11,52,476,587,261,272,533,467,203,52,236,250,2185,.506,.515,.212,.509,.811,.564
Magic Johnson,,,LAL,NBA,10.9,72,70,2637,490,996,479,940,11,56,417,489,88,361,449,858,114,13,269,147,1408,.492,.510,.196,.497,.853,.581
Hakeem Olajuwon,,,HOU,NBA,10.7,79,79,2825,712,1385,712,1381,0,4,381,548,302,657,959,163,162,214,243,324,1805,.514,.516,.000,.514,.695,.555
Byron Scott,,,LAL,NBA,10.7,81,81,3048,710,1348,648,1169,62,179,272,317,76,257,333,335,155,27,161,204,1754,.527,.554,.346,.550,.858,.590
Fat Lever,,,DEN,NBA,10.4,82,82,3061,643,1360,631,1303,12,57,248,316,203,462,665,639,223,21,182,214,1546,.473,.484,.211,.477,.785,.516
Kevin McHale,,,BOS,NBA,10.2,64,63,2390,550,911,550,911,0,0,346,434,159,377,536,171,27,92,141,179,1446,.604,.604,,.604,.797,.656
Karl Malone,,,UTA,NBA,10.1,82,82,3198,858,1650,858,1645,0,5,552,789,277,709,986,199,117,50,325,296,2268,.520,.522,.000,.520,.700,.568
Terry Porter,,,POR,NBA,9.8,82,82,2991,462,890,438,821,24,69,274,324,65,313,378,831,150,16,244,204,1222,.519,.533,.348,.533,.846,.592
Dominique Wilkins,,,ATL,NBA,9.8,78,76,2948,909,1957,871,1828,38,129,541,655,211,291,502,224,103,47,218,162,2397,.464,.476,.295,.474,.826,.534
Adrian Dantley,,,DET,NBA,9.4,69,50,2144,444,863,444,861,0,2,492,572,84,143,227,171,39,10,135,144,1380,.514,.516,.000,.514,.860,.619
Jack Sikma,,,MIL,NBA,9.4,82,82,2923,514,1058,511,1044,3,14,321,348,195,514,709,279,93,80,157,316,1352,.486,.489,.214,.487,.922,.558
Moses Malone,,,WSB,NBA,9.2,79,78,2692,531,1090,529,1083,2,7,543,689,372,512,884,112,59,72,249,160,1607,.487,.488,.286,.488,.788,.577
Derek Harper,,,DAL,NBA,9.1,82,82,3032,536,1167,476,975,60,192,261,344,71,175,246,634,168,35,190,164,1393,.459,.488,.313,.485,.759,.528
Dale Ellis,,,SEA,NBA,9.0,75,73,2790,764,1519,657,1260,107,259,303,395,167,173,340,197,74,11,172,221,1938,.503,.521,.413,.538,.767,.572
Mark Aguirre,,,DAL,NBA,8.8,77,77,2610,746,1571,694,1399,52,172,388,504,182,252,434,278,70,57,203,223,1932,.475,.496,.302,.491,.770,.539
Bill Laimbeer,,,DET,NBA,8.8,82,82,2897,455,923,442,884,13,39,187,214,165,667,832,199,66,78,136,284,1110,.493,.500,.333,.500,.874,.546
