Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Oscar Robertson,,,CIN,NBA,17.0,75,,3421,807,1681,807,1681,,,665,793,,,674,861,,,,205,2279,.480,.480,,.480,.839,.561
Bill Russell,,,BOS,NBA,16.9,78,,3466,429,980,429,980,,,244,426,,,1878,410,,,,204,1102,.438,.438,,.438,.573,.472
Jerry West,,,LAL,NBA,16.7,74,,3066,822,1655,822,1655,,,648,789,,,447,364,,,,221,2292,.497,.497,,.497,.821,.572
Wilt Chamberlain,,,TOT,NBA,15.1,73,,3301,1063,2083,1063,2083,,,408,880,,,1673,250,,,,146,2534,.510,.510,,.510,.464,.513
Sam Jones,,,BOS,NBA,12.8,80,,2885,821,1818,821,1818,,,428,522,,,411,223,,,,176,2070,.452,.452,,.452,.820,.505
Walt Bellamy,,,BAL,NBA,12.1,80,,3301,733,1441,733,1441,,,515,752,,,1166,191,,,,260,1981,.509,.509,,.509,.685,.559
Bailey Howell,,,BAL,NBA,10.9,80,,2975,515,1040,515,1040,,,504,629,,,869,208,,,,345,1534,.495,.495,,.495,.801,.582
Zelmo Beaty,,,STL,NBA,10.8,80,,2916,505,1047,505,1047,,,341,477,,,966,111,,,,328,1351,.482,.482,,.482,.715,.537
Terry Dischinger,,,DET,NBA,10.3,80,,2698,568,1153,568,1153,,,320,424,,,479,198,,,,253,1456,.493,.493,,.493,.755,.543
Jerry Lucas,,,CIN,NBA,9.9,66,,2864,558,1121,558,1121,,,298,366,,,1321,157,,,,214,1414,.498,.498,,.498,.814,.551
Lenny Wilkens,,,STL,NBA,8.1,78,,2854,434,1048,434,1048,,,416,558,,,365,431,,,,283,1284,.414,.414,,.414,.746,.496
Tom Sanders,,,BOS,NBA,7.5,80,,2459,374,871,374,871,,,193,259,,,661,92,,,,318,941,.429,.429,,.429,.745,.478
Rudy LaRusso,,,LAL,NBA,7.3,77,,2588,381,827,381,827,,,321,415,,,725,198,,,,258,1083,.461,.461,,.461,.773,.536
Bob Pettit,,,STL,NBA,7.1,50,,1754,396,923,396,923,,,332,405,,,621,128,,,,167,1124,.429,.429,,.429,.820,.510
K.C. Jones,,,BOS,NBA,6.7,78,,2434,253,639,253,639,,,143,227,,,318,437,,,,263,649,.396,.396,,.396,.630,.439
Dave DeBusschere,,,DET,NBA,6.6,79,,2769,508,1196,508,1196,,,306,437,,,874,253,,,,242,1322,.425,.425,,.425,.700,.476
Hal Greer,,,PHI,NBA,6.6,70,,2600,539,1245,539,1245,,,335,413,,,355,313,,,,254,1413,.433,.433,,.433,.811,.495
Paul Neumann,,,TOT,NBA,6.5,76,,2034,365,772,365,772,,,234,303,,,198,233,,,,218,964,.473,.473,,.473,.772,.532
Adrian Smith,,,CIN,NBA,6.1,80,,2745,463,1016,463,1016,,,284,342,,,220,240,,,,199,1210,.456,.456,,.456,.830,.519
Nate Thurmond,,,SFW,NBA,6.1,77,,3173,519,1240,519,1240,,,235,357,,,1395,157,,,,232,1273,.419,.419,,.419,.658,.456
Larry Costello,,,PHI,NBA,5.7,64,,1967,309,695,309,695,,,243,277,,,169,275,,,,242,861,.445,.445,,.445,.877,.527
Richie Guerin,,,STL,NBA,5.7,57,,1678,295,662,295,662,,,231,301,,,149,271,,,,193,821,.446,.446,,.446,.767,.517
Willis Reed,,,NYK,NBA,5.5,80,,3042,629,1457,629,1457,,,302,407,,,1175,133,,,,339,1560,.432,.432,,.432,.742,.477
Bob Boozer,,,NYK,NBA,5.3,80,,2139,424,963,424,963,,,288,375,,,604,108,,,,183,1136,.440,.440,,.440,.768,.504
Johnny Egan,,,NYK,NBA,5.1,74,,1664,258,529,258,529,,,162,199,,,143,252,,,,139,678,.488,.488,,.488,.814,.550
Elgin Baylor,,,LAL,NBA,4.9,74,,3056,763,1903,763,1903,,,483,610,,,950,280,,,,235,2009,.401,.401,,.401,.792,.463
Luke Jackson,,,PHI,NBA,4.8,76,,2590,419,1013,419,1013,,,288,404,,,980,93,,,,251,1126,.414,.414,,.414,.713,.473
Cliff Hagan,,,STL,NBA,4.7,77,,1739,393,901,393,901,,,214,268,,,276,136,,,,182,1000,.436,.436,,.436,.799,.491
Dave Gambee,,,PHI,NBA,4.6,80,,1993,356,864,356,864,,,299,368,,,468,113,,,,277,1011,.412,.412,,.412,.813,.493
Wayne Embry,,,CIN,NBA,4.5,74,,2243,352,772,352,772,,,239,371,,,741,92,,,,297,943,.456,.456,,.456,.644,.504
John Havlicek,,,BOS,NBA,4.5,75,,2169,570,1420,570,1420,,,235,316,,,371,199,,,,200,1375,.401,.401,,.401,.744,.441
Tom Meschery,,,SFW,NBA,4.1,79,,2408,361,917,361,917,,,278,370,,,655,106,,,,279,1000,.394,.394,,.394,.751,.463
Eddie Miles,,,DET,NBA,4.0,76,,2074,439,994,439,994,,,166,223,,,258,157,,,,201,1044,.442,.442,,.442,.744,.478
Don Ohl,,,BAL,NBA,3.9,77,,2821,568,1297,568,1297,,,284,388,,,336,250,,,,274,1420,.438,.438,,.438,.732,.484
Jack Twyman,,,CIN,NBA,3.9,80,,2236,479,1081,479,1081,,,198,239,,,383,137,,,,239,1156,.443,.443,,.443,.828,.487
Leroy Ellis,,,LAL,NBA,3.8,80,,2026,311,700,311,700,,,198,284,,,652,49,,,,196,820,.444,.444,,.444,.697,.497
Johnny Green,,,NYK,NBA,3.8,78,,1720,346,737,346,737,,,165,301,,,545,129,,,,194,857,.469,.469,,.469,.548,.493
Chet Walker,,,PHI,NBA,3.7,79,,2187,377,936,377,936,,,288,388,,,528,132,,,,200,1042,.403,.403,,.403,.742,.471
Tom Heinsohn,,,BOS,NBA,3.6,67,,1706,365,954,365,954,,,182,229,,,399,157,,,,252,912,.383,.383,,.383,.795,.432
Jim Barnes,,,NYK,NBA,3.4,75,,2586,454,1070,454,1070,,,251,379,,,729,93,,,,312,1159,.424,.424,,.424,.662,.469
Dick Barnett,,,LAL,NBA,3.4,74,,2026,375,908,375,908,,,270,338,,,200,159,,,,209,1020,.413,.413,,.413,.799,.483
Tom Gola,,,NYK,NBA,3.4,77,,1727,204,455,204,455,,,133,180,,,319,220,,,,269,541,.448,.448,,.448,.739,.506
Rod Thorn,,,DET,NBA,3.4,74,,1770,320,750,320,750,,,176,243,,,266,161,,,,122,816,.427,.427,,.427,.724,.476
Chico Vaughn,,,STL,NBA,3.4,75,,1965,344,811,344,811,,,182,242,,,173,157,,,,192,870,.424,.424,,.424,.752,.474
Dave Budd,,,NYK,NBA,3.2,62,,1188,196,407,196,407,,,121,170,,,310,62,,,,147,513,.482,.482,,.482,.712,.532
Larry Siegfried,,,BOS,NBA,3.2,72,,996,173,417,173,417,,,109,140,,,134,119,,,,108,455,.415,.415,,.415,.779,.475
Bill Bridges,,,STL,NBA,3.1,79,,2362,362,938,362,938,,,186,275,,,853,187,,,,276,910,.386,.386,,.386,.676,.430
Reggie Harding,,,DET,NBA,3.1,78,,2699,405,987,405,987,,,128,209,,,906,179,,,,258,938,.410,.410,,.410,.612,.435
Guy Rodgers,,,SFW,NBA,2.8,79,,2699,465,1225,465,1225,,,223,325,,,323,565,,,,256,1153,.380,.380,,.380,.686,.421
Kevin Loughery,,,BAL,NBA,2.6,80,,2417,406,957,406,957,,,212,281,,,235,296,,,,320,1024,.424,.424,,.424,.754,.474
Willie Naulls,,,BOS,NBA,2.6,71,,1465,302,786,302,786,,,143,176,,,336,72,,,,225,747,.384,.384,,.384,.813,.433
Bud Olsen,,,CIN,NBA,2.5,79,,1372,224,512,224,512,,,144,195,,,333,84,,,,203,592,.438,.438,,.438,.738,.495
Darrall Imhoff,,,LAL,NBA,2.4,76,,1521,145,311,145,311,,,88,154,,,500,87,,,,238,378,.466,.466,,.466,.571,.499
Gene Wiley,,,LAL,NBA,2.4,80,,2002,175,376,175,376,,,56,111,,,690,105,,,,235,406,.465,.465,,.465,.505,.478
Gus Johnson,,,BAL,NBA,2.2,76,,2899,577,1379,577,1379,,,261,386,,,988,270,,,,258,1415,.418,.418,,.418,.676,.457
Donnie Butcher,,,DET,NBA,1.9,71,,1157,143,353,143,353,,,126,204,,,200,122,,,,183,412,.405,.405,,.405,.618,.465
Ron Bonham,,,BOS,NBA,1.8,37,,369,91,220,91,220,,,92,112,,,78,19,,,,33,274,.414,.414,,.414,.821,.509
Mike Farmer,,,STL,NBA,1.8,60,,1272,167,408,167,408,,,75,94,,,258,88,,,,123,409,.409,.409,,.409,.798,.455
John Thompson,,,BOS,NBA,1.8,64,,699,84,209,84,209,,,62,105,,,230,16,,,,141,230,.402,.402,,.402,.590,.451
Al Attles,,,SFW,NBA,1.7,73,,1733,254,662,254,662,,,171,274,,,239,205,,,,242,679,.384,.384,,.384,.624,.434
Mel Counts,,,BOS,NBA,1.5,54,,572,100,272,100,272,,,58,74,,,265,19,,,,134,258,.368,.368,,.368,.784,.424
Jim King,,,LAL,NBA,1.5,77,,1671,184,469,184,469,,,118,151,,,214,178,,,,193,486,.392,.392,,.392,.781,.454
Don Kojis,,,DET,NBA,1.5,65,,836,180,416,180,416,,,62,98,,,243,63,,,,115,422,.433,.433,,.433,.633,.460
Ben Warley,,,PHI,NBA,1.5,64,,900,94,253,94,253,,,124,176,,,277,53,,,,170,312,.372,.372,,.372,.705,.472
Connie Dierking,,,TOT,NBA,1.4,68,,1294,218,538,218,538,,,100,168,,,435,72,,,,165,536,.405,.405,,.405,.595,.438
Art Heyman,,,NYK,NBA,1.3,55,,663,114,267,114,267,,,88,132,,,99,79,,,,96,316,.427,.427,,.427,.667,.486
Ray Scott,,,DET,NBA,1.3,66,,2167,402,1092,402,1092,,,220,314,,,634,239,,,,209,1024,.368,.368,,.368,.701,.416
Bob Ferry,,,BAL,NBA,1.2,77,,1280,143,338,143,338,,,122,199,,,355,60,,,,156,408,.423,.423,,.423,.613,.479
Paul Silas,,,STL,NBA,1.2,79,,1243,140,375,140,375,,,83,164,,,576,48,,,,161,363,.373,.373,,.373,.506,.406
Tom Hawkins,,,CIN,NBA,1.0,79,,1864,220,538,220,538,,,116,204,,,475,80,,,,240,556,.409,.409,,.409,.569,.443
Bud Koper,,,SFW,NBA,1.0,54,,631,106,241,106,241,,,35,42,,,61,43,,,,59,247,.440,.440,,.440,.833,.476
Red Kerr,,,PHI,NBA,0.9,80,,1810,264,714,264,714,,,126,181,,,551,197,,,,132,654,.370,.370,,.370,.696,.412
Si Green,,,BAL,NBA,0.8,70,,1086,152,368,152,368,,,101,161,,,169,140,,,,134,405,.413,.413,,.413,.627,.461
Jeff Mullins,,,STL,NBA,0.8,44,,492,87,209,87,209,,,41,61,,,102,44,,,,60,215,.416,.416,,.416,.672,.456
Wayne Hightower,,,TOT,NBA,0.7,75,,1547,196,570,196,570,,,195,254,,,420,54,,,,204,587,.344,.344,,.344,.768,.431
Howard Komives,,,NYK,NBA,0.7,80,,2378,381,1020,381,1020,,,212,254,,,195,265,,,,246,974,.374,.374,,.374,.835,.430
Hub Reed,,,DET,NBA,0.6,62,,753,84,221,84,221,,,40,58,,,206,38,,,,136,208,.380,.380,,.380,.690,.422
Gary Bradds,,,BAL,NBA,0.5,41,,335,46,111,46,111,,,45,63,,,84,19,,,,36,137,.414,.414,,.414,.714,.494
John Barnhill,,,STL,NBA,0.4,41,,777,121,312,121,312,,,45,70,,,91,76,,,,56,287,.388,.388,,.388,.643,.419
Happy Hairston,,,CIN,NBA,0.4,61,,736,131,351,131,351,,,110,165,,,293,27,,,,95,372,.373,.373,,.373,.667,.439
George Lee,,,SFW,NBA,0.4,19,,247,27,77,27,77,,,38,52,,,55,12,,,,22,92,.351,.351,,.351,.731,.461
Don Nelson,,,LAL,NBA,0.4,39,,238,36,85,36,85,,,20,26,,,73,24,,,,40,92,.424,.424,,.424,.769,.477
Joe Caldwell,,,DET,NBA,0.3,66,,1543,290,776,290,776,,,129,210,,,441,118,,,,171,709,.374,.374,,.374,.614,.408
Jerry Greenspan,,,PHI,NBA,0.3,5,,49,8,13,8,13,,,8,8,,,11,0,,,,12,24,.615,.615,,.615,1.000,.726
Wali Jones,,,BAL,NBA,0.3,77,,1250,154,411,154,411,,,99,136,,,140,200,,,,196,407,.375,.375,,.375,.728,.432
Steve Courtin,,,PHI,NBA,0.2,24,,317,42,103,42,103,,,17,21,,,22,22,,,,44,101,.408,.408,,.408,.810,.450
Walt Hazzard,,,LAL,NBA,0.2,66,,919,117,306,117,306,,,46,71,,,111,140,,,,132,280,.382,.382,,.382,.648,.415
Barry Kramer,,,TOT,NBA,0.2,52,,507,63,186,63,186,,,60,84,,,100,41,,,,67,186,.339,.339,,.339,.714,.417
Gary Phillips,,,SFW,NBA,0.2,73,,1541,198,553,198,553,,,120,199,,,189,148,,,,184,516,.358,.358,,.358,.603,.403
Jay Arnette,,,CIN,NBA,0.1,63,,662,91,245,91,245,,,56,75,,,62,68,,,,125,238,.371,.371,,.371,.747,.428
Bucky Bockhorn,,,CIN,NBA,0.1,19,,424,60,157,60,157,,,28,39,,,55,45,,,,52,148,.382,.382,,.382,.718,.425
Len Chappell,,,NYK,NBA,0.1,43,,655,145,367,145,367,,,68,100,,,140,15,,,,73,358,.395,.395,,.395,.680,.436
Bob Duffy,,,DET,NBA,0.1,4,,26,4,11,4,11,,,6,7,,,4,5,,,,4,14,.364,.364,,.364,.857,.497
Jerry Grote,,,LAL,NBA,0.1,11,,33,6,11,6,11,,,2,2,,,4,4,,,,5,14,.545,.545,,.545,1.000,.589
Tom Hoover,,,NYK,NBA,0.1,24,,153,13,32,13,32,,,8,14,,,58,12,,,,37,34,.406,.406,,.406,.571,.445
Jackie Moreland,,,DET,NBA,0.1,54,,732,103,296,103,296,,,66,104,,,183,69,,,,151,272,.348,.348,,.348,.635,.398
Bevo Nordmann,,,BOS,NBA,0.1,3,,25,3,5,3,5,,,0,0,,,8,3,,,,5,6,.600,.600,,.600,,.600
John Tresvant,,,STL,NBA,0.1,4,,35,4,11,4,11,,,6,9,,,18,6,,,,9,14,.364,.364,,.364,.667,.468
Ed Burton,,,STL,NBA,0.0,7,,42,7,20,7,20,,,4,7,,,13,2,,,,13,18,.350,.350,,.350,.571,.390
Willie Jones,,,DET,NBA,0.0,12,,101,21,52,21,52,,,2,6,,,10,7,,,,13,44,.404,.404,,.404,.333,.403
