TOR,.585
BRK,.537
NYK,.451
BOS,.305
PHI,.232
IND,.683
CHI,.585
CLE,.402
DET,.354
MIL,.183
MIA,.659
WAS,.537
CHA,.524
ATL,.463
ORL,.280
OKC,.720
POR,.659
MIN,.488
DEN,.439
UTA,.305
LAC,.695
GSW,.622
PHO,.585
SAC,.341
LAL,.329
SAS,.756
HOU,.659
MEM,.610
DAL,.598
NOP,.415
