Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Michael Jordan,,,CHI,NBA,17.7,80,80,3102,943,1818,916,1718,27,100,491,590,91,420,511,489,182,75,200,201,2404,.519,.533,.270,.526,.832,.579
Karl Malone,,,UTA,NBA,15.1,81,81,3054,798,1516,795,1499,3,17,673,865,225,684,909,241,108,51,248,226,2272,.526,.530,.176,.527,.778,.599
Horace Grant,,,CHI,NBA,14.1,81,81,2859,457,790,457,788,0,2,235,317,344,463,807,217,100,131,98,196,1149,.578,.580,.000,.578,.741,.618
David Robinson,,,SAS,NBA,13.9,68,68,2564,592,1074,591,1066,1,8,393,561,261,568,829,181,158,305,182,219,1578,.551,.554,.125,.552,.701,.597
John Stockton,,,UTA,NBA,13.4,82,82,3002,453,939,370,735,83,204,308,366,68,202,270,1126,244,22,286,234,1297,.482,.503,.407,.527,.842,.590
Patrick Ewing,,,NYK,NBA,13.0,82,82,3150,796,1525,795,1519,1,6,377,511,228,693,921,156,88,245,209,277,1970,.522,.523,.167,.522,.738,.563
Clyde Drexler,,,POR,NBA,12.8,76,76,2751,694,1476,580,1138,114,338,401,505,166,334,500,512,138,70,240,229,1903,.470,.510,.337,.509,.794,.560
Scottie Pippen,,,CHI,NBA,12.7,82,82,3164,687,1359,671,1279,16,80,330,434,185,445,630,572,155,93,253,242,1720,.506,.525,.200,.511,.760,.555
Dennis Rodman,,,DET,NBA,12.6,82,80,3301,342,635,310,534,32,101,84,140,523,1007,1530,191,68,70,140,248,800,.539,.581,.317,.564,.600,.574
Charles Barkley,,,PHI,NBA,12.3,75,75,2881,622,1126,590,989,32,137,454,653,271,559,830,308,136,44,235,196,1730,.552,.597,.234,.567,.695,.612
Larry Nance,,,CLE,NBA,12.2,81,81,2880,556,1032,556,1026,0,6,263,320,213,457,670,232,80,243,87,200,1375,.539,.542,.000,.539,.822,.586
Brad Daugherty,,,CLE,NBA,11.7,73,73,2643,576,1010,576,1008,0,2,414,533,191,569,760,262,65,78,185,190,1566,.570,.571,.000,.570,.777,.629
Jeff Hornacek,,,PHO,NBA,11.6,81,81,3078,635,1240,552,1051,83,189,279,315,106,301,407,411,158,31,170,218,1632,.512,.525,.439,.546,.886,.592
Reggie Miller,,,IND,NBA,11.0,82,82,3120,562,1121,433,780,129,341,442,515,82,236,318,314,105,26,157,210,1695,.501,.555,.378,.559,.858,.629
Chris Mullin,,,GSW,NBA,10.8,81,81,3346,830,1584,766,1409,64,175,350,420,127,323,450,286,173,62,202,171,2074,.524,.544,.366,.544,.833,.586
Terry Porter,,,POR,NBA,10.6,82,82,2784,521,1129,393,805,128,324,315,368,51,204,255,477,127,12,188,155,1485,.461,.488,.395,.518,.856,.575
Kevin Johnson,,,PHO,NBA,10.0,78,78,2899,539,1125,529,1079,10,46,448,555,61,231,292,836,116,23,272,180,1536,.479,.490,.217,.484,.807,.561
Dan Majerle,,,PHO,NBA,9.8,82,15,2853,551,1153,464,925,87,228,229,303,148,335,483,274,131,43,102,158,1418,.478,.502,.382,.516,.756,.551
