Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Wilt Chamberlain,,,SFW,NBA,20.9,80,,3806,1463,2770,1463,2770,,,660,1113,,,1946,275,,,,136,3586,.528,.528,,.528,.593,.550
Oscar Robertson,,,CIN,NBA,16.8,80,,3521,825,1593,825,1593,,,614,758,,,835,758,,,,293,2264,.518,.518,,.518,.810,.588
Elgin Baylor,,,LAL,NBA,14.4,80,,3370,1029,2273,1029,2273,,,661,790,,,1146,386,,,,226,2719,.453,.453,,.453,.837,.519
Bob Pettit,,,STL,NBA,14.3,79,,3090,778,1746,778,1746,,,685,885,,,1191,245,,,,282,2241,.446,.446,,.446,.774,.525
Bailey Howell,,,DET,NBA,14.0,79,,2971,637,1235,637,1235,,,519,650,,,910,232,,,,300,1793,.516,.516,,.516,.798,.589
Walt Bellamy,,,CHZ,NBA,13.7,80,,3306,840,1595,840,1595,,,553,821,,,1309,233,,,,283,2233,.527,.527,,.527,.674,.571
Bill Russell,,,BOS,NBA,13.5,78,,3500,511,1182,511,1182,,,287,517,,,1843,348,,,,189,1309,.432,.432,,.432,.555,.464
Sam Jones,,,BOS,NBA,9.6,76,,2323,621,1305,621,1305,,,257,324,,,396,241,,,,162,1499,.476,.476,,.476,.793,.518
Terry Dischinger,,,CHZ,NBA,9.2,57,,2294,525,1026,525,1026,,,402,522,,,458,175,,,,188,1452,.512,.512,,.512,.770,.578
Hal Greer,,,SYR,NBA,8.2,80,,2631,600,1293,600,1293,,,362,434,,,457,275,,,,286,1562,.464,.464,,.464,.834,.526
Jerry West,,,LAL,NBA,8.1,55,,2163,559,1213,559,1213,,,371,477,,,384,307,,,,150,1489,.461,.461,,.461,.778,.523
Dick Barnett,,,LAL,NBA,8.0,80,,2544,547,1162,547,1162,,,343,421,,,242,224,,,,189,1437,.471,.471,,.471,.815,.533
Red Kerr,,,SYR,NBA,7.7,80,,2561,507,1069,507,1069,,,241,320,,,1039,214,,,,208,1255,.474,.474,,.474,.753,.519
Jack Twyman,,,CIN,NBA,7.3,80,,2623,641,1335,641,1335,,,304,375,,,598,214,,,,286,1586,.480,.480,,.480,.811,.529
Richie Guerin,,,NYK,NBA,7.2,79,,2712,596,1380,596,1380,,,509,600,,,331,348,,,,228,1701,.432,.432,,.432,.848,.517
Tom Heinsohn,,,BOS,NBA,6.8,76,,2004,550,1300,550,1300,,,340,407,,,569,95,,,,270,1440,.423,.423,,.423,.835,.487
Tom Sanders,,,BOS,NBA,6.8,80,,2148,339,744,339,744,,,186,252,,,576,95,,,,262,864,.456,.456,,.456,.738,.505
Cliff Hagan,,,STL,NBA,6.5,79,,1716,491,1055,491,1055,,,244,305,,,341,193,,,,211,1226,.465,.465,,.465,.800,.515
John Havlicek,,,BOS,NBA,6.4,80,,2200,483,1085,483,1085,,,174,239,,,534,179,,,,189,1140,.445,.445,,.445,.728,.479
Larry Costello,,,SYR,NBA,5.7,78,,2066,285,660,285,660,,,288,327,,,237,334,,,,263,858,.432,.432,,.432,.881,.534
Wayne Embry,,,CIN,NBA,5.6,76,,2511,534,1165,534,1165,,,343,514,,,936,177,,,,286,1411,.458,.458,,.458,.667,.507
Rudy LaRusso,,,LAL,NBA,5.4,75,,2505,321,761,321,761,,,282,393,,,747,187,,,,255,924,.422,.422,,.422,.718,.495
Chet Walker,,,SYR,NBA,5.3,78,,1992,352,751,352,751,,,253,362,,,561,83,,,,220,957,.469,.469,,.469,.699,.526
Zelmo Beaty,,,STL,NBA,5.2,80,,1918,297,677,297,677,,,220,307,,,665,85,,,,312,814,.439,.439,,.439,.717,.501
Bob Cousy,,,BOS,NBA,5.2,76,,1975,392,988,392,988,,,219,298,,,193,515,,,,175,1003,.397,.397,,.397,.735,.448
Johnny Green,,,NYK,NBA,5.1,80,,2553,582,1261,582,1261,,,280,439,,,964,152,,,,243,1444,.462,.462,,.462,.638,.497
John Barnhill,,,STL,NBA,4.6,77,,2692,360,838,360,838,,,181,255,,,359,322,,,,168,901,.430,.430,,.430,.710,.474
Paul Neumann,,,SYR,NBA,4.6,80,,1581,237,503,237,503,,,181,222,,,200,227,,,,221,655,.471,.471,,.471,.815,.545
Tom Gola,,,TOT,NBA,4.4,73,,2670,363,791,363,791,,,170,219,,,517,298,,,,295,896,.459,.459,,.459,.776,.505
Dave Budd,,,NYK,NBA,4.1,78,,1725,294,596,294,596,,,151,202,,,395,87,,,,204,739,.493,.493,,.493,.748,.540
Don Ohl,,,DET,NBA,4.1,80,,2961,636,1450,636,1450,,,275,380,,,239,325,,,,234,1547,.439,.439,,.439,.724,.478
Lenny Wilkens,,,STL,NBA,4.0,75,,2569,333,834,333,834,,,222,319,,,403,381,,,,256,888,.399,.399,,.399,.696,.456
Bob Boozer,,,CIN,NBA,3.9,79,,2488,440,992,440,992,,,252,353,,,878,102,,,,299,1132,.444,.444,,.444,.714,.493
Lee Shaffer,,,SYR,NBA,3.8,80,,2392,597,1393,597,1393,,,294,375,,,524,97,,,,249,1488,.429,.429,,.429,.784,.478
Kenny Sears,,,TOT,NBA,3.7,77,,1141,161,304,161,304,,,131,168,,,206,95,,,,128,453,.530,.530,,.530,.780,.599
Dave DeBusschere,,,DET,NBA,3.6,80,,2352,406,944,406,944,,,206,287,,,694,207,,,,247,1018,.430,.430,,.430,.718,.476
K.C. Jones,,,BOS,NBA,3.6,79,,1945,230,591,230,591,,,112,177,,,263,317,,,,221,572,.389,.389,,.389,.633,.428
Frank Ramsey,,,BOS,NBA,3.6,77,,1541,284,743,284,743,,,271,332,,,288,95,,,,259,839,.382,.382,,.382,.816,.472
Frank Selvy,,,LAL,NBA,3.6,80,,2369,317,747,317,747,,,192,269,,,289,281,,,,149,826,.424,.424,,.424,.714,.477
Ray Scott,,,DET,NBA,3.5,76,,2538,460,1110,460,1110,,,308,457,,,772,191,,,,263,1228,.414,.414,,.414,.674,.468
Al Attles,,,SFW,NBA,3.4,71,,1876,301,630,301,630,,,133,206,,,205,184,,,,253,735,.478,.478,,.478,.646,.510
Adrian Smith,,,CIN,NBA,3.4,79,,1522,241,544,241,544,,,223,275,,,174,141,,,,157,705,.443,.443,,.443,.811,.530
Chico Vaughn,,,STL,NBA,3.4,77,,1845,295,708,295,708,,,188,261,,,258,252,,,,201,778,.417,.417,,.417,.720,.473
Dave Gambee,,,SYR,NBA,3.3,60,,1234,235,537,235,537,,,199,238,,,289,48,,,,190,669,.438,.438,,.438,.836,.521
Len Chappell,,,SYR,NBA,3.2,80,,1241,281,604,281,604,,,148,238,,,461,56,,,,171,710,.465,.465,,.465,.622,.501
Mike Farmer,,,STL,NBA,3.2,80,,1724,239,562,239,562,,,117,139,,,369,143,,,,155,595,.425,.425,,.425,.842,.477
Bob Ferry,,,DET,NBA,3.1,79,,2479,426,984,426,984,,,220,339,,,537,170,,,,246,1072,.433,.433,,.433,.649,.473
Tom Meschery,,,SFW,NBA,3.0,64,,2245,397,935,397,935,,,228,313,,,624,104,,,,249,1022,.425,.425,,.425,.728,.476
Tom Hawkins,,,CIN,NBA,2.9,79,,1721,299,635,299,635,,,147,241,,,543,100,,,,197,745,.471,.471,,.471,.610,.503
Jim Krebs,,,LAL,NBA,2.8,79,,1913,272,627,272,627,,,115,154,,,502,87,,,,256,659,.434,.434,,.434,.747,.474
Jackie Moreland,,,DET,NBA,2.5,78,,1516,271,622,271,622,,,145,214,,,449,114,,,,226,687,.436,.436,,.436,.678,.480
Guy Rodgers,,,SFW,NBA,2.5,79,,3249,445,1150,445,1150,,,208,286,,,394,825,,,,296,1098,.387,.387,,.387,.727,.430
Dolph Schayes,,,SYR,NBA,2.4,66,,1438,223,575,223,575,,,181,206,,,375,175,,,,177,627,.388,.388,,.388,.879,.471
Leroy Ellis,,,LAL,NBA,2.3,80,,1628,222,530,222,530,,,133,202,,,518,46,,,,194,577,.419,.419,,.419,.658,.466
Charlie Hardnett,,,CHZ,NBA,2.3,78,,1657,301,683,301,683,,,225,349,,,602,74,,,,225,827,.441,.441,,.441,.645,.494
Bill McGill,,,CHZ,NBA,2.2,60,,590,181,353,181,353,,,80,119,,,161,38,,,,118,442,.513,.513,,.513,.672,.545
Al Butler,,,NYK,NBA,2.1,74,,1488,297,676,297,676,,,144,187,,,170,156,,,,145,738,.439,.439,,.439,.770,.487
Don Nelson,,,CHZ,NBA,2.1,62,,1071,129,293,129,293,,,161,221,,,279,72,,,,136,419,.440,.440,,.440,.729,.537
Hub Reed,,,CIN,NBA,2.0,80,,1299,199,427,199,427,,,74,98,,,398,83,,,,261,472,.466,.466,,.466,.755,.502
Al Bianchi,,,SYR,NBA,1.9,61,,1159,202,476,202,476,,,120,164,,,134,170,,,,165,524,.424,.424,,.424,.732,.478
Willie Naulls,,,TOT,NBA,1.8,70,,1901,370,887,370,887,,,166,207,,,515,102,,,,205,906,.417,.417,,.417,.802,.463
Gene Wiley,,,LAL,NBA,1.8,75,,1488,109,236,109,236,,,23,68,,,504,40,,,,180,241,.462,.462,,.462,.338,.453
Bevo Nordmann,,,TOT,NBA,1.7,53,,1000,156,319,156,319,,,59,122,,,316,47,,,,156,371,.489,.489,,.489,.484,.498
Barney Cable,,,TOT,NBA,1.6,61,,1203,173,380,173,380,,,62,96,,,238,83,,,,135,408,.455,.455,,.455,.646,.483
Si Green,,,CHZ,NBA,1.6,73,,2648,322,783,322,783,,,209,306,,,335,422,,,,274,853,.411,.411,,.411,.683,.465
Clyde Lovellette,,,BOS,NBA,1.6,61,,568,161,376,161,376,,,73,98,,,177,27,,,,137,395,.428,.428,,.428,.745,.471
Willie Jones,,,DET,NBA,1.3,79,,1470,305,730,305,730,,,118,164,,,233,188,,,,207,728,.418,.418,,.418,.720,.454
George Lee,,,SFW,NBA,1.2,64,,1192,149,394,149,394,,,152,193,,,217,64,,,,113,450,.378,.378,,.378,.788,.470
Larry Staverman,,,CHZ,NBA,1.2,33,,602,94,194,94,194,,,49,62,,,158,43,,,,94,237,.485,.485,,.485,.790,.536
Donnie Butcher,,,NYK,NBA,1.1,68,,1193,172,424,172,424,,,131,194,,,180,138,,,,164,475,.406,.406,,.406,.675,.466
Dan Swartz,,,BOS,NBA,1.0,39,,335,57,150,57,150,,,61,72,,,88,21,,,,92,175,.380,.380,,.380,.847,.482
Phil Jordon,,,STL,NBA,0.7,73,,1420,211,527,211,527,,,56,101,,,319,103,,,,172,478,.400,.400,,.400,.554,.418
Gene Shue,,,NYK,NBA,0.7,78,,2288,354,894,354,894,,,208,302,,,191,259,,,,171,916,.396,.396,,.396,.689,.446
Bill Bridges,,,STL,NBA,0.6,27,,374,66,160,66,160,,,32,51,,,144,23,,,,58,164,.413,.413,,.413,.627,.449
Bucky Bockhorn,,,CIN,NBA,0.5,80,,2612,375,954,375,954,,,183,242,,,322,261,,,,260,933,.393,.393,,.393,.756,.440
Johnny Cox,,,CHZ,NBA,0.5,73,,1685,239,568,239,568,,,95,135,,,280,142,,,,149,573,.421,.421,,.421,.704,.457
