Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,MIL,NBA,18.4,81,,3548,948,1759,948,1759,,,295,420,287,891,1178,386,112,283,,238,2191,.539,.539,,.539,.702,.564
Julius Erving,,,NYA,ABA,16.5,84,,3398,914,1785,897,1742,17,43,454,593,263,636,899,434,190,204,341,270,2299,.512,.515,.395,.517,.766,.562
Bob McAdoo,,,BUF,NBA,15.3,74,,3185,901,1647,901,1647,,,459,579,281,836,1117,170,88,246,,252,2261,.547,.547,,.547,.793,.594
Bob Lanier,,,DET,NBA,14.4,81,,3047,748,1483,748,1483,,,326,409,269,805,1074,343,110,247,,273,1822,.504,.504,,.504,.797,.548
Dan Issel,,,KEN,ABA,13.8,83,,3347,829,1726,826,1709,3,17,457,581,346,501,847,137,69,32,171,199,2118,.480,.483,.176,.481,.787,.534
Rudy Tomjanovich,,,HOU,NBA,12.8,80,,3227,788,1470,788,1470,,,385,454,230,487,717,250,89,66,,230,1961,.536,.536,,.536,.848,.587
Artis Gilmore,,,KEN,ABA,12.7,84,,3502,621,1260,621,1257,0,3,326,489,478,1060,1538,329,57,287,319,302,1568,.493,.494,.000,.493,.667,.531
Walt Frazier,,,NYK,NBA,10.9,80,,3338,674,1429,674,1429,,,295,352,120,416,536,551,161,15,,212,1643,.472,.472,,.472,.838,.519
Elvin Hayes,,,CAP,NBA,10.6,81,,3602,689,1627,689,1627,,,357,495,354,1109,1463,163,86,240,,252,1735,.423,.423,,.423,.721,.470
Chet Walker,,,CHI,NBA,10.6,82,,2661,572,1178,572,1178,,,439,502,131,275,406,200,68,4,,201,1583,.486,.486,,.486,.875,.566
Willie Wise,,,UTS,ABA,10.5,82,,3292,714,1458,712,1442,2,16,396,501,170,453,623,302,118,43,202,246,1826,.490,.494,.125,.490,.790,.544
Rick Barry,,,GSW,NBA,10.4,80,,2918,796,1746,796,1746,,,417,464,103,437,540,484,169,40,,265,2009,.456,.456,,.456,.899,.515
George McGinnis,,,INA,ABA,10.1,80,,3266,789,1686,784,1652,5,34,488,715,422,775,1197,267,159,40,393,325,2071,.468,.475,.147,.469,.683,.518
John Havlicek,,,BOS,NBA,9.7,76,,3091,685,1502,685,1502,,,346,416,138,349,487,447,95,32,,196,1716,.456,.456,,.456,.832,.509
Spencer Haywood,,,SEA,NBA,9.7,75,,3039,694,1520,694,1520,,,373,458,318,689,1007,240,65,106,,198,1761,.457,.457,,.457,.814,.511
Dave Cowens,,,BOS,NBA,9.3,80,,3352,645,1475,645,1475,,,228,274,264,993,1257,354,95,101,,294,1518,.437,.437,,.437,.832,.476
Happy Hairston,,,LAL,NBA,9.3,77,,2634,385,759,385,759,,,343,445,335,705,1040,208,64,17,,264,1113,.507,.507,,.507,.771,.583
Calvin Murphy,,,HOU,NBA,9.2,81,,2922,671,1285,671,1285,,,310,357,51,137,188,603,157,4,,310,1652,.522,.522,,.522,.868,.573
Dave Robisch,,,DNR,ABA,9.1,84,,2469,449,950,449,950,0,0,318,411,217,491,708,152,45,66,103,225,1216,.473,.473,,.473,.774,.538
Jim McMillian,,,BUF,NBA,8.9,82,,3322,600,1214,600,1214,,,325,379,216,394,610,256,129,26,,186,1525,.494,.494,,.494,.858,.552
Billy Paultz,,,NYA,ABA,8.9,77,,2596,519,1051,519,1050,0,1,222,308,211,571,782,167,60,147,175,238,1260,.494,.494,.000,.494,.721,.531
Mack Calvin,,,CAR,ABA,8.8,83,,2592,498,1078,488,1035,10,43,490,560,78,165,243,347,135,7,234,244,1496,.462,.471,.233,.467,.875,.565
Lou Hudson,,,ATL,NBA,8.8,65,,2588,678,1356,678,1356,,,295,353,126,224,350,213,160,29,,205,1651,.500,.500,,.500,.836,.546
Jimmy Jones,,,UTS,ABA,8.8,83,,3162,583,1060,583,1059,0,1,229,259,103,258,361,429,154,32,238,205,1395,.550,.551,.000,.550,.884,.594
Swen Nater,,,TOT,ABA,8.7,79,,2375,467,846,467,845,0,1,180,254,286,712,998,129,32,63,200,214,1114,.552,.553,.000,.552,.709,.582
Jim Eakins,,,VIR,ABA,8.5,84,,2649,445,856,445,855,0,1,339,432,296,510,806,236,65,98,228,265,1229,.520,.520,.000,.520,.785,.587
Bob Dandridge,,,MIL,NBA,8.4,71,,2521,583,1158,583,1158,,,175,214,117,362,479,201,111,41,,271,1341,.503,.503,,.503,.818,.535
Lucius Allen,,,MIL,NBA,8.2,72,,2388,526,1062,526,1062,,,216,274,89,202,291,374,137,22,,215,1268,.495,.495,,.495,.788,.536
Steve Mix,,,PHI,NBA,8.2,82,,2969,495,1042,495,1042,,,228,288,305,559,864,152,212,37,,305,1218,.475,.475,,.475,.792,.521
Clifford Ray,,,CHI,NBA,8.2,80,,2632,313,612,313,612,,,121,199,285,692,977,246,58,173,,281,747,.511,.511,,.511,.608,.534
Tom Owens,,,CAR,ABA,8.0,81,,2284,444,843,442,837,2,6,226,294,301,416,717,127,54,41,171,308,1116,.527,.528,.333,.528,.769,.574
James Silas,,,SAA,ABA,7.9,84,,3096,486,1017,486,1016,0,1,349,420,83,260,343,319,90,8,220,256,1321,.478,.478,.000,.478,.831,.550
Gail Goodrich,,,LAL,NBA,7.8,82,,3061,784,1773,784,1773,,,508,588,95,155,250,427,126,12,,227,2076,.442,.442,,.442,.864,.511
Zelmo Beaty,,,UTS,ABA,7.7,77,,2476,417,796,417,795,0,1,194,244,170,445,615,128,62,64,110,229,1028,.524,.525,.000,.524,.795,.569
Sam Lacey,,,KCO,NBA,7.7,79,,3107,467,982,467,982,,,185,247,293,762,1055,299,126,184,,254,1119,.476,.476,,.476,.749,.513
Paul Silas,,,BOS,NBA,7.7,82,,2599,340,772,340,772,,,264,337,334,581,915,186,63,20,,246,944,.440,.440,,.440,.783,.513
George Thompson,,,MMT,ABA,7.7,78,,2732,539,1134,529,1080,10,54,410,519,93,180,273,396,117,24,210,234,1498,.475,.490,.185,.480,.790,.550
Caldwell Jones,,,SDA,ABA,7.6,79,,2929,507,1091,505,1083,2,8,171,230,322,773,1095,144,64,316,155,319,1187,.465,.466,.250,.466,.743,.498
Pete Maravich,,,ATL,NBA,7.6,76,,2903,819,1791,819,1791,,,469,568,98,276,374,396,111,13,,261,2107,.457,.457,,.457,.826,.516
Phil Chenier,,,CAP,NBA,7.4,76,,2942,697,1607,697,1607,,,274,334,114,274,388,239,155,67,,135,1668,.434,.434,,.434,.820,.475
Dave Bing,,,DET,NBA,7.3,81,,3124,582,1336,582,1336,,,356,438,108,173,281,555,109,17,,216,1520,.436,.436,,.436,.813,.497
George Gervin,,,TOT,ABA,7.3,74,,2511,672,1426,664,1370,8,56,378,464,170,454,624,142,101,120,252,264,1730,.471,.485,.143,.474,.815,.531
Jo Jo White,,,BOS,NBA,7.3,82,,3238,649,1445,649,1445,,,190,227,100,251,351,448,105,25,,185,1488,.449,.449,,.449,.837,.482
Louie Dampier,,,KEN,ABA,7.2,84,,2942,603,1296,555,1172,48,124,238,286,46,155,201,473,84,18,230,152,1492,.465,.474,.387,.484,.832,.525
Connie Hawkins,,,TOT,NBA,7.1,79,,2761,404,807,404,807,,,191,251,176,389,565,407,113,81,,223,999,.501,.501,,.501,.761,.544
Cazzie Russell,,,GSW,NBA,7.1,82,,2574,738,1531,738,1531,,,208,249,142,211,353,192,54,17,,194,1684,.482,.482,,.482,.835,.513
Dave DeBusschere,,,NYK,NBA,7.0,71,,2699,559,1212,559,1212,,,164,217,134,623,757,253,67,39,,222,1282,.461,.461,,.461,.756,.490
Ted McClain,,,CAR,ABA,7.0,84,,2582,423,872,421,845,2,27,251,325,121,237,358,348,250,25,239,326,1099,.485,.498,.074,.486,.772,.541
Mike Riordan,,,CAP,NBA,7.0,81,,3230,577,1223,577,1223,,,136,174,120,260,380,264,102,14,,237,1290,.472,.472,,.472,.782,.496
Dick Van Arsdale,,,PHO,NBA,7.0,78,,2832,514,1028,514,1028,,,361,423,66,155,221,324,96,17,,241,1389,.500,.500,,.500,.853,.572
