Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Larry Bird,,,BOS,NBA,15.8,82,81,3113,796,1606,714,1412,82,194,441,492,190,615,805,557,166,51,266,182,2115,.496,.506,.423,.521,.896,.580
Adrian Dantley,,,UTA,NBA,12.8,76,75,2744,818,1453,817,1442,1,11,630,796,178,217,395,264,64,4,231,206,2267,.563,.567,.091,.563,.791,.629
Magic Johnson,,,LAL,NBA,12.1,72,70,2578,483,918,473,875,10,43,378,434,85,341,426,907,113,16,273,133,1354,.526,.541,.233,.532,.871,.610
Sidney Moncrief,,,MIL,NBA,11.7,73,72,2567,470,962,437,859,33,103,498,580,115,219,334,357,103,18,174,178,1471,.489,.509,.320,.506,.859,.604
Kevin McHale,,,BOS,NBA,11.0,68,62,2397,561,978,561,978,0,0,326,420,171,380,551,181,29,134,149,192,1448,.574,.574,,.574,.776,.623
Kareem Abdul-Jabbar,,,LAL,NBA,10.8,79,79,2629,755,1338,755,1336,0,2,336,439,133,345,478,280,67,130,203,248,1846,.564,.565,.000,.564,.765,.603
Charles Barkley,,,PHI,NBA,10.8,80,80,2952,595,1041,578,966,17,75,396,578,354,672,1026,312,173,125,350,333,1603,.572,.598,.227,.580,.685,.619
Dominique Wilkins,,,ATL,NBA,10.8,78,78,3049,888,1897,875,1827,13,70,577,705,261,357,618,206,138,49,251,170,2366,.468,.479,.186,.472,.818,.536
Maurice Cheeks,,,PHI,NBA,10.6,82,82,3270,490,913,486,896,4,17,282,335,55,180,235,753,207,27,238,160,1266,.537,.542,.235,.539,.842,.597
Kiki Vandeweghe,,,POR,NBA,9.9,79,76,2791,719,1332,718,1324,1,8,523,602,92,124,216,187,54,17,177,161,1962,.540,.542,.125,.540,.869,.614
Alex English,,,DEN,NBA,9.8,81,81,3024,951,1888,950,1883,1,5,511,593,192,213,405,320,73,29,249,235,2414,.504,.505,.200,.504,.862,.562
Paul Pressey,,,MIL,NBA,9.8,80,80,2704,411,843,403,799,8,44,316,392,127,272,399,623,168,71,240,247,1146,.488,.504,.182,.492,.806,.564
Hakeem Olajuwon,,,HOU,NBA,9.5,68,68,2467,625,1188,625,1188,0,0,347,538,333,448,781,137,134,231,195,271,1597,.526,.526,,.526,.645,.560
James Worthy,,,LAL,NBA,9.5,75,73,2454,629,1086,629,1073,0,13,242,314,136,251,387,201,82,77,149,195,1500,.579,.586,.000,.579,.771,.613
Mike Gminski,,,NJN,NBA,9.2,81,78,2525,491,949,491,948,0,1,351,393,206,462,668,133,56,71,140,163,1333,.517,.518,.000,.517,.893,.594
Bill Laimbeer,,,DET,NBA,9.2,82,82,2891,545,1107,541,1093,4,14,266,319,305,770,1075,146,59,65,133,291,1360,.492,.495,.286,.494,.834,.545
Robert Parish,,,BOS,NBA,9.2,81,80,2567,530,966,530,966,0,0,245,335,246,524,770,145,65,116,187,215,1305,.549,.549,,.549,.731,.586
