Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Bob Pettit,,,STL,NBA,14.8,72,,2873,719,1640,719,1640,,,667,879,,,1182,221,,,,200,2105,.438,.438,,.438,.759,.519
Kenny Sears,,,NYK,NBA,13.3,71,,2498,491,1002,491,1002,,,506,588,,,658,136,,,,237,1488,.490,.490,,.490,.861,.590
Paul Arizin,,,PHW,NBA,13.0,70,,2799,632,1466,632,1466,,,587,722,,,637,119,,,,264,1851,.431,.431,,.431,.813,.519
Bill Russell,,,BOS,NBA,12.9,70,,2979,456,997,456,997,,,256,428,,,1612,222,,,,161,1168,.457,.457,,.457,.598,.493
Cliff Hagan,,,STL,NBA,11.7,72,,2702,646,1417,646,1417,,,415,536,,,783,245,,,,275,1707,.456,.456,,.456,.774,.516
Elgin Baylor,,,MNL,NBA,9.8,70,,2855,605,1482,605,1482,,,532,685,,,1050,287,,,,270,1742,.408,.408,,.408,.777,.488
Dolph Schayes,,,SYR,NBA,9.4,72,,2645,504,1304,504,1304,,,526,609,,,962,178,,,,280,1534,.387,.387,,.387,.864,.488
Bob Cousy,,,BOS,NBA,8.7,65,,2403,484,1260,484,1260,,,329,385,,,359,557,,,,135,1297,.384,.384,,.384,.855,.454
Red Kerr,,,SYR,NBA,8.7,72,,2671,502,1139,502,1139,,,281,367,,,1008,142,,,,183,1285,.441,.441,,.441,.766,.494
Larry Costello,,,SYR,NBA,8.5,70,,2750,414,948,414,948,,,280,349,,,365,379,,,,263,1108,.437,.437,,.437,.802,.503
Richie Guerin,,,NYK,NBA,8.4,71,,2558,443,1046,443,1046,,,405,505,,,518,364,,,,255,1291,.424,.424,,.424,.802,.509
Bill Sharman,,,BOS,NBA,7.6,72,,2382,562,1377,562,1377,,,342,367,,,292,179,,,,173,1466,.408,.408,,.408,.932,.476
Tom Gola,,,PHW,NBA,7.4,64,,2333,310,773,310,773,,,281,357,,,710,269,,,,243,901,.401,.401,,.401,.787,.484
Jack Twyman,,,CIN,NBA,7.3,72,,2713,710,1691,710,1691,,,437,558,,,653,209,,,,277,1857,.420,.420,,.420,.783,.479
