Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,MIL,NBA,22.3,82,,3288,1063,1843,1063,1843,,,470,681,,,1311,272,,,,264,2596,.577,.577,,.577,.690,.606
Zelmo Beaty,,,UTS,ABA,16.0,76,,2915,661,1192,659,1188,2,4,420,531,407,783,1190,148,,,196,299,1744,.555,.555,.500,.555,.791,.612
Walt Frazier,,,NYK,NBA,15.6,80,,3455,651,1317,651,1317,,,434,557,,,544,536,,,,240,1736,.494,.494,,.494,.779,.556
Jerry West,,,LAL,NBA,12.8,69,,2845,667,1351,667,1351,,,525,631,,,320,655,,,,180,1859,.494,.494,,.494,.832,.571
Wilt Chamberlain,,,LAL,NBA,12.6,82,,3630,668,1226,668,1226,,,360,669,,,1493,352,,,,174,1696,.545,.545,,.545,.538,.558
John Havlicek,,,BOS,NBA,12.5,81,,3678,892,1982,892,1982,,,554,677,,,730,607,,,,200,2338,.450,.450,,.450,.818,.513
Oscar Robertson,,,MIL,NBA,12.4,81,,3194,592,1193,592,1193,,,385,453,,,462,668,,,,203,1569,.496,.496,,.496,.850,.563
Dave Bing,,,DET,NBA,11.7,82,,3065,799,1710,799,1710,,,615,772,,,364,408,,,,228,2213,.467,.467,,.467,.797,.540
Archie Clark,,,PHI,NBA,11.4,82,,3245,662,1334,662,1334,,,422,536,,,391,440,,,,217,1746,.496,.496,,.496,.787,.556
Mel Daniels,,,INA,ABA,11.4,82,,3170,698,1357,697,1344,1,13,326,480,394,1081,1475,178,,,230,292,1723,.514,.519,.077,.515,.679,.549
Roger Brown,,,INA,ABA,10.9,82,,3364,610,1266,547,1043,63,223,407,512,176,393,569,395,,,232,289,1690,.482,.524,.283,.507,.795,.567
Chet Walker,,,CHI,NBA,10.9,81,,2927,650,1398,650,1398,,,480,559,,,588,179,,,,187,1780,.465,.465,,.465,.859,.541
Dan Issel,,,KEN,ABA,10.7,83,,3274,938,1934,938,1919,0,15,604,748,421,672,1093,162,,,221,323,2480,.485,.489,.000,.485,.807,.548
Willis Reed,,,NYK,NBA,10.6,73,,2855,614,1330,614,1330,,,299,381,,,1003,148,,,,228,1527,.462,.462,,.462,.785,.510
Stu Lantz,,,SDR,NBA,10.5,82,,3102,585,1305,585,1305,,,519,644,,,406,344,,,,230,1689,.448,.448,,.448,.806,.532
Jerry Lucas,,,SFW,NBA,10.5,80,,3251,623,1250,623,1250,,,289,367,,,1265,293,,,,197,1535,.498,.498,,.498,.787,.544
Jimmy Jones,,,MMP,ABA,10.3,80,,3004,593,1220,589,1213,4,7,374,481,121,265,386,468,,,294,240,1564,.486,.486,.571,.488,.778,.546
Dick Van Arsdale,,,PHO,NBA,10.2,81,,3157,609,1346,609,1346,,,553,682,,,316,329,,,,246,1771,.452,.452,,.452,.811,.538
Billy Cunningham,,,PHI,NBA,10.0,81,,3090,702,1519,702,1519,,,455,620,,,946,395,,,,328,1859,.462,.462,,.462,.734,.519
Dick Snyder,,,SEA,NBA,10.0,82,,2824,645,1215,645,1215,,,302,361,,,257,352,,,,249,1592,.531,.531,,.531,.837,.579
Wes Unseld,,,BAL,NBA,10.0,74,,2904,424,846,424,846,,,199,303,,,1253,293,,,,235,1047,.501,.501,,.501,.657,.535
