Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Kevin Durant,OKC,.720,19.2,81,81,3122,849,1688,657,1197,192,491,703,805,58,540,598,445,103,59,285,174,2593,.503,.549,.391,.873
LeBron James,MIA,.659,15.9,77,77,2902,767,1353,651,1047,116,306,439,585,81,452,533,488,121,26,270,126,2089,.567,.622,.379,.750
Kevin Love,MIN,.488,14.3,77,77,2797,650,1421,460,916,190,505,520,633,224,739,963,341,59,35,196,136,2010,.457,.502,.376,.821
Stephen Curry,GSW,.622,13.4,78,78,2846,652,1383,391,768,261,615,308,348,46,288,334,666,128,14,294,194,1873,.471,.509,.424,.885
James Harden,HOU,.659,12.8,73,73,2777,549,1205,372,722,177,483,576,665,61,283,344,446,115,29,265,177,1851,.456,.515,.366,.866
Blake Griffin,LAC,.695,12.2,80,80,2863,718,1359,706,1315,12,44,482,674,192,565,757,309,92,51,224,265,1930,.528,.537,.273,.715
Chris Paul,LAC,.695,12.2,62,62,2171,406,870,328,658,78,212,295,345,38,230,268,663,154,4,145,157,1185,.467,.498,.368,.855
Kyle Lowry,TOR,.585,11.7,79,79,2862,457,1080,267,580,190,500,313,385,88,281,369,586,121,15,194,267,1417,.423,.460,.380,.813
Joakim Noah,CHI,.585,11.2,80,80,2820,380,800,380,798,0,2,247,335,282,618,900,431,99,121,194,245,1007,.475,.476,.000,.737
DeAndre Jordan,LAC,.695,11.1,82,82,2870,348,515,348,515,0,0,160,374,331,783,1114,74,80,203,123,264,856,.676,.676,,.428
Dirk Nowitzki,DAL,.598,10.9,80,80,2628,633,1273,502,944,131,329,338,376,40,458,498,216,73,45,117,165,1735,.497,.532,.398,.899
Paul George,IND,.683,10.8,80,80,2898,577,1362,395,862,182,500,401,464,64,478,542,283,151,22,224,198,1737,.424,.458,.364,.864
Carmelo Anthony,NYK,.451,10.7,77,77,2982,743,1643,576,1228,167,415,459,541,145,477,622,242,95,51,198,224,2112,.452,.469,.402,.848
Anthony Davis,NOP,.415,10.4,67,66,2358,522,1005,520,996,2,9,348,440,207,466,673,105,89,189,109,200,1394,.519,.522,.222,.791
Goran Dragic,PHO,.585,10.3,76,75,2668,552,1093,430,794,122,299,316,416,69,176,245,447,104,22,213,206,1542,.505,.542,.408,.760
Andre Drummond,DET,.354,9.9,81,81,2619,479,769,479,767,0,2,137,328,440,631,1071,35,101,131,110,273,1095,.623,.625,.000,.418
Serge Ibaka,OKC,.720,9.6,81,81,2666,524,978,501,918,23,60,156,199,224,485,709,85,39,219,123,233,1227,.536,.546,.383,.784
Damian Lillard,POR,.659,9.6,82,82,2937,553,1304,335,750,218,554,371,426,35,253,288,457,64,22,193,197,1695,.424,.447,.394,.871
Robin Lopez,POR,.659,9.5,82,82,2603,355,644,355,643,0,1,198,242,326,374,700,73,25,139,84,196,908,.551,.552,.000,.818
DeMar DeRozan,TOR,.585,8.8,79,79,3017,604,1407,540,1197,64,210,519,630,51,292,343,313,86,28,176,197,1791,.429,.451,.305,.824
Mike Conley,MEM,.610,8.2,73,73,2446,463,1030,358,739,105,291,225,276,41,172,213,441,110,13,150,141,1256,.450,.484,.361,.815
Wesley Matthews,POR,.659,8.2,82,82,2780,445,1009,244,498,201,511,252,301,51,238,289,197,76,14,110,176,1343,.441,.490,.393,.837
Marcin Gortat,WAS,.537,8.1,81,80,2655,455,840,454,839,1,1,157,229,202,565,767,138,41,121,126,201,1068,.542,.541,1.000,.686
David West,IND,.683,8.1,80,80,2472,458,939,454,924,4,15,198,251,120,422,542,223,61,74,133,186,1118,.488,.491,.267,.789
Trevor Ariza,WAS,.537,8.0,77,77,2723,389,853,209,411,180,442,149,193,99,376,475,191,126,20,132,179,1107,.456,.509,.407,.772
Chris Bosh,MIA,.659,8.0,79,79,2531,492,953,418,735,74,218,223,272,98,424,522,87,80,78,125,192,1281,.516,.569,.339,.820
Dwight Howard,HOU,.659,8.0,71,71,2396,473,800,471,793,2,7,349,638,231,635,866,131,60,128,229,240,1297,.591,.594,.286,.547
Nicolas Batum,POR,.659,7.9,82,82,2956,381,819,236,417,145,402,163,203,116,495,611,420,75,57,208,156,1070,.465,.566,.361,.803
DeMarcus Cousins,SAC,.341,7.9,71,71,2298,591,1191,591,1184,0,7,432,595,218,613,831,207,109,91,251,270,1614,.496,.499,.000,.726
John Wall,WAS,.537,7.9,82,82,2980,579,1337,471,1029,108,308,317,394,38,295,333,721,149,40,295,219,1583,.433,.458,.351,.805
George Hill,IND,.683,7.8,76,76,2434,272,616,177,356,95,260,142,176,53,230,283,265,75,23,92,158,781,.442,.497,.365,.807
Al Jefferson,CHA,.524,7.8,73,73,2553,700,1376,697,1361,3,15,191,277,156,636,792,155,67,79,124,176,1594,.509,.512,.200,.690
Kawhi Leonard,SAS,.756,7.7,66,65,1923,337,645,268,463,69,182,101,126,76,336,412,133,114,50,80,127,844,.522,.579,.379,.802
Isaiah Thomas,SAC,.341,7.7,72,54,2497,496,1096,369,732,127,364,346,407,47,163,210,454,93,8,213,185,1465,.453,.504,.349,.850
David Lee,GSW,.622,7.6,69,67,2288,513,981,513,980,0,1,231,296,182,461,643,147,48,26,152,206,1257,.523,.523,.000,.780
Chandler Parsons,HOU,.659,7.6,74,74,2783,466,987,336,636,130,351,164,221,69,340,409,298,88,29,144,168,1226,.472,.528,.370,.742
LaMarcus Aldridge,POR,.659,7.5,69,69,2498,652,1423,649,1408,3,15,296,360,166,599,765,178,63,68,123,147,1603,.458,.461,.200,.822
Tim Duncan,SAS,.756,7.4,74,74,2158,444,906,444,901,0,5,231,316,158,563,721,220,43,139,159,134,1119,.490,.493,.000,.731
Lance Stephenson,IND,.683,7.4,78,78,2752,427,870,341,626,86,244,140,197,95,463,558,359,54,7,210,195,1080,.491,.545,.352,.711
Terrence Jones,HOU,.659,7.3,76,71,2078,386,712,355,611,31,101,118,195,162,366,528,87,53,99,71,139,921,.542,.581,.307,.605
Jimmy Butler,CHI,.585,7.1,67,67,2591,275,693,207,453,68,240,260,338,87,243,330,175,127,36,102,106,878,.397,.457,.283,.769
Kyrie Irving,CLE,.402,6.7,71,71,2496,532,1237,409,893,123,344,291,338,52,207,259,433,108,23,190,163,1478,.430,.458,.358,.861
Paul Millsap,ATL,.463,6.7,74,73,2482,483,1047,407,835,76,212,286,391,154,473,627,232,129,78,185,210,1328,.461,.487,.358,.731
Klay Thompson,GSW,.622,6.7,81,81,2868,559,1259,336,724,223,535,147,185,38,211,249,181,74,37,135,234,1488,.444,.464,.417,.795
Jonas Valanciunas,TOR,.585,6.7,81,81,2282,359,676,359,675,0,1,198,260,226,488,714,57,24,71,136,249,916,.531,.532,.000,.762
Andrew Bogut,GSW,.622,6.5,67,67,1769,235,375,235,375,0,0,22,64,182,489,671,112,47,121,97,210,492,.627,.627,,.344
Mike Dunleavy,CHI,.585,6.5,82,61,2584,333,774,210,450,123,324,140,164,46,299,345,186,64,46,108,163,929,.430,.467,.380,.854
Kenneth Faried,DEN,.439,6.5,80,77,2178,447,820,447,817,0,3,202,311,238,446,684,96,70,69,135,193,1096,.545,.547,.000,.650
Josh McRoberts,CHA,.524,6.5,78,78,2360,247,566,142,275,105,291,62,85,85,288,373,333,58,46,83,189,661,.436,.516,.361,.729
Markieff Morris,PHO,.585,6.4,81,0,2153,411,845,377,737,34,108,259,327,139,346,485,144,68,51,147,232,1115,.486,.512,.315,.792
Zach Randolph,MEM,.610,6.4,79,79,2705,560,1198,558,1178,2,20,250,337,265,530,795,200,54,23,183,210,1372,.467,.474,.100,.742
Jose Calderon,DAL,.598,6.3,81,81,2468,341,748,150,323,191,425,52,63,29,163,192,377,69,11,103,136,925,.456,.464,.449,.825
Amir Johnson,TOR,.585,6.3,77,72,2214,344,612,324,546,20,66,91,143,172,333,505,115,56,88,123,271,799,.562,.593,.303,.636
Ty Lawson,DEN,.439,6.3,62,61,2222,347,806,275,604,72,202,324,406,40,175,215,543,100,10,200,113,1090,.431,.455,.356,.798
D.J. Augustin,TOT,,6.2,71,9,1939,298,718,165,386,133,332,201,227,15,115,130,313,53,3,125,147,930,.415,.427,.401,.885
Gerald Green,PHO,.585,6.1,82,48,2330,448,1006,244,496,204,510,195,230,48,227,275,122,70,42,145,220,1295,.445,.492,.400,.848
P.J. Tucker,PHO,.585,6.1,81,81,2490,265,615,191,424,74,191,156,201,161,368,529,141,110,23,102,204,760,.431,.450,.387,.776
Chris Andersen,MIA,.659,6.0,72,0,1396,177,275,174,263,3,12,120,169,129,250,379,19,32,97,53,162,477,.644,.662,.250,.710
Marco Belinelli,SAS,.756,5.9,80,25,2016,337,695,211,402,126,293,111,131,18,208,226,179,50,7,95,130,911,.485,.525,.430,.847
Darren Collison,LAC,.695,5.9,80,35,2069,324,694,253,505,71,189,192,224,47,141,188,297,93,15,132,150,911,.467,.501,.376,.857
Kyle Korver,ATL,.463,5.9,71,71,2408,289,609,104,217,185,392,87,94,22,260,282,208,70,24,102,147,850,.475,.479,.472,.926
Greg Monroe,DET,.354,5.9,82,82,2690,504,1015,504,1014,0,1,241,367,256,504,760,171,91,47,166,205,1249,.497,.497,.000,.657
Tony Parker,SAS,.756,5.9,68,68,1997,456,914,431,847,25,67,197,243,17,138,155,388,36,9,151,86,1134,.499,.509,.373,.811
