Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Bob McAdoo,BUF,.598,17.8,82,,3539,1095,2138,1095,2138,,,641,796,307,848,1155,179,92,174,,278,2831,.512,.512,,.805
Julius Erving,NYA,,17.6,84,,3402,914,1806,885,1719,29,87,486,608,284,630,914,462,186,157,301,256,2343,.506,.515,.333,.799
Artis Gilmore,KEN,,16.2,84,,3493,784,1351,783,1349,1,2,412,592,427,934,1361,208,63,258,344,318,1981,.580,.580,.500,.696
Kareem Abdul-Jabbar,MIL,.463,12.9,65,,2747,812,1584,812,1584,,,325,426,194,718,912,264,65,212,,205,1949,.513,.513,,.763
Rick Barry,GSW,.585,12.7,80,,3235,1028,2217,1028,2217,,,394,436,92,364,456,492,228,33,,225,2450,.464,.464,,.904
Elvin Hayes,WSB,.732,12.5,82,,3465,739,1668,739,1668,,,409,534,221,783,1004,206,158,187,,238,1887,.443,.443,,.766
Bob Lanier,DET,.488,12.4,76,,2987,731,1433,731,1433,,,361,450,225,689,914,350,75,172,,237,1823,.510,.510,,.802
George McGinnis,INA,,11.6,79,,3193,873,1934,811,1759,62,175,545,753,396,730,1126,495,206,56,422,303,2353,.451,.461,.354,.724
Tiny Archibald,KCO,.537,11.2,82,,3244,759,1664,759,1664,,,652,748,48,174,222,557,119,7,,187,2170,.456,.456,,.872
Walt Frazier,NYK,.488,10.8,78,,3204,672,1391,672,1391,,,331,400,90,375,465,474,190,14,,205,1675,.483,.483,,.828
Wes Unseld,WSB,.732,10.6,73,,2904,273,544,273,544,,,126,184,318,759,1077,297,115,68,,180,672,.502,.502,,.685
Chet Walker,CHI,.573,10.5,76,,2452,524,1076,524,1076,,,413,480,114,318,432,169,49,6,,181,1461,.487,.487,,.860
Bobby Jones,DNA,,10.2,84,,2706,529,876,529,875,0,1,187,269,230,462,692,303,167,153,234,263,1245,.604,.605,.000,.695
Moses Malone,UTS,,10.2,83,,3205,591,1035,591,1034,0,1,375,591,455,754,1209,82,85,128,320,288,1557,.571,.572,.000,.635
Louie Dampier,KEN,,10.1,83,,2879,598,1195,560,1099,38,96,161,199,42,169,211,449,92,53,146,140,1395,.500,.510,.396,.809
Rudy Tomjanovich,HOU,.500,10.1,81,,3134,694,1323,694,1323,,,289,366,184,429,613,236,76,24,,230,1677,.525,.525,,.790
George Gervin,SAA,,10.0,84,,3113,784,1655,767,1600,17,55,380,458,247,450,697,207,131,138,249,295,1965,.474,.479,.309,.830
Larry Kenon,NYA,,10.0,84,,3165,676,1327,675,1325,1,2,217,282,279,621,900,122,107,30,206,229,1570,.509,.509,.500,.770
James Silas,SAA,,9.8,82,,3105,578,1136,578,1134,0,2,430,486,73,237,310,398,111,17,230,232,1586,.509,.510,.000,.885
John Havlicek,BOS,.732,9.7,82,,3132,642,1411,642,1411,,,289,332,154,330,484,432,110,16,,231,1573,.455,.455,,.870
Swen Nater,SAA,,9.7,78,,2713,495,914,495,913,0,1,185,246,369,910,1279,97,43,87,185,240,1175,.542,.542,.000,.752
Sidney Wicks,POR,.463,9.7,82,,3162,692,1391,692,1391,,,394,558,231,646,877,287,108,80,,289,1778,.497,.497,,.706
Dave Cowens,BOS,.732,9.5,65,,2632,569,1199,569,1199,,,191,244,229,729,958,296,87,73,,243,1329,.475,.475,,.783
Dan Issel,KEN,,9.3,83,,2864,614,1303,614,1298,0,5,237,321,258,452,710,188,76,48,157,197,1465,.471,.473,.000,.738
Mack Calvin,DNA,,9.0,74,,2463,483,996,480,980,3,16,475,530,36,174,210,570,140,8,279,206,1444,.485,.490,.188,.896
Billy Paultz,NYA,,9.0,80,,2826,524,1080,524,1077,0,3,214,286,174,598,772,179,59,137,149,273,1262,.485,.487,.000,.748
Phil Chenier,WSB,.732,8.8,77,,2869,690,1533,690,1533,,,301,365,74,218,292,248,176,58,,158,1681,.450,.450,,.825
Mike Green,DNA,,8.7,81,,2557,593,1095,593,1091,0,4,225,305,282,467,749,101,85,174,203,271,1411,.542,.544,.000,.738
Don Nelson,BOS,.732,8.7,79,,2052,423,785,423,785,,,263,318,127,342,469,181,32,15,,239,1109,.539,.539,,.827
Marvin Barnes,SSL,,8.6,77,,3076,777,1561,777,1558,0,3,295,440,419,783,1202,250,96,137,307,328,1849,.498,.499,.000,.670
Dave Robisch,DNA,,8.5,84,,1899,392,779,392,778,0,1,304,346,161,342,503,153,46,48,108,205,1088,.503,.504,.000,.879
Ron Boone,UTS,,8.3,84,,3414,872,1776,862,1743,10,33,363,422,141,265,406,372,126,34,335,265,2117,.491,.495,.303,.860
Tom Owens,TOT,,8.3,82,,2647,511,969,511,967,0,2,217,289,296,609,905,208,36,82,153,261,1239,.527,.528,.000,.751
Brian Taylor,NYA,,8.3,79,,2611,472,920,462,874,10,46,150,196,86,146,232,282,221,26,152,216,1104,.513,.529,.217,.765
Caldwell Jones,SDA,,8.1,76,,3004,606,1240,603,1229,3,11,264,335,311,763,1074,162,60,246,192,269,1479,.489,.491,.273,.788
Jo Jo White,BOS,.732,8.0,82,,3220,658,1440,658,1440,,,186,223,84,227,311,458,128,17,,207,1502,.457,.457,,.834
