Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Michael Jordan,CHI,.744,20.3,82,82,3034,990,1837,961,1744,29,93,571,671,118,374,492,453,223,83,202,229,2580,.539,.551,.312,.851
David Robinson,SAS,.671,17.0,82,81,3095,754,1366,753,1359,1,7,592,777,335,728,1063,208,127,320,270,264,2101,.552,.554,.143,.762
Karl Malone,UTA,.659,15.5,82,82,3302,847,1608,843,1594,4,14,684,888,236,731,967,270,89,79,244,268,2382,.527,.529,.286,.770
Magic Johnson,LAL,.707,15.4,79,79,2933,466,976,386,726,80,250,519,573,105,446,551,989,102,17,314,150,1531,.477,.532,.320,.906
John Stockton,UTA,.659,14.0,82,82,3103,496,978,438,810,58,168,363,434,46,191,237,1164,234,16,298,233,1413,.507,.541,.345,.836
Charles Barkley,PHI,.537,13.4,67,67,2498,665,1167,621,1012,44,155,475,658,258,422,680,284,110,33,210,173,1849,.570,.614,.284,.722
Terry Porter,POR,.768,13.0,81,81,2665,486,944,356,631,130,313,279,339,52,230,282,649,158,12,189,151,1381,.515,.564,.415,.823
Kevin Johnson,PHO,.671,12.7,77,76,2772,591,1145,582,1101,9,44,519,616,54,217,271,781,163,11,269,174,1710,.516,.529,.205,.843
Reggie Miller,IND,.500,12.5,82,82,2972,596,1164,484,842,112,322,551,600,81,200,281,331,109,13,163,165,1855,.512,.575,.348,.918
Clyde Drexler,POR,.768,12.4,82,82,2852,645,1338,584,1147,61,191,416,524,212,334,546,493,144,60,232,226,1767,.482,.509,.319,.794
Chris Mullin,GSW,.537,12.2,82,82,3315,777,1449,737,1316,40,133,513,580,141,302,443,329,173,63,245,176,2107,.536,.560,.301,.884
Dominique Wilkins,ATL,.524,11.4,81,81,3078,770,1640,685,1391,85,249,476,574,261,471,732,265,123,65,201,156,2101,.470,.492,.341,.829
Scottie Pippen,CHI,.744,11.2,82,82,3014,600,1153,579,1085,21,68,240,340,163,432,595,511,193,93,232,270,1461,.520,.534,.309,.706
Otis Thorpe,HOU,.634,10.4,82,82,3039,549,988,546,981,3,7,334,480,287,559,846,197,73,20,217,278,1435,.556,.557,.429,.696
Horace Grant,CHI,.744,10.3,78,76,2641,401,733,400,727,1,6,197,277,266,393,659,178,95,69,92,203,1000,.547,.550,.167,.711
Patrick Ewing,NYK,.476,10.0,81,81,3104,845,1645,845,1639,0,6,464,623,194,711,905,244,80,258,291,287,2154,.514,.516,.000,.745
Robert Parish,BOS,.683,10.0,81,81,2441,485,811,485,810,0,1,237,309,271,585,856,66,66,103,153,197,1207,.598,.599,.000,.767
Joe Dumars,DET,.610,9.9,80,80,3046,622,1292,608,1247,14,45,371,417,62,125,187,443,89,7,189,135,1629,.481,.488,.311,.890
Tim Hardaway,GSW,.537,9.9,82,82,3215,739,1551,642,1299,97,252,306,381,87,245,332,793,214,12,270,228,1881,.476,.494,.385,.803
Hersey Hawkins,PHI,.537,9.8,80,80,3110,590,1251,482,981,108,270,479,550,48,262,310,299,178,39,213,182,1767,.472,.491,.400,.871
Larry Nance,CLE,.402,9.8,80,78,2927,635,1211,633,1203,2,8,265,330,201,485,686,237,66,200,131,219,1537,.524,.526,.250,.803
Jeff Hornacek,PHO,.671,9.7,80,77,2733,544,1051,483,905,61,146,201,224,74,247,321,409,111,16,130,185,1350,.518,.534,.418,.897
Brad Daugherty,CLE,.402,9.0,76,76,2946,605,1155,605,1152,0,3,435,579,177,653,830,253,74,46,211,191,1645,.524,.525,.000,.751
Detlef Schrempf,IND,.500,9.0,82,3,2632,432,831,417,791,15,40,441,539,178,482,660,301,58,22,175,262,1320,.520,.527,.375,.818
Kenny Smith,HOU,.634,9.0,78,78,2699,522,1003,473,868,49,135,287,340,36,127,163,554,106,11,237,131,1380,.520,.545,.363,.844
