Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Shaquille O'Neal,LAL,.683,14.9,74,74,2924,813,1422,813,1420,0,2,499,972,291,649,940,277,47,204,218,256,2125,.572,.573,.000,.513
Dirk Nowitzki,DAL,.646,14.6,82,82,3125,591,1247,440,857,151,390,451,538,119,635,754,173,79,101,156,245,1784,.474,.513,.387,.838
Ray Allen,MIL,.634,13.7,82,82,3129,628,1309,426,842,202,467,348,392,101,327,428,374,124,20,204,192,1806,.480,.506,.433,.888
Tim Duncan,SAS,.707,13.2,82,82,3174,702,1406,695,1379,7,27,409,662,259,738,997,245,70,192,242,247,1820,.499,.504,.259,.618
Karl Malone,UTA,.646,13.1,81,81,2895,670,1345,668,1340,2,5,536,676,114,555,669,361,93,62,244,216,1878,.498,.499,.400,.793
Vince Carter,TOR,.573,12.9,75,75,2979,762,1656,600,1259,162,397,384,502,176,240,416,291,114,82,167,205,2070,.460,.477,.408,.765
Steve Francis,HOU,.549,12.2,80,79,3194,550,1219,417,883,133,336,358,438,190,363,553,517,141,31,265,274,1591,.451,.472,.396,.817
Tracy McGrady,ORL,.524,12.2,77,77,3087,788,1724,729,1558,59,166,430,587,192,388,580,352,116,118,198,160,2065,.457,.468,.355,.733
David Robinson,SAS,.707,12.1,80,80,2371,400,823,400,822,0,1,351,470,208,483,691,116,80,197,122,212,1151,.486,.487,.000,.747
Kevin Garnett,MIN,.573,11.8,81,81,3202,704,1475,685,1409,19,66,357,467,219,702,921,401,111,145,230,204,1784,.477,.486,.288,.764
Allen Iverson,PHI,.683,11.8,71,71,2979,762,1813,664,1507,98,306,585,719,50,223,273,325,178,20,237,147,2207,.420,.441,.320,.814
Shawn Marion,PHO,.622,11.7,79,79,2857,557,1160,536,1078,21,82,234,289,220,628,848,160,132,108,129,211,1369,.480,.497,.256,.810
Anthony Mason,MIA,.610,11.6,80,80,3254,460,954,460,954,0,0,370,474,169,601,770,248,80,25,179,231,1290,.482,.482,,.781
Kobe Bryant,LAL,.683,11.3,68,68,2783,701,1510,640,1310,61,200,475,557,104,295,399,338,114,43,220,222,1938,.464,.489,.305,.853
Rasheed Wallace,POR,.610,11.0,77,75,2940,590,1178,538,1016,52,162,245,320,147,455,602,212,90,135,158,206,1477,.501,.530,.321,.766
Chris Webber,SAC,.671,11.0,70,70,2836,786,1635,784,1607,2,28,324,461,179,598,777,294,93,118,195,226,1898,.481,.488,.071,.703
Gary Payton,SEA,.537,10.8,79,79,3244,725,1591,623,1319,102,272,271,354,73,288,361,642,127,26,209,184,1823,.456,.472,.375,.766
John Stockton,UTA,.646,10.8,82,82,2397,328,651,267,519,61,132,227,278,54,173,227,713,132,21,203,194,944,.504,.514,.462,.817
Paul Pierce,BOS,.439,10.4,82,82,3120,687,1513,540,1129,147,384,550,738,94,428,522,253,138,69,262,251,2071,.454,.478,.383,.745
Marcus Camby,NYK,.585,10.3,63,63,2127,304,580,303,572,1,8,150,225,196,527,723,52,66,136,63,205,759,.524,.530,.125,.667
Reggie Miller,IND,.500,10.3,81,81,3181,517,1176,347,712,170,464,323,348,38,247,285,260,81,15,133,162,1527,.440,.487,.366,.928
Peja Stojakovic,SAC,.671,10.1,75,75,2905,559,1189,415,829,144,360,267,312,93,341,434,164,91,13,146,144,1529,.470,.501,.400,.856
Derek Anderson,SAS,.707,9.9,82,82,2859,413,993,312,740,101,253,342,402,75,288,363,301,120,14,165,188,1269,.416,.422,.399,.851
Jason Kidd,PHO,.622,9.6,77,76,3065,451,1097,382,865,69,232,328,403,91,403,494,753,166,23,286,171,1299,.411,.442,.297,.814
Jerry Stackhouse,DET,.390,9.2,80,80,3215,774,1927,608,1454,166,473,666,810,99,216,315,410,97,54,326,160,2380,.402,.418,.351,.822
Baron Davis,CHH,.561,8.9,82,82,3192,409,957,324,683,85,274,228,337,129,279,408,598,170,36,226,267,1131,.427,.474,.310,.677
Darrell Armstrong,ORL,.524,8.7,75,75,2767,413,1002,270,599,143,403,220,249,94,249,343,524,135,13,200,155,1189,.412,.451,.355,.884
Doug Christie,SAC,.671,8.7,81,81,2939,311,788,217,538,94,250,280,312,95,260,355,289,183,45,154,224,996,.395,.403,.376,.897
Brian Grant,MIA,.610,8.7,82,79,2771,484,1010,484,1009,0,1,282,354,217,501,718,101,60,71,170,293,1250,.479,.480,.000,.797
Clarence Weatherspoon,CLE,.366,8.6,82,82,2774,347,692,347,692,0,0,230,291,223,573,796,103,85,105,112,171,924,.501,.501,,.790
Shareef Abdur-Rahim,VAN,.280,8.5,81,81,3241,604,1280,592,1216,12,64,443,531,175,560,735,250,90,77,231,238,1663,.472,.487,.188,.834
Terrell Brandon,MIN,.573,8.5,78,78,2821,511,1134,478,1043,33,91,195,224,60,238,298,583,161,21,155,138,1250,.451,.458,.363,.871
Sam Cassell,MIL,.634,8.5,76,75,2709,537,1132,507,1034,30,98,277,323,46,244,290,580,88,8,220,214,1381,.474,.490,.306,.858
Michael Finley,DAL,.646,8.5,82,82,3443,711,1552,620,1289,91,263,252,325,109,316,425,360,118,32,190,174,1765,.458,.481,.346,.775
Donyell Marshall,UTA,.646,8.5,81,49,2326,427,849,386,721,41,128,205,273,172,394,566,133,85,78,128,196,1100,.503,.535,.320,.751
Steve Nash,DAL,.646,8.4,70,70,2387,386,792,297,573,89,219,231,258,46,177,223,509,72,5,205,158,1092,.487,.518,.406,.895
Cuttino Mobley,HOU,.549,8.2,79,49,3002,527,1214,437,962,90,252,394,474,83,314,397,195,84,26,165,169,1538,.434,.454,.357,.831
Steve Smith,POR,.610,8.2,81,36,2542,359,788,281,558,78,230,309,347,87,185,272,213,48,24,137,203,1105,.456,.504,.339,.890
