Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dolph Schayes,SYR,.569,13.7,72,,2918,581,1458,581,1458,,,629,696,,,1022,224,,,,244,1791,.398,.398,,.904
George Yardley,DET,.458,12.3,72,,2843,673,1624,673,1624,,,655,808,,,768,97,,,,226,2001,.414,.414,,.811
Neil Johnston,PHW,.514,11.3,71,,2408,473,1102,473,1102,,,442,540,,,790,166,,,,233,1388,.429,.429,,.819
Bill Russell,BOS,.681,11.3,69,,2640,456,1032,456,1032,,,230,443,,,1564,202,,,,181,1142,.442,.442,,.519
Bob Pettit,STL,.569,11.0,70,,2528,581,1418,581,1418,,,557,744,,,1216,157,,,,222,1719,.410,.410,,.749
Clyde Lovellette,CIN,.458,10.1,71,,2589,679,1540,679,1540,,,301,405,,,862,134,,,,236,1659,.441,.441,,.743
Cliff Hagan,STL,.569,10.0,70,,2190,503,1135,503,1135,,,385,501,,,707,175,,,,267,1391,.443,.443,,.768
Frank Ramsey,BOS,.681,10.0,69,,2047,377,900,377,900,,,383,472,,,504,167,,,,245,1137,.419,.419,,.811
Kenny Sears,NYK,.486,10.0,72,,2685,445,1014,445,1014,,,452,550,,,785,126,,,,251,1342,.439,.439,,.822
Jack Twyman,CIN,.458,9.3,72,,2178,465,1028,465,1028,,,307,396,,,464,110,,,,224,1237,.452,.452,,.775
Larry Costello,SYR,.569,9.2,72,,2746,378,888,378,888,,,320,378,,,378,317,,,,246,1076,.426,.426,,.847
Bill Sharman,BOS,.681,8.7,63,,2214,550,1297,550,1297,,,302,338,,,295,167,,,,156,1402,.424,.424,,.893
Paul Arizin,PHW,.514,7.7,68,,2377,483,1229,483,1229,,,440,544,,,503,135,,,,235,1406,.393,.393,,.809
Carl Braun,NYK,.486,7.6,71,,2475,426,1018,426,1018,,,321,378,,,330,393,,,,183,1173,.418,.418,,.849
Tom Gola,PHW,.514,7.1,59,,2126,295,711,295,711,,,223,299,,,639,327,,,,225,813,.415,.415,,.746
Vern Mikkelsen,MNL,.264,6.5,72,,2390,439,1070,439,1070,,,370,471,,,805,166,,,,299,1248,.410,.410,,.786
Larry Foust,MNL,.264,6.4,72,,2200,391,982,391,982,,,428,566,,,876,108,,,,299,1210,.398,.398,,.756
Ed Macauley,STL,.569,6.3,72,,1908,376,879,376,879,,,267,369,,,478,143,,,,156,1019,.428,.428,,.724
Harry Gallatin,DET,.458,6.1,72,,1990,340,898,340,898,,,392,498,,,749,86,,,,217,1072,.379,.379,,.787
Tom Heinsohn,BOS,.681,6.0,69,,2206,468,1226,468,1226,,,294,394,,,705,125,,,,274,1230,.382,.382,,.746
Ray Felix,NYK,.486,5.8,72,,1709,304,688,304,688,,,271,389,,,747,52,,,,283,879,.442,.442,,.697
Red Kerr,SYR,.569,5.8,72,,2384,407,1020,407,1020,,,280,422,,,963,88,,,,197,1094,.399,.399,,.664
Bob Cousy,BOS,.681,5.4,65,,2222,445,1262,445,1262,,,277,326,,,322,463,,,,136,1167,.353,.353,,.850
Willie Naulls,NYK,.486,4.6,68,,2369,472,1189,472,1189,,,284,344,,,799,97,,,,220,1228,.397,.397,,.826
Gene Shue,DET,.458,4.6,63,,2333,353,919,353,919,,,276,327,,,333,172,,,,150,982,.384,.384,,.844
Maurice Stokes,CIN,.458,4.5,63,,2460,414,1181,414,1181,,,238,333,,,1142,403,,,,226,1066,.351,.351,,.715
Dick Garmaker,MNL,.264,4.4,68,,2216,390,988,390,988,,,314,411,,,365,183,,,,190,1094,.395,.395,,.764
Ernie Beck,PHW,.514,4.3,71,,1974,272,683,272,683,,,170,203,,,307,190,,,,173,714,.398,.398,,.837
Ed Conlin,SYR,.569,4.3,60,,1871,343,877,343,877,,,215,270,,,436,133,,,,168,901,.391,.391,,.796
Chuck Share,STL,.569,4.2,72,,1824,216,545,216,545,,,190,293,,,749,130,,,,279,622,.396,.396,,.648
Dick McGuire,DET,.458,4.0,69,,2311,203,544,203,544,,,150,225,,,291,454,,,,178,556,.373,.373,,.667
Ron Sobie,NYK,.486,3.6,55,,1399,217,539,217,539,,,196,239,,,263,125,,,,147,630,.403,.403,,.820
Richie Guerin,NYK,.486,3.5,63,,2368,344,973,344,973,,,353,511,,,489,317,,,,202,1041,.354,.354,,.691
Jack George,PHW,.514,3.4,72,,1910,232,627,232,627,,,178,242,,,288,234,,,,140,642,.370,.370,,.736
George King,CIN,.458,3.0,63,,2272,235,645,235,645,,,140,227,,,306,337,,,,124,610,.364,.364,,.617
Jim Paxson,CIN,.458,2.8,67,,1795,225,639,225,639,,,209,285,,,350,139,,,,183,659,.352,.352,,.733
Bob Hopkins,SYR,.569,2.7,69,,1224,221,554,221,554,,,123,161,,,392,45,,,,162,565,.399,.399,,.764
Jack Coleman,STL,.569,2.6,72,,1506,231,560,231,560,,,84,131,,,485,117,,,,169,546,.413,.413,,.641
Dick Schnittker,MNL,.264,2.6,50,,979,128,357,128,357,,,201,237,,,211,71,,,,126,457,.359,.359,,.848
Walter Dukes,DET,.458,2.4,72,,2184,278,796,278,796,,,247,366,,,954,52,,,,311,803,.349,.349,,.675
Sam Jones,BOS,.681,2.1,56,,594,100,233,100,233,,,60,84,,,160,37,,,,42,260,.429,.429,,.714
