Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Kevin Garnett,MIN,.537,16.1,82,82,3121,683,1360,677,1335,6,25,445,549,247,861,1108,466,121,112,222,207,1817,.502,.507,.240,.811
Dirk Nowitzki,DAL,.707,15.6,78,78,3020,663,1445,572,1217,91,228,615,708,96,661,757,240,97,119,176,219,2032,.459,.470,.399,.869
Amar'e Stoudemire,PHO,.756,14.6,80,80,2889,747,1336,744,1320,3,16,583,795,219,494,713,131,77,130,189,278,2080,.559,.564,.188,.733
LeBron James,CLE,.512,14.3,80,80,3388,795,1684,687,1376,108,308,477,636,111,477,588,577,177,52,262,146,2175,.472,.499,.351,.750
Shawn Marion,PHO,.756,12.5,81,81,3146,613,1289,499,948,114,341,229,275,235,680,915,154,163,119,125,199,1569,.476,.526,.334,.833
Chauncey Billups,DET,.659,12.1,80,80,2866,404,913,239,526,165,387,343,382,48,223,271,464,81,9,180,194,1316,.442,.454,.426,.898
Tracy McGrady,HOU,.622,12.0,78,78,3182,715,1660,573,1225,142,435,431,557,71,413,484,448,135,52,201,167,2003,.431,.468,.326,.774
Stephon Marbury,NYK,.402,11.7,82,82,3281,604,1308,489,983,115,325,458,549,50,198,248,668,122,6,233,186,1781,.462,.497,.354,.834
Gilbert Arenas,WAS,.549,11.5,80,80,3274,656,1523,451,961,205,562,521,640,83,295,378,411,139,23,242,245,2038,.431,.469,.365,.814
Tim Duncan,SAS,.720,11.2,66,66,2203,517,1042,514,1033,3,9,305,455,202,530,732,179,45,174,127,144,1342,.496,.498,.333,.670
Paul Pierce,BOS,.549,11.2,82,82,2960,556,1223,448,931,108,292,549,668,78,461,539,348,133,39,230,255,1769,.455,.481,.370,.822
Manu Ginobili,SAS,.720,11.0,74,74,2193,367,780,270,522,97,258,355,442,75,254,329,288,119,27,172,190,1186,.471,.517,.376,.803
Shaquille O'Neal,MIA,.720,11.0,73,73,2492,658,1095,658,1095,0,0,353,765,253,507,760,200,36,171,203,262,1669,.601,.601,,.461
Dwyane Wade,MIA,.720,11.0,77,77,2974,630,1318,617,1273,13,45,581,762,110,287,397,520,121,82,321,230,1854,.478,.485,.289,.762
Steve Nash,PHO,.756,10.9,75,75,2573,430,857,336,639,94,218,211,238,57,192,249,861,74,6,245,136,1165,.502,.526,.431,.887
Ray Allen,SEA,.634,10.7,78,78,3064,640,1494,431,938,209,556,378,428,79,268,347,289,84,5,171,167,1867,.428,.459,.376,.883
Yao Ming,HOU,.622,10.7,80,80,2447,538,975,538,975,0,0,389,497,208,461,669,61,34,160,196,298,1465,.552,.552,,.783
Elton Brand,LAC,.451,10.6,81,81,3001,629,1251,629,1248,0,3,364,484,296,474,770,208,62,169,183,240,1622,.503,.504,.000,.752
Vince Carter,TOT,,9.4,77,76,2828,696,1541,569,1228,127,313,367,460,106,295,401,327,109,48,168,243,1886,.452,.463,.406,.798
Tayshaun Prince,DET,.659,9.4,82,82,3039,469,963,422,825,47,138,221,274,133,302,435,247,56,71,135,161,1206,.487,.512,.341,.807
Udonis Haslem,MIA,.720,9.2,80,80,2675,346,641,346,637,0,4,178,225,239,487,726,108,63,41,113,260,870,.540,.543,.000,.791
Allen Iverson,PHI,.524,9.0,75,75,3174,771,1818,667,1480,104,338,656,786,51,248,299,596,180,9,344,140,2302,.424,.451,.308,.835
Damon Jones,MIA,.720,8.7,82,66,2576,331,726,106,205,225,521,68,86,14,217,231,350,44,5,98,121,955,.456,.517,.432,.791
Brad Miller,SAC,.610,8.6,56,56,2089,319,609,314,590,5,19,233,287,139,382,521,220,69,68,82,181,876,.524,.532,.263,.812
Mike Bibby,SAC,.610,8.5,80,80,3084,560,1264,429,900,131,364,320,413,77,255,332,541,124,30,203,191,1571,.443,.477,.360,.775
Drew Gooden,CLE,.512,8.5,82,80,2523,464,943,459,915,5,28,251,310,207,546,753,130,77,76,133,233,1184,.492,.502,.179,.810
Jason Terry,DAL,.707,8.5,80,57,2401,372,743,269,498,103,245,146,173,38,150,188,429,109,15,147,177,993,.501,.540,.420,.844
Ben Wallace,DET,.659,8.5,74,74,2671,295,651,294,642,1,9,130,304,292,610,902,123,106,176,82,159,721,.453,.458,.111,.428
Rashard Lewis,SEA,.634,8.4,71,71,2697,532,1151,359,719,173,432,220,283,110,278,388,94,75,62,123,158,1457,.462,.499,.400,.777
Tyson Chandler,CHI,.573,8.3,80,10,2189,207,419,207,417,0,2,226,336,261,514,775,65,69,141,118,268,640,.494,.496,.000,.673
Kobe Bryant,LAL,.415,8.1,66,66,2689,573,1324,442,937,131,387,542,664,95,297,392,398,86,53,270,174,1819,.433,.472,.339,.816
Zydrunas Ilgauskas,CLE,.512,8.1,78,78,2615,458,979,456,972,2,7,402,503,299,373,672,100,53,165,191,313,1320,.468,.469,.286,.799
Corey Maggette,LAC,.451,8.1,66,60,2436,425,986,374,818,51,168,563,657,70,324,394,225,70,8,195,191,1464,.431,.457,.304,.857
Tony Parker,SAS,.720,8.1,80,80,2735,539,1118,496,962,43,156,210,323,47,251,298,491,98,4,215,167,1331,.482,.516,.276,.650
Eddie Jones,MIA,.720,8.0,80,80,2839,351,820,209,438,142,382,174,216,38,367,405,212,86,38,99,251,1018,.428,.477,.372,.806
Shane Battier,MEM,.549,7.8,80,72,2516,271,613,201,436,70,177,180,228,158,255,413,126,91,77,75,201,792,.442,.461,.395,.789
