Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dirk Nowitzki,DAL,.732,17.7,81,81,3089,751,1564,641,1293,110,271,539,598,115,613,728,226,58,83,156,164,2151,.480,.496,.406,.901
LeBron James,CLE,.610,16.3,79,79,3361,875,1823,748,1444,127,379,601,814,75,481,556,521,123,66,260,181,2478,.480,.518,.335,.738
Chauncey Billups,DET,.780,15.5,81,81,2925,423,1012,239,587,184,425,465,520,41,211,252,699,71,8,170,160,1495,.418,.407,.433,.894
Kobe Bryant,LAL,.549,15.3,80,80,3277,978,2173,798,1655,180,518,696,819,71,354,425,360,147,30,250,233,2832,.450,.482,.347,.850
Kevin Garnett,MIN,.402,14.9,76,76,2957,626,1191,618,1161,8,30,396,489,214,752,966,308,104,107,180,206,1656,.526,.532,.267,.810
Elton Brand,LAC,.573,14.8,79,79,3099,756,1435,755,1432,1,3,440,568,236,554,790,208,81,201,173,227,1953,.527,.527,.333,.775
Shawn Marion,PHO,.659,14.6,81,81,3263,716,1365,620,1075,96,290,241,298,249,710,959,143,160,137,125,223,1769,.525,.577,.331,.809
Dwyane Wade,MIA,.634,14.4,75,75,2892,699,1413,686,1337,13,76,629,803,107,323,430,503,146,58,268,217,2040,.495,.513,.171,.783
Gilbert Arenas,WAS,.512,13.6,80,80,3384,746,1668,547,1128,199,540,655,799,59,221,280,484,161,25,297,286,2346,.447,.485,.369,.820
Steve Nash,PHO,.659,12.4,79,79,2796,541,1056,391,714,150,342,257,279,47,286,333,826,61,12,276,120,1489,.512,.548,.439,.921
Pau Gasol,MEM,.598,12.0,80,80,3135,600,1194,597,1182,3,12,425,617,191,522,713,371,46,153,235,184,1628,.503,.505,.250,.689
Richard Jefferson,NJN,.598,11.7,78,78,3059,495,1005,435,817,60,188,471,580,95,439,534,297,59,17,174,193,1521,.493,.532,.319,.812
Paul Pierce,BOS,.402,11.5,79,79,3084,689,1462,578,1148,111,314,627,812,77,453,530,375,107,34,273,223,2116,.471,.503,.354,.772
Tim Duncan,SAS,.768,10.8,80,80,2784,574,1185,572,1180,2,5,335,533,231,650,881,253,70,162,198,219,1485,.484,.485,.400,.629
Michael Redd,MIL,.488,10.8,80,80,3130,682,1516,519,1103,163,413,501,571,78,264,342,229,95,5,170,157,2028,.450,.471,.395,.877
Allen Iverson,PHI,.463,10.6,72,72,3103,815,1822,743,1599,72,223,675,829,44,188,232,532,140,10,248,121,2377,.447,.465,.323,.814
Chris Paul,NOK,.463,10.4,78,78,2808,407,947,357,770,50,177,394,465,61,339,400,611,175,6,183,218,1258,.430,.464,.282,.847
Jason Kidd,NJN,.598,10.1,80,80,2975,366,905,227,510,139,395,194,244,86,494,580,672,150,29,192,157,1065,.404,.445,.352,.795
Ben Wallace,DET,.780,10.1,82,82,2890,237,465,237,461,0,4,123,296,301,622,923,158,146,181,88,164,597,.510,.514,.000,.416
Chris Bosh,TOR,.329,9.8,70,70,2751,549,1087,549,1074,0,13,474,581,204,443,647,181,50,79,157,209,1572,.505,.511,.000,.816
Tony Parker,SAS,.768,9.6,80,80,2715,623,1136,612,1100,11,36,253,358,38,223,261,460,83,4,249,161,1510,.548,.556,.306,.707
Jason Terry,DAL,.732,9.6,80,80,2798,516,1099,345,683,171,416,168,210,31,127,158,306,100,27,135,196,1371,.470,.505,.411,.800
Ray Allen,SEA,.427,9.5,78,78,3022,681,1500,412,847,269,653,324,359,71,261,332,286,105,16,188,151,1955,.454,.486,.412,.903
Carmelo Anthony,DEN,.537,9.4,80,80,2941,756,1572,719,1420,37,152,573,709,122,272,394,216,88,42,218,229,2122,.481,.506,.243,.808
Vince Carter,NJN,.598,9.3,79,79,2906,653,1518,528,1151,125,367,480,601,135,327,462,338,94,53,213,235,1911,.430,.459,.341,.799
Mehmet Okur,UTA,.500,9.3,82,82,2945,519,1128,439,894,80,234,354,454,211,535,746,194,40,73,163,285,1472,.460,.491,.342,.780
Lamar Odom,LAL,.549,9.2,80,80,3221,445,925,365,710,80,215,216,313,181,557,738,443,75,64,213,256,1186,.481,.514,.372,.690
