Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Moses Malone,PHI,.793,15.1,78,78,2922,654,1305,654,1304,0,1,600,788,445,749,1194,101,89,157,264,206,1908,.501,.502,.000,.761
Larry Bird,BOS,.683,14.0,79,79,2982,747,1481,725,1404,22,77,351,418,193,677,870,458,148,71,240,197,1867,.504,.516,.286,.840
Sidney Moncrief,MIL,.622,13.2,76,76,2710,606,1156,605,1146,1,10,499,604,192,245,437,300,113,23,197,180,1712,.524,.528,.100,.826
Magic Johnson,LAL,.707,12.5,79,79,2907,511,933,511,912,0,21,304,380,214,469,683,829,176,47,301,200,1326,.548,.560,.000,.800
Buck Williams,NJN,.598,11.4,82,82,2961,536,912,536,908,0,4,324,523,365,662,1027,125,91,110,246,270,1396,.588,.590,.000,.620
Artis Gilmore,SAS,.646,11.0,82,82,2797,556,888,556,882,0,6,367,496,299,685,984,126,40,192,254,273,1479,.626,.630,.000,.740
Kiki Vandeweghe,DEN,.549,11.0,82,79,2909,841,1537,826,1486,15,51,489,559,124,313,437,203,66,38,177,198,2186,.547,.556,.294,.875
Kareem Abdul-Jabbar,LAL,.707,10.9,79,79,2554,722,1228,722,1226,0,2,278,371,167,425,592,200,61,170,200,220,1722,.588,.589,.000,.749
Julius Erving,PHI,.793,10.9,72,72,2421,605,1170,603,1163,2,7,330,435,173,318,491,263,112,131,196,202,1542,.517,.518,.286,.759
Robert Parish,BOS,.683,10.8,78,76,2459,619,1125,619,1124,0,1,271,388,260,567,827,141,79,148,185,222,1509,.550,.551,.000,.698
Marques Johnson,MIL,.622,10.7,80,80,2853,723,1420,719,1400,4,20,264,359,196,366,562,363,100,56,196,211,1714,.509,.514,.200,.735
Larry Nance,PHO,.646,10.5,82,82,2914,588,1069,587,1066,1,3,193,287,239,471,710,197,99,217,190,254,1370,.550,.551,.333,.672
Alex English,DEN,.549,10.3,82,82,2988,959,1857,957,1845,2,12,406,490,263,338,601,397,116,126,263,235,2326,.516,.519,.167,.829
Jim Paxson,POR,.561,10.2,81,81,2740,682,1323,678,1298,4,25,388,478,68,106,174,231,140,17,156,160,1756,.515,.522,.160,.812
Bill Cartwright,NYK,.537,10.1,82,82,2468,455,804,455,804,0,0,380,511,185,405,590,136,41,127,204,315,1290,.566,.566,,.744
Jeff Ruland,WSB,.512,10.1,79,47,2862,580,1051,579,1048,1,3,375,544,293,578,871,234,74,77,297,312,1536,.552,.552,.333,.689
Calvin Natt,POR,.561,9.8,80,80,2879,644,1187,641,1167,3,20,339,428,214,385,599,171,63,29,203,184,1630,.543,.549,.150,.792
Jack Sikma,SEA,.585,9.8,75,71,2564,484,1043,484,1035,0,8,400,478,213,645,858,233,87,65,190,263,1368,.464,.468,.000,.837
Maurice Cheeks,PHI,.793,9.4,79,79,2465,404,745,403,739,1,6,181,240,53,156,209,543,184,31,179,182,990,.542,.545,.167,.754
George Gervin,SAS,.646,9.4,78,78,2830,757,1553,745,1520,12,33,517,606,111,246,357,264,88,67,247,243,2043,.487,.490,.364,.853
Terry Cummings,SDC,.305,8.7,70,69,2531,684,1309,684,1308,0,1,292,412,303,441,744,177,129,62,204,294,1660,.523,.523,.000,.709
Bill Laimbeer,DET,.451,8.5,82,82,2871,436,877,434,864,2,13,245,310,282,711,993,263,51,118,176,320,1119,.497,.502,.154,.790
Gus Williams,SEA,.585,8.5,80,80,2761,660,1384,658,1341,2,43,278,370,72,133,205,643,182,26,230,117,1600,.477,.491,.047,.751
Dan Issel,DEN,.549,8.4,80,80,2431,661,1296,657,1277,4,19,400,479,151,445,596,223,83,43,174,227,1726,.510,.514,.211,.835
Walter Davis,PHO,.646,8.1,80,79,2491,665,1289,658,1266,7,23,184,225,63,134,197,397,117,12,188,186,1521,.516,.520,.304,.818
Greg Ballard,WSB,.512,7.9,78,78,2840,603,1274,590,1237,13,37,182,233,123,385,508,262,135,25,157,176,1401,.473,.477,.351,.781
Gene Banks,SAS,.646,7.9,81,81,2722,505,919,505,914,0,5,196,278,222,390,612,279,78,21,171,229,1206,.550,.553,.000,.705
Mike Woodson,KCK,.549,7.8,81,3,2426,584,1154,577,1121,7,33,298,377,84,164,248,254,137,59,174,203,1473,.506,.515,.212,.790
Vinnie Johnson,DET,.451,7.7,82,51,2511,520,1013,509,973,11,40,245,315,167,186,353,301,93,49,152,263,1296,.513,.523,.275,.778
Mike Mitchell,SAS,.646,7.6,80,79,2803,686,1342,686,1339,0,3,219,289,188,349,537,98,57,52,126,248,1591,.511,.512,.000,.758
Bernard King,NYK,.537,7.5,68,68,2207,603,1142,603,1136,0,6,280,388,99,227,326,195,90,13,197,233,1486,.528,.531,.000,.722
Kevin McHale,BOS,.683,7.5,82,13,2345,483,893,483,892,0,1,193,269,215,338,553,104,34,192,159,241,1159,.541,.541,.000,.717
Eddie Johnson,KCK,.549,7.4,82,82,2933,677,1370,657,1299,20,71,247,317,191,310,501,216,70,20,181,259,1621,.494,.506,.282,.779
Dan Roundfield,ATL,.524,7.4,77,76,2811,561,1193,556,1166,5,27,337,450,259,621,880,225,60,115,245,239,1464,.470,.477,.185,.749
Isiah Thomas,DET,.451,7.4,81,81,3093,725,1537,689,1412,36,125,368,518,105,223,328,634,199,29,326,318,1854,.472,.488,.288,.710
Jamaal Wilkes,LAL,.707,7.4,80,80,2552,684,1290,684,1284,0,6,203,268,146,197,343,182,65,17,150,221,1571,.530,.533,.000,.757
Brad Davis,DAL,.463,7.3,79,78,2323,359,628,348,585,11,43,186,220,34,164,198,565,80,11,143,176,915,.572,.595,.256,.845
Tree Rollins,ATL,.524,7.3,80,80,2472,261,512,261,511,0,1,98,135,210,533,743,75,49,343,95,294,620,.510,.511,.000,.726
Andrew Toney,PHI,.793,7.3,81,81,2474,626,1250,604,1174,22,76,324,411,42,183,225,365,80,17,271,255,1598,.501,.514,.289,.788
Larry Drew,KCK,.549,7.2,75,74,2690,599,1218,597,1202,2,16,310,378,44,163,207,610,126,10,272,207,1510,.492,.497,.125,.820
Maurice Lucas,PHO,.646,7.1,77,71,2586,495,1045,494,1042,1,3,278,356,201,598,799,219,56,43,221,274,1269,.474,.474,.333,.781
Kelly Tripucka,DET,.451,7.1,58,58,2252,565,1156,551,1119,14,37,392,464,126,138,264,237,67,20,187,157,1536,.489,.492,.378,.845
Joe Barry Carroll,GSW,.366,7.0,79,79,2988,785,1529,785,1526,0,3,337,469,220,468,688,169,108,155,285,260,1907,.513,.514,.000,.719
Mark Aguirre,DAL,.463,6.9,81,75,2784,767,1589,751,1513,16,76,429,589,191,317,508,332,80,26,261,247,1979,.483,.496,.211,.728
Clark Kellogg,IND,.244,6.8,81,81,2761,680,1420,676,1402,4,18,261,352,340,520,860,223,141,43,217,298,1625,.479,.482,.222,.741
Rickey Green,UTA,.366,6.6,78,78,2783,464,942,462,929,2,13,185,232,62,161,223,697,220,4,222,154,1115,.493,.497,.154,.797
Dennis Johnson,PHO,.646,6.6,77,74,2551,398,861,393,830,5,31,292,369,92,243,335,388,97,39,204,204,1093,.462,.473,.161,.791
Cedric Maxwell,BOS,.683,6.6,79,71,2252,331,663,331,662,0,1,280,345,185,237,422,186,65,39,165,202,942,.499,.500,.000,.812
Johnny Moore,SAS,.646,6.6,77,73,2552,394,841,389,819,5,22,148,199,65,212,277,753,194,32,226,247,941,.468,.475,.227,.744
Alvan Adams,PHO,.646,6.5,80,75,2447,477,981,476,978,1,3,180,217,161,387,548,376,114,74,242,287,1135,.486,.487,.333,.829
