Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
James Harden,HOU,.683,16.4,81,81,2981,647,1470,439,915,208,555,715,824,75,384,459,565,154,60,321,208,2217,.440,.480,.375,.868
Chris Paul,LAC,.683,16.1,82,82,2857,568,1170,429,821,139,349,289,321,52,324,376,838,156,15,190,203,1564,.485,.523,.398,.900
Stephen Curry,GSW,.817,15.7,80,80,2613,653,1341,367,695,286,646,308,337,56,285,341,619,163,16,249,158,1900,.487,.528,.443,.914
Anthony Davis,NOP,.549,14.0,68,68,2455,642,1199,641,1187,1,12,371,461,173,523,696,149,100,200,95,141,1656,.535,.540,.083,.805
DeAndre Jordan,LAC,.683,12.8,82,82,2820,379,534,378,530,1,4,187,471,397,829,1226,61,81,183,109,245,946,.710,.713,.250,.397
Jimmy Butler,CHI,.610,11.2,65,65,2513,421,912,348,719,73,193,386,463,114,265,379,212,114,36,93,108,1301,.462,.484,.378,.834
Damian Lillard,POR,.622,10.6,82,82,2925,590,1360,394,788,196,572,344,398,49,329,378,507,97,21,222,164,1720,.434,.500,.343,.864
Russell Westbrook,OKC,.549,10.6,67,67,2302,627,1471,541,1183,86,288,546,654,124,364,488,574,140,14,293,184,1886,.426,.457,.299,.835
Pau Gasol,CHI,.610,10.4,78,78,2681,570,1153,558,1127,12,26,294,366,220,699,919,210,25,147,158,147,1446,.494,.495,.462,.803
Kyrie Irving,CLE,.646,10.4,75,75,2730,578,1235,421,857,157,378,315,365,55,182,237,389,114,20,186,146,1628,.468,.491,.415,.863
LeBron James,CLE,.646,10.4,69,69,2493,624,1279,504,940,120,339,375,528,51,365,416,511,109,49,272,135,1743,.488,.536,.354,.710
Tyson Chandler,DAL,.610,10.3,75,75,2286,293,440,293,440,0,0,185,257,294,570,864,84,42,91,105,169,771,.666,.666,,.720
Marc Gasol,MEM,.671,10.2,81,81,2687,530,1072,527,1055,3,17,350,440,115,515,630,307,70,131,176,208,1413,.494,.500,.176,.795
Tim Duncan,SAS,.671,9.6,77,77,2227,419,819,417,812,2,7,230,311,170,534,704,230,63,151,131,165,1070,.512,.514,.286,.740
Rudy Gobert,UTA,.463,9.3,82,37,2158,258,427,258,425,0,2,170,273,265,510,775,109,64,189,111,175,686,.604,.607,.000,.623
Blake Griffin,LAC,.683,9.0,67,67,2356,574,1144,564,1119,10,25,311,427,126,382,508,354,63,35,152,196,1469,.502,.504,.400,.728
Klay Thompson,GSW,.817,8.8,77,77,2455,602,1299,363,754,239,545,225,256,27,220,247,222,87,60,149,122,1668,.463,.481,.439,.879
Gordon Hayward,UTA,.463,8.7,76,76,2618,484,1087,364,757,120,330,375,462,54,319,373,313,108,30,206,131,1463,.445,.481,.364,.812
Al Horford,ATL,.732,8.7,76,76,2318,519,965,508,929,11,36,107,141,131,413,544,244,68,98,100,121,1156,.538,.547,.306,.759
Kevin Love,CLE,.646,8.7,75,75,2532,413,952,269,560,144,392,258,321,142,589,731,168,51,39,122,140,1228,.434,.480,.367,.804
LaMarcus Aldridge,POR,.622,8.6,71,71,2512,659,1415,622,1310,37,105,306,362,177,549,726,124,48,68,122,125,1661,.466,.475,.352,.845
Marcin Gortat,WAS,.561,8.6,82,82,2453,439,775,439,772,0,3,123,175,180,537,717,97,49,110,100,191,1001,.566,.569,.000,.703
Kawhi Leonard,SAS,.671,8.6,64,64,2033,394,822,327,630,67,192,202,252,85,376,461,161,148,48,97,128,1057,.479,.519,.349,.802
Draymond Green,GSW,.817,8.5,79,79,2490,339,765,228,436,111,329,132,200,114,533,647,291,123,99,133,253,921,.443,.523,.337,.660
Derrick Favors,UTA,.463,8.3,74,74,2280,482,918,481,912,1,6,222,332,196,411,607,112,60,123,121,210,1187,.525,.527,.167,.669
Paul Millsap,ATL,.732,8.3,73,73,2390,443,930,366,714,77,216,255,337,139,431,570,223,130,69,166,201,1218,.476,.513,.356,.757
Jonas Valanciunas,TOR,.598,8.2,80,80,2096,373,652,373,651,0,1,217,276,215,478,693,39,33,95,109,222,963,.572,.573,.000,.786
Danny Green,SAS,.671,7.8,81,80,2312,322,738,131,281,191,457,111,127,54,289,343,158,101,87,93,163,946,.436,.466,.418,.874
John Wall,WAS,.561,7.8,79,79,2837,519,1166,454,949,65,217,284,362,36,330,366,792,138,45,304,180,1387,.445,.478,.300,.785
Andre Drummond,DET,.390,7.7,82,82,2502,494,961,494,959,0,2,142,365,437,667,1104,55,73,153,120,285,1130,.514,.515,.000,.389
Jeff Teague,ATL,.732,7.7,73,72,2228,408,887,337,680,71,207,275,319,30,154,184,513,125,31,205,139,1162,.460,.496,.343,.862
Kyle Korver,ATL,.732,7.5,75,75,2418,292,600,71,151,221,449,106,118,15,289,304,196,52,42,107,140,911,.487,.470,.492,.898
Dirk Nowitzki,DAL,.610,7.2,77,77,2282,487,1062,383,788,104,274,255,289,44,413,457,143,39,33,82,160,1333,.459,.486,.380,.882
Zach Randolph,MEM,.671,7.2,71,71,2304,454,932,447,912,7,20,228,298,225,522,747,153,69,14,156,175,1143,.487,.490,.350,.765
Kyle Lowry,TOR,.598,7.1,70,70,2414,430,1043,298,652,132,391,252,312,54,274,328,473,109,13,173,212,1244,.412,.457,.338,.808
Eric Bledsoe,PHO,.476,7.0,81,81,2800,468,1046,380,774,88,272,353,441,72,351,423,493,127,45,274,189,1377,.447,.491,.324,.800
DeMarre Carroll,ATL,.732,7.0,70,69,2189,318,653,198,349,120,304,127,181,99,273,372,118,94,17,75,154,883,.487,.567,.395,.702
Ty Lawson,DEN,.366,7.0,75,75,2665,404,926,334,721,70,205,265,363,42,192,234,720,92,9,185,128,1143,.436,.463,.341,.730
Brook Lopez,BRK,.463,7.0,72,44,2100,506,987,505,977,1,10,223,274,214,321,535,50,43,126,104,206,1236,.513,.517,.100,.814
