Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Jimmy Jones,NOB,,16.1,77,,3188,764,1429,763,1422,1,7,521,647,141,300,441,437,,,198,225,2050,.535,.537,.143,.805
Wilt Chamberlain,LAL,.671,14.7,81,,3669,641,1099,641,1099,,,382,857,,,1712,366,,,,142,1664,.583,.583,,.446
Willis Reed,NYK,.659,14.7,82,,3108,704,1351,704,1351,,,325,435,,,1191,190,,,,314,1733,.521,.521,,.747
Oscar Robertson,CIN,.500,12.9,79,,3461,656,1351,656,1351,,,643,767,,,502,772,,,,231,1955,.486,.486,,.838
Walt Frazier,NYK,.659,12.7,80,,2949,531,1052,531,1052,,,341,457,,,499,635,,,,245,1403,.505,.505,,.746
Bob Boozer,CHI,.402,11.6,79,,2872,661,1375,661,1375,,,394,489,,,614,156,,,,218,1716,.481,.481,,.806
Connie Hawkins,MNP,,11.3,47,,1852,496,971,493,949,3,22,425,554,167,367,534,184,,,155,166,1420,.511,.519,.136,.767
Bailey Howell,BOS,.585,11.3,78,,2527,612,1257,612,1257,,,313,426,,,685,137,,,,285,1537,.487,.487,,.735
Larry Jones,DNR,,10.9,75,,3042,759,1631,735,1531,24,100,591,760,165,328,493,258,,,218,273,2133,.465,.480,.240,.778
Bill Russell,BOS,.585,10.9,77,,3291,279,645,279,645,,,204,388,,,1484,374,,,,231,762,.433,.433,,.526
Wes Unseld,BAL,.695,10.8,82,,2970,427,897,427,897,,,277,458,,,1491,213,,,,276,1131,.476,.476,,.605
Jerry West,LAL,.671,10.8,61,,2394,545,1156,545,1156,,,490,597,,,262,423,,,,156,1580,.471,.471,,.821
Walt Bellamy,TOT,,10.4,88,,3159,563,1103,563,1103,,,401,618,,,1101,176,,,,320,1527,.510,.510,,.649
Lou Hudson,ATL,.585,10.1,81,,2869,716,1455,716,1455,,,338,435,,,533,216,,,,248,1770,.492,.492,,.777
Roger Brown,INA,,10.0,75,,2658,563,1169,558,1153,5,16,442,563,223,287,510,345,,,215,281,1573,.482,.484,.313,.785
Donnie Freeman,MMF,,10.0,78,,2874,651,1346,649,1323,2,23,420,534,121,164,285,501,,,230,229,1724,.484,.491,.087,.787
Jeff Mullins,SFW,.500,10.0,78,,2916,697,1517,697,1517,,,381,452,,,460,339,,,,251,1775,.459,.459,,.843
Hal Greer,PHI,.671,9.9,82,,3311,732,1595,732,1595,,,432,543,,,435,414,,,,294,1896,.459,.459,,.796
Chet Walker,PHI,.671,9.8,82,,2753,554,1145,554,1145,,,369,459,,,640,144,,,,244,1477,.484,.484,,.804
Elvin Hayes,SDR,.451,9.6,82,,3695,930,2082,930,2082,,,467,746,,,1406,113,,,,266,2327,.447,.447,,.626
Louie Dampier,KEN,,9.5,78,,3326,713,1696,514,1144,199,552,308,380,76,223,299,456,,,251,156,1933,.420,.449,.361,.811
Jerry Lucas,CIN,.500,9.5,74,,3075,555,1007,555,1007,,,247,327,,,1360,306,,,,206,1357,.551,.551,,.755
Billy Cunningham,PHI,.671,9.0,82,,3345,739,1736,739,1736,,,556,754,,,1050,287,,,,329,2034,.426,.426,,.737
Lenny Wilkens,SEA,.366,9.0,82,,3463,644,1462,644,1462,,,547,710,,,511,674,,,,294,1835,.440,.440,,.770
Earl Monroe,BAL,.695,8.8,80,,3075,809,1837,809,1837,,,447,582,,,280,392,,,,261,2065,.440,.440,,.768
Mel Daniels,INA,,8.6,76,,2934,712,1496,712,1492,0,4,400,662,383,873,1256,116,,,272,276,1824,.476,.477,.000,.604
Rick Barry,OAK,,8.5,35,,1361,392,767,389,757,3,10,403,454,82,247,329,136,,,141,124,1190,.511,.514,.300,.888
Elgin Baylor,LAL,.671,8.5,76,,3064,730,1632,730,1632,,,421,567,,,805,408,,,,204,1881,.447,.447,,.743
Jack Marin,BAL,.695,8.5,82,,2710,505,1109,505,1109,,,292,352,,,608,231,,,,275,1302,.455,.455,,.830
Zelmo Beaty,ATL,.585,8.4,72,,2578,588,1251,588,1251,,,370,506,,,798,131,,,,272,1546,.470,.470,,.731
Don Kojis,SDR,.451,8.3,81,,3130,687,1582,687,1582,,,446,596,,,776,214,,,,303,1820,.434,.434,,.748
Bob Netolicky,INA,,8.3,78,,2721,583,1145,583,1140,0,5,306,491,313,485,798,87,,,178,231,1472,.509,.511,.000,.623
Trooper Washington,MNP,,8.3,69,,2625,421,839,421,833,0,6,190,316,367,501,868,178,,,190,239,1032,.502,.505,.000,.601
John Beasley,DLC,,8.1,78,,3050,585,1200,582,1190,3,10,332,402,248,582,830,110,,,136,259,1505,.488,.489,.300,.826
Gary Bradds,OAK,,8.0,75,,2249,517,1041,516,1034,1,7,364,444,198,379,577,88,,,175,244,1399,.497,.499,.143,.820
Kevin Loughery,BAL,.695,8.0,80,,3135,717,1636,717,1636,,,372,463,,,266,384,,,,299,1806,.438,.438,,.803
Jon McGlocklin,MIL,.329,7.9,80,,2888,662,1358,662,1358,,,246,292,,,343,312,,,,186,1570,.487,.487,,.842
Dick Barnett,NYK,.659,7.8,82,,2953,565,1220,565,1220,,,312,403,,,251,291,,,,239,1442,.463,.463,,.774
Darel Carrier,KEN,,7.8,73,,2858,559,1376,434,1046,125,330,447,545,75,208,283,214,,,213,227,1690,.406,.415,.379,.820
Bob Rule,SEA,.366,7.8,82,,3104,776,1655,776,1655,,,413,606,,,941,141,,,,322,1965,.469,.469,,.682
Freddie Lewis,INA,,7.6,78,,3055,572,1300,550,1217,22,83,419,510,119,255,374,346,,,224,289,1585,.440,.452,.265,.822
Don Nelson,BOS,.585,7.5,82,,1773,374,771,374,771,,,201,259,,,458,92,,,,198,949,.485,.485,,.776
Jim Eakins,OAK,,7.4,78,,1671,351,646,351,645,0,1,309,430,224,339,563,53,,,141,234,1011,.543,.544,.000,.719
John Havlicek,BOS,.585,7.3,82,,3174,692,1709,692,1709,,,387,496,,,570,441,,,,247,1771,.405,.405,,.780
Bill McGill,DNR,,7.1,78,,1760,411,745,411,745,0,0,180,264,145,315,460,102,,,149,289,1002,.552,.552,,.682
Happy Hairston,DET,.390,7.0,81,,2889,530,1131,530,1131,,,404,553,,,959,109,,,,255,1464,.469,.469,,.731
Red Robbins,NOB,,7.0,76,,2736,456,1035,449,1006,7,29,291,361,368,656,1024,142,,,121,200,1210,.441,.446,.241,.806
Skip Thoren,MMF,,7.0,78,,2645,532,1100,532,1098,0,2,241,392,391,655,1046,195,,,180,324,1305,.484,.485,.000,.615
Bill Bridges,ATL,.585,6.7,80,,2930,351,775,351,775,,,239,353,,,1132,298,,,,290,941,.453,.453,,.677
Joe Caldwell,ATL,.585,6.7,81,,2720,561,1106,561,1106,,,159,296,,,303,320,,,,231,1281,.507,.507,,.537
Flynn Robinson,TOT,,6.7,83,,2616,625,1442,625,1442,,,412,491,,,306,377,,,,261,1662,.433,.433,,.839
Julian Hammond,DNR,,6.6,78,,2335,329,601,329,601,0,0,165,253,266,334,600,124,,,152,213,823,.547,.547,,.652
Goose Ligon,KEN,,6.5,75,,2815,391,879,390,874,1,5,337,510,328,491,819,172,,,193,312,1120,.445,.446,.200,.661
Nate Thurmond,SFW,.500,6.5,71,,3208,571,1394,571,1394,,,382,621,,,1402,253,,,,171,1524,.410,.410,,.615
Byron Beck,DNR,,6.4,71,,2289,423,843,421,840,2,3,182,238,272,507,779,77,,,92,248,1030,.502,.501,.667,.765
Cincinnatus Powell,DLC,,6.4,75,,2573,555,1179,553,1172,2,7,342,470,203,468,671,173,,,212,275,1454,.471,.472,.286,.728
Jerry Sloan,CHI,.402,6.4,78,,2939,488,1170,488,1170,,,333,447,,,619,276,,,,313,1309,.417,.417,,.745
Rudy LaRusso,SFW,.500,6.3,75,,2782,553,1349,553,1349,,,444,559,,,624,159,,,,268,1550,.410,.410,,.794
