Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Tim Duncan,SAS,.732,16.5,81,81,3181,714,1392,708,1370,6,22,450,634,259,784,1043,316,55,237,248,231,1884,.513,.517,.273,.710
Tracy McGrady,ORL,.512,16.1,75,74,2954,829,1813,656,1365,173,448,576,726,121,367,488,411,124,59,195,156,2407,.457,.481,.386,.793
Dirk Nowitzki,DAL,.732,16.1,80,80,3117,690,1489,542,1099,148,390,483,548,81,710,791,239,111,82,152,206,2011,.463,.493,.379,.881
Kevin Garnett,MIN,.622,15.6,82,82,3321,743,1481,723,1410,20,71,377,502,244,858,1102,495,113,129,229,199,1883,.502,.513,.282,.751
Kobe Bryant,LAL,.610,14.9,82,82,3401,868,1924,744,1600,124,324,601,713,106,458,564,481,181,67,288,218,2461,.451,.465,.383,.843
Shaquille O'Neal,LAL,.610,13.2,67,66,2535,695,1211,695,1211,0,0,451,725,259,483,742,206,38,159,196,229,1841,.574,.574,,.622
Shawn Marion,PHO,.537,13.0,81,81,3373,662,1466,521,1102,141,364,251,295,199,574,773,198,185,95,157,208,1716,.452,.473,.387,.851
Steve Nash,DAL,.732,11.6,82,82,2711,518,1114,407,845,111,269,308,339,63,171,234,598,85,6,192,134,1455,.465,.482,.413,.909
Jason Kidd,NJN,.598,11.3,80,80,2989,515,1244,389,874,126,370,339,403,110,394,504,711,179,25,296,127,1495,.414,.445,.341,.841
Steve Francis,HOU,.524,11.1,81,81,3318,571,1312,486,1072,85,240,476,595,159,340,499,502,141,41,299,251,1703,.435,.453,.354,.800
Karl Malone,UTA,.573,11.1,81,81,2936,595,1289,592,1275,3,14,474,621,113,515,628,379,136,31,210,204,1667,.462,.464,.214,.763
Ben Wallace,DET,.610,10.6,73,73,2873,210,437,209,431,1,6,85,189,293,833,1126,120,104,230,88,179,506,.481,.485,.167,.450
Jermaine O'Neal,IND,.585,10.5,77,76,2864,610,1260,603,1239,7,21,373,510,202,594,796,155,66,178,180,277,1600,.484,.487,.333,.731
P.J. Brown,NOH,.573,10.2,78,78,2609,319,601,319,598,0,3,194,232,243,458,701,147,67,80,98,203,832,.531,.533,.000,.836
Paul Pierce,BOS,.537,10.1,79,79,3096,663,1592,545,1201,118,391,604,753,106,472,578,349,139,62,288,227,2048,.416,.454,.302,.802
Peja Stojakovic,SAC,.720,10.1,72,72,2450,497,1034,342,628,155,406,231,264,61,336,397,141,72,5,101,143,1380,.481,.545,.382,.875
Chauncey Billups,DET,.610,9.9,74,74,2327,366,870,217,490,149,380,318,362,38,235,273,287,63,15,134,136,1199,.421,.443,.392,.878
Richard Jefferson,NJN,.598,9.9,80,80,2879,456,911,450,887,6,24,324,436,150,364,514,201,80,44,156,216,1242,.501,.507,.250,.743
Shareef Abdur-Rahim,ATL,.427,9.7,81,81,3087,566,1183,545,1123,21,60,455,541,175,502,677,242,87,38,212,240,1608,.478,.485,.350,.841
Sam Cassell,MIL,.512,9.6,78,77,2700,546,1162,487,999,59,163,385,447,57,285,342,450,88,14,177,216,1536,.470,.487,.362,.861
Stephon Marbury,PHO,.537,9.6,81,81,3240,671,1530,582,1234,89,296,375,467,53,210,263,654,108,20,263,200,1806,.439,.472,.301,.803
Brad Miller,IND,.585,9.6,73,72,2270,329,667,324,651,5,16,292,357,185,418,603,193,65,43,118,203,955,.493,.498,.313,.818
Allen Iverson,PHI,.585,9.2,82,82,3485,804,1940,720,1637,84,303,570,736,68,276,344,454,225,13,286,149,2262,.414,.440,.277,.774
Andrei Kirilenko,UTA,.573,9.2,80,11,2213,315,642,278,528,37,114,296,370,147,273,420,138,118,175,136,185,963,.491,.527,.325,.800
Ray Allen,TOT,,9.1,76,75,2880,598,1363,397,830,201,533,316,345,94,287,381,334,103,14,198,220,1713,.439,.478,.377,.916
Gary Payton,TOT,,9.1,80,80,3208,665,1466,611,1284,54,182,250,352,79,255,334,663,133,20,187,181,1634,.454,.476,.297,.710
Jamal Mashburn,NOH,.573,9.0,82,81,3321,670,1586,551,1280,119,306,313,369,66,432,498,462,83,17,230,196,1772,.422,.430,.389,.848
John Stockton,UTA,.573,9.0,82,82,2275,309,640,280,560,29,80,237,287,51,150,201,629,137,16,182,184,884,.483,.500,.363,.826
Doug Christie,SAC,.720,8.9,80,80,2710,267,557,194,372,73,185,141,174,61,281,342,376,180,37,144,186,748,.479,.522,.395,.810
Matt Harpring,UTA,.573,8.8,78,69,2557,521,1020,455,860,66,160,262,331,190,324,514,133,73,17,160,217,1370,.511,.529,.413,.792
Yao Ming,HOU,.524,8.7,82,72,2382,401,805,400,803,1,2,301,371,196,479,675,137,31,147,173,230,1104,.498,.498,.500,.811
Pau Gasol,MEM,.341,8.5,82,82,2948,569,1116,568,1106,1,10,416,565,192,528,720,229,34,148,213,220,1555,.510,.514,.100,.736
Antawn Jamison,GSW,.463,8.5,82,82,3226,691,1471,626,1262,65,209,375,475,195,383,578,156,76,45,177,197,1822,.470,.496,.311,.789
Rasheed Wallace,POR,.610,8.5,74,74,2684,515,1094,405,787,110,307,200,272,113,435,548,153,70,77,140,223,1340,.471,.515,.358,.735
Eric Snow,PHI,.585,8.4,82,82,3108,361,799,354,767,7,32,325,379,71,230,301,544,133,11,194,235,1054,.452,.462,.219,.858
Derek Anderson,POR,.610,8.1,76,76,2556,355,832,239,501,116,331,231,269,53,211,264,325,90,16,128,141,1057,.427,.477,.350,.859
Michael Redd,MIL,.512,8.0,82,14,2316,455,971,273,555,182,416,149,185,98,273,371,117,100,13,74,143,1241,.469,.492,.438,.805
Rashard Lewis,SEA,.488,7.8,77,77,3044,519,1149,444,932,75,217,283,345,152,351,503,133,99,35,143,205,1396,.452,.476,.346,.820
Brian Grant,MIA,.305,7.7,82,82,2641,344,676,344,676,0,0,158,205,241,596,837,104,63,47,129,300,846,.509,.509,,.771
Kerry Kittles,NJN,.598,7.7,65,57,1951,332,711,254,492,78,219,106,135,52,200,252,170,101,30,55,110,848,.467,.516,.356,.785
Tony Parker,SAS,.732,7.7,82,82,2774,484,1043,402,800,82,243,219,290,33,183,216,432,71,4,198,174,1269,.464,.503,.337,.755
Elton Brand,LAC,.329,7.6,62,61,2454,451,899,451,898,0,1,244,356,283,420,703,157,71,158,161,204,1146,.502,.502,.000,.685
Shawn Bradley,DAL,.732,7.4,81,39,1731,201,375,201,374,0,1,141,175,151,325,476,54,65,170,67,242,543,.536,.537,.000,.806
Reggie Miller,IND,.585,7.4,70,70,2117,281,637,168,319,113,318,207,230,21,151,172,170,62,4,66,89,882,.441,.527,.355,.900
Jason Terry,ATL,.427,7.4,81,81,3081,488,1141,328,710,160,431,259,292,37,242,279,600,126,14,249,175,1395,.428,.462,.371,.887
Brent Barry,SEA,.488,7.3,75,68,2480,264,577,146,284,118,293,128,161,48,253,301,384,113,15,142,199,774,.458,.514,.403,.795
