Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Wilt Chamberlain,PHI,.840,21.9,81,,3682,785,1150,785,1150,,,386,875,,,1957,630,,,,143,1956,.683,.683,,.441
Oscar Robertson,CIN,.481,17.4,79,,3468,838,1699,838,1699,,,736,843,,,486,845,,,,226,2412,.493,.493,,.873
Rick Barry,SFW,.543,14.4,78,,3175,1011,2240,1011,2240,,,753,852,,,714,282,,,,258,2775,.451,.451,,.884
Bill Russell,BOS,.741,12.2,81,,3297,395,870,395,870,,,285,467,,,1700,472,,,,258,1075,.454,.454,,.610
Bailey Howell,BOS,.741,11.8,81,,2503,636,1242,636,1242,,,349,471,,,677,103,,,,296,1621,.512,.512,,.741
Jerry West,LAL,.444,11.7,66,,2670,645,1389,645,1389,,,602,686,,,392,447,,,,160,1892,.464,.464,,.878
Chet Walker,PHI,.840,10.1,81,,2691,561,1150,561,1150,,,445,581,,,660,188,,,,232,1567,.488,.488,,.766
Bob Boozer,CHI,.407,9.4,80,,2451,538,1104,538,1104,,,360,461,,,679,90,,,,212,1436,.487,.487,,.781
Walt Bellamy,NYK,.444,8.8,79,,3010,565,1084,565,1084,,,369,580,,,1064,206,,,,275,1499,.521,.521,,.636
John Havlicek,BOS,.741,8.3,81,,2602,684,1540,684,1540,,,365,441,,,532,278,,,,210,1733,.444,.444,,.828
Willis Reed,NYK,.444,7.9,78,,2824,635,1298,635,1298,,,358,487,,,1136,126,,,,293,1628,.489,.489,,.735
Bill Bridges,STL,.481,7.6,79,,3130,503,1106,503,1106,,,367,523,,,1190,222,,,,325,1373,.455,.455,,.702
Hal Greer,PHI,.840,7.6,80,,3086,699,1524,699,1524,,,367,466,,,422,303,,,,302,1765,.459,.459,,.788
Lenny Wilkens,STL,.481,7.6,78,,2974,448,1036,448,1036,,,459,583,,,412,442,,,,280,1355,.432,.432,,.787
Sam Jones,BOS,.741,7.5,72,,2325,638,1406,638,1406,,,318,371,,,338,217,,,,191,1594,.454,.454,,.857
Jerry Lucas,CIN,.481,7.3,81,,3558,577,1257,577,1257,,,284,359,,,1547,268,,,,280,1438,.459,.459,,.791
Nate Thurmond,SFW,.543,7.2,65,,2761,467,1068,467,1068,,,280,445,,,1382,166,,,,183,1214,.437,.437,,.629
Billy Cunningham,PHI,.840,6.8,81,,2168,556,1211,556,1211,,,383,558,,,589,205,,,,260,1495,.459,.459,,.686
Jerry Sloan,CHI,.407,6.5,80,,2942,525,1214,525,1214,,,340,427,,,726,170,,,,293,1390,.432,.432,,.796
Larry Siegfried,BOS,.741,6.4,73,,1891,368,833,368,833,,,294,347,,,228,250,,,,207,1030,.442,.442,,.847
Elgin Baylor,LAL,.444,6.2,70,,2706,711,1658,711,1658,,,440,541,,,898,215,,,,211,1862,.429,.429,,.813
Guy Rodgers,CHI,.407,6.2,81,,3063,538,1377,538,1377,,,383,475,,,346,908,,,,243,1459,.391,.391,,.806
Dave DeBusschere,DET,.370,5.9,78,,2897,531,1278,531,1278,,,361,512,,,924,216,,,,297,1423,.415,.415,,.705
Paul Neumann,SFW,.543,5.8,78,,2421,386,911,386,911,,,312,390,,,272,342,,,,266,1084,.424,.424,,.800
Dave Bing,DET,.370,5.3,80,,2762,664,1522,664,1522,,,273,370,,,359,330,,,,217,1601,.436,.436,,.738
Dick Van Arsdale,NYK,.444,5.2,79,,2892,410,913,410,913,,,371,509,,,555,247,,,,264,1191,.449,.449,,.729
Happy Hairston,CIN,.481,5.1,79,,2442,461,962,461,962,,,252,382,,,631,62,,,,273,1174,.479,.479,,.660
Adrian Smith,CIN,.481,5.1,81,,2636,502,1147,502,1147,,,343,380,,,205,187,,,,272,1347,.438,.438,,.903
Darrall Imhoff,LAL,.444,5.0,81,,2725,370,780,370,780,,,127,207,,,1080,222,,,,281,867,.474,.474,,.614
Gus Johnson,BAL,.247,5.0,73,,2626,620,1377,620,1377,,,271,383,,,855,194,,,,281,1511,.450,.450,,.708
Lou Hudson,STL,.481,4.9,80,,2446,620,1328,620,1328,,,231,327,,,435,95,,,,277,1471,.467,.467,,.706
Dick Barnett,NYK,.444,4.7,67,,1969,454,949,454,949,,,231,295,,,226,161,,,,185,1139,.478,.478,,.783
Richie Guerin,STL,.481,4.7,80,,2275,394,904,394,904,,,304,416,,,192,345,,,,247,1092,.436,.436,,.731
Zelmo Beaty,STL,.481,4.5,48,,1661,328,694,328,694,,,197,260,,,515,60,,,,189,853,.473,.473,,.758
Jeff Mullins,SFW,.543,4.5,77,,1835,421,919,421,919,,,150,214,,,388,226,,,,195,992,.458,.458,,.701
Gail Goodrich,LAL,.444,4.4,77,,1780,352,776,352,776,,,253,337,,,251,210,,,,194,957,.454,.454,,.751
Don Ohl,BAL,.247,4.4,58,,2024,452,1002,452,1002,,,276,354,,,189,168,,,,153,1180,.451,.451,,.780
Joe Strawder,DET,.370,4.3,79,,2156,281,660,281,660,,,188,262,,,791,82,,,,344,750,.426,.426,,.718
Luke Jackson,PHI,.840,4.2,81,,2377,386,882,386,882,,,198,261,,,724,114,,,,276,970,.438,.438,,.759
Wali Jones,PHI,.840,4.0,81,,2249,423,982,423,982,,,223,266,,,265,303,,,,246,1069,.431,.431,,.838
Tom Sanders,BOS,.741,4.0,81,,1926,323,755,323,755,,,178,218,,,439,91,,,,304,824,.428,.428,,.817
Dave Stallworth,NYK,.444,3.9,76,,1889,380,816,380,816,,,229,320,,,472,144,,,,226,989,.466,.466,,.716
K.C. Jones,BOS,.741,3.7,78,,2446,182,459,182,459,,,119,189,,,239,389,,,,273,483,.397,.397,,.630
Eddie Miles,DET,.370,3.7,81,,2419,582,1363,582,1363,,,261,338,,,298,181,,,,216,1425,.427,.427,,.772
Al Attles,SFW,.543,3.5,69,,1764,212,467,212,467,,,88,151,,,321,269,,,,265,512,.454,.454,,.583
Jim King,SFW,.543,3.5,67,,1667,286,685,286,685,,,174,221,,,319,240,,,,193,746,.418,.418,,.787
Erwin Mueller,CHI,.407,3.5,80,,2136,422,957,422,957,,,171,260,,,497,131,,,,223,1015,.441,.441,,.658
John Tresvant,DET,.370,3.5,68,,1553,256,585,256,585,,,164,234,,,483,88,,,,246,676,.438,.438,,.701
Don Nelson,BOS,.741,3.3,79,,1202,227,509,227,509,,,141,190,,,295,65,,,,143,595,.446,.446,,.742
