Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Cedric Ceballos,PHO,.756,6.2,74,46,1607,381,662,381,660,0,2,187,258,172,236,408,77,54,28,106,103,949,.576,.577,.000,.725
Craig Ehlo,CLE,.659,6.2,82,73,2559,385,785,292,541,93,244,86,120,113,290,403,254,104,22,124,170,949,.490,.540,.381,.717
Sean Elliott,SAS,.598,6.1,70,70,2604,451,918,414,814,37,104,268,337,85,237,322,265,68,28,152,132,1207,.491,.509,.356,.795
Eric Murdock,MIL,.341,6.1,79,78,2437,438,936,407,817,31,119,231,296,95,189,284,603,174,7,207,177,1138,.468,.498,.261,.780
Buck Williams,POR,.622,6.1,82,82,2498,270,528,270,527,0,1,138,214,232,458,690,75,81,61,101,270,678,.511,.512,.000,.645
Clyde Drexler,POR,.622,6.0,49,49,1671,350,816,319,683,31,133,245,292,126,183,309,278,95,37,115,159,976,.429,.467,.233,.839
Ron Harper,LAC,.500,6.0,80,77,2970,542,1203,490,1017,52,186,307,399,117,308,425,360,177,73,222,212,1443,.451,.482,.280,.769
Otis Thorpe,HOU,.671,6.0,72,69,2357,385,690,385,688,0,2,153,256,219,370,589,181,43,19,151,234,923,.558,.560,.000,.598
Kevin Willis,ATL,.524,6.0,80,80,2878,616,1218,609,1189,7,29,196,300,335,693,1028,165,68,41,213,264,1435,.506,.512,.241,.653
Muggsy Bogues,CHH,.537,5.9,81,80,2833,331,730,325,704,6,26,140,168,51,247,298,711,161,5,154,179,808,.453,.462,.231,.833
Reggie Williams,DEN,.439,5.9,79,79,2722,535,1167,502,1045,33,122,238,296,132,296,428,295,126,76,194,284,1341,.458,.480,.270,.804
Bimbo Coles,MIA,.439,5.7,81,37,2232,318,686,276,549,42,137,177,220,58,108,166,373,80,11,108,199,855,.464,.503,.307,.805
Blue Edwards,MIL,.341,5.7,82,81,2729,554,1083,517,977,37,106,237,300,123,259,382,214,129,45,175,242,1382,.512,.529,.349,.790
