Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Moses Malone,HOU,.561,15.4,81,81,3398,945,1822,945,1816,0,6,630,827,558,630,1188,142,76,125,294,208,2520,.519,.520,.000,.762
Sidney Moncrief,MIL,.671,13.4,80,80,2980,556,1063,555,1049,1,14,468,573,221,313,534,382,138,22,208,206,1581,.523,.529,.071,.817
Julius Erving,PHI,.707,13.3,81,81,2789,780,1428,777,1417,3,11,411,539,220,337,557,319,161,141,214,229,1974,.546,.548,.273,.763
Magic Johnson,LAL,.695,12.9,78,77,2991,556,1036,550,1007,6,29,329,433,252,499,751,743,208,34,286,223,1447,.537,.546,.207,.760
Adrian Dantley,UTA,.305,12.6,81,81,3222,904,1586,903,1583,1,3,648,818,231,283,514,324,95,14,299,252,2457,.570,.570,.333,.792
Jack Sikma,SEA,.634,12.6,82,82,3049,581,1212,579,1199,2,13,447,523,223,815,1038,277,102,107,213,268,1611,.479,.483,.154,.855
Larry Bird,BOS,.768,12.5,77,58,2923,711,1414,700,1362,11,52,328,380,200,637,837,447,143,66,254,244,1761,.503,.514,.212,.863
Artis Gilmore,CHI,.415,12.1,82,82,2796,546,837,545,836,1,1,424,552,224,611,835,136,49,220,227,287,1517,.652,.652,1.000,.768
Kareem Abdul-Jabbar,LAL,.695,10.7,76,76,2677,753,1301,753,1298,0,3,312,442,172,487,659,225,63,207,230,224,1818,.579,.580,.000,.706
George Gervin,SAS,.585,10.7,79,79,2817,993,1987,983,1951,10,36,555,642,138,254,392,187,77,45,210,215,2551,.500,.504,.278,.864
Gus Williams,SEA,.634,10.2,80,80,2876,773,1592,764,1552,9,40,320,436,92,152,244,549,172,36,197,163,1875,.486,.492,.225,.734
Robert Parish,BOS,.768,10.0,80,78,2534,669,1235,669,1235,0,0,252,355,288,578,866,140,68,192,221,267,1590,.542,.542,,.710
Dan Issel,DEN,.561,9.8,81,81,2472,651,1236,647,1230,4,6,546,655,174,434,608,179,67,55,169,245,1852,.527,.526,.667,.834
Alex English,DEN,.561,9.5,82,82,3015,855,1553,855,1545,0,8,372,443,210,348,558,433,87,120,261,261,2082,.551,.553,.000,.840
Greg Ballard,WSB,.524,9.4,79,79,2946,621,1307,612,1285,9,22,235,283,136,497,633,250,137,22,119,204,1486,.475,.476,.409,.830
Calvin Natt,POR,.512,9.3,75,71,2599,515,894,513,886,2,8,294,392,193,420,613,150,62,36,140,175,1326,.576,.579,.250,.750
Kyle Macy,PHO,.561,9.2,82,72,2845,486,945,447,845,39,100,152,169,78,183,261,384,143,9,125,185,1163,.514,.529,.390,.899
