Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
David Thompson,DEN,.585,12.7,80,,3025,826,1584,826,1584,,,520,668,156,234,390,362,92,99,245,213,2172,.521,.521,,.778
Adrian Dantley,TOT,,12.2,79,,2933,578,1128,578,1128,,,541,680,265,355,620,253,118,24,228,233,1697,.512,.512,,.796
Kareem Abdul-Jabbar,LAL,.549,12.1,62,,2265,663,1205,663,1205,,,274,350,186,615,801,269,103,185,208,182,1600,.550,.550,,.783
George Gervin,SAS,.634,12.0,82,,2857,864,1611,864,1611,,,504,607,118,302,420,302,136,110,306,255,2232,.536,.536,,.830
Artis Gilmore,CHI,.488,11.5,82,,3067,704,1260,704,1260,,,471,669,318,753,1071,263,42,181,366,261,1879,.559,.559,,.704
Dan Issel,DEN,.585,11.1,82,,2851,659,1287,659,1287,,,428,547,253,577,830,304,100,41,259,279,1746,.512,.512,,.782
Bob McAdoo,NYK,.524,10.9,79,,3182,814,1564,814,1564,,,469,645,236,774,1010,298,105,126,346,297,2097,.520,.520,,.727
Dave Cowens,BOS,.390,10.8,77,,3215,598,1220,598,1220,,,239,284,248,830,1078,351,102,67,217,297,1435,.490,.490,,.842
Marques Johnson,MIL,.537,10.6,80,,2765,628,1204,628,1204,,,301,409,292,555,847,190,92,103,175,221,1557,.522,.522,,.736
Walter Davis,PHO,.598,10.1,81,,2590,786,1494,786,1494,,,387,466,158,326,484,273,113,20,283,242,1959,.526,.526,,.830
Bob Lanier,DET,.463,10.1,63,,2311,622,1159,622,1159,,,298,386,197,518,715,216,82,93,225,185,1542,.537,.537,,.772
Paul Westphal,PHO,.598,9.8,80,,2481,809,1568,809,1568,,,396,487,41,123,164,437,138,31,280,162,2014,.516,.516,,.813
Rick Barry,GSW,.524,9.7,82,,3024,760,1686,760,1686,,,378,409,75,374,449,446,158,45,224,188,1898,.451,.451,,.924
Julius Erving,PHI,.671,9.1,74,,2429,611,1217,611,1217,,,306,362,179,302,481,279,135,97,238,207,1528,.502,.502,,.845
John Drew,ATL,.500,8.9,70,,2203,593,1236,593,1236,,,437,575,213,298,511,141,119,27,210,247,1623,.480,.480,,.760
Bobby Jones,DEN,.585,8.9,75,,2440,440,761,440,761,,,208,277,164,472,636,252,137,126,194,221,1088,.578,.578,,.751
Marvin Webster,SEA,.573,8.7,82,,2910,427,851,427,851,,,290,461,361,674,1035,203,48,162,257,262,1144,.502,.502,,.629
Billy Paultz,SAS,.634,8.6,80,,2479,518,979,518,979,,,230,306,172,503,675,213,42,194,167,222,1266,.529,.529,,.752
Bill Walton,POR,.707,8.4,58,,1929,460,882,460,882,,,177,246,118,648,766,291,60,146,206,145,1097,.522,.522,,.720
Elvin Hayes,WSB,.537,8.3,81,,3246,636,1409,636,1409,,,326,514,335,740,1075,149,96,159,229,313,1598,.451,.451,,.634
George McGinnis,PHI,.671,7.9,78,,2533,588,1270,588,1270,,,411,574,282,528,810,294,137,27,312,287,1587,.463,.463,,.716
Randy Smith,BUF,.329,7.9,82,,3314,789,1697,789,1697,,,443,554,110,200,310,458,172,11,286,224,2021,.465,.465,,.800
Scott Wedman,KCK,.378,7.8,81,,2961,607,1192,607,1192,,,221,254,144,319,463,201,99,22,158,242,1435,.509,.509,,.870
John Shumate,TOT,,7.7,80,,2760,391,773,391,773,,,400,508,157,525,682,180,90,52,232,200,1182,.506,.506,,.787
Gus Williams,SEA,.573,7.7,79,,2572,602,1335,602,1335,,,227,278,83,173,256,294,185,41,189,198,1431,.451,.451,,.817
Doug Collins,PHI,.671,7.6,79,,2770,643,1223,643,1223,,,267,329,87,143,230,320,128,25,250,228,1553,.526,.526,,.812
Larry Kenon,SAS,.634,7.5,81,,2869,698,1426,698,1426,,,276,323,245,528,773,268,115,24,279,209,1672,.489,.489,,.854
Calvin Murphy,HOU,.341,7.4,76,,2900,852,1737,852,1737,,,245,267,57,107,164,259,112,3,173,241,1949,.491,.491,,.918
Mickey Johnson,CHI,.488,7.2,81,,2870,561,1215,561,1215,,,362,446,218,520,738,267,92,68,270,317,1484,.462,.462,,.812
Bob Gross,POR,.707,7.1,72,,2163,381,720,381,720,,,152,190,180,220,400,254,100,52,179,234,914,.529,.529,,.800
Clifford Ray,GSW,.524,6.9,79,,2268,272,476,272,476,,,148,243,236,522,758,147,74,90,150,291,692,.571,.571,,.609
Dan Roundfield,IND,.378,6.9,79,,2423,421,861,421,861,,,218,300,275,527,802,196,81,149,194,297,1060,.489,.489,,.727
Bob Dandridge,WSB,.537,6.8,75,,2777,560,1190,560,1190,,,330,419,137,305,442,287,101,44,241,262,1450,.471,.471,,.788
Swen Nater,BUF,.329,6.8,78,,2778,501,994,501,994,,,208,272,278,751,1029,216,40,47,225,274,1210,.504,.504,,.765
Elmore Smith,CLE,.524,6.8,81,,1996,402,809,402,809,,,205,309,178,500,678,57,50,176,141,241,1009,.497,.497,,.663
Wes Unseld,WSB,.537,6.8,80,,2644,257,491,257,491,,,93,173,286,669,955,326,98,45,173,234,607,.523,.523,,.538
