Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Bob Pettit,STL,.681,14.8,72,,2873,719,1640,719,1640,,,667,879,,,1182,221,,,,200,2105,.438,.438,,.759
Kenny Sears,NYK,.556,13.3,71,,2498,491,1002,491,1002,,,506,588,,,658,136,,,,237,1488,.490,.490,,.861
Paul Arizin,PHW,.444,13.0,70,,2799,632,1466,632,1466,,,587,722,,,637,119,,,,264,1851,.431,.431,,.813
Bill Russell,BOS,.722,12.9,70,,2979,456,997,456,997,,,256,428,,,1612,222,,,,161,1168,.457,.457,,.598
Cliff Hagan,STL,.681,11.7,72,,2702,646,1417,646,1417,,,415,536,,,783,245,,,,275,1707,.456,.456,,.774
Elgin Baylor,MNL,.458,9.8,70,,2855,605,1482,605,1482,,,532,685,,,1050,287,,,,270,1742,.408,.408,,.777
Dolph Schayes,SYR,.486,9.4,72,,2645,504,1304,504,1304,,,526,609,,,962,178,,,,280,1534,.387,.387,,.864
Bob Cousy,BOS,.722,8.7,65,,2403,484,1260,484,1260,,,329,385,,,359,557,,,,135,1297,.384,.384,,.855
Red Kerr,SYR,.486,8.7,72,,2671,502,1139,502,1139,,,281,367,,,1008,142,,,,183,1285,.441,.441,,.766
Larry Costello,SYR,.486,8.5,70,,2750,414,948,414,948,,,280,349,,,365,379,,,,263,1108,.437,.437,,.802
Richie Guerin,NYK,.556,8.4,71,,2558,443,1046,443,1046,,,405,505,,,518,364,,,,255,1291,.424,.424,,.802
Bill Sharman,BOS,.722,7.6,72,,2382,562,1377,562,1377,,,342,367,,,292,179,,,,173,1466,.408,.408,,.932
Tom Gola,PHW,.444,7.4,64,,2333,310,773,310,773,,,281,357,,,710,269,,,,243,901,.401,.401,,.787
Jack Twyman,CIN,.264,7.3,72,,2713,710,1691,710,1691,,,437,558,,,653,209,,,,277,1857,.420,.420,,.783
Dick McGuire,DET,.389,6.9,71,,2063,232,543,232,543,,,191,258,,,285,443,,,,147,655,.427,.427,,.740
George Yardley,TOT,,6.8,61,,1839,446,1042,446,1042,,,317,407,,,431,65,,,,159,1209,.428,.428,,.779
Tom Heinsohn,BOS,.722,6.5,66,,2089,465,1192,465,1192,,,312,391,,,638,164,,,,271,1242,.390,.390,,.798
Clyde Lovellette,STL,.681,6.5,70,,1599,402,885,402,885,,,205,250,,,605,91,,,,216,1009,.454,.454,,.820
Frank Ramsey,BOS,.722,5.9,72,,2013,383,1013,383,1013,,,341,436,,,491,147,,,,266,1107,.378,.378,,.782
